gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	7.09659082077017e-25	0.114872635752795	1.18555646251786e-20	0.114872635752795
TTTY14	5.17651011026649e-17	0.0816683793657023	4.3239388951056e-13	0.0816683793657023
USP9Y	4.49937435935774e-16	0.0793615477175823	2.50555160158101e-12	0.0793615477175823
UTY	5.6348445224042e-10	0.0578269380063968	2.35339281478211e-06	0.0578269380063968
TSPAN11	2.40624801524375e-05	0.0519753661422784	0.0803975586853242	0.0519753661422784
LINC01515	4.71590841733967e-05	-0.128481008335185	0.131306610033461	-0.128481008335185
PDGFRL	5.74699243733572e-05	0.0633594872176051	0.137156079511615	0.0633594872176051
KPNA3	0.000111009255347526	0.0135899450897897	0.231815077479471	0.0135899450897897
AC069133.1	0.000157562305735804	0.0391719276207814	0.25175213950831	0.0391719276207814
AP001172.1	0.000165128714404608	-0.0496895902826865	0.25175213950831	-0.0496895902826865
RPS27	0.000170636380868322	0.0440366061596053	0.25175213950831	0.0440366061596053
PRKY	0.000180834770387868	0.0444257628963142	0.25175213950831	0.0444257628963142
SYTL5	0.000225804833841964	-0.027117229201359	0.290176581089528	-0.027117229201359
AC010331.1	0.000253868890860684	0.0637258701433772	0.302938120765613	0.0637258701433772
FAM66E	0.000274464234645656	0.0778544734604101	0.305679966932689	0.0778544734604101
NDUFS5	0.00042453878612989	0.0378583941894305	0.431952603976684	0.0378583941894305
ZDHHC3	0.000439554307889598	0.0234861861762143	0.431952603976684	0.0234861861762143
TET2	0.000476445500886939	-0.0113599068303196	0.442194363212067	-0.0113599068303196
PRSS51	0.000520689875421883	-0.0695966124741021	0.457823424147262	-0.0695966124741021
AL358394.1	0.000557347966852603	0.077192702794711	0.46555275671198	0.077192702794711
NGDN	0.000624654412833147	0.0267981499011219	0.491018458450485	0.0267981499011219
AC067956.1	0.000690137586158732	0.074912517957354	0.491018458450485	0.074912517957354
LIMA1	0.000704991364314946	-0.0184079536289465	0.491018458450485	-0.0184079536289465
CPEB2-DT	0.000733937409385037	0.0248970559511701	0.491018458450485	0.0248970559511701
RPL27	0.000734793574839107	0.035382610324133	0.491018458450485	0.035382610324133
PARD6B	0.000806329227050199	0.0286600518028069	0.51300111324813	0.0286600518028069
MGAT1	0.000857880583904944	0.0245780186674163	0.51300111324813	0.0245780186674163
SLC5A8	0.000859812712255935	-0.0333967347287566	0.51300111324813	-0.0333967347287566
KDM5D	0.000934035295113316	0.0299161006750001	0.538068746212519	0.0299161006750001
AC005908.3	0.000992604564680049	-0.026143473881506	0.546048825142003	-0.026143473881506
KXD1	0.00101325952229152	0.0309113373473299	0.546048825142003	0.0309113373473299
GPR89B	0.00107178061662096	0.0215364220777853	0.546134494242853	0.0215364220777853
LGR4	0.00108291940078862	0.0165958650129531	0.546134494242853	0.0165958650129531
AC132938.1	0.0011402888951661	0.0380017163912613	0.546134494242853	0.0380017163912613
DYNC1LI2	0.00115164919074293	-0.0117275766734682	0.546134494242853	-0.0117275766734682
PPP4R3B	0.00117687308707906	-0.0129234773338978	0.546134494242853	-0.0129234773338978
RPL34	0.00124050086371402	0.0295923670215542	0.552755846909482	0.0295923670215542
RPL38	0.00129982700736791	0.036490225699105	0.552755846909482	0.036490225699105
WEE1	0.00136157849549853	0.0752257533231738	0.552755846909482	0.0752257533231738
TIMM9	0.00136233328447739	-0.0246347068480223	0.552755846909482	-0.0246347068480223
AP003108.1	0.00138609699429365	0.0573665537657529	0.552755846909482	0.0573665537657529
MRPL45	0.00144386387152054	-0.0250662354360445	0.552755846909482	-0.0250662354360445
LYG1	0.00146998234744396	-0.05505598238615	0.552755846909482	-0.05505598238615
SLC25A33	0.0015273566870723	0.0230634360166348	0.552755846909482	0.0230634360166348
DIP2B	0.00154459926397497	-0.00782620516716223	0.552755846909482	-0.00782620516716223
TP53INP2	0.00160462971759969	0.0404700325429724	0.552755846909482	0.0404700325429724
AL353593.1	0.00160472768842096	-0.0826912405063656	0.552755846909482	-0.0826912405063656
ZNF439	0.00161366632680516	0.029007249763358	0.552755846909482	0.029007249763358
MRPS25	0.00166475886542463	-0.0145911655474522	0.552755846909482	-0.0145911655474522
MRPL27	0.00167078460246396	0.0286364446593461	0.552755846909482	0.0286364446593461
AC068051.1	0.00169132977568637	-0.048687363078921	0.552755846909482	-0.048687363078921
AC091271.1	0.0017388507508886	-0.0516613479439056	0.552755846909482	-0.0516613479439056
