gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	2.81379493134006e-46	0.161014249606755	5.20833441791045e-42	0.161014249606755
TTTY14	8.91095692159614e-44	0.169141948851105	8.24709063093723e-40	0.169141948851105
NLGN4Y	3.13588175820746e-36	0.138243470325049	1.934839044814e-32	0.138243470325049
UTY	2.26416390219468e-32	0.114623547245011	1.04774184574059e-28	0.114623547245011
KDM5D	1.17153516308291e-23	0.109046898847864	4.33702317373294e-20	0.109046898847864
TTTY10	2.03563531303513e-13	0.0622161083728425	6.27993494071338e-10	0.0622161083728425
DDX3Y	2.37937903395218e-13	0.0654481378283466	6.29175798835069e-10	0.0654481378283466
ZFY	7.95831058264539e-10	0.0476945356004145	1.84135411105958e-06	0.0476945356004145
RPS4Y1	2.40517455424004e-08	0.0526196080239025	4.94664233322034e-05	0.0526196080239025
AC244502.1	3.27291615528873e-06	-0.0799925559097898	0.00605816780343944	-0.0799925559097898
CFAP298	1.52258953128133e-05	-0.0101964019019615	0.0256210292945613	-0.0101964019019615
LINC00326	2.64553951676988e-05	0.0754349333238954	0.0408074470461754	0.0754349333238954
LINC01515	4.87377774680295e-05	-0.174542850508192	0.0693950969948635	-0.174542850508192
AC027796.1	5.51978560610288e-05	0.0270872817437786	0.0729794511206888	0.0270872817437786
COQ7	0.000112781939459671	-0.0147487377325105	0.139172913293234	-0.0147487377325105
AL713852.2	0.000161691853338459	-0.0442281207960776	0.177641150246614	-0.0442281207960776
EMILIN2	0.000163149624753778	-0.04030973867862	0.177641150246614	-0.04030973867862
RHD	0.000218350831550356	-0.0415079796035406	0.224537438444282	-0.0415079796035406
AL035416.1	0.000288960000508478	-0.0415362444466733	0.281507874179575	-0.0415362444466733
AC126773.3	0.000307022124539787	-0.0322424670476064	0.282342167770908	-0.0322424670476064
SAMD1	0.000342308039448003	-0.0177772536743899	0.282342167770908	-0.0177772536743899
LINC01578	0.000353455092697973	-0.00769089114759958	0.282342167770908	-0.00769089114759958
OTOGL	0.000366671927659898	-0.068469477357201	0.282342167770908	-0.068469477357201
FKBP14	0.000373167508029785	-0.0111814617476999	0.282342167770908	-0.0111814617476999
