gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	1.06511383565967e-38	0.150839559284032	1.99154984991645e-34	0.150839559284032
USP9Y	1.85401266300444e-35	0.132288220370212	1.73331643864285e-31	0.132288220370212
NLGN4Y	9.2158765496847e-33	0.131496237830288	5.74394865753349e-29	0.131496237830288
UTY	1.66699924141813e-28	0.112456608601754	7.79238795400907e-25	0.112456608601754
KDM5D	2.17224580319552e-16	0.0815399800541844	8.12333040562997e-13	0.0815399800541844
PCDH11Y	2.29625298819448e-08	0.030684841835189	7.15588972887674e-05	0.030684841835189
LINC00326	1.00551948084369e-07	0.101621559545786	0.000268588617897361	0.101621559545786
TTTY10	1.88717523985989e-05	0.0317327041405143	0.0441080032936253	0.0317327041405143
PLAGL2	2.92079056879929e-05	0.0213291442227186	0.0606810467282324	0.0213291442227186
AC117528.1	3.4251605935642e-05	-0.0407034847049033	0.0640436527784634	-0.0407034847049033
SNAPC2	4.87425920998312e-05	-0.0358907394826488	0.0828535442802403	-0.0358907394826488
PPP2R3A	6.26492897191382e-05	-0.0103432415076222	0.0976180349307039	-0.0103432415076222
OR2L3	7.73913849071114e-05	0.0233399084605389	0.110598533255328	0.0233399084605389
CREB1	8.28098976133596e-05	0.0079683022278659	0.110598533255328	0.0079683022278659
DLEU1	8.98204184231987e-05	-0.0240965377322378	0.111964145578465	-0.0240965377322378
GALNT16	0.000103885964929998	0.00917482168781989	0.115538454032819	0.00917482168781989
TSPAN14	0.000105046193098616	0.0137640496393847	0.115538454032819	0.0137640496393847
CACNA2D3	0.000162370159230543	-0.0163835493281692	0.168666513182928	-0.0163835493281692
KATNBL1	0.000187705104163568	-0.00721823969197438	0.180455141020921	-0.00721823969197438
AC069277.1	0.000193020794759783	-0.0913688205498837	0.180455141020921	-0.0913688205498837
OR51E2	0.00021483620120305	0.0619460885729122	0.191286061433077	0.0619460885729122
RPS4Y1	0.000241753345078549	0.0327101584711827	0.197445199557224	0.0327101584711827
AL049646.1	0.000242873012611839	-0.0565183590320061	0.197445199557224	-0.0565183590320061
GDAP1L1	0.000271032462896811	0.00830058758940791	0.210421701500347	0.00830058758940791
WDR41	0.00032236874523117	-0.0088483134751978	0.210421701500347	-0.0088483134751978
PRKD3	0.000324463214859329	-0.0347418832131757	0.210421701500347	-0.0347418832131757
AC007996.1	0.000327792829934134	-0.0652298204039424	0.210421701500347	-0.0652298204039424
EFCAB13	0.000339296374126896	-0.0360356065791616	0.210421701500347	-0.0360356065791616
LRATD1	0.000344424689435225	-0.0287532467798605	0.210421701500347	-0.0287532467798605
NRSN1	0.000365248694346999	-0.00844933405929304	0.210421701500347	-0.00844933405929304
LINC01515	0.000372655857089402	-0.209334262554307	0.210421701500347	-0.209334262554307
PPFIA2-AS1	0.000379707620686958	-0.0425075705916963	0.210421701500347	-0.0425075705916963
DDX3Y	0.000380421951760085	0.0252463397904105	0.210421701500347	0.0252463397904105
AC073525.1	0.000387231696839732	-0.0422846059824061	0.210421701500347	-0.0422846059824061
P3H2-AS1	0.000393879535378765	-0.0140936937823274	0.210421701500347	-0.0140936937823274
HACD4	0.000465535234577532	-0.0508385211099395	0.241793828225853	-0.0508385211099395
