gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	3.11571170827002e-27	0.114672288614538	5.29079005181332e-23	0.114672288614538
NLGN4Y	8.231753906073e-25	0.112595617313508	6.98917065395128e-21	0.112595617313508
UTY	2.79156969854588e-20	0.0894665868630891	1.58012150170025e-16	0.0894665868630891
TTTY14	6.79446252644527e-18	0.0674464780542537	2.88441920403918e-14	0.0674464780542537
KDM5D	3.07071792419615e-10	0.0632147906963771	1.04287722141549e-06	0.0632147906963771
LINC01515	1.11462744871135e-06	-0.15674959482891	0.00315458145109459	-0.15674959482891
TTTY10	4.14751037374368e-06	0.0396632917924411	0.0100612676652202	0.0396632917924411
TMEM94	5.21813649917483e-05	0.0119706384901737	0.11076146986561	0.0119706384901737
FAM181B	6.31093885941241e-05	-0.0596396639281943	0.119073391968536	-0.0596396639281943
AC025627.1	8.62472743171626e-05	-0.0437888095647187	0.146456496517974	-0.0437888095647187
ZNF350	0.000138826940499035	-0.0324824732922431	0.214310934237647	-0.0324824732922431
CCNY	0.000190949930795448	-0.00792705315221614	0.270210064569792	-0.00792705315221614
MIF4GD	0.000235102822526837	-0.0366578134126232	0.307098540717555	-0.0366578134126232
GSTO1	0.000264013146206907	-0.0193293031968225	0.320229088267106	-0.0193293031968225
BVES-AS1	0.000328977419074711	0.0361275517995903	0.372424370220511	0.0361275517995903
FGF1	0.000380989258772034	-0.0344259910171827	0.404348662700494	-0.0344259910171827
PCDH1	0.000428491482616371	0.0170907461753507	0.42472543380859	0.0170907461753507
WASHC1	0.000464669014524887	0.0177885641126026	0.42472543380859	0.0177885641126026
PSPH	0.000475224264905671	0.0168319860519263	0.42472543380859	0.0168319860519263
FAM122A	0.000556335404732224	0.0254755371438686	0.427793742107817	0.0254755371438686
AC244502.1	0.000556517591830194	-0.0593996232551198	0.427793742107817	-0.0593996232551198
RAD9A	0.000563882361697049	0.00989754838051735	0.427793742107817	0.00989754838051735
RPL26	0.000579427364023308	0.0331038472354799	0.427793742107817	0.0331038472354799
PLAC8L1	0.000606541277846687	0.0206173429483407	0.429153226629775	0.0206173429483407
HGF	0.000743908409055473	0.0316922561915381	0.505292347766839	0.0316922561915381
NPTN-IT1	0.000828089911882573	0.0205211172590729	0.540838261295307	0.0205211172590729
LRRC20	0.000898353972153795	-0.0160334044852009	0.559766978293325	-0.0160334044852009
ALK	0.000927194156264727	0.0157211637104752	0.559766978293325	0.0157211637104752
SVIP	0.00102892020276662	0.0167159968186098	0.559766978293325	0.0167159968186098
RPS17	0.00103313138696757	0.0341603010477233	0.559766978293325	0.0341603010477233
AC069277.1	0.00104762307521674	-0.0709146076323345	0.559766978293325	-0.0709146076323345
CCNT2	0.0011261786565981	-0.00795481385643823	0.559766978293325	-0.00795481385643823
RPL7	0.00113883955531642	0.0361430100367427	0.559766978293325	0.0361430100367427
DCST2	0.00114748286596299	-0.0523693867285063	0.559766978293325	-0.0523693867285063
COL24A1	0.00116455456586598	-0.0457177406167248	0.559766978293325	-0.0457177406167248
ZC2HC1B	0.00122141377244607	-0.0470909762858157	0.559766978293325	-0.0470909762858157
RSPH1	0.00129338930938121	-0.0225155195568553	0.559766978293325	-0.0225155195568553
GPR156	0.00129591856903398	0.0474716997243632	0.559766978293325	0.0474716997243632
AC007364.1	0.00140744380995196	-0.00957750040321517	0.559766978293325	-0.00957750040321517
MIER2	0.00144724404664137	0.0182747398435196	0.559766978293325	0.0182747398435196
ANKRD44	0.00150229665090148	-0.00953298205708473	0.559766978293325	-0.00953298205708473
LIMK2	0.00155822188767229	0.0166554384979721	0.559766978293325	0.0166554384979721
AC005736.1	0.00163084678117199	0.0324283466822061	0.559766978293325	0.0324283466822061
SURF1	0.00164662024376812	-0.0270139067935074	0.559766978293325	-0.0270139067935074
ARHGAP12	0.00166470534785724	0.00666974446782007	0.559766978293325	0.00666974446782007
GPATCH2	0.00166731280078161	-0.0120236507457386	0.559766978293325	-0.0120236507457386
RPL32	0.00168998863673168	0.0258120632030695	0.559766978293325	0.0258120632030695
PPWD1	0.00170364939505542	-0.00966468279115371	0.559766978293325	-0.00966468279115371
CCDC50	0.00170503029673914	0.0108177289949935	0.559766978293325	0.0108177289949935
RPL27A	0.00173666383819988	0.0287641345162827	0.559766978293325	0.0287641345162827
AC093817.2	0.00174414123076558	0.036461552498989	0.559766978293325	0.036461552498989
ZSWIM4	0.00176227679972899	0.0231185794587103	0.559766978293325	0.0231185794587103
CCDC82	0.00177698392830601	-0.00905065139019649	0.559766978293325	-0.00905065139019649
LINC02636	0.00182247452702843	0.0146028840887408	0.559766978293325	0.0146028840887408
OR2L2	0.00182872237888407	0.0319731249041986	0.559766978293325	0.0319731249041986
PCBD2	0.00186228786055733	-0.0177649072777184	0.559766978293325	-0.0177649072777184
AC024257.1	0.00187896577131615	-0.0501929214060462	0.559766978293325	-0.0501929214060462
AC090206.1	0.00206202532757244	-0.0349667417620489	0.597608917010167	-0.0349667417620489
BEX1	0.00208159494577188	0.0229462275772616	0.597608917010167	0.0229462275772616
NDUFB11	0.00211156793007538	0.0325815365104727	0.597608917010167	0.0325815365104727
PRDX6	0.00230454779729923	0.0178459397769894	0.626542948481767	0.0178459397769894
UHRF1BP1	0.0023114285664088	0.00803260752000221	0.626542948481767	0.00803260752000221
CMPK2	0.00236866027959173	-0.0309452835307419	0.626542948481767	-0.0309452835307419
WDR27	0.00242037730611888	-0.00874547404602679	0.626542948481767	-0.00874547404602679
OR2L3	0.00246081259252223	0.0230289996119269	0.626542948481767	0.0230289996119269
AL358394.1	0.00248200430239618	0.0558655301381647	0.626542948481767	0.0558655301381647
LINC02306	0.00250723823825555	0.0464568982811714	0.626542948481767	0.0464568982811714
HOGA1	0.00254716532587648	-0.0350742232555707	0.626542948481767	-0.0350742232555707
PXK	0.00255091159927954	0.00647806328590195	0.626542948481767	0.00647806328590195
MESP1	0.00261815573640615	0.0270615280580464	0.626542948481767	0.0270615280580464
NBPF10	0.00266434560297083	0.0267503210279484	0.626542948481767	0.0267503210279484
LINC02745	0.00268285812497034	0.0510955841728894	0.626542948481767	0.0510955841728894
AC245123.1	0.00269345946876915	-0.0298649112355009	0.626542948481767	-0.0298649112355009
TULP4	0.00278685604685738	-0.00732614667903811	0.639508142320069	-0.00732614667903811
SMARCAD1	0.00308960864325357	0.00679471000717843	0.699528591614518	0.00679471000717843
ACSM4	0.00318010230426884	-0.0522714166497965	0.708207841961657	-0.0522714166497965
GON7	0.00321135409169352	-0.0239510772887727	0.708207841961657	-0.0239510772887727
SGPP1	0.00329515134360849	0.00993720889566471	0.71119333612236	0.00993720889566471
PPIA	0.00335004005144699	0.0180343705212314	0.71119333612236	0.0180343705212314
AL645728.1	0.00335053688768558	-0.0426236761222168	0.71119333612236	-0.0426236761222168
C1orf115	0.00342603463288322	0.0336626479998104	0.713954643906165	0.0336626479998104
LIX1-AS1	0.00344763446206381	-0.0199885426059714	0.713954643906165	-0.0199885426059714
LINC00486	0.00357741258185553	0.0340269850750684	0.731904133162515	0.0340269850750684
AFF3	0.00370626420201321	-0.00604383908720493	0.737348769881372	-0.00604383908720493
AC024941.2	0.0037128608829865	0.0416029156292584	0.737348769881372	0.0416029156292584
RPL41	0.00374024614323708	0.0266385935140624	0.737348769881372	0.0266385935140624
MAP3K13	0.00380601929475253	0.00590368810595028	0.737348769881372	0.00590368810595028
ASTN1	0.00382260556604105	-0.00565073647486176	0.737348769881372	-0.00565073647486176
ELP6	0.00389081260709106	-0.0131000027287226	0.737348769881372	-0.0131000027287226
DNMT3B	0.00390797887576253	-0.016766020548138	0.737348769881372	-0.016766020548138
MGAT5	0.00398812000254112	-0.00623665744399407	0.744200722671986	-0.00623665744399407
AC104135.1	0.00405736939936944	0.0465073883216498	0.748893367072744	0.0465073883216498
TRAP1	0.00410512440247991	0.00754961208825136	0.749560402994745	0.00754961208825136
CPVL	0.00421704395970378	-0.0390508534862889	0.757751431662425	-0.0390508534862889
RPL35	0.00423923125893236	0.0246776004046659	0.757751431662425	0.0246776004046659
COA1	0.00444939460646855	-0.0077957327945401	0.760372015014637	-0.0077957327945401
SMIM15-AS1	0.00447932353020753	-0.0179875506362486	0.760372015014637	-0.0179875506362486
CKAP4	0.0044964873293383	0.0163053161517522	0.760372015014637	0.0163053161517522
AL122035.1	0.00452607835391217	0.0154605974365259	0.760372015014637	0.0154605974365259
MPRIP	0.00455746313215133	-0.00544462554957162	0.760372015014637	-0.00544462554957162
UNC13B	0.00460540212571799	0.0126286175120014	0.760372015014637	0.0126286175120014
RILP	0.00462807822334646	-0.0353137942171723	0.760372015014637	-0.0353137942171723
AL354733.2	0.00464931659785428	-0.0414327296314304	0.760372015014637	-0.0414327296314304
FBXO34	0.00474062427334799	0.00717881398554953	0.760372015014637	0.00717881398554953
SLC26A1	0.00476141606272773	0.0403916871922416	0.760372015014637	0.0403916871922416
GLT1D1	0.00476786811172646	-0.00797798987594925	0.760372015014637	-0.00797798987594925
AC127521.1	0.00479122581747636	-0.0357246552172471	0.760372015014637	-0.0357246552172471
UQCRQ	0.00494511541511314	0.0323369514436598	0.77752782281515	0.0323369514436598
DOK5	0.00499878369025434	0.0155858300186983	0.778755466460633	0.0155858300186983
WDR83OS	0.00522917869859941	0.0211241716004984	0.79089038072343	0.0211241716004984
NPFF	0.00522969901530797	0.0307304415503825	0.79089038072343	0.0307304415503825
PHAX	0.00530495823127613	0.011354383725067	0.79089038072343	0.011354383725067
HIC2	0.00537654667619824	0.0132532785116207	0.79089038072343	0.0132532785116207
SH3BP5	0.00540755309092893	-0.00917441283366619	0.79089038072343	-0.00917441283366619
SMIM13	0.00545574255248561	0.0106837868274548	0.79089038072343	0.0106837868274548
AC044849.1	0.00561762748179104	-0.0417869807327412	0.79089038072343	-0.0417869807327412
LINC01983	0.00572018564204668	0.0395151240838385	0.79089038072343	0.0395151240838385
STK19	0.00574332067762812	0.0158089472500807	0.79089038072343	0.0158089472500807
AC106795.5	0.00575431836590038	0.0359286141578368	0.79089038072343	0.0359286141578368
MANBA	0.00578824536688278	-0.00844469968100467	0.79089038072343	-0.00844469968100467
GPR63	0.00581763666795049	0.0251766107926169	0.79089038072343	0.0251766107926169
ADCY8	0.00585944368770458	-0.00912816211212251	0.79089038072343	-0.00912816211212251
STX4	0.00591293453150018	-0.0226073578919287	0.79089038072343	-0.0226073578919287
LINC02694	0.00595223312899856	0.0421051407097273	0.79089038072343	0.0421051407097273
NEURL2	0.00597155714629185	-0.0258763647417534	0.79089038072343	-0.0258763647417534
NPAP1	0.00599500235974214	0.0202483896849572	0.79089038072343	0.0202483896849572
UFSP2	0.00599914912127095	-0.0110057526517639	0.79089038072343	-0.0110057526517639
PDLIM5	0.00602261787613285	0.0188732859315751	0.79089038072343	0.0188732859315751
RPS27	0.00605824829443105	0.0293240259258174	0.79089038072343	0.0293240259258174
OR2L5	0.0061328356086144	0.0257318766330755	0.79089038072343	0.0257318766330755
MRPS11	0.00614216231992902	-0.0138669651115327	0.79089038072343	-0.0138669651115327
ACAT1	0.00616561423730826	-0.00794617394160042	0.79089038072343	-0.00794617394160042
FRYL	0.00619447739451247	-0.00511927679411948	0.79089038072343	-0.00511927679411948
Z94721.1	0.00633083833349372	0.0144418018629218	0.798690218535979	0.0144418018629218
UBB	0.00634963662342366	0.024312207980276	0.798690218535979	0.024312207980276
POLG	0.0064936941796487	0.0127422099871228	0.802372825934602	0.0127422099871228
VCPIP1	0.00651091693020346	-0.0113448192034176	0.802372825934602	-0.0113448192034176
ARMC4	0.00652066721506243	0.0440806939017611	0.802372825934602	0.0440806939017611
TASOR2	0.00677288605502028	0.00537583083641129	0.826225156645569	0.00537583083641129
AC005753.3	0.00681227830720818	-0.0500794191364625	0.826225156645569	-0.0500794191364625
CDRT1	0.00691705552875149	0.0290880180381186	0.826225156645569	0.0290880180381186
HMG20A	0.00700719960554143	0.00629090304261351	0.826225156645569	0.00629090304261351
HGS	0.00715229762304335	0.0110939126903254	0.826225156645569	0.0110939126903254
RPL36	0.00720797070777256	0.0238719351818766	0.826225156645569	0.0238719351818766
RPL21	0.00723116322182298	0.02662203294141	0.826225156645569	0.02662203294141
AC244517.1	0.00725262910178493	-0.0424914660858663	0.826225156645569	-0.0424914660858663
DISC1	0.00730409174276213	0.0198386494214964	0.826225156645569	0.0198386494214964
EEF1A1	0.00734705068412504	0.0162549192497599	0.826225156645569	0.0162549192497599
FRMPD1	0.00749843035917308	0.0175128979925337	0.826225156645569	0.0175128979925337
SASS6	0.00750801049428326	0.0137586182336204	0.826225156645569	0.0137586182336204
SLC6A12	0.00758760297023617	-0.0370997290665002	0.826225156645569	-0.0370997290665002
AL138976.2	0.00760103927399484	-0.0440296880473896	0.826225156645569	-0.0440296880473896
ZSCAN23	0.00780862119600925	0.0145745636523241	0.826225156645569	0.0145745636523241
RPL31	0.00783048600586493	0.0203414059336357	0.826225156645569	0.0203414059336357
Z99127.4	0.00785335556995902	-0.0512279005972582	0.826225156645569	-0.0512279005972582
ESYT2	0.00793670107687218	-0.0056192784671321	0.826225156645569	-0.0056192784671321
DDX31	0.00801271010946232	0.0105628784027359	0.826225156645569	0.0105628784027359
TMEM45A	0.00801387884825658	0.0312247107328842	0.826225156645569	0.0312247107328842
AC026689.1	0.00808698830350394	-0.0289629970657016	0.826225156645569	-0.0289629970657016
TLL1	0.0080984720787643	0.0407841907490667	0.826225156645569	0.0407841907490667
DNASE1L1	0.00810569339418431	-0.0323214258023517	0.826225156645569	-0.0323214258023517
MPP2	0.00816349121370319	0.00835911495371682	0.826225156645569	0.00835911495371682
C4orf48	0.00816832473443431	0.0281728961531497	0.826225156645569	0.0281728961531497
AC011472.1	0.008195256652496	-0.0229946578505655	0.826225156645569	-0.0229946578505655
AL160408.1	0.00822598661287098	-0.0390522524776153	0.826225156645569	-0.0390522524776153
NEPRO	0.00838326847308475	-0.0118591583386471	0.826225156645569	-0.0118591583386471
PTGES	0.00842908698283148	-0.0426780945687466	0.826225156645569	-0.0426780945687466
SYN3	0.00843559500319454	-0.00846684954301468	0.826225156645569	-0.00846684954301468
HSPB1	0.00848994978407175	0.0506146204849943	0.826225156645569	0.0506146204849943
CACNB1	0.00849026110161684	-0.0165439263099498	0.826225156645569	-0.0165439263099498
YWHAG	0.00849989474739199	0.00896751215014911	0.826225156645569	0.00896751215014911
RPS11	0.00853795548712479	0.0170496515015168	0.826225156645569	0.0170496515015168
PDZD4	0.00857234446413478	0.0127522546016088	0.826225156645569	0.0127522546016088
TIMM13	0.00861075382749254	0.022210523274977	0.826225156645569	0.022210523274977
AC090360.1	0.00862437429801951	0.0182191062189546	0.826225156645569	0.0182191062189546
MAPK11	0.00875811661556882	0.0202747837739458	0.826225156645569	0.0202747837739458
MSS51	0.00887744315361245	0.0142886590582511	0.826225156645569	0.0142886590582511
GANAB	0.00890195576826821	-0.00931943133496803	0.826225156645569	-0.00931943133496803
AC064829.1	0.00890650281251504	0.0461982068002178	0.826225156645569	0.0461982068002178
DLG4	0.00892587088776275	0.0105169590046872	0.826225156645569	0.0105169590046872
AP000317.1	0.00906518194313915	-0.0112723822360687	0.826225156645569	-0.0112723822360687
SYNPO2	0.00908616041297777	0.0173587852251911	0.826225156645569	0.0173587852251911
PLCG2	0.00909779193950683	0.0231083615140011	0.826225156645569	0.0231083615140011
AL138824.1	0.00910216437774087	-0.0331030951926138	0.826225156645569	-0.0331030951926138
CNDP1	0.0091110535745143	-0.0332003965801948	0.826225156645569	-0.0332003965801948
MEMO1	0.00917389460893978	0.0134517107621551	0.826225156645569	0.0134517107621551
LINC01359	0.00918299634916492	-0.0249096737934926	0.826225156645569	-0.0249096737934926
CHD1L	0.00922661609641395	-0.0407514113532004	0.826225156645569	-0.0407514113532004
SEC14L5	0.0092419400439234	0.0111987448658626	0.826225156645569	0.0111987448658626
PTCD2	0.00926494306140287	0.0148663397102295	0.826225156645569	0.0148663397102295
SNX6	0.00932789439609144	-0.00678969600826516	0.826225156645569	-0.00678969600826516
CELF2-AS2	0.00934192509722333	-0.0367891694688468	0.826225156645569	-0.0367891694688468
C17orf97	0.00943624490478927	0.0190691998832142	0.830242874239516	0.0190691998832142
RPS20	0.00958206849943411	0.0163288257028919	0.835064577090625	0.0163288257028919
C1QTNF7	0.00958939947780883	-0.041318601861517	0.835064577090625	-0.041318601861517
B3GALNT2	0.00973757203321961	-0.00771102579869536	0.843566881696044	-0.00771102579869536
AL359764.2	0.00981757568858517	-0.0240771336385623	0.843566881696044	-0.0240771336385623
LINC01934	0.0098360663433141	0.0346659688923383	0.843566881696044	0.0346659688923383
LINC00621	0.0100772193620134	0.0198754590186841	0.844128606892101	0.0198754590186841
CYP3A5	0.0101027433351019	-0.0369390992121968	0.844128606892101	-0.0369390992121968
HMGN2	0.0101731052258558	0.0111040179037545	0.844128606892101	0.0111040179037545
DACT2	0.010289389070703	0.0266221629913781	0.844128606892101	0.0266221629913781
PFKM	0.0103697496263638	0.0123129889448199	0.844128606892101	0.0123129889448199
TMSB4X	0.0103747562436212	0.0188572441604245	0.844128606892101	0.0188572441604245
HYAL2	0.0104000657804281	0.0354945581164709	0.844128606892101	0.0354945581164709
CES5A	0.0104286485106521	-0.0381630036964823	0.844128606892101	-0.0381630036964823
DUS4L	0.0104665259937164	-0.0213209771940946	0.844128606892101	-0.0213209771940946
RPL13A	0.0105129974749067	0.0223135684880076	0.844128606892101	0.0223135684880076
LINC02241	0.0106177416616817	-0.0307624489850099	0.844128606892101	-0.0307624489850099
CYP1B1-AS1	0.0106780270551662	-0.0215966143777204	0.844128606892101	-0.0215966143777204
ANKS3	0.0107339644329994	-0.00780805702852944	0.844128606892101	-0.00780805702852944
SSPN	0.0110454621526399	-0.0168123941070237	0.844128606892101	-0.0168123941070237
AL139424.2	0.0110933271895673	-0.0237624234159306	0.844128606892101	-0.0237624234159306
MCRIP1	0.0111674835258533	0.0139363363515109	0.844128606892101	0.0139363363515109
ZSCAN20	0.0112990391457032	0.0264102388359284	0.844128606892101	0.0264102388359284
CLBA1	0.011367659649987	0.0253863669014289	0.844128606892101	0.0253863669014289
GAPDH	0.0114235921480279	0.0254499855484368	0.844128606892101	0.0254499855484368
CDKL3	0.011594474524961	-0.00767974187951694	0.844128606892101	-0.00767974187951694
TAP1	0.0116119169134551	-0.0271647604651066	0.844128606892101	-0.0271647604651066
CACNA1C	0.0116410275812299	-0.00599412306720511	0.844128606892101	-0.00599412306720511
CAPS2	0.0117342718007597	-0.0090010245916289	0.844128606892101	-0.0090010245916289
KCNJ11	0.0118116311495115	0.0186052894239878	0.844128606892101	0.0186052894239878
CRYGD	0.0118284643815882	0.0264798741397462	0.844128606892101	0.0264798741397462
GAK	0.0118951821415486	-0.00793229809379891	0.844128606892101	-0.00793229809379891
CALB2	0.0120099924585877	0.00979578117672909	0.844128606892101	0.00979578117672909
C17orf49	0.0120412475011332	0.0218883826130555	0.844128606892101	0.0218883826130555
GPR35	0.0121081423241038	0.0309859951120452	0.844128606892101	0.0309859951120452
TYSND1	0.0121378389015195	-0.0135999780226549	0.844128606892101	-0.0135999780226549
DNASE2	0.0121753005513988	-0.0363152244004539	0.844128606892101	-0.0363152244004539
RGMB	0.0122913283548615	0.0170519139371719	0.844128606892101	0.0170519139371719
AC068931.1	0.0123235908790131	0.0360978397945461	0.844128606892101	0.0360978397945461
MINDY1	0.012354108291234	0.029689001697763	0.844128606892101	0.029689001697763
AL049838.1	0.012362920067686	0.0201947740635256	0.844128606892101	0.0201947740635256
NDOR1	0.0123799663922954	0.0175331992082891	0.844128606892101	0.0175331992082891
SLITRK4	0.0123816618940572	0.00993790918845271	0.844128606892101	0.00993790918845271
UBAC2	0.0124014346252829	-0.00697957019629777	0.844128606892101	-0.00697957019629777
PEG10	0.0124327575788314	0.0133776762203422	0.844128606892101	0.0133776762203422
TAFA5	0.0124405105951574	-0.00592410125511564	0.844128606892101	-0.00592410125511564
CCZ1	0.0124507845496684	-0.0108543636064821	0.844128606892101	-0.0108543636064821
TMEM108	0.0124519050137274	-0.00458069509880781	0.844128606892101	-0.00458069509880781
ZNF610	0.0124890637134674	-0.0161133343636828	0.844128606892101	-0.0161133343636828
AIG1	0.0126258781259144	-0.00444051181185641	0.844128606892101	-0.00444051181185641
LINC01166	0.0126495259882408	0.041528607430673	0.844128606892101	0.041528607430673
SOX15	0.0126572285674135	0.0226468137189589	0.844128606892101	0.0226468137189589
TOP3B	0.0127119243682968	-0.0189930924886536	0.844128606892101	-0.0189930924886536
AC022915.2	0.012823126400794	-0.018845551395765	0.844128606892101	-0.018845551395765
CPLX2	0.0128238441470722	0.00900532663504701	0.844128606892101	0.00900532663504701
UBE2Z	0.0128362064658637	0.00843007505480983	0.844128606892101	0.00843007505480983
BMI1	0.0128707277589973	0.0128581852118682	0.844128606892101	0.0128581852118682
AP001767.3	0.0128762712656951	-0.0448310610175739	0.844128606892101	-0.0448310610175739
RPL13	0.013012375334957	0.0160743981413881	0.844128606892101	0.0160743981413881
FABP5	0.0131011916194816	0.0161426082794075	0.844128606892101	0.0161426082794075
AL022069.1	0.0131373163448465	-0.0333603521584966	0.844128606892101	-0.0333603521584966
AAMP	0.0131734317681407	-0.0157143568173258	0.844128606892101	-0.0157143568173258
RPLP2	0.0132424707743775	0.0197858578827221	0.844128606892101	0.0197858578827221
ANKRD20A4	0.0133106774475152	0.021531259688012	0.844128606892101	0.021531259688012
SGCB	0.0133515037504007	-0.0110810633901239	0.844128606892101	-0.0110810633901239
C1orf35	0.0133585067085384	-0.0116963232249899	0.844128606892101	-0.0116963232249899
AL157388.1	0.0133850681551562	-0.0118876646054827	0.844128606892101	-0.0118876646054827
STK24	0.013435505652555	0.00713263503371871	0.844128606892101	0.00713263503371871
ABHD18	0.0135110211601602	0.0062744523801254	0.844128606892101	0.0062744523801254
COL11A1	0.0135647690654317	0.00696650041505479	0.844128606892101	0.00696650041505479
MYO1C	0.013570874115846	0.018961757692622	0.844128606892101	0.018961757692622
GABPB1-AS1	0.0135935192672499	-0.0098496243469213	0.844128606892101	-0.0098496243469213
AL591463.1	0.0137076516839151	0.0458735588504688	0.844128606892101	0.0458735588504688
LINC01018	0.0137121301104422	-0.0320679705705716	0.844128606892101	-0.0320679705705716
AP000842.2	0.013729242197192	-0.039962576687976	0.844128606892101	-0.039962576687976
ZBTB3	0.0137461932732823	-0.037534738547244	0.844128606892101	-0.037534738547244
YDJC	0.0137862781397419	0.0225072918254377	0.844128606892101	0.0225072918254377
SLC29A4	0.013860932338821	0.010278520892081	0.844128606892101	0.010278520892081
ZFAT	0.0138613804444259	-0.0111751967950719	0.844128606892101	-0.0111751967950719
KCNMA1	0.0138916238447569	-0.00488762058015567	0.844128606892101	-0.00488762058015567
NRAV	0.0140791227524414	0.0177544725117949	0.844128606892101	0.0177544725117949
PCED1A	0.0142789267285358	0.0113889209543431	0.844128606892101	0.0113889209543431
INPP5B	0.0142838357255708	-0.00749220240101042	0.844128606892101	-0.00749220240101042
AL034348.1	0.0143260034173437	-0.0172475435741881	0.844128606892101	-0.0172475435741881
DDX39A	0.0143460021529571	-0.0171168916811172	0.844128606892101	-0.0171168916811172
SLC30A10	0.0143527407297355	0.0176157213106893	0.844128606892101	0.0176157213106893
SUN1	0.014380519464505	-0.0053863295276855	0.844128606892101	-0.0053863295276855
GPR137B	0.0144003364339735	-0.00789449399443365	0.844128606892101	-0.00789449399443365
CDH9	0.0144490146305423	0.00844883442692123	0.844128606892101	0.00844883442692123
CDK5RAP1	0.0144873389252868	-0.00851159593024294	0.844128606892101	-0.00851159593024294
CABLES1	0.0145240576171873	-0.00999038458375036	0.844128606892101	-0.00999038458375036
LHFPL1	0.014526267872637	-0.0312192426886231	0.844128606892101	-0.0312192426886231
MKRN2OS	0.0146182422176807	-0.0275747815229898	0.844128606892101	-0.0275747815229898
MRPS10	0.0146532159848186	-0.0134647250764078	0.844128606892101	-0.0134647250764078
MAMSTR	0.0146704113848561	-0.0227982746289831	0.844128606892101	-0.0227982746289831
EXOSC9	0.0147010017855424	-0.0159284186392481	0.844128606892101	-0.0159284186392481
PPAT	0.0147053076550494	-0.0101024880141343	0.844128606892101	-0.0101024880141343
FNIP1	0.0147371988805185	-0.00419446469388099	0.844128606892101	-0.00419446469388099
