gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	2.26290467682613e-17	0.0802774072532454	4.52580935365227e-13	0.0802774072532454
NLGN4Y	5.15253467211747e-08	0.0488394060170867	0.000515253467211747	0.0488394060170867
ZNF547	3.84840721894994e-05	0.0337888087892647	0.188247020776177	0.0337888087892647
PARG	4.49732811343145e-05	-0.0191029721264711	0.188247020776177	-0.0191029721264711
AC092068.2	4.70617551940442e-05	0.0793369010103726	0.188247020776177	0.0793369010103726
AL031768.2	7.24414538592873e-05	-0.125352152558968	0.241471512864291	-0.125352152558968
UQCRHL	9.17622423484307e-05	0.0924316140354816	0.262177835281231	0.0924316140354816
IGFBP2	0.000111306445458017	0.125953718585542	0.278266113645042	0.125953718585542
USP9Y	0.000134511042369677	0.0261780364163681	0.298913427488172	0.0261780364163681
LINC01515	0.000266083514651897	-0.199876432067198	0.402270019980113	-0.199876432067198
MYOCOS	0.000269917807185	0.0910516735531484	0.402270019980113	0.0910516735531484
KRIT1	0.00030166281159274	-0.0114795692052005	0.402270019980113	-0.0114795692052005
CELSR2	0.000301833022002188	-0.0188563430223516	0.402270019980113	-0.0188563430223516
PYROXD1	0.000315030111438473	-0.0267856022063434	0.402270019980113	-0.0267856022063434
AC130352.1	0.000325875749330143	0.115379846999957	0.402270019980113	0.115379846999957
PNN	0.000335819336072014	-0.0164568876066074	0.402270019980113	-0.0164568876066074
RNH1	0.00035541212475768	-0.0274146916033369	0.402270019980113	-0.0274146916033369
PCMTD1	0.000362043017982101	-0.0095920254470309	0.402270019980113	-0.0095920254470309
AC016687.2	0.000389726320906316	0.17346529916022	0.410238232532964	0.17346529916022
ERICH3-AS1	0.000422110841755334	-0.103186190359716	0.418648869887493	-0.103186190359716
VAMP7	0.000446009511576916	-0.028084905094492	0.418648869887493	-0.028084905094492
AL359706.1	0.000470365942689575	-0.0437854971985386	0.418648869887493	-0.0437854971985386
PPM1F	0.000487582258514415	0.022422071743856	0.418648869887493	0.022422071743856
UTY	0.000518120137170711	0.0283768298544844	0.418648869887493	0.0283768298544844
LINC00159	0.000624988737386614	0.0259379201038293	0.418648869887493	0.0259379201038293
MTRNR2L8	0.000633159685530385	0.0585713067514043	0.418648869887493	0.0585713067514043
NAP1L1	0.000636241039394682	-0.00845239699140135	0.418648869887493	-0.00845239699140135
GSTA4	0.000639718672398388	-0.0117448170344706	0.418648869887493	-0.0117448170344706
EMILIN2	0.000666752662378545	-0.0886587651592267	0.418648869887493	-0.0886587651592267
SYT7	0.000702334276033283	0.0169559780958179	0.418648869887493	0.0169559780958179
DPCD	0.000705102512697827	-0.0337018845495705	0.418648869887493	-0.0337018845495705
LINC00486	0.000706687439134354	0.0406025902542637	0.418648869887493	0.0406025902542637
PLSCR5	0.000714660412827916	0.045899184990693	0.418648869887493	0.045899184990693
EBAG9	0.000720545063376465	-0.0298364178332261	0.418648869887493	-0.0298364178332261
ZKSCAN7-AS1	0.000732635522303112	-0.0195770799865779	0.418648869887493	-0.0195770799865779
PACRG-AS2	0.000760769478332392	0.120304142847678	0.422649710184662	0.120304142847678
Z83745.1	0.000786039421854971	-0.0627574614610587	0.42488617397566	-0.0627574614610587
LINC02503	0.000811560713479115	0.10783223811141	0.427137217620587	0.10783223811141
PXMP2	0.000855932349167619	-0.0373086114622552	0.437254114170736	-0.0373086114622552
STOM	0.000874508228341471	-0.0323649365513468	0.437254114170736	-0.0323649365513468
AC060765.2	0.00101876453948906	0.0934008441623537	0.473341535503653	0.0934008441623537
RTL1	0.0010249291631196	-0.101863362709978	0.473341535503653	-0.101863362709978
CASTOR1	0.00105799745566045	0.0513207147299483	0.473341535503653	0.0513207147299483
LINC02406	0.00106427522056995	-0.0764787742883166	0.473341535503653	-0.0764787742883166
AL731577.2	0.00106501845488322	0.0178247975419909	0.473341535503653	0.0178247975419909
LANCL3	0.00111864558072291	0.0274758643621642	0.486367643792568	0.0274758643621642
AC103769.1	0.00117934322470399	0.0828139147809683	0.495381896532998	0.0828139147809683
POLR2M	0.0011889165516792	-0.030475316428253	0.495381896532998	-0.030475316428253
DENND10	0.00126560076518612	0.0178606618393497	0.503130025399773	0.0178606618393497
AC125793.1	0.00126660262952578	-0.105851481223988	0.503130025399773	-0.105851481223988
LINC01676	0.00130710210241822	0.0797549765663334	0.503130025399773	0.0797549765663334
XRRA1	0.00132019306212132	-0.0200517385512046	0.503130025399773	-0.0200517385512046
C15orf61	0.0013332945673094	-0.0338758710819657	0.503130025399773	-0.0338758710819657
TAB3	0.00145269343350789	0.0185186960257748	0.520661776779888	0.0185186960257748
RAD50	0.00147092748312727	-0.00927800874654764	0.520661776779888	-0.00927800874654764
YLPM1	0.0014912027120719	0.0076004085212747	0.520661776779888	0.0076004085212747
