gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	3.14818270040192e-13	0.0716224569596792	5.16144553730895e-09	0.0716224569596792
USP9Y	1.75225678070379e-11	0.0647560754530285	1.43641249598193e-07	0.0647560754530285
NLGN4Y	1.66412750995866e-10	0.0601971425398654	9.09445684192407e-07	0.0601971425398654
UTY	1.89624996127047e-07	0.0484768892049729	0.000777225452875736	0.0484768892049729
LINC00486	3.22938107661186e-06	0.0504698150749671	0.00943411634299104	0.0504698150749671
AC064829.1	3.45255858846882e-06	0.0701354109233386	0.00943411634299104	0.0701354109233386
AHR	1.97756307308403e-05	0.0345092219009228	0.0463173522617324	0.0345092219009228
CEMIP2	4.03586155898677e-05	0.0468398731867727	0.0827099378244851	0.0468398731867727
LINC01515	6.23054537657147e-05	-0.187823064329568	0.106485992887566	-0.187823064329568
MMP24	6.49502853843037e-05	-0.0174605080097036	0.106485992887566	-0.0174605080097036
PRMT6	8.49375612265281e-05	0.0617465446016971	0.126595574209903	0.0617465446016971
KIAA0586	0.000102252888181576	-0.014371477321664	0.139703008478078	-0.014371477321664
LGI2	0.000124262571037358	-0.03639323225073	0.156714219396729	-0.03639323225073
SALL1	0.000143496936619487	0.032811240502233	0.168045162562606	0.032811240502233
RPS27	0.0001800271444788	0.0409829651940405	0.196769668915329	0.0409829651940405
CABCOCO1	0.000193719477189245	-0.0399214320909316	0.198501926782355	-0.0399214320909316
LINC01320	0.000275312584310705	0.0563877587041237	0.265514695280824	0.0563877587041237
LINC01535	0.000313810625749156	-0.0395773589893604	0.285829178286523	-0.0395773589893604
TBC1D24	0.000343888099348699	-0.0197224787031835	0.296739230990628	-0.0197224787031835
OCLN	0.0003809180477684	0.0467177423949039	0.297855669282469	0.0467177423949039
CC2D2B	0.000399094389458443	-0.0630568678130981	0.297855669282469	-0.0630568678130981
INO80E	0.000399684338164947	0.03062863148619	0.297855669282469	0.03062863148619
CEP57	0.000505309790777629	-0.0131296830244067	0.360198000860836	-0.0131296830244067
ZNF28	0.000540665342808837	-0.051863209374574	0.369342012306287	-0.051863209374574
HLA-B	0.000669646318253015	0.0389760655742229	0.411694937330938	0.0389760655742229
AC058791.1	0.000671638032210265	-0.0501431162182824	0.411694937330938	-0.0501431162182824
SMURF1	0.00067799715205461	0.0117965927714248	0.411694937330938	0.0117965927714248
AL450345.2	0.000738323493492258	0.0595010087037159	0.431499073247452	0.0595010087037159
RALB	0.000763249351886313	-0.0456891810829583	0.431499073247452	-0.0456891810829583
LINC01588	0.000836057749360992	0.027358801405456	0.456905560025782	0.027358801405456
DUSP5	0.000943465643800131	0.0650523042484844	0.484722139011298	0.0650523042484844
ZBTB40	0.000950713597432533	0.0242676545315099	0.484722139011298	0.0242676545315099
C1QBP	0.000975652978796758	0.0270128800907736	0.484722139011298	0.0270128800907736
AC092691.3	0.00106295173207688	-0.0650406553609253	0.494541554890813	-0.0650406553609253
ASXL1	0.00106686574240516	-0.0109774491568301	0.494541554890813	-0.0109774491568301
AGAP1	0.00108591009308138	-0.00890489977546027	0.494541554890813	-0.00890489977546027
AC069437.1	0.00112218118097213	-0.0406271037717406	0.497247580055082	-0.0406271037717406
AC005237.1	0.00115705766600754	-0.0823299276827759	0.499209485110358	-0.0823299276827759
SLC35F3	0.00120099660699159	-0.0155070355642408	0.504880496708387	-0.0155070355642408
NCOA2	0.00128098911624389	0.00721549740339588	0.518541388567531	0.00721549740339588
SCART1	0.00129674882166934	-0.0413027044776004	0.518541388567531	-0.0413027044776004
AL442128.2	0.00137534106786722	0.0654837575945887	0.53687420970674	0.0654837575945887
AL080250.1	0.00145352828530463	-0.0488146908056546	0.5401348803596	-0.0488146908056546
AP003464.1	0.0014601256636713	-0.0749479596417201	0.5401348803596	-0.0749479596417201
OR2L2	0.00158681172692981	0.0462394011621645	0.5401348803596	0.0462394011621645
ACAT1	0.00161365156778173	-0.0147058204597898	0.5401348803596	-0.0147058204597898
TNR	0.00163408717199909	-0.00911306742309198	0.5401348803596	-0.00911306742309198
AZIN2	0.00173442730537614	0.0246732452293248	0.5401348803596	0.0246732452293248
SLC14A2	0.0017875429629395	-0.0768854537439052	0.5401348803596	-0.0768854537439052
HEYL	0.00179782634171858	-0.0895974083397921	0.5401348803596	-0.0895974083397921
AC025442.2	0.0018367572338866	0.0316530092168189	0.5401348803596	0.0316530092168189
CAMK2G	0.00184297050770801	-0.010039299113072	0.5401348803596	-0.010039299113072
AL109824.1	0.00194695592427297	-0.0534327614463692	0.5401348803596	-0.0534327614463692
ACBD4	0.00195915244138656	-0.0297846671579772	0.5401348803596	-0.0297846671579772
AC069228.1	0.00199265119152309	-0.0468356314095588	0.5401348803596	-0.0468356314095588
AL353796.1	0.00207844295785137	0.0367043608075112	0.5401348803596	0.0367043608075112
ZNF362	0.00209497349421374	-0.0155787688423637	0.5401348803596	-0.0155787688423637
PSTPIP2	0.00215633020287657	-0.103730879623278	0.5401348803596	-0.103730879623278
IPO8	0.00218874707861873	0.0165674743127383	0.5401348803596	0.0165674743127383
SECISBP2L	0.00221146292266918	-0.00963699909167463	0.5401348803596	-0.00963699909167463
INTS14	0.00222234442878097	-0.0250559899151419	0.5401348803596	-0.0250559899151419
RBM11	0.00222266864047159	-0.02912666509152	0.5401348803596	-0.02912666509152
