gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	1.03837162533974e-23	0.106352812685262	1.87509148103851e-19	0.106352812685262
TTTY14	2.84212879904563e-20	0.0877918391545952	2.5661580926583e-16	0.0877918391545952
NLGN4Y	1.13421818831678e-17	0.0885225221470658	6.82723734820816e-14	0.0885225221470658
UTY	4.84676759827956e-11	0.0586530758296287	2.18807323224331e-07	0.0586530758296287
PCDH11Y	1.23241019025806e-05	0.0324946994125306	0.0445097264313602	0.0324946994125306
MPP7	1.89108021110682e-05	-0.0173074969950965	0.0569152107536115	-0.0173074969950965
LINC01515	2.73618649588727e-05	-0.107627197062535	0.0694591044968902	-0.107627197062535
TTTY10	3.0771560304304e-05	0.0326145649182411	0.0694591044968902	0.0326145649182411
AC244502.1	4.51919931390164e-05	-0.0908511189773015	0.090675223567151	-0.0908511189773015
SPAG17	0.000140813704012882	0.0431331964950474	0.244492328639485	0.0431331964950474
CLCN3	0.00016199617953162	-0.00836287317785876	0.244492328639485	-0.00836287317785876
AL445123.2	0.000162471366910722	0.0401078809838752	0.244492328639485	0.0401078809838752
AC069277.1	0.000179874009211232	-0.110860322312794	0.249858835256648	-0.110860322312794
ZCCHC7	0.000204372154220899	0.00687054411807057	0.263610882922928	0.00687054411807057
CCNQ	0.000227568775459139	-0.0222918451005768	0.273962463149409	-0.0222918451005768
RARRES1	0.000294271264998647	-0.0383482943896817	0.312195077777405	-0.0383482943896817
ZBTB38	0.000308776946662361	-0.00731685059809785	0.312195077777405	-0.00731685059809785
OR2L13	0.000315644758396157	0.0447386441309294	0.312195077777405	0.0447386441309294
FNDC3A	0.000328480810597557	-0.00775451690882236	0.312195077777405	-0.00775451690882236
SMG9	0.000380538579892723	0.0135817275768873	0.334923024606816	0.0135817275768873
PLA2G7	0.000411315752736574	-0.0416880064065908	0.334923024606816	-0.0416880064065908
BEND6	0.000431128485435695	-0.00851236100475102	0.334923024606816	-0.00851236100475102
RPL27A	0.000434668297569467	0.0319737374984966	0.334923024606816	0.0319737374984966
RPL7	0.000455698464206028	0.0370749376146408	0.334923024606816	0.0370749376146408
AL133334.1	0.000479017310946253	-0.0563780749424189	0.334923024606816	-0.0563780749424189
RPL26	0.000500275541179809	0.032431496711048	0.334923024606816	0.032431496711048
