gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	5.53719691060573e-21	0.0812000941316943	9.71778057811305e-17	0.0812000941316943
NLGN4Y	9.45687525202669e-20	0.0916665382113042	8.29840803365342e-16	0.0916665382113042
USP9Y	2.57496216356027e-16	0.0802103561846764	1.50635286568276e-12	0.0802103561846764
UTY	3.09293508999867e-09	0.0501687757177933	1.35702527073692e-05	0.0501687757177933
LINC01515	6.26581846596607e-07	-0.162769177354341	0.00219930228155409	-0.162769177354341
TBC1D15	0.000101057022163018	0.013583351724069	0.234800499989091	0.013583351724069
SLC38A3	0.000102863419616463	0.0620073756299883	0.234800499989091	0.0620073756299883
ATF7IP	0.000107031566946594	-0.0127078811964738	0.234800499989091	-0.0127078811964738
AC007743.1	0.000121199807383603	0.103660422959264	0.236339624398026	0.103660422959264
RMND1	0.000221017581516951	-0.0210571110646321	0.387885855562249	-0.0210571110646321
WBP1L	0.00027078445361219	0.0149008393037862	0.432024287353994	0.0149008393037862
CALML4	0.000327643355217936	0.034132326369269	0.479178407006231	0.034132326369269
STK40	0.000379578130231183	-0.0198449860556938	0.498052435129508	-0.0198449860556938
LINC01750	0.000397306785858297	0.0433390957840148	0.498052435129508	0.0433390957840148
XRCC5	0.0004787201176981	-0.0113729903406002	0.560102537706776	-0.0113729903406002
UBOX5	0.000533942787399393	0.0250913322558104	0.58566849492871	0.0250913322558104
BABAM2	0.000630488321967969	-0.00916838541850359	0.596332840221815	-0.00916838541850359
ATP6V1C1	0.000682121294228277	0.012756672547419	0.596332840221815	0.012756672547419
CSPP1	0.000684766875699645	0.00875523571739999	0.596332840221815	0.00875523571739999
SLCO2B1	0.00070530205142082	0.0768689939740852	0.596332840221815	0.0768689939740852
LINC02664	0.000713560663513283	-0.0512400902960517	0.596332840221815	-0.0512400902960517
IPO9	0.000822290231445588	-0.0103692855787142	0.650474770214704	-0.0103692855787142
ZNF808	0.000852474057831236	0.0254324779512772	0.650474770214704	0.0254324779512772
AC004069.1	0.00100568804666104	-0.111013098082009	0.701742945758362	-0.111013098082009
COQ10B	0.00101603514482188	-0.0251807036752844	0.701742945758362	-0.0251807036752844
AL035681.1	0.00109900421457882	0.0558081471783795	0.701742945758362	0.0558081471783795
HEY1	0.00110458459476159	-0.0957600398742341	0.701742945758362	-0.0957600398742341
PSMG1	0.00114004450140046	-0.0316644705983841	0.701742945758362	-0.0316644705983841
MYBPHL	0.00115957523800527	-0.0699920587416275	0.701742945758362	-0.0699920587416275
AL078590.2	0.0013446373324283	0.0451011307679803	0.778044130085836	0.0451011307679803
AP005131.6	0.00140415638658059	0.0595438785579279	0.778044130085836	0.0595438785579279
MCTP2	0.00141865596368927	-0.0474726132220934	0.778044130085836	-0.0474726132220934
TOR1AIP1	0.00156772243356822	0.0190553837314601	0.781720406888984	0.0190553837314601
