gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	1.79945947610528e-20	0.0841852958354485	3.11558413692869e-16	0.0841852958354485
NLGN4Y	1.55871554971149e-15	0.0716201857674965	1.34938005138524e-11	0.0716201857674965
UTY	3.51892016093092e-15	0.0748735030134903	2.03088612221193e-11	0.0748735030134903
USP9Y	1.0642098286294e-14	0.0710150906965253	4.60643224322235e-11	0.0710150906965253
LINC01515	3.65075193936377e-07	-0.148504295720073	0.00126418238156289	-0.148504295720073
AP000842.2	6.70646197786948e-05	-0.109528546026007	0.193526137808054	-0.109528546026007
AC069277.1	8.19427375102874e-05	-0.126127598950857	0.202679508179017	-0.126127598950857
DGCR2	9.44532501751547e-05	0.0130707062724753	0.204420446691579	0.0130707062724753
LYN	0.000110489787049069	0.0795576657300219	0.212557796996398	0.0795576657300219
SRPRA	0.000147876153826957	-0.0315746994478456	0.255921546212477	-0.0315746994478456
PTPRT	0.00016259310432813	-0.0240935994626097	0.255921546212477	-0.0240935994626097
MED6	0.000191200586958953	-0.0197372882633529	0.27285487201147	-0.0197372882633529
ZFP69	0.00020486966247829	-0.0785891993641945	0.27285487201147	-0.0785891993641945
HIF1A-AS1	0.000257642808556666	0.0749429845838235	0.318630541953579	0.0749429845838235
THUMPD1	0.000281699224635493	0.0165001063663278	0.325156025022595	0.0165001063663278
SFRP4	0.000327882751033682	-0.0611963760756182	0.354810121962323	-0.0611963760756182
MEIG1	0.000450201660009783	0.0649302886395864	0.458517149494669	0.0649302886395864
ANP32B	0.000580859459397465	0.0205129801189212	0.506734497682414	0.0205129801189212
PRKY	0.000635863633464403	0.0479177363522233	0.506734497682414	0.0479177363522233
GPR85	0.000635995498509406	0.0233771517798319	0.506734497682414	0.0233771517798319
ADPRHL1	0.00064364508065798	0.0321299722955016	0.506734497682414	0.0321299722955016
MAMDC2	0.000643881191464312	0.0348907545682746	0.506734497682414	0.0348907545682746
TP53TG5	0.00075977775957157	-0.0458226102331539	0.515097541075827	-0.0458226102331539
CYP4Z1	0.0007639626553085	0.0345647482625336	0.515097541075827	0.0345647482625336
RBCK1	0.000810434002044443	-0.0192816269069405	0.515097541075827	-0.0192816269069405
NOL12	0.000811617284296381	-0.0257255543461986	0.515097541075827	-0.0257255543461986
ADGRG7	0.000876814819992844	0.0920383226462168	0.515097541075827	0.0920383226462168
SNRPD2	0.000878015796786029	0.0314810886660411	0.515097541075827	0.0314810886660411
RAB1B	0.000882138529894175	-0.0241160619978599	0.515097541075827	-0.0241160619978599
MCL1	0.000892510467383321	0.0262492025096123	0.515097541075827	0.0262492025096123
ASMTL-AS1	0.00092900343600784	0.0372025833061352	0.518863402936766	0.0372025833061352
