gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	7.08577265931818e-21	0.107685076366086	9.48855816809297e-17	0.107685076366086
NLGN4Y	2.6037570355498e-18	0.100183169626175	1.74334552315237e-14	0.100183169626175
LINC00278	3.19716220181319e-16	0.100903165173632	1.42710663481601e-12	0.100903165173632
USP9Y	9.1323739406095e-14	0.0803015644710207	3.05729048596754e-10	0.0803015644710207
LINC00486	2.45385656875965e-05	0.0609612113755245	0.0645144505010995	0.0609612113755245
AC138627.1	3.21798534125513e-05	0.0442286762169886	0.0645144505010995	0.0442286762169886
NR4A3	3.37242292216934e-05	-0.0927415367118329	0.0645144505010995	-0.0927415367118329
NFKBID	6.25649175717479e-05	-0.0285758023659006	0.104725851400409	-0.0285758023659006
BTG2	9.43151315338086e-05	-0.0214952956722547	0.140330436263248	-0.0214952956722547
PRXL2C	0.000110147242476153	-0.0217866894904607	0.147498172399817	-0.0217866894904607
ZNF558	0.000159523011353882	0.0179905074385618	0.180196456054753	0.0179905074385618
DPY19L3	0.000161478416298785	0.0108375150977308	0.180196456054753	0.0108375150977308
RPS6KA2	0.000183727540356592	-0.0137133759181214	0.189253499455009	-0.0137133759181214
MED4	0.000218065990119445	0.00907400648003279	0.208580119549249	0.00907400648003279
NPIPB13	0.000257341249958083	0.0303632717094174	0.229737111879246	0.0303632717094174
AC113143.3	0.00035277338403522	0.022824308448065	0.295249274100977	0.022824308448065
IL7	0.000420439242112277	-0.050385191584526	0.306059578546163	-0.050385191584526
AC022182.1	0.000430050609973842	0.019903572535444	0.306059578546163	0.019903572535444
MELK	0.000442034806884204	-0.0815289744532831	0.306059578546163	-0.0815289744532831
C3orf33	0.000457112356875757	0.0271811168885821	0.306059578546163	0.0271811168885821
NPFFR1	0.000582752218238438	-0.0669295246273696	0.371601664496711	-0.0669295246273696
RUNX1T1	0.000673710806737754	0.0483739482216413	0.410075518773876	0.0483739482216413
TTTY10	0.00079509626386508	0.0469852409707524	0.447818028327075	0.0469852409707524
RPS28	0.000802601200795295	0.0290394650243354	0.447818028327075	0.0290394650243354
WWTR1	0.00093790957617347	0.0248987978805912	0.46204592250551	0.0248987978805912
GSTK1	0.00100653853525601	-0.014583148260252	0.46204592250551	-0.014583148260252
KIF4A	0.00108825893434053	-0.0745507843257473	0.46204592250551	-0.0745507843257473
AC096667.1	0.00111649341163825	-0.0496543754331224	0.46204592250551	-0.0496543754331224
KIF18B	0.00112437474576613	-0.0883705907386048	0.46204592250551	-0.0883705907386048
MSH2	0.00116703866901535	0.0198844914530034	0.46204592250551	0.0198844914530034
KCNIP1	0.00116857810469271	-0.0197667514318302	0.46204592250551	-0.0197667514318302
NEMP2	0.00117949832778597	-0.0222195150750539	0.46204592250551	-0.0222195150750539
DOCK4-AS1	0.00127111735243731	-0.0423482941292974	0.46204592250551	-0.0423482941292974
TNNI2	0.00129354843982445	-0.0347466991184852	0.46204592250551	-0.0347466991184852
LINC01515	0.00130139824031956	-0.0801401541321485	0.46204592250551	-0.0801401541321485
PADI2	0.00134123088073626	-0.0217687439375092	0.46204592250551	-0.0217687439375092
NR4A2	0.00136274050509468	-0.0407180319716512	0.46204592250551	-0.0407180319716512
CLCN7	0.00139257464706791	-0.0109058680286843	0.46204592250551	-0.0109058680286843
TRMT10C	0.00140281120463514	0.0278406403610926	0.46204592250551	0.0278406403610926
CABYR	0.00140647303647196	0.0238990477756818	0.46204592250551	0.0238990477756818
FAM49B	0.00143775539462177	-0.00453324071091876	0.46204592250551	-0.00453324071091876
IER2	0.00145040647065425	-0.0218333999698183	0.46204592250551	-0.0218333999698183
ANKDD1A	0.0014947316450834	-0.0215950239761991	0.46204592250551	-0.0215950239761991
EGR1	0.00151818539244585	-0.0654534576131747	0.46204592250551	-0.0654534576131747
CERNA2	0.0015968459181254	-0.0391551416666598	0.467277178822221	-0.0391551416666598
ZFP36	0.00160587190033373	-0.0271238981020759	0.467277178822221	-0.0271238981020759
MCOLN2	0.00164005880103386	-0.0438477155225471	0.467277178822221	-0.0438477155225471
HNRNPA3	0.00173852512426061	-0.00615375421759001	0.481819952180764	-0.00615375421759001
JUNB	0.00176306307645862	-0.0229800633564813	0.481819952180764	-0.0229800633564813
LINC00649	0.001877507527273	0.0360303052065723	0.502834065954256	0.0360303052065723
SRGN	0.00194560916794141	-0.0248652029942687	0.51085592878242	-0.0248652029942687
FMNL1	0.0020532644529642	-0.00855326106660814	0.517355888487304	-0.00855326106660814
Z98884.1	0.00209338218929928	0.034796711261293	0.517355888487304	0.034796711261293
STAM-AS1	0.0021094040203875	-0.0342040243274082	0.517355888487304	-0.0342040243274082
HACD1	0.00212490283524768	0.0345961152032581	0.517355888487304	0.0345961152032581
COX4I1	0.00228753508077886	0.0470947451829249	0.53289041191668	0.0470947451829249
PTCD2	0.00232114985992989	0.014274429092617	0.53289041191668	0.014274429092617
ZNF185	0.002334224280554	0.0205786771683551	0.53289041191668	0.0205786771683551
ADNP	0.00234788546808186	0.00439350495916925	0.53289041191668	0.00439350495916925
STK24	0.00241963325507004	-0.00701840505294091	0.540021815310715	-0.00701840505294091
NBPF20	0.00247684143168689	0.0258727416824476	0.543727600192117	0.0258727416824476
EMP3	0.00259725327613074	-0.0229565527378369	0.543898314890906	-0.0229565527378369
AC136604.2	0.00261941209281204	0.0364041170981963	0.543898314890906	0.0364041170981963
LBH	0.00262062524574862	0.0284394375194706	0.543898314890906	0.0284394375194706
AC092910.3	0.00275161968305259	0.0201839442640772	0.543898314890906	0.0201839442640772
IFITM10	0.00276604138187015	-0.0328149603820438	0.543898314890906	-0.0328149603820438
AL136441.1	0.00279245605340951	0.0246904994826233	0.543898314890906	0.0246904994826233
ING1	0.00283882001426849	-0.0251054346474015	0.543898314890906	-0.0251054346474015
AP002433.2	0.00293586077216294	0.0245402050222326	0.543898314890906	0.0245402050222326
WDR92	0.00298994301612075	0.0120799589272833	0.543898314890906	0.0120799589272833
ZNF454	0.00302374349644104	0.0282457377357425	0.543898314890906	0.0282457377357425
RGS16	0.00317532256231655	-0.0317912161453644	0.543898314890906	-0.0317912161453644
GALK1	0.00319716528284474	-0.023090294716792	0.543898314890906	-0.023090294716792
GLA	0.00321915782835723	-0.023041649999682	0.543898314890906	-0.023041649999682
ATF3	0.00323449466303194	-0.0318495491915242	0.543898314890906	-0.0318495491915242
NTMT1	0.00323644765558156	-0.015148407088007	0.543898314890906	-0.015148407088007
LMF1	0.00331841391386752	0.00890207056345581	0.543898314890906	0.00890207056345581
CXCR4	0.00332322609709288	-0.0396411290404795	0.543898314890906	-0.0396411290404795
ARMCX6	0.00337327707939595	-0.0172075041229651	0.543898314890906	-0.0172075041229651
NXPE3	0.0033825282577954	0.0136850311427234	0.543898314890906	0.0136850311427234
AC016727.1	0.00339409203350895	0.0224158386376006	0.543898314890906	0.0224158386376006
PLCE1	0.0034147164845595	-0.0320854928666014	0.543898314890906	-0.0320854928666014
RMRP	0.00341489431922966	0.0372088903825651	0.543898314890906	0.0372088903825651
DNHD1	0.00346337802218958	-0.0105891246062221	0.543898314890906	-0.0105891246062221
GABPB2	0.00347429972591832	0.0120590869872728	0.543898314890906	0.0120590869872728
MAF	0.00349303674711507	0.0135807057475842	0.543898314890906	0.0135807057475842
MKNK1	0.00356384152394255	0.00915366674923183	0.545703848090163	0.00915366674923183
AC079298.3	0.00359290593486719	-0.0455573363884641	0.545703848090163	-0.0455573363884641
C2orf74	0.00362688690015865	0.0205571899869483	0.545703848090163	0.0205571899869483
NMT1	0.00367160742120598	0.0090764024442855	0.546294388637437	0.0090764024442855
CEP89	0.00378716838388458	0.00931892218248823	0.553707530455752	0.00931892218248823
CSNK1G2	0.00384307877602357	-0.00995749630040242	0.553707530455752	-0.00995749630040242
NSD1	0.00384547833114666	0.00480496147605609	0.553707530455752	0.00480496147605609
IL1B	0.00396682757205295	-0.037358625384602	0.559947702235742	-0.037358625384602
CLUAP1	0.00397478716699627	0.0229420820910829	0.559947702235742	0.0229420820910829
ZNF782	0.00401426177392511	0.00739533770483622	0.559947702235742	0.00739533770483622
CLEC4E	0.00425501781891112	-0.044940528131843	0.576197412175505	-0.044940528131843
ZNF320	0.0043679159133936	0.0180401157774223	0.576197412175505	0.0180401157774223
AC130895.1	0.0043685009590933	0.0211092506886408	0.576197412175505	0.0211092506886408
SSX2IP	0.0044099232849251	0.0546825845158997	0.576197412175505	0.0546825845158997
PTGER4	0.00442125929410218	-0.030451647453391	0.576197412175505	-0.030451647453391
PTGES2	0.00442829117563354	-0.0206289950783306	0.576197412175505	-0.0206289950783306
ZNF425	0.00443195679591345	0.0197126040933853	0.576197412175505	0.0197126040933853
MKNK1-AS1	0.00467590674669011	0.0359619968098561	0.601337992729839	0.0359619968098561
AC145285.6	0.00474788082858562	-0.0303236384632327	0.601337992729839	-0.0303236384632327
SNU13	0.00479399724821487	0.023981599134198	0.601337992729839	0.023981599134198
A2ML1-AS1	0.00480495595714231	-0.0323240648207194	0.601337992729839	-0.0323240648207194
INTS1	0.00488958328974555	0.0125288594991	0.603949281640271	0.0125288594991
ETV6	0.00491602357544541	-0.00925439214652421	0.603949281640271	-0.00925439214652421
BACE1-AS	0.00514607805973601	0.0219143757860917	0.619362162147346	0.0219143757860917
UQCR10	0.00515858340227434	0.044804323003509	0.619362162147346	0.044804323003509
ASTE1	0.00518161664405322	0.0178029794917347	0.619362162147346	0.0178029794917347
ZNF254	0.00522648975600404	-0.00673940949063435	0.619362162147346	-0.00673940949063435
AC133065.1	0.0053864354762318	-0.0281885032909845	0.620352893136092	-0.0281885032909845
AC009228.1	0.00541365069935964	-0.0350379975448316	0.620352893136092	-0.0350379975448316
