gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
DACH1	9.29360352370296e-06	0.105470020603437	0.160463358440255	0.105470020603437
TTBK2	3.14898886981518e-05	0.0170137512823482	0.192664587296059	0.0170137512823482
DCAF6	3.34758346975661e-05	-0.0226655535980542	0.192664587296059	-0.0226655535980542
INO80B	9.0463569204895e-05	0.0861029018946334	0.390485996472929	0.0861029018946334
INSR	0.00011840190029654	0.0202463687552597	0.408865442104013	0.0202463687552597
LINC01515	0.000182392684399802	-0.19123794786809	0.524865348141163	-0.19123794786809
YJU2	0.000242859993782509	0.0576917973151293	0.534300237625883	0.0576917973151293
DLGAP2	0.000247561792019406	-0.0961960592143492	0.534300237625883	-0.0961960592143492
TCEAL3	0.000290102812124636	0.0524243766179587	0.556546128238217	0.0524243766179587
LINC01102	0.000350946770034279	-0.0301043490031221	0.605944693141186	-0.0301043490031221
NOS1AP	0.000463684439087749	-0.0193881867005442	0.642609055334942	-0.0193881867005442
AL583785.1	0.000465260385281312	-0.324981453792432	0.642609055334942	-0.324981453792432
MSANTD4	0.000515465185529795	-0.027924219486398	0.642609055334942	-0.027924219486398
LINC02316	0.000521054487124359	0.0655648360361236	0.642609055334942	0.0655648360361236
AC073534.2	0.000610141426165669	0.144493637930485	0.668545727907104	0.144493637930485
PRRT1	0.000622386072491091	0.0521717461710729	0.668545727907104	0.0521717461710729
CLDN4	0.000778637210063361	-0.157389893944725	0.668545727907104	-0.157389893944725
PHACTR2	0.000779664220688003	0.0663502522281002	0.668545727907104	0.0663502522281002
EIF4G2	0.000785942260887517	0.0263016795640021	0.668545727907104	0.0263016795640021
TPCN2	0.000830869275196869	0.0200519028629439	0.668545727907104	0.0200519028629439
GRM7-AS1	0.000853226386206545	0.0580502317581691	0.668545727907104	0.0580502317581691
AL365214.2	0.000881862725929955	-0.0926164861827754	0.668545727907104	-0.0926164861827754
PFKL	0.000924199244326606	-0.03486356790625	0.668545727907104	-0.03486356790625
AC060780.1	0.00103787529140095	0.0304223308626695	0.668545727907104	0.0304223308626695
PCDHA9	0.00105373029365175	0.0539202802982682	0.668545727907104	0.0539202802982682
AC004812.2	0.00105523515182361	-0.112491864444407	0.668545727907104	-0.112491864444407
PCSK1N	0.00105756593109713	0.0326201047648272	0.668545727907104	0.0326201047648272
AC096996.3	0.00108417006726508	0.162275708791822	0.668545727907104	0.162275708791822
BTG2	0.00114054679746959	0.0346152917120069	0.679057965693445	0.0346152917120069
RPL39	0.00120945291129649	0.05401957061468	0.685164890737695	0.05401957061468
MAST4	0.00130868723651486	-0.0139932844723588	0.685164890737695	-0.0139932844723588
AC036103.1	0.0013238145347731	-0.223919011626837	0.685164890737695	-0.223919011626837
AL162171.2	0.00142033561344717	0.0949909116698144	0.685164890737695	0.0949909116698144
NPIPB12	0.00146957985826842	0.107493726143746	0.685164890737695	0.107493726143746
KIF5B	0.00147233052796855	0.0191691936919313	0.685164890737695	0.0191691936919313
PIBF1	0.00147333952755532	0.0127445054716057	0.685164890737695	0.0127445054716057
RPGRIP1L	0.0014917084759587	-0.0477469099680679	0.685164890737695	-0.0477469099680679
ITFG1	0.00152915548840674	-0.0117989038929564	0.685164890737695	-0.0117989038929564
AC092376.1	0.00154763296297753	0.0950461107315493	0.685164890737695	0.0950461107315493
UNKL	0.00167700330164877	0.0313015001427406	0.723878475156691	0.0313015001427406
AC007878.1	0.00186641548240027	-0.0779136287210852	0.724151802210561	-0.0779136287210852
PRDM5	0.00198414145621233	-0.0288947047576404	0.724151802210561	-0.0288947047576404
DAPK3	0.00198457502850078	0.0409420697512334	0.724151802210561	0.0409420697512334
TLL2	0.00201749218812513	0.0918932395278418	0.724151802210561	0.0918932395278418
ANKRD18A	0.00204125664610099	0.0418115011382793	0.724151802210561	0.0418115011382793
ITGB4	0.00205293082018927	0.0397718984309094	0.724151802210561	0.0397718984309094
HULC	0.0021208754030983	-0.0272660863522543	0.724151802210561	-0.0272660863522543
TPRKB	0.00213897437657608	0.0508482920071823	0.724151802210561	0.0508482920071823
ASB6	0.00216550607670086	-0.0586156837090495	0.724151802210561	-0.0586156837090495
ADCY6	0.00227786928416182	0.028501684495613	0.724151802210561	0.028501684495613
AL807742.1	0.00228317215718166	-0.0778968933219268	0.724151802210561	-0.0778968933219268
