gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	3.07484308750827e-41	0.171733407833266	5.23768771526159e-37	0.171733407833266
UTY	2.35506070449316e-31	0.134003589342113	2.00580520201683e-27	0.134003589342113
USP9Y	1.8876952170052e-30	0.1252346423959	1.07183334421555e-26	0.1252346423959
TTTY14	2.44046471914465e-24	0.117178587526435	1.03927190064775e-20	0.117178587526435
KDM5D	1.58196174552678e-18	0.0911162170047885	5.38942727466064e-15	0.0911162170047885
PCDH11Y	7.9445763545526e-12	0.0465797981166288	2.25546522705748e-08	0.0465797981166288
ZFY	8.22774039128521e-10	0.0547703497374206	2.00216185464503e-06	0.0547703497374206
TTTY10	2.42468504928432e-06	0.0289777998700903	0.00516276064118863	0.0289777998700903
RPS4Y1	3.02810352673633e-06	0.0363933202900335	0.00573119060826962	0.0363933202900335
OR2L2	6.05891557111397e-06	0.039860367994764	0.0103207567838355	0.039860367994764
AC008825.1	1.87853286215801e-05	0.124357093174464	0.0290899352490905	0.124357093174464
DDX3Y	0.000150138422991327	0.0319364231167013	0.213121491436188	0.0319364231167013
LINC00486	0.000279342509631126	0.0476603177660854	0.366024639158201	0.0476603177660854
SINHCAF	0.000328991091471335	-0.0369904792091485	0.400288160865909	-0.0369904792091485
OR2L5	0.000405698709410637	0.0315673359540316	0.408707112176242	0.0315673359540316
SEMA4F	0.000406904376854099	0.0177009219516569	0.408707112176242	0.0177009219516569
ATP5F1B	0.000429987710306858	0.0347317382550767	0.408707112176242	0.0347317382550767
H19	0.000439402775455062	0.0588546472959476	0.408707112176242	0.0588546472959476
MAGEE1	0.000455878544754527	0.0505168625806125	0.408707112176242	0.0505168625806125
AC010491.1	0.000536229429908489	0.0252706412519092	0.45670660545306	0.0252706412519092
CCDC8	0.000692265306131789	0.0303802141013093	0.544270753401259	0.0303802141013093
EXTL3-AS1	0.000736842617874777	-0.0249469812994435	0.544270753401259	-0.0249469812994435
EIF1AD	0.000851633619134433	0.0167780580992074	0.544270753401259	0.0167780580992074
LCORL	0.00093126848674881	-0.00496762474599756	0.544270753401259	-0.00496762474599756
SYAP1	0.000975020052889534	0.00900418163814436	0.544270753401259	0.00900418163814436
LINC01515	0.000980335876548879	-0.14039015079131	0.544270753401259	-0.14039015079131
NRGN	0.000991125743282676	-0.0897136809486708	0.544270753401259	-0.0897136809486708
MXD3	0.00102886626107425	-0.0254133764949615	0.544270753401259	-0.0254133764949615
MCM9	0.00103163354136425	-0.00873178003569915	0.544270753401259	-0.00873178003569915
TMEM86A	0.0010460100803731	0.026055342016263	0.544270753401259	0.026055342016263
NOSTRIN	0.00106341307590719	-0.0280149815422482	0.544270753401259	-0.0280149815422482
TM7SF3	0.00108321064828713	-0.00611288983561968	0.544270753401259	-0.00611288983561968
ANKRD6	0.00108598631612199	0.00743802879707903	0.544270753401259	0.00743802879707903
SVBP	0.00108636876926399	0.0223989514396956	0.544270753401259	0.0223989514396956
FYN	0.00116567325621633	-0.00473768948430891	0.567316521325398	-0.00473768948430891
AC137579.1	0.00123661631948361	-0.0431970830420546	0.585125621835661	-0.0431970830420546
UQCRB	0.00128241556551102	0.03617701404311	0.588425286935512	0.03617701404311
ZKSCAN5	0.00131267822610951	0.0104269882709962	0.588425286935512	0.0104269882709962
PPFIA3	0.00140870554554273	0.00880537663497079	0.610788096817353	0.00880537663497079
RND1	0.00143427990329307	0.0185956551882676	0.610788096817353	0.0185956551882676
LINC02145	0.00164380987045046	0.0169905753390607	0.669282063364981	0.0169905753390607
OR2L13	0.00165021995193902	0.0385150922566284	0.669282063364981	0.0385150922566284
