logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-13.6625315675181	0.202436320516115	-0.59850309586972	-0.0581399073632577	1.89646850997928	1.48440916467472	-8.29817145993583e-06	4.40130038027493e-05	0.317486458288614	0.0454912723524478	0.426297265679523	0.0650604278231899	0.790443612301748	0.701712111808189	9.30571210458814e-05	0.000471276646686765	0	8.58688958885146e-06	0.160331608652775	0.371520241274872	0.0164288827419068	0.0343949762172425	0.928944518361211	0.925592929286199	8410	TMPRSS11A	0.0828839848470641	0.202436320516115	0.0625541052451283	1.67943991296952	1	NBGMM (HL)
-11.159528677393	-0.204781589566786	0.815289478153368	-0.0345386429500966	-1.04353591808487	-0.425674215508974	1.92482807099993e-05	-6.53159687902138e-05	0.149373998473898	0.0468020350868493	0.319168543579704	0.0249122252409576	0.627178311809699	0.339702314346805	6.86150947685178e-05	0.00027665639263316	0	1.21162927756591e-05	0.0106365857670738	0.165620706403766	0.0961407250399463	0.210176551561143	0.779074398535619	0.813362381755526	12183	KCNQ5	0.0828839848470641	-0.204781589566786	0.346443250222837	10.3197937976451	1	NBGMM (HL)
-12.3313597087199	-0.268877901046644	1.2007541173206	0.00045102090566293	-0.215475072153348	-0.0996688288689431	-7.70985179990191e-06	0.000127657071576421	0.209210196912353	0.0622806168551478	0.412416396660881	0.0148793959742248	0.71558602460487	0.441752140092348	6.01107928432438e-05	0.000276276826514641	0	1.58020713512561e-05	0.0035968735897775	0.975818405648979	0.763325325916633	0.821495732197553	0.897942672500063	0.644036733651415	17514	CACNA1B	0.0828839848470641	-0.268877901046644	0.57003824520147	3.62911138200196	1	NBGMM (HL)
-12.0166905738232	-0.248128930124064	0.443457388878584	0.00601202675630721	-1.34709212383785	-0.71303339278626	0.000135768752412618	-0.000661300648857401	0.197407776885184	0.0586216621122866	0.386499837619624	0.0166100346824711	0.785780997787035	0.438512470687505	7.46706012048631e-05	0.000305204675947406	0	2.30884534311426e-05	0.251229728405568	0.717388283451949	0.0864671586453752	0.10394377806586	0.069028116634806	0.0302543174637546	14715	DLGAP2	0.0828839848470641	-0.248128930124064	0.549491655622981	8.65843467094514	1	NBGMM (HL)
-10.9230472660966	-0.0880032561998835	0.407947040253652	-0.0142519031718149	-0.0641448106106764	-0.437861316525242	-7.13434564856612e-05	0.000351418158610101	0.0768596888261793	0.0208394859658721	0.128894475592664	0.0118104941781058	0.285007424570303	0.175781054874203	3.06000357242669e-05	0.000141867790346666	0	2.41169038585669e-05	0.00155099389196181	0.227541832609775	0.821929760383295	0.0127403071615736	0.0197279168222258	0.0132461442424935	24345	DHRS7	0.0828839848470641	-0.0880032561998835	1e-04	0.281123689706832	1	NBGMM (HL)
-7.95494736397939	0.0214455138955586	-0.0505274620135782	-0.000450346343683927	0.176870731605942	0.106237299607249	2.81519934335944e-06	-8.50787455381501e-06	0.0187032184980689	0.00512245543656326	0.0344640174007948	0.00262310537635703	0.0769071440932591	0.0493268971543769	8.52679585458832e-06	3.89157739442569e-05	0	2.83202681709786e-05	0.1426228943935	0.863685629418086	0.0214597881100864	0.0312605862589305	0.74127974040486	0.826943908798437	34935	RBFOX2	0.0828839848470641	0.0214455138955586	0.000196329779464818	0.116993609666761	1	NBGMM (HL)
-13.8612092597787	0.186637688984894	-0.435545686906152	0.025678485821044	0.160478230670823	0.925100490767402	-0.000274873466354439	0.00119677371844937	0.334619401578336	0.0455199380979803	0.437120008840909	0.0251894582680502	1.12531240422842	0.605755660641796	0.000150963170514794	0.000642065803798542	0	4.12917132341741e-05	0.319056599564363	0.308006473564376	0.886600004045361	0.126715207164691	0.0686375408383536	0.0623297841538325	22301	AC073655.2	0.103583212056014	0.186637688984894	1e-04	0.00100000012450989	1	NBGMM (HL)
-11.3938354681652	-0.104681964992249	0.39491576213156	-0.0131246039989865	-0.618416249528244	-0.523135323132818	-1.79186076682024e-05	0.000156317375246685	0.0960508318333366	0.0261880753730491	0.158012879079006	0.0141252314697597	0.407179827012109	0.213516159385038	3.36981829226782e-05	0.000163947801206312	0	6.40652465091415e-05	0.0124451867519369	0.352806029641474	0.128818084670022	0.0142817694735809	0.594907401853881	0.340357965880281	33329	MAP1LC3A	0.140623216087566	-0.104681964992249	1e-04	0.12804259113807	1	NBGMM (HL)
-10.0678437348873	-0.0613877941538965	0.0370943740948787	0.00243388254380978	-0.28752551089529	-0.0143275832046766	-7.18251637145618e-05	0.00029934630008481	0.0545415766208132	0.0156501632684512	0.101311166312818	0.00607542026917668	0.237585228824572	0.139538215240932	2.36054642232724e-05	0.000106965667136582	0	8.763422537095e-05	0.714258374595879	0.688706260329399	0.22620237291179	0.918218089202027	0.00234438965438013	0.00513362883733414	3254	HEATR1	0.165029474321988	-0.0613877941538965	0.0105028607145189	0.504269774186023	1	NBGMM (HL)
-13.3768439653201	-0.342799181974128	1.90169756496025	-0.0186561748007258	-2.32831066102084	-1.64507270993894	0.000161707125413556	-0.000857205645535782	0.307834210082694	0.0881509843081797	0.568932171825256	0.0280356898046139	1.29196425731704	0.523056047521927	0.000117355289744577	0.000470022570783035	0	0.00010075222953714	0.000830053885490566	0.505766704511592	0.0715221406565304	0.00166020155822667	0.16822555657973	0.0681892382240638	1335	ST6GALNAC5	0.165029474321988	-0.342799181974128	0.407500180896614	12.899032632736	1	NBGMM (HL)
