gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
DHX15	6.96477122812583e-06	0.0224672097961776	0.0745439464546307	0.0224672097961776
ADORA1	2.31710623694807e-05	0.0239951054234146	0.123999940270276	0.0239951054234146
IRAK2	0.000131237703065065	-0.0340924201285489	0.468212378635132	-0.0340924201285489
PPP1R36	0.000372946569076705	0.047980428538116	0.670940506224462	0.047980428538116
TNKS2	0.000416566494137816	0.0215467906686063	0.670940506224462	0.0215467906686063
AC005740.5	0.000633465323751971	0.0611790376153929	0.670940506224462	0.0611790376153929
AL513217.1	0.000653035937616937	0.0483958393317756	0.670940506224462	0.0483958393317756
SPRED1	0.00076106747518711	-0.0200146539897617	0.670940506224462	-0.0200146539897617
MAMLD1	0.000768284398226259	-0.052505713284469	0.670940506224462	-0.052505713284469
UGGT1	0.000856443064961187	0.0195645677056271	0.670940506224462	0.0195645677056271
FAM216A	0.0009437929263452	-0.0607887614499447	0.670940506224462	-0.0607887614499447
CHMP4B	0.000955792046663616	0.030844104911816	0.670940506224462	0.030844104911816
DPM3	0.000968218155162717	0.0609480221714154	0.670940506224462	0.0609480221714154
SNHG17	0.00098023188902727	0.0468121342330399	0.670940506224462	0.0468121342330399
RAB11B-AS1	0.00099120384852823	0.032937244032788	0.670940506224462	0.032937244032788
UQCRB	0.0010644661910396	0.0627081553911899	0.670940506224462	0.0627081553911899
NAXD	0.0010939014124426	0.0382365194412501	0.670940506224462	0.0382365194412501
RUNX1	0.00112836859871441	-0.0414650463612234	0.670940506224462	-0.0414650463612234
HINT3	0.0012277230916604	-0.0271835707744005	0.686692271848178	-0.0271835707744005
HLTF	0.00128317718742068	0.0246851853380691	0.686692271848178	0.0246851853380691
BRSK1	0.001400601130876	0.0178886879543195	0.704337030512584	0.0178886879543195
MYO10	0.00144776368039586	0.0215788609467629	0.704337030512584	0.0215788609467629
JOSD2	0.0017862887544506	0.0303375780217434	0.808339357113688	0.0303375780217434
MFSD4A	0.00190550403362405	-0.0705197000701344	0.808339357113688	-0.0705197000701344
PGBD4	0.00205565972818221	0.0408865154276874	0.808339357113688	0.0408865154276874
AC026401.3	0.002072298061497	-0.046293959704774	0.808339357113688	-0.046293959704774
SIRT3	0.00211709545773457	0.0329319668052533	0.808339357113688	0.0329319668052533
WDR33	0.0021459093203211	-0.015544280769981	0.808339357113688	-0.015544280769981
CHST11	0.0021953236967099	-0.0662381433728182	0.808339357113688	-0.0662381433728182
C3orf62	0.00234600550392211	-0.0476923403144086	0.808339357113688	-0.0476923403144086
AP000873.2	0.00243549130027815	0.0260681192766307	0.808339357113688	0.0260681192766307
TMEM179	0.00243965696033233	0.058434593205199	0.808339357113688	0.058434593205199
MIS12	0.00253528914060724	0.036393618136177	0.808339357113688	0.036393618136177
LIPT1	0.00256790122577491	0.0475186107223417	0.808339357113688	0.0475186107223417
INPPL1	0.00270018502241858	-0.0453325089245869	0.808339357113688	-0.0453325089245869
PTCD3	0.00272113850061918	0.013593165115046	0.808339357113688	0.013593165115046
LINC01725	0.00279440869038648	0.0330888321009533	0.808339357113688	0.0330888321009533
MRGBP	0.00293455887662606	0.040243137232809	0.810065447946998	0.040243137232809
COMMD4	0.00298570183924105	0.0270808784820742	0.810065447946998	0.0270808784820742
ATP5F1E	0.00302743323534335	-0.04807824093872	0.810065447946998	-0.04807824093872
SNX1	0.00313095004944534	0.0111437418851461	0.817330692175939	0.0111437418851461
COL14A1	0.00347572502409466	-0.038640408390642	0.851194449387052	-0.038640408390642
PRDM2	0.00365081044860322	-0.0150244804421918	0.851194449387052	-0.0150244804421918
AC025810.1	0.00384459026154403	0.0415043331445843	0.851194449387052	0.0415043331445843
POLB	0.00395047871807545	-0.03149286995791	0.851194449387052	-0.03149286995791
RAP1GAP2	0.00396986964361116	-0.0640635948208472	0.851194449387052	-0.0640635948208472
PLXNA4	0.00398062797523888	-0.0634009165300921	0.851194449387052	-0.0634009165300921
SPATA22	0.00401252241851646	-0.0514326187853038	0.851194449387052	-0.0514326187853038
LINC02609	0.00403008829412859	-0.0417794719443279	0.851194449387052	-0.0417794719443279
SCN1B	0.00404663311814115	-0.0439537733086328	0.851194449387052	-0.0439537733086328
AC002460.2	0.00419042386134809	-0.0638263367615875	0.851194449387052	-0.0638263367615875
TCAIM	0.00423868386476394	-0.0249231424812166	0.851194449387052	-0.0249231424812166
POLR2D	0.00432576600349154	0.0299340969247478	0.851194449387052	0.0299340969247478
RUFY3	0.0044865753404168	-0.00962865381496817	0.851194449387052	-0.00962865381496817
ZBTB17	0.00460866431424912	0.0190208689898685	0.851194449387052	0.0190208689898685
NLRC5	0.00469906870681394	0.037634299224143	0.851194449387052	0.037634299224143
CCDC32	0.00474536070399952	-0.0260607720566515	0.851194449387052	-0.0260607720566515
IMP4	0.00484103592605972	0.0390674230698837	0.851194449387052	0.0390674230698837
TMEM260	0.00487106782584347	0.0149161379314689	0.851194449387052	0.0149161379314689
ESYT1	0.00487794272961922	-0.0586180699221265	0.851194449387052	-0.0586180699221265
B4GALT4	0.00501355200718813	0.0339537245861359	0.851194449387052	0.0339537245861359
MIER1	0.00508804279704136	0.0145033704150958	0.851194449387052	0.0145033704150958
AC002451.1	0.00515122516291042	0.0289428470747643	0.851194449387052	0.0289428470747643
RNF14	0.00520950798142741	0.0293924150008689	0.851194449387052	0.0293924150008689
GOSR2	0.00526748920430744	-0.0192011213085557	0.851194449387052	-0.0192011213085557
ESF1	0.0053387792070594	0.0199013771615444	0.851194449387052	0.0199013771615444
PAN2	0.00566422989586466	0.0222871792351574	0.851194449387052	0.0222871792351574
RHBDD3	0.00575647359122247	-0.0376462933010471	0.851194449387052	-0.0376462933010471
TMEM267	0.0058924832047417	0.021634676656352	0.851194449387052	0.021634676656352
INTS14	0.00594186115858996	0.0263321466036509	0.851194449387052	0.0263321466036509
AC104825.1	0.00597963801439144	0.0395666822453481	0.851194449387052	0.0395666822453481
ZNF605	0.00608268051334677	-0.0220456635647189	0.851194449387052	-0.0220456635647189
BCR	0.00609224984077889	-0.03080404379	0.851194449387052	-0.03080404379
ELF1	0.00614385252822928	-0.0123623823021065	0.851194449387052	-0.0123623823021065
DYRK2	0.00636002688651835	0.0396581349672233	0.851194449387052	0.0396581349672233
FAM106A	0.00638574293017806	0.0255760713832885	0.851194449387052	0.0255760713832885
RUNX2	0.00645691416740154	-0.0381617972155117	0.851194449387052	-0.0381617972155117
RNF157	0.00650981584352897	-0.0183243164453735	0.851194449387052	-0.0183243164453735
ASAP2	0.00659979596218082	-0.0221878135202024	0.851194449387052	-0.0221878135202024
AL390957.1	0.00661610329792037	-0.0531408939473303	0.851194449387052	-0.0531408939473303
SNX24	0.0067473048516896	-0.0237365128652647	0.851194449387052	-0.0237365128652647
STXBP4	0.00676677987100268	0.0227657903349187	0.851194449387052	0.0227657903349187
CMTM4	0.0067778572648204	-0.0160435664689885	0.851194449387052	-0.0160435664689885
ACTR1A	0.0067941674079307	0.0240501533058227	0.851194449387052	0.0240501533058227
CD226	0.00707136207549515	0.0257253250902318	0.851194449387052	0.0257253250902318
SLC35F3	0.00712064014708432	-0.0486499461188288	0.851194449387052	-0.0486499461188288
CLNS1A	0.00715272925026874	-0.0137868979635206	0.851194449387052	-0.0137868979635206
SNX13	0.00717563370111604	-0.01524391326385	0.851194449387052	-0.01524391326385
SLC4A2	0.00722938892053329	0.0295284493976729	0.851194449387052	0.0295284493976729
