logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.79037967737	0.14566740307037	6.37703190475829	-0.00623894607197185	-0.0517271532338507	0.265446114494263	1.45903878829697e-05	-2.81601182240519e-05	0.0709032598521309	0.0111039131130514	0.153855301420209	0.0087651209343923	0.214088170908151	0.160429561545274	3.69620172011719e-06	1.2774180891861e-05	0	2.57770595406174e-39	0	0.476593367472134	0.809077630015863	0.0980064707936237	7.90043915344781e-05	0.027492299265787	36496	UTY	3.60595285913696e-35	0.14566740307037	0.913490148806527	0.16372422705533	1	NBGMM (LN)
-13.470457963294	0.192046741441641	7.2566357932637	-0.00751065083602056	-0.0353139436285825	0.156133093269637	-7.16390125598699e-05	0.000339509793938209	0.0996314082739469	0.0149008138067798	0.222906726864196	0.00795049388887622	0.229049954354394	0.171966608860947	1.10036755378431e-05	3.56815720916843e-05	0	5.23593028486267e-38	1.8032970282938e-232	0.344823666505575	0.877471179024655	0.36391689594881	7.49199698797299e-11	1.81730749344251e-21	36473	AC064829.1	2.83507308853775e-34	0.192046741441641	0.868334327401622	2.62379651499636	1	NBGMM (LN)
-12.0213068048554	0.129111738834182	5.78116292509974	-0.000343264361444268	-0.107759124430643	0.15200532103169	1.65091984613961e-05	-2.04672129203887e-05	0.0625847066725718	0.0100266890538034	0.131452200339238	0.00820502115265271	0.183701210396245	0.136860768896007	6.5882142716711e-06	2.17657846578263e-05	0	6.07993370906659e-38	0	0.966629524057013	0.557472403116491	0.266716174902155	0.0122151047623396	0.347043777623379	36501	NLGN4Y	2.83507308853775e-34	0.129111738834182	0.730104741559187	0.92209383375977	1	NBGMM (LN)
-13.336874007955	0.148345748163336	6.51974439853989	-0.000698276225644683	-0.21531482954501	0.160532634102775	-1.8820362832452e-05	0.000115900246988119	0.0820532432797099	0.0120589419835555	0.176091564055886	0.00748190966253941	0.198173039645036	0.140697660703637	7.09010112740918e-06	2.54288804602571e-05	0	8.86638527605481e-35	4.58014720489003e-300	0.92564250412768	0.277258238152024	0.2538799697126	0.00794363536302138	5.16874295576909e-06	36517	KDM5D	3.10079659066827e-31	0.148345748163336	0.680096159876765	0.210301816179652	1	NBGMM (LN)
-12.4985997754004	0.120941175360272	6.14112441190293	0.00043899144141106	-0.205464793061828	0.026649965276319	1.34619302684345e-05	-4.9949067469442e-05	0.0639294794399329	0.0102694079014731	0.132873197370359	0.00730988892634441	0.178039804784708	0.127138511489715	9.75992297708698e-06	3.14545333858389e-05	0	5.13834028860551e-32	0	0.952112259103126	0.248484376317961	0.833969238497618	0.167800113304413	0.112291598296377	36514	TTTY14	1.43760484594605e-28	0.120941175360272	0.620810775868812	3.0738201581554	1	NBGMM (LN)
-12.5128539306601	0.11456961503944	5.38566634854029	-0.00294902416687394	-0.115640609522246	0.0217479997325373	-2.3967611010516e-05	0.00016320197273832	0.0612387465924432	0.00993272760053127	0.127312458285678	0.00740784449018655	0.178545573510948	0.129313998868498	7.52798511008098e-06	2.6026815327864e-05	0	8.8340515284865e-31	0	0.690560327591691	0.517191172683997	0.866441848490931	0.00145354603249519	3.59817090438671e-10	36493	USP9Y	2.05965911386663e-27	0.11456961503944	0.666897190200365	0.945183105242175	1	NBGMM (LN)
-13.5954968495845	0.142595688762946	6.43512613395274	-0.00204682894108264	0.0476377819318441	0.00710572136935131	-4.76809520663748e-06	-2.8661757234374e-05	0.0857535746488191	0.012686258089701	0.181394758781507	0.00748171619117722	0.193026915898873	0.141939810699156	8.18099470809918e-06	2.89332756570719e-05	0	2.58885375436829e-29	1.16054634499971e-275	0.784409354697909	0.805068066184652	0.960073371173518	0.560010540262953	0.321873266503263	36495	DDX3Y	5.17363930997973e-26	0.142595688762946	0.660385079858462	0.237749943161982	1	NBGMM (LN)
-13.3689994663149	0.0980256062467823	5.30090043787145	-0.000856822685390245	-0.0986002915546497	0.0871509542712569	-3.1587158085744e-05	0.000109190160087317	0.0627769144511922	0.00941581259463538	0.125221884147977	0.00650754975625573	0.15138440226006	0.106298326661948	1.29167190143545e-05	4.39098460357355e-05	0	2.2148589449976e-25	0	0.895248523261631	0.51483737115889	0.412289441840413	0.0144672514102292	0.0128937821655796	36453	ZFY	3.87295772269643e-22	0.0980256062467823	0.429292686804509	2.32796104503816	1	NBGMM (LN)
-13.4209651886698	0.100870959827328	5.27375335379168	-9.81193847544162e-05	-0.23172464997217	0.0470001253483447	-4.94201211672398e-05	0.000237311091922739	0.0644655060426111	0.00975162434455153	0.128629407531749	0.00692014212762636	0.160863998710914	0.111540922352848	1.20235039052473e-05	4.17719134024985e-05	0	4.45468162566402e-25	0	0.98868732495725	0.149725884873899	0.673484091550897	3.95157777900309e-05	1.33818556331521e-08	36451	RPS4Y1	6.9240601401571e-22	0.100870959827328	0.469139785244471	1.15589869802666	1	NBGMM (LN)
-12.777857210803	0.0578851937249422	4.68652021773892	0.00385849832516893	-0.248475946630144	0.00402833268186674	3.49896683910011e-05	-0.000107393468620251	0.0481057343894715	0.00773885532524447	0.0941632038490198	0.00688414687704836	0.129059312564439	0.08963876864318	1.14471688463358e-05	3.8867466969001e-05	0	7.44282178963423e-14	0	0.575144977172577	0.0541937247550281	0.964155432253072	0.0022384634922538	0.00572607706776403	36519	TTTY10	1.04117634015193e-10	0.0578851937249422	0.344877006901873	2.4096700954913	1	NBGMM (LN)
-13.9856700966328	0.0626612400137915	5.54357455279851	0.00100937062867553	-0.0613334738553846	0.0430861158276238	-3.67687432480068e-05	0.00014764164591443	0.0730376081153498	0.0087612681292526	0.13844477629724	0.00573485886209867	0.126813850730686	0.0833184004806589	1.47201658142644e-05	5.13406455797682e-05	0	8.54763217405938e-13	0	0.860289083534809	0.628634535723268	0.605068165819	0.0124949601158735	0.00403099047881532	36520	EIF1AY	1.08702569529924e-09	0.0626612400137915	0.233741497362318	1.29914532406662	1	NBGMM (LN)
-13.6818357951936	-0.184162290834962	0.0853842233843899	0.0723965622926908	-0.670438288608288	-0.192795663326782	3.15785203680957e-05	0.000156455275918085	0.143308642028432	0.0386066128579727	0.321562336471734	0.0331831622186068	0.455510164622147	0.367878411017757	2.90723261748316e-05	9.44075419458848e-05	0	1.84018810553131e-06	0.790601738482805	0.0291297730479588	0.141063965858171	0.600226782382973	0.277388087869941	0.0974724157652728	18098	LINC01515	0.00214519928402312	-0.184162290834962	2.20995359780029	4.92632573428036	1	NBGMM (LN)
-11.0010333909364	0.0314348574442612	-0.0266847950392432	0.00552429975447788	0.133658188655146	0.0706278273599125	-0.000144634305649264	0.000552311218513384	0.0325260163958357	0.00672173142795171	0.0662426577972633	0.00585073165543925	0.0981904364015862	0.0740633243588756	9.50254474740123e-06	3.34816841814039e-05	0	2.91668654016103e-06	0.687070344548054	0.345064056069372	0.173446097034029	0.340279036648547	2.58205291358683e-52	3.92528503688688e-61	28310	EIF5A	0.00313857907771636	0.0314348574442612	0.325964367832334	0.0882493040192934	1	NBGMM (LN)
-12.4586854021663	0.0190176786509344	-0.0145932386156364	-0.00366439818601313	-0.0404772575645347	-0.0454794958733784	-9.43758632925535e-05	0.000343784846143837	0.0223030071224908	0.00417879994546675	0.0421329142508267	0.004360178035897	0.0612733497687398	0.046673020005985	1.8072525070366e-05	6.2857846745181e-05	0	5.33939714473055e-06	0.729070711975169	0.400670707542525	0.508868003162357	0.329844090205383	1.76940809921943e-07	4.51961430483703e-08	34346	FAM207A	0.00533520190411683	0.0190176786509344	0.0714278275295097	2.13072211254237	1	NBGMM (LN)
-8.18501446258752	-0.0101928671248536	0.0370884102666779	-0.00205349340188533	0.121698160516251	-0.0343699878554064	4.02715948973517e-05	-0.000176576023302987	0.0118277034388886	0.00239431355565331	0.024085829434253	0.00195055572063717	0.036032276159909	0.0267786648321987	3.54604425647679e-06	1.17540166753714e-05	0	2.07082245899902e-05	0.123598481696719	0.292444806288575	0.00073154243894057	0.1993225615391	6.86387435985986e-30	5.22097561698234e-51	16304	NFIB	0.0193124902526248	-0.0101928671248536	0.0526136921221293	0.689687432378918	1	NBGMM (LN)
-9.56074024810681	-0.0193329398121041	0.0601670368776753	-0.00404084577517731	0.154739599187006	-0.0641079634752617	4.67799694721596e-05	-0.000291223397821578	0.0221423529720371	0.00457447082251567	0.0447823504702335	0.00374512662070994	0.0672716273348549	0.0501060292169241	5.28260584460969e-06	1.81920859791626e-05	0	2.37598958137629e-05	0.179096043268237	0.280605088588931	0.0214357116917357	0.200740010110038	8.33302482583842e-19	1.11919658289297e-57	6045	IRAK2	0.0206095295303385	-0.0193329398121041	0.176006946827552	0.944395874015276	1	NBGMM (LN)
-11.7349107052188	-0.023240382848618	0.0833764742698816	-0.0041916868885878	0.120560944124751	-0.0848705803133955	6.34164353026388e-05	-0.000152830807871278	0.0272721399749166	0.00551453204451335	0.0551488577911875	0.00500622332889152	0.0810650437436472	0.0611352621040135	2.23750984135645e-05	7.20717157205329e-05	0	2.5045535922207e-05	0.130573532174614	0.402426642624227	0.136958702975613	0.165063158924848	0.00459345860422663	0.0339607051516175	6965	AC068633.1	0.0206095295303385	-0.023240382848618	0.173762232743544	36.4277702145519	1	NBGMM (LN+HL)
-12.4093911714484	0.0292112293078933	0.0248598634771326	0.000203479613816448	0.284573814043759	0.173966397008904	-0.000112630506104163	0.000383440658760768	0.0340162767856277	0.00695696577862214	0.0685413483499466	0.00556673343684435	0.100803714662438	0.076831591564736	1.95926093735353e-05	6.76920312751907e-05	0	2.68278453830964e-05	0.716829910615502	0.970841589980696	0.00475693181213814	0.0235583702447615	8.99736912558379e-09	1.47464690468509e-08	28250	AC012146.1	0.0208497071702298	0.0292112293078933	0.270655593919461	1.71292076093484	1	NBGMM (LN)
-12.5222395673373	0.0233231140625452	-0.0512349415424424	0.0239286708526873	0.0852593716681648	0.0705865427664144	-2.63291578425933e-05	0.000169428521138388	0.028824821763324	0.00558105633560335	0.0567440432517583	0.00460355838660039	0.0830568751936306	0.0629351373734265	1.6900382759936e-05	6.1846246102692e-05	0	2.92821449104773e-05	0.366572003022495	2.01591420799912e-07	0.304647516110615	0.262042739618461	0.119256232179282	0.0061530505544624	4273	AC005034.6	0.0213365950001851	0.0233231140625452	0.164361722492037	3.04574525554694	1	NBGMM (LN)
-12.8930935232727	0.0353780598838798	-0.00718325723434846	0.0168221101959771	-0.120604983798642	0.0766685572850136	-8.79118368055879e-05	0.000473351212482831	0.0437718685188801	0.00848462956501093	0.0882310059586256	0.00767865130163597	0.130746358082337	0.097912384263089	1.90327250217378e-05	7.00346183261116e-05	0	3.05048180716064e-05	0.93511255240437	0.0284688999508665	0.356301852096744	0.433608157676481	3.85625105942627e-06	1.39122383004774e-11	3380	OR2L13	0.0213365950001851	0.0353780598838798	0.440994402143735	1.21518223471492	1	NBGMM (LN)
-11.6847421593679	0.027049791717389	-0.0683317248925978	0.0076050936793103	-0.0472011747283029	0.0782982102447933	-0.000167988464988753	0.000615821179830926	0.0334259701917277	0.00669342945589722	0.0683166061234668	0.00558761721954223	0.101280211848726	0.075599535659124	1.46598913596685e-05	4.98738853202586e-05	0	5.31680598656158e-05	0.317203421316054	0.17349408513521	0.641183019007118	0.300343534973761	2.11819298340098e-30	5.02064240228455e-35	17449	TMEM141	0.0354175233076238	0.027049791717389	0.317124240320787	0.177102592922379	1	NBGMM (LN)
-11.355496826283	-0.0533237532657379	0.205388543735661	0.0116792288713077	0.395041814485603	-0.182303673283633	-4.45726197505713e-05	0.000383180068873093	0.0664933395093982	0.0133085920535452	0.137112274725667	0.0147097730846726	0.201326125140031	0.151646393139905	1.34985168243573e-05	4.7035053683824e-05	0	6.15687309837139e-05	0.134143945184743	0.42720852959983	0.0497393821419456	0.229300406101589	0.000959849577763956	3.74016456380367e-16	3203	SLC35F3	0.0391493171695988	-0.0533237532657379	0.974115107339923	8.8521220882626	1	NBGMM (LN)
-10.307481637057	-0.0084457884100686	0.0856411677830918	-0.00353957410088457	0.0218339620311418	-0.0140599562642731	-2.36998701380735e-05	3.80585859534395e-05	0.0107558720446647	0.00213842982567175	0.0213952113859458	0.00199655831505129	0.0314723672056683	0.0237439600558277	6.4677530702722e-06	2.28409502773577e-05	0	7.83054605484138e-05	6.25920749251208e-05	0.0762555836713561	0.487838858645213	0.553750984739665	0.000248003582865334	0.0956649161668908	11056	ARL10	0.0476267429396418	-0.0084457884100686	0.0293341500091395	0.618143004937067	1	NBGMM (LN)
-9.25047712357136	-0.0100909601491587	0.0222862517000798	-1.62870026692614e-05	0.0134457706197522	-0.0134185419396482	-7.22617557525388e-06	9.28274399328819e-06	0.0127464252088079	0.00256743214151264	0.0258938253631602	0.00221720422289159	0.0387479074231441	0.0287650682291436	4.23000174793043e-06	1.48967033381499e-05	0	8.48149831468795e-05	0.38941528814931	0.994139001284181	0.728586534769837	0.640866663194018	0.0875779034028318	0.533191984587834	19164	DNHD1	0.0494365333017374	-0.0100909601491587	0.0574631596822112	0.449181780459663	1	NBGMM (LN)
