gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	1.95070628267264e-32	0.15389321728688	2.89328755846006e-28	0.15389321728688
NLGN4Y	8.93486659551171e-24	0.120174659002384	6.62609706723148e-20	0.120174659002384
AC064829.1	7.29792579687293e-19	0.134566057117127	3.60809451397398e-15	0.134566057117127
USP9Y	5.48662499636449e-18	0.103295939368255	2.03444054865195e-14	0.103295939368255
TTTY14	5.48460077977717e-14	0.0833074168724877	1.6269519753131e-10	0.0833074168724877
TTTY10	6.2552661236855e-08	0.0505984588971924	0.000154630178577506	0.0505984588971924
CLDN14	1.04604918610384e-05	0.0682169314595663	0.0221642878975602	0.0682169314595663
RICTOR	2.31949315067559e-05	-0.00621936079941478	0.0430034030135255	-0.00621936079941478
ERBIN	3.10919849835919e-05	-0.013076301817819	0.0512395912529595	-0.013076301817819
ARHGEF33	4.39354083635315e-05	0.0331914330438655	0.0650282916962834	0.0331914330438655
AC139887.2	4.82275626118606e-05	0.0154182378400386	0.0650282916962834	0.0154182378400386
RPS4Y1	7.10631217331849e-05	0.0376330350567118	0.0854137137776859	0.0376330350567118
DYNLL1	7.87169568176172e-05	0.0194069188019747	0.0854137137776859	0.0194069188019747
ZNF155	8.0622437492422e-05	0.0139638297486364	0.0854137137776859	0.0139638297486364
SLC35F3	9.07451541156292e-05	-0.0533806220175397	0.0856731665516067	-0.0533806220175397
ACSF3	9.24198128927797e-05	0.011932147092553	0.0856731665516067	0.011932147092553
WAC	0.000103114294440571	-0.00708639645658607	0.0869105958314228	-0.00708639645658607
SLC27A5	0.000105474024067261	0.0178717792742323	0.0869105958314228	0.0178717792742323
IGSF11	0.000131568137796096	-0.00768454298819281	0.102706243146932	-0.00768454298819281
SFMBT1	0.000178954547645188	0.0102884734071266	0.120685048091579	0.0102884734071266
AC090579.1	0.000185975025489572	-0.0753316032468483	0.120685048091579	-0.0753316032468483
FN3K	0.000186082569047593	-0.0168614426474154	0.120685048091579	-0.0168614426474154
AC008629.1	0.000187146447283327	0.0134210537061248	0.120685048091579	0.0134210537061248
C9orf72	0.000213311644563822	-0.0120728128416966	0.127169782241244	-0.0120728128416966
ATP1B3	0.000214350361113207	-0.0212046841276417	0.127169782241244	-0.0212046841276417
YPEL1	0.000232573529978414	0.0173085285307267	0.128548610776692	0.0173085285307267
CCDC57	0.000234008393404173	0.0158546609861604	0.128548610776692	0.0158546609861604
OR2L5	0.000253009265034217	0.0348066851907883	0.130585543097995	0.0348066851907883
C8orf33	0.000263842036064152	0.0188625749727777	0.130585543097995	0.0188625749727777
LINC02476	0.000264129334745135	0.0435622340139518	0.130585543097995	0.0435622340139518
AL035701.1	0.000303278394615078	0.0211482708217696	0.139882739014858	0.0211482708217696
AHI1	0.000306370590786253	-0.00739077517193874	0.139882739014858	-0.00739077517193874
AL606491.1	0.000318654387773483	-0.0353939521707341	0.139882739014858	-0.0353939521707341
ZFP36	0.000320658921689939	-0.0554259257818441	0.139882739014858	-0.0554259257818441
PLGLB2	0.000337449032164459	0.0255220183129042	0.143001258430379	0.0255220183129042
GASK1B	0.000362928630449596	0.0319775416042725	0.144840582659236	0.0319775416042725
BTRC	0.00036311737108159	0.00593474670436524	0.144840582659236	0.00593474670436524
