gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
FBXW11	1.36567454113788e-05	-0.0811943852440154	0.126072791507051	-0.0811943852440154
LINC01088	1.76300925055309e-05	0.0759406878198309	0.126072791507051	0.0759406878198309
FTL	0.00010053070976745	0.0384990684183892	0.479263403698025	0.0384990684183892
CDC34	0.000322621867801222	0.108372671484944	0.65059093392351	0.108372671484944
MRPL1	0.00035062366107939	0.0994352812175903	0.65059093392351	0.0994352812175903
PPFIA1	0.000378313411662406	0.0634454172516711	0.65059093392351	0.0634454172516711
GP1BB	0.000392471904406322	0.0893337693116221	0.65059093392351	0.0893337693116221
LIN52	0.000393070749177538	-0.107889507337282	0.65059093392351	-0.107889507337282
FLNB	0.000423932371960556	-0.0767484323706962	0.65059093392351	-0.0767484323706962
NBL1	0.000461134579373712	0.0605226857985482	0.65059093392351	0.0605226857985482
HERC6	0.000508503723869076	0.262765872162321	0.65059093392351	0.262765872162321
LINC01572	0.000545874088035388	-0.231224610323862	0.65059093392351	-0.231224610323862
HSP90AB1	0.000657343751643427	0.0456339876779331	0.702766585795907	0.0456339876779331
SMAD1	0.000814178797313175	-0.129257416621727	0.702766585795907	-0.129257416621727
DZIP1	0.000876848733009717	-0.100340306854261	0.702766585795907	-0.100340306854261
NARS2	0.000961054432187046	-0.108301702068595	0.702766585795907	-0.108301702068595
PANX1	0.00100771948420768	0.200821136316787	0.702766585795907	0.200821136316787
SLC25A24	0.00113106310562322	0.116203434506816	0.702766585795907	0.116203434506816
LEF1-AS1	0.00124657864584796	-0.366664921362338	0.702766585795907	-0.366664921362338
ANGPT4	0.0013452598112322	0.142215187166004	0.702766585795907	0.142215187166004
PSMD8	0.00135496890510002	-0.0753683012842198	0.702766585795907	-0.0753683012842198
KLF9	0.00138926561065682	-0.070437870642751	0.702766585795907	-0.070437870642751
SNX3	0.00141045189838382	0.0647942151577472	0.702766585795907	0.0647942151577472
DNMT1	0.00142813459811616	-0.111928225398372	0.702766585795907	-0.111928225398372
SEM1	0.00148923492190636	0.0617198346392395	0.702766585795907	0.0617198346392395
HLA-DPB1	0.00151135216038905	0.138985070300549	0.702766585795907	0.138985070300549
LY6E	0.00161667690257264	0.0988481365862128	0.702766585795907	0.0988481365862128
MTHFD1L	0.00165376600408453	-0.0692337712429179	0.702766585795907	-0.0692337712429179
LINC02853	0.0017240589392668	0.411465408172753	0.702766585795907	0.411465408172753
ZC3HC1	0.00173395213191501	-0.142188221608071	0.702766585795907	-0.142188221608071
CRISPLD2	0.00180989410302283	-0.0636564032773066	0.702766585795907	-0.0636564032773066
TYW1B	0.00184091825914865	0.107752339637314	0.702766585795907	0.107752339637314
ARPP19	0.00184525506075398	0.0572487932937389	0.702766585795907	0.0572487932937389
RAB30	0.0018618817650335	0.0723766526049291	0.702766585795907	0.0723766526049291
CARMN	0.00189167615120809	-0.0388970732235506	0.702766585795907	-0.0388970732235506
AGFG1	0.00193294926943275	0.0570305960540375	0.702766585795907	0.0570305960540375
MMAB	0.00201063661884761	-0.137630526047967	0.702766585795907	-0.137630526047967
KLHL42	0.00201615092562611	0.0651739297999644	0.702766585795907	0.0651739297999644
GLMN	0.00204578213509944	-0.114490551503365	0.702766585795907	-0.114490551503365
WDFY1	0.00206095337518457	-0.0907763636319829	0.702766585795907	-0.0907763636319829
RAB10	0.00207965812906794	0.0504609102022475	0.702766585795907	0.0504609102022475
TP53BP2	0.00209217311431427	0.0746890912294284	0.702766585795907	0.0746890912294284
SHMT1	0.00211291869593232	-0.39286458634039	0.702766585795907	-0.39286458634039
OLFM3	0.00230123614052469	0.181069578768866	0.748006347313276	0.181069578768866
CAND2	0.00242191631095742	0.109629731343101	0.755106770173383	0.109629731343101
CRK	0.00249965583943297	0.0673656633646332	0.755106770173383	0.0673656633646332
STK25	0.00261857485555357	0.0671182307376519	0.755106770173383	0.0671182307376519
SOCS6	0.00265864642956765	0.143241459698424	0.755106770173383	0.143241459698424
CTTN	0.0026704212989941	-0.0551015726728463	0.755106770173383	-0.0551015726728463
