gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NUP88	4.04294035346195e-06	0.0483100166543335	0.0351360453131711	0.0483100166543335
PKNOX1	6.27437671220901e-06	0.0434797784551686	0.0351360453131711	0.0434797784551686
CCDC144NL	6.40234061828919e-06	0.133187230273263	0.0351360453131711	0.133187230273263
PSMB6	2.8636076326275e-05	-0.137374147819987	0.113275588585874	-0.137374147819987
P2RY14	3.44009926463416e-05	-0.108729406967416	0.113275588585874	-0.108729406967416
PCDH9-AS2	5.5844409172734e-05	-0.0773554774069763	0.14941105718817	-0.0773554774069763
TMEM260	8.09799450751387e-05	0.0453208976793686	0.14941105718817	0.0453208976793686
MDM1	9.11438249435226e-05	0.087542288601207	0.14941105718817	0.087542288601207
DAD1	9.69533995009042e-05	-0.0862995116780247	0.14941105718817	-0.0862995116780247
LINC02277	9.88305126719509e-05	0.110875451931245	0.14941105718817	0.110875451931245
C21orf91-OT1	0.000102378060006545	0.228596860877402	0.14941105718817	0.228596860877402
ATP2B3	0.000153599549428268	0.176658542912086	0.14941105718817	0.176658542912086
NBR2	0.000165140654350438	0.0543879320283419	0.14941105718817	0.0543879320283419
AC025682.1	0.000166201326432145	0.0473833594768952	0.14941105718817	0.0473833594768952
PRKCQ	0.00017377628987889	-0.0912265602023377	0.14941105718817	-0.0912265602023377
ANO10	0.000176181669522464	0.0334683100917585	0.14941105718817	0.0334683100917585
PALD1	0.000200533805770933	0.0858725771931683	0.14941105718817	0.0858725771931683
HDGF	0.000204026547289951	0.0600853696543218	0.14941105718817	0.0600853696543218
AC092422.1	0.000217559382576042	0.115134399175818	0.14941105718817	0.115134399175818
DROSHA	0.000227565474683007	0.0345087926835922	0.14941105718817	0.0345087926835922
DUSP18	0.000228955279434606	0.0436490971782997	0.14941105718817	0.0436490971782997
COPZ1	0.000234032011048382	-0.0904567333953631	0.14941105718817	-0.0904567333953631
CPNE2	0.000241134892203208	0.0690770437345444	0.14941105718817	0.0690770437345444
RAD23A	0.000241344358237484	-0.056934026152402	0.14941105718817	-0.056934026152402
JTB	0.000246517349699793	-0.0789504636248466	0.14941105718817	-0.0789504636248466
LINC02307	0.000262372127922987	0.0909769585625152	0.14941105718817	0.0909769585625152
AP002381.2	0.00026842679926395	0.0865308853175553	0.14941105718817	0.0865308853175553
AC025171.2	0.000290418495490297	0.073797541448832	0.14941105718817	0.073797541448832
ATF4	0.000292009774728185	-0.0506781804983476	0.14941105718817	-0.0506781804983476
WDR61	0.00029498746001712	-0.0669608096198597	0.14941105718817	-0.0669608096198597
PTPRS	0.000298857434385218	0.0311271312047756	0.14941105718817	0.0311271312047756
LZTR1	0.000298991598177028	-0.0560153358158197	0.14941105718817	-0.0560153358158197
RAD18	0.000313285625361378	0.0624308285074527	0.14941105718817	0.0624308285074527
PGBD5	0.000326221688567728	0.0613092079972137	0.14941105718817	0.0613092079972137
SLC25A25	0.000334266385271586	0.0432390066106993	0.14941105718817	0.0432390066106993
GMFB	0.000336850126116625	-0.0915570542100751	0.14941105718817	-0.0915570542100751
TMEM230	0.000342375779217319	0.0426544682722488	0.14941105718817	0.0426544682722488
AC058791.1	0.000350324901679128	-0.0841084211402802	0.14941105718817	-0.0841084211402802
ERV3-1	0.000357627509776723	0.0484887378346034	0.14941105718817	0.0484887378346034
CLNS1A	0.000368575442860096	0.0384044833992054	0.14941105718817	0.0384044833992054
MPP6	0.000398050696619925	-0.0432187256381639	0.14941105718817	-0.0432187256381639
CCDC142	0.000399636535038056	0.0575412365432647	0.14941105718817	0.0575412365432647
TBRG1	0.000401337444357457	-0.0545112794414238	0.14941105718817	-0.0545112794414238
CCHCR1	0.000409225385404549	0.0690395399938214	0.14941105718817	0.0690395399938214
CLDN11	0.000413412352517746	-0.152759394270759	0.14941105718817	-0.152759394270759
