gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	7.99762948825959e-11	0.0623638558513442	1.26146609918318e-06	0.0623638558513442
CSNK1G1	2.34422386643429e-06	0.0164785616864123	0.0184877215226341	0.0164785616864123
RAD23A	1.028593992274e-05	-0.0261279478458973	0.0540800434671258	-0.0261279478458973
LINC01937	3.12804376597436e-05	-0.0647864356677323	0.123346585801784	-0.0647864356677323
CHIC1	4.3666712541724e-05	-0.0143542162460856	0.126393012386917	-0.0143542162460856
USP9Y	4.83684247073187e-05	0.0237082791214867	0.126393012386917	0.0237082791214867
ALPL	5.99144018409968e-05	0.0439075394987196	0.126393012386917	0.0439075394987196
C3orf35	6.41060102133604e-05	-0.0466273594714735	0.126393012386917	-0.0466273594714735
CPS1	7.88432165282198e-05	0.0435818128901982	0.138177117144401	0.0435818128901982
ARFGEF3	0.000100093913482431	-0.0263837299365958	0.13914863601197	-0.0263837299365958
SMG6	0.00011102995797287	0.0121736119239429	0.13914863601197	0.0121736119239429
GSE1	0.000111477995379782	0.0152431410750461	0.13914863601197	0.0152431410750461
INKA2	0.000114685365381069	-0.0669801990087128	0.13914863601197	-0.0669801990087128
KANTR	0.000138158138506037	-0.0112360604139388	0.15565487990398	-0.0112360604139388
SNX27	0.000174006996394082	-0.0178418156095748	0.170601490743031	-0.0178418156095748
AC073195.1	0.00018462110075179	-0.0598812226477507	0.170601490743031	-0.0598812226477507
FSTL4	0.000185188632160947	0.0547596273591553	0.170601490743031	0.0547596273591553
HNRNPA2B1	0.000205900235006304	-0.010012790251416	0.170601490743031	-0.010012790251416
ENPP4	0.000239180628958731	-0.0282793884834099	0.170601490743031	-0.0282793884834099
ZBED5	0.000242219365496345	-0.0187076424581043	0.170601490743031	-0.0187076424581043
KCNA2	0.000243704824708232	-0.021217315911927	0.170601490743031	-0.021217315911927
TMEM59	0.000257765303126953	-0.0136670801275819	0.170601490743031	-0.0136670801275819
KDM5C	0.000281524664130566	0.0159406794760901	0.170601490743031	0.0159406794760901
LRRC36	0.000281975723356462	0.0594102978048699	0.170601490743031	0.0594102978048699
STX19	0.000286570186734337	-0.0908511862562762	0.170601490743031	-0.0908511862562762
RNF24	0.000292719038582506	-0.0162827275142959	0.170601490743031	-0.0162827275142959
AP3B2	0.000303204332968944	0.0263106091237909	0.170601490743031	0.0263106091237909
PTCHD4	0.000306862601712741	-0.0635637278497747	0.170601490743031	-0.0635637278497747
PDZD2	0.000313665328824441	0.0256076289528663	0.170601490743031	0.0256076289528663
FADD	0.000329707326120291	0.060291491728322	0.173349121829845	0.060291491728322
FAM182A	0.000347457846141772	-0.0204072656570052	0.176788793780457	-0.0204072656570052
AC003682.1	0.000378525530175239	0.0462333823233843	0.186577599607939	0.0462333823233843
WDR25	0.000400448202539849	0.0195802838510678	0.191402106020032	0.0195802838510678
SNCG	0.000438496544052106	-0.0748072046896161	0.203423705568643	-0.0748072046896161
SSPN	0.000481718658022528	-0.0182882819473299	0.21708995408541	-0.0182882819473299
ZNF718	0.000513586280677711	-0.0159641801441382	0.225022122364709	-0.0159641801441382
LINC02763	0.000562412257049008	-0.0623066060904325	0.236631557261957	-0.0623066060904325
TSPAN18	0.000599014581495422	0.028450859753029	0.236631557261957	0.028450859753029
TEN1	0.000600004175090124	0.0476499282282223	0.236631557261957	0.0476499282282223
GORASP1	0.000606942649138907	-0.0186693279882997	0.236631557261957	-0.0186693279882997
A2ML1	0.000615095026167516	-0.0220643188619284	0.236631557261957	-0.0220643188619284
IVNS1ABP	0.000645855554355772	0.0257867604917197	0.240708860997553	0.0257867604917197
YAP1	0.000677025061185075	0.00833754323540133	0.240708860997553	0.00833754323540133
MYRFL	0.000701202125507775	-0.0721845162389171	0.240708860997553	-0.0721845162389171
CAPN2	0.000707080485946428	-0.0149203992043629	0.240708860997553	-0.0149203992043629
CYBA	0.000719092920939471	0.0611587304738366	0.240708860997553	0.0611587304738366
CBR4	0.000724231560350758	-0.01068903653523	0.240708860997553	-0.01068903653523
AMT	0.000733760091666567	-0.0236559294922397	0.240708860997553	-0.0236559294922397
LINC01811	0.000753920913166331	-0.0851765683734366	0.240708860997553	-0.0851765683734366
NTNG2	0.000777861354099858	0.0144989783837033	0.240708860997553	0.0144989783837033
GRIN2A	0.000789999301149996	0.0591935555337782	0.240708860997553	0.0591935555337782
RING1	0.000802460898225566	-0.0165088837146997	0.240708860997553	-0.0165088837146997
AL024508.1	0.000808823282373063	-0.0488254236789443	0.240708860997553	-0.0488254236789443
ZNF844	0.00087258214986478	0.0230244008780589	0.250810871979643	0.0230244008780589
KDSR	0.000895851846293576	-0.0181696016680077	0.250810871979643	-0.0181696016680077
NUP153	0.000907794330889657	0.0113183463628508	0.250810871979643	0.0113183463628508
AC099792.1	0.000917001550601028	0.0128635683730792	0.250810871979643	0.0128635683730792
LINC00486	0.00092262029066839	0.0472516419825717	0.250810871979643	0.0472516419825717
AK4	0.000956157101904044	-0.0177857236232628	0.250810871979643	-0.0177857236232628
PFKP	0.000963748344504981	-0.0224761086363285	0.250810871979643	-0.0224761086363285
CYS1	0.000969978012474368	0.0237227733733852	0.250810871979643	0.0237227733733852
PLTP	0.00102414637442971	-0.015761437504968	0.260546141352899	-0.015761437504968
HES1	0.00107310073870956	-0.0324670813721676	0.268666951613743	-0.0324670813721676
ADM	0.00109180678804579	-0.049484416184346	0.269079194810099	-0.049484416184346
ZNF213-AS1	0.00112786600667156	0.0185986236161864	0.270171900736604	0.0185986236161864
SLC43A2	0.00113049803135839	0.0213681339291042	0.270171900736604	0.0213681339291042
U73169.1	0.00117240404428712	0.0536434737897976	0.27246373334973	0.0536434737897976
SEZ6L	0.00119787394322618	0.0522679253534949	0.27246373334973	0.0522679253534949
GPAM	0.00122143294497968	-0.0195927479178141	0.27246373334973	-0.0195927479178141
GRK3	0.00122663245397775	-0.0151699747991632	0.27246373334973	-0.0151699747991632
AL122035.1	0.00123618243139591	-0.0207459366132955	0.27246373334973	-0.0207459366132955
TNPO2	0.00125645914497132	-0.0128202414365208	0.27246373334973	-0.0128202414365208
MALT1	0.00130512158903213	0.0131764254083443	0.27246373334973	0.0131764254083443
AC104806.2	0.00130773433637792	-0.0256639604012806	0.27246373334973	-0.0256639604012806
GPANK1	0.00130877501052512	-0.026859191315328	0.27246373334973	-0.026859191315328
KCNN3	0.00131282848757874	-0.0144054912751824	0.27246373334973	-0.0144054912751824
IGSF1	0.00141881156499731	0.0460814135778284	0.289744735578868	0.0460814135778284
AL160313.1	0.0014328339171465	0.0266236480659382	0.289744735578868	0.0266236480659382
LZTS3	0.00145729291149914	-0.0251169010675984	0.290960520165517	-0.0251169010675984
CYP11A1	0.00147637225992011	0.0267908369409017	0.291085245696499	0.0267908369409017
STX16	0.00150926602486052	-0.00916374773890809	0.293896950742284	-0.00916374773890809
AKAP17A	0.00156638901517739	-0.0247500514689891	0.297286950432142	-0.0247500514689891
PSMB8	0.0016055003492495	-0.0459712491284258	0.297286950432142	-0.0459712491284258
REV3L	0.00162467944474749	-0.00983508080242726	0.297286950432142	-0.00983508080242726
LMF1	0.00164453288882217	-0.014718804636214	0.297286950432142	-0.014718804636214
ZNF324B	0.00165530727662849	0.0473734315984074	0.297286950432142	0.0473734315984074
AC098820.1	0.00166263160292025	0.0348099587868435	0.297286950432142	0.0348099587868435
AL163952.1	0.00166943478575025	-0.0535141088838237	0.297286950432142	-0.0535141088838237
SPAG7	0.00167745759135616	-0.0217193285616464	0.297286950432142	-0.0217193285616464
AC002074.1	0.00169867827122918	0.0588911376760374	0.297702804134421	0.0588911376760374
LNPK	0.00198328652987105	-0.0145521176607453	0.330071793923187	-0.0145521176607453
SLC24A4	0.00199245923975738	-0.0228559161515525	0.330071793923187	-0.0228559161515525
FAM204A	0.00201455169685712	-0.0141791490657038	0.330071793923187	-0.0141791490657038
UNC13B	0.00205345808518097	0.0115665748274303	0.330071793923187	0.0115665748274303
FAM13A-AS1	0.0020610671507859	-0.0203612300690819	0.330071793923187	-0.0203612300690819
GCAT	0.00206879013602213	-0.0232654266521687	0.330071793923187	-0.0232654266521687
GAN	0.00207372725997587	0.00955809968842587	0.330071793923187	0.00955809968842587
INSR	0.00207560182721243	0.0106385493749869	0.330071793923187	0.0106385493749869
AP001107.9	0.00209481443525517	-0.0386265993751869	0.330071793923187	-0.0386265993751869
SIGMAR1	0.00211414608637041	-0.0341818744073714	0.330071793923187	-0.0341818744073714
DLG4	0.00213019333930354	0.0165476976408932	0.330071793923187	0.0165476976408932
AC114971.1	0.00214714380819789	-0.0109583733101031	0.330071793923187	-0.0109583733101031
PC	0.00215541715425653	0.0116757569335658	0.330071793923187	0.0116757569335658
EFHC1	0.00222659550312527	-0.0133654306866473	0.33465818534126	-0.0133654306866473
TLE3	0.00222780127184634	0.0171004265029643	0.33465818534126	0.0171004265029643
HADHB	0.00225993341647005	-0.0113202609657471	0.336282356396057	-0.0113202609657471
NXT1	0.00228315883684716	-0.068802018974155	0.336370429478917	-0.068802018974155
THRA	0.00230317671867895	-0.0143378208290086	0.336370429478917	-0.0143378208290086
AL121820.2	0.00234437195273525	-0.0396595395883701	0.339245677160487	-0.0396595395883701
AC009407.1	0.00237871373170939	-0.0434050646239511	0.339791972303259	-0.0434050646239511
CRCP	0.00239123241778113	0.0144342119974104	0.339791972303259	0.0144342119974104
MKLN1-AS	0.00246145564254103	-0.0253019323803959	0.346647677230354	-0.0253019323803959
NOMO3	0.00251006715328636	0.0247226830344942	0.347148344318839	0.0247226830344942
EXOSC3	0.00251219758197447	0.0161527895110272	0.347148344318839	0.0161527895110272
DNAJC10	0.00257657976859304	-0.0169044239614202	0.347148344318839	-0.0169044239614202
AL136418.1	0.00258543304615927	0.0507562951216623	0.347148344318839	0.0507562951216623
C18orf25	0.00259261637418728	0.0168053884164464	0.347148344318839	0.0168053884164464
DCP1A	0.00259706489758594	0.0117562405836435	0.347148344318839	0.0117562405836435
IP6K1	0.00263141322396865	0.014513208593846	0.348783872114769	0.014513208593846
TTC39B	0.00266016297849951	0.0182295852831061	0.34965625549894	0.0182295852831061
RNF213-AS1	0.00275173027542022	0.0114438069400409	0.354541226817548	0.0114438069400409
NME4	0.00276374677988546	-0.0239137841884467	0.354541226817548	-0.0239137841884467
TPP2	0.00277595069648537	0.0119429947192512	0.354541226817548	0.0119429947192512
STRIP2	0.00278909903549188	-0.020602955824736	0.354541226817548	-0.020602955824736
VEGFA	0.00280971618285637	-0.031231082879906	0.354541226817548	-0.031231082879906
DSCC1	0.00285532991244882	0.0348981980868338	0.357437450071867	0.0348981980868338
KIAA2013	0.00292917044980413	-0.0202528315422409	0.362589174898887	-0.0202528315422409
SPG21	0.00298385375858147	-0.0168781058060071	0.362589174898887	-0.0168781058060071
SMAD9	0.00299732759075416	0.0112911284002621	0.362589174898887	0.0112911284002621
TSPAN17	0.00300821635864148	0.0244110440113196	0.362589174898887	0.0244110440113196
CASTOR3	0.00301142343953301	0.0117823110763252	0.362589174898887	0.0117823110763252
