gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
BMP6	1.71737249096278e-10	0.365498590755308	2.20871276062723e-06	0.365498590755308
SLC43A1	1.9140786946007e-06	0.174972258924421	0.0123084830456298	0.174972258924421
TEC	0.000133054100321607	0.0379117635322133	0.316638462583891	0.0379117635322133
AC083837.1	0.000141824609202641	-0.0768507509425396	0.316638462583891	-0.0768507509425396
WBP1	0.00014396158829277	0.101275164705521	0.316638462583891	0.101275164705521
ARHGAP8	0.000205007523724242	-0.083886711175665	0.316638462583891	-0.083886711175665
LAMP2	0.000243444578363648	0.040578183519107	0.316638462583891	0.040578183519107
PACSIN2	0.000250894748094573	-0.0268980472894334	0.316638462583891	-0.0268980472894334
JMJD1C	0.000263215199142797	0.0155052879102218	0.316638462583891	0.0155052879102218
LPXN	0.000294462974004993	0.0580505454318592	0.316638462583891	0.0580505454318592
AC007952.4	0.000302070895312599	0.0983795492077887	0.316638462583891	0.0983795492077887
PNPLA6	0.000307671458356761	-0.0481798860316085	0.316638462583891	-0.0481798860316085
TERF1	0.000320060649528853	0.0575046868377329	0.316638462583891	0.0575046868377329
TNIP2	0.000360471139031559	-0.09864310704756	0.331144237077491	-0.09864310704756
KAZN	0.000394602113821886	0.0958935751143385	0.338331852390885	0.0958935751143385
GCNT1	0.000428763334909853	0.0465191376992357	0.344645328142226	0.0465191376992357
TRIM50	0.000505608358444812	0.132414310221376	0.367014981109422	0.132414310221376
PTGDS	0.00053531299937599	0.0753318038119576	0.367014981109422	0.0753318038119576
LPAR6	0.000542203922018429	0.0260420028214584	0.367014981109422	0.0260420028214584
PBX1	0.00065910862863373	0.111427964411092	0.37711239626158	0.111427964411092
SUV39H2	0.000672023459866941	0.139816137357381	0.37711239626158	0.139816137357381
PPP2CA	0.000675090651864711	0.0381436773025175	0.37711239626158	0.0381436773025175
HMOX1	0.000703126257115439	0.0673974670515934	0.37711239626158	0.0673974670515934
LDHA	0.000710620126514584	-0.0885265275343137	0.37711239626158	-0.0885265275343137
PLPP7	0.000733054187585686	0.129055252342593	0.37711239626158	0.129055252342593
NEU1	0.000828414656934122	0.0849182192464004	0.400213341266838	0.0849182192464004
LINC02397	0.000871773221333743	-0.17606466440329	0.400213341266838	-0.17606466440329
MAF	0.000929449821640849	0.0265173769720966	0.400213341266838	0.0265173769720966
UBE2E2	0.000929642397620373	-0.0162325758178471	0.400213341266838	-0.0162325758178471
GLDN	0.00097407187933348	-0.0645474210978836	0.400213341266838	-0.0645474210978836
PEX2	0.000989252133108631	0.0654347647846602	0.400213341266838	0.0654347647846602
FAM174C	0.000995787801923553	0.0966135293526245	0.400213341266838	0.0966135293526245
C14orf178	0.00102832026280059	0.16006470524034	0.400764451511465	0.16006470524034
RAB39A	0.00109445629289282	0.0404518809650591	0.402419621612584	0.0404518809650591
HSPB1	0.00109514709248429	0.0552594141947511	0.402419621612584	0.0552594141947511
RIN3	0.0011468012959125	-0.0219800258302214	0.409694762964741	-0.0219800258302214
ETFDH	0.00120408113978273	-0.068196165283906	0.418532095641777	-0.068196165283906
TNFSF12	0.0012540777712005	-0.0765728813282911	0.424439321458147	-0.0765728813282911
RNASE1	0.00144355974606285	0.0433528858057215	0.447465964344085	0.0433528858057215
AKIRIN2	0.00146518917638342	0.0434359264643107	0.447465964344085	0.0434359264643107
AOPEP	0.00147110277303989	0.0330062558432479	0.447465964344085	0.0330062558432479
DHTKD1	0.00150306752456392	0.0467358901163151	0.447465964344085	0.0467358901163151
SREBF1	0.00150560709939922	-0.0404735224225282	0.447465964344085	-0.0404735224225282
RCN2	0.00154114034275234	-0.0784734144473916	0.447465964344085	-0.0784734144473916
CHST11	0.00157519495023046	-0.0197805264273612	0.447465964344085	-0.0197805264273612
ADCY3	0.00164140545312199	-0.102441986869817	0.447465964344085	-0.102441986869817
B3GALNT1	0.00165530223719471	-0.107928252497087	0.447465964344085	-0.107928252497087
ZC3H14	0.00167003858864133	0.0357289602040763	0.447465964344085	0.0357289602040763
SLFN12	0.00177569926597805	0.0628183374920183	0.460480357607395	0.0628183374920183
VPS39	0.00185381781816108	0.0373014615946844	0.460480357607395	0.0373014615946844
NUDT21	0.00186096377959152	0.0737307012961769	0.460480357607395	0.0737307012961769
HMGCS1	0.0020590518895475	0.0583445563365989	0.460480357607395	0.0583445563365989
AL353759.1	0.00209568528447871	0.111779482676721	0.460480357607395	0.111779482676721
SH3BP5-AS1	0.00213639789761338	0.0793225284385376	0.460480357607395	0.0793225284385376
MAP1LC3A	0.0021745054082659	0.130115479591956	0.460480357607395	0.130115479591956
MARCH3	0.00220145769041208	-0.0644790446371163	0.460480357607395	-0.0644790446371163
SCFD1	0.00222999828077235	-0.0272221356422924	0.460480357607395	-0.0272221356422924
TBCEL	0.0022515605227135	0.0573020614278924	0.460480357607395	0.0573020614278924
AP000757.1	0.00233481449061382	0.107329733764332	0.460480357607395	0.107329733764332
SASS6	0.00235242611199595	0.0932166647464101	0.460480357607395	0.0932166647464101
TRIM4	0.00236126872364881	0.0370678767034929	0.460480357607395	0.0370678767034929
MINK1	0.00237479287974575	-0.0444213894682243	0.460480357607395	-0.0444213894682243
GNPDA1	0.00242572749167336	0.0480911450500841	0.460480357607395	0.0480911450500841
PPP4R2	0.00245021799077769	0.0288671954729715	0.460480357607395	0.0288671954729715
DUSP16	0.00246515676999819	-0.0434596352631822	0.460480357607395	-0.0434596352631822
ZNF254	0.00246560327052573	0.0345745096971756	0.460480357607395	0.0345745096971756
MAP2K6	0.00246654549458131	0.0757566199760121	0.460480357607395	0.0757566199760121
HLA-E	0.00249006464413818	-0.0287757366233632	0.460480357607395	-0.0287757366233632
NLK	0.00252642294902987	0.0194990105501354	0.460480357607395	0.0194990105501354
LRP11	0.00254393207609113	0.0723784221736227	0.460480357607395	0.0723784221736227
BRCA1	0.00258016830824975	0.0963599525686637	0.460480357607395	0.0963599525686637
HIST1H2BD	0.00266244573072621	0.0539259105525508	0.460480357607395	0.0539259105525508
C3	0.00273713098573345	-0.0502771345498741	0.460480357607395	-0.0502771345498741
ABCC10	0.00278486162157886	-0.0630051519774602	0.460480357607395	-0.0630051519774602
AK2	0.00279821530759513	-0.0591599817936649	0.460480357607395	-0.0591599817936649
USP31	0.00285487928893177	-0.0564453226182956	0.460480357607395	-0.0564453226182956
SLC47A1	0.00291962873844687	-0.127256330075216	0.460480357607395	-0.127256330075216
SIRT1	0.00292454403191715	0.0475652887028715	0.460480357607395	0.0475652887028715
ADCY5	0.00293836681711764	0.140663862949797	0.460480357607395	0.140663862949797
TBC1D10A	0.0029530398065252	-0.0547232916155222	0.460480357607395	-0.0547232916155222
FOXJ2	0.00295709861696929	-0.0770851646190098	0.460480357607395	-0.0770851646190098
ENO1	0.00300346293384353	-0.0370917475926311	0.460480357607395	-0.0370917475926311
TXN	0.00301107838889064	0.0910751591673932	0.460480357607395	0.0910751591673932
TICAM2	0.00309065100882066	0.0491848014961444	0.460480357607395	0.0491848014961444
