gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	8.58273528569282e-38	0.138144847389811	1.79001527118409e-33	0.138144847389811
USP9Y	8.13510517020614e-37	0.12957498416869	8.48328767149096e-33	0.12957498416869
TTTY14	7.1944728479945e-35	0.120133372675249	5.00159752392578e-31	0.120133372675249
UTY	1.2267933743028e-34	0.124877102111762	6.3965006536148e-31	0.124877102111762
KDM5D	1.18948264982075e-23	0.103135654633511	4.96157002893231e-20	0.103135654633511
DDX3Y	4.64869459624454e-11	0.0543496010464348	1.6158862416546e-07	0.0543496010464348
RPS4Y1	1.26887842985904e-10	0.0590843248065045	3.78053264759144e-07	0.0590843248065045
TTTY10	4.38541135673394e-08	0.0426577439864105	0.000114327674070054	0.0426577439864105
ZFY	1.42248923874773e-07	0.0450519765353218	0.000329638172925807	0.0450519765353218
PRKY	2.81100374235937e-06	0.0471574786787304	0.00538107175662776	0.0471574786787304
LINC00326	2.83811801509903e-06	0.070510578905029	0.00538107175662776	0.070510578905029
LINC01515	3.94119606542082e-06	-0.264606986894255	0.00684979876170139	-0.264606986894255
PCDH11Y	8.32151693534053e-06	0.0316683810604861	0.0133502736310356	0.0316683810604861
LINC00382	5.65088380998474e-05	0.0839363815650339	0.0841820233864583	0.0839363815650339
AL590428.1	7.74804283908088e-05	-0.0412007763906335	0.107728787634581	-0.0412007763906335
XIST	0.000120905382788579	0.0869390792166896	0.157600166464913	0.0869390792166896
MAP10	0.000141955310674958	-0.0253877200430892	0.174154115260995	-0.0253877200430892
NIPSNAP3A	0.000538668327810889	-0.0148437423362912	0.591650587437469	-0.0148437423362912
ZFP37	0.000538998904934403	-0.0288724616378806	0.591650587437469	-0.0288724616378806
CARNMT1	0.000642305415077485	0.00675808870151049	0.635130174853547	0.00675808870151049
AC104984.3	0.000660848627341824	-0.0490519640375577	0.635130174853547	-0.0490519640375577
OR2L3	0.00066996853887505	0.0240592066797871	0.635130174853547	0.0240592066797871
AL451069.2	0.000711044024008078	0.0399473465882062	0.644762354987499	0.0399473465882062
AC108463.3	0.000762307180979088	0.0209805606800445	0.655567365114568	0.0209805606800445
AC073048.1	0.000789040921952354	-0.0318407582800731	0.655567365114568	-0.0318407582800731
OR2T6	0.000817258893986324	0.0360372307119596	0.655567365114568	0.0360372307119596
BMP4	0.000943637662893727	-0.0387360784522622	0.692573777561223	-0.0387360784522622
LINC00486	0.000976105971397211	0.0384619400780513	0.692573777561223	0.0384619400780513
CREG1	0.000976688160999072	-0.0100207246005325	0.692573777561223	-0.0100207246005325
TRIM65	0.00102860842990204	-0.0151800044327152	0.692573777561223	-0.0151800044327152
SGMS1-AS1	0.00102942976143066	-0.0287840030153005	0.692573777561223	-0.0287840030153005
TEKT1	0.00113304645187801	0.0256665563576116	0.719385400231812	0.0256665563576116
LINC01116	0.00114804050928409	0.029619548841141	0.719385400231812	0.029619548841141
AL513327.2	0.00118296690991017	-0.0294998682188375	0.719385400231812	-0.0294998682188375
AC079062.1	0.00120725398005914	0.0695554988057659	0.719385400231812	0.0695554988057659
AC010530.1	0.00136994901172171	0.0392756098949189	0.7881808696485	0.0392756098949189
AL353572.4	0.0014043191008409	0.0263955284447041	0.7881808696485	0.0263955284447041
C5orf47	0.00143607945179531	-0.0389177630561861	0.7881808696485	-0.0389177630561861
CYP51A1-AS1	0.00153466696687669	-0.0321186006969579	0.80315616139944	-0.0321186006969579
UBQLN4	0.0015403838922122	0.0161663382695432	0.80315616139944	0.0161663382695432
ERCC2	0.00166992699809967	0.0115860363118092	0.835984985170675	0.0115860363118092
AC137579.1	0.00170322450874458	-0.0625455354343948	0.835984985170675	-0.0625455354343948
ZSCAN22	0.00178493186438531	-0.0239998523431109	0.835984985170675	-0.0239998523431109
PDZD8	0.00187688345399095	-0.00767308219998152	0.835984985170675	-0.00767308219998152
AC006058.3	0.00190053596795592	-0.0426884980985322	0.835984985170675	-0.0426884980985322
LINC01865	0.00190337359180994	0.0524973068623586	0.835984985170675	0.0524973068623586
XRRA1	0.00191756157733772	-0.0126670423730092	0.835984985170675	-0.0126670423730092
CARTPT	0.0019667738791909	0.0597560630087082	0.835984985170675	0.0597560630087082
DUSP5	0.00201587541807186	-0.0466798877764862	0.835984985170675	-0.0466798877764862
AC124864.3	0.00204057665117479	0.0517607490663248	0.835984985170675	0.0517607490663248
MEGF11	0.00205415926591179	-0.0225072993644634	0.835984985170675	-0.0225072993644634
AC007846.1	0.00211809850195483	-0.0596191356757742	0.835984985170675	-0.0596191356757742
AC079341.1	0.00217050826229407	-0.0262059853959044	0.835984985170675	-0.0262059853959044
TLL1	0.00221989609488299	0.0115885218820409	0.835984985170675	0.0115885218820409
AL445584.2	0.00230645603639175	-0.0491585909201681	0.835984985170675	-0.0491585909201681
AL357500.1	0.00237850604135187	0.0524757926612319	0.835984985170675	0.0524757926612319
AC015961.2	0.00241046742487059	-0.0340941438438979	0.835984985170675	-0.0340941438438979
AC100844.1	0.00242128821673602	-0.0692948902929823	0.835984985170675	-0.0692948902929823
OR2L5	0.00243656991275677	0.0219427085671932	0.835984985170675	0.0219427085671932
AC135050.4	0.00243817840020845	0.0523829597907017	0.835984985170675	0.0523829597907017
GAS6-DT	0.0024555491784877	-0.0287331078718423	0.835984985170675	-0.0287331078718423
SH3BGRL2	0.00260943243168098	-0.00481437659868254	0.835984985170675	-0.00481437659868254
LINC02839	0.00264703014979632	-0.0489668940380855	0.835984985170675	-0.0489668940380855
HIP1R	0.00267891373067711	-0.00982995095431242	0.835984985170675	-0.00982995095431242
AC021739.2	0.00271723727630097	0.0309953685868259	0.835984985170675	0.0309953685868259
NATD1	0.00271784211308595	-0.0215950453508275	0.835984985170675	-0.0215950453508275
C9orf40	0.00272908020718507	-0.0148485094862556	0.835984985170675	-0.0148485094862556
AL080250.1	0.00273622180901683	-0.0165003268727131	0.835984985170675	-0.0165003268727131
AL358335.2	0.00278808150643951	0.0454042720860502	0.835984985170675	0.0454042720860502
GAREM2	0.00284030411471452	0.0481920486126662	0.835984985170675	0.0481920486126662
ROM1	0.00295565920017854	-0.0595565675222879	0.835984985170675	-0.0595565675222879
KCNJ13	0.00297973303121822	-0.0667559105511675	0.835984985170675	-0.0667559105511675
TIMP1	0.00298206316973104	-0.0806977026110722	0.835984985170675	-0.0806977026110722
LINC02484	0.00299113838144524	0.0394290599539585	0.835984985170675	0.0394290599539585
ENOSF1	0.00301532235730494	-0.0327268943511664	0.835984985170675	-0.0327268943511664
PANO1	0.00304635878754178	-0.031795553072547	0.835984985170675	-0.031795553072547
DCAF17	0.00308701025788089	0.00861040742901839	0.83613877842031	0.00861040742901839
AL035401.1	0.00318407620980631	-0.0390676266140307	0.851372992714365	-0.0390676266140307
AC244502.1	0.0033182114938367	-0.0377871863027149	0.854994655984189	-0.0377871863027149
ORMDL1	0.0033538791335767	-0.00922678716890747	0.854994655984189	-0.00922678716890747
AL591518.1	0.0033684226362982	-0.025130537236695	0.854994655984189	-0.025130537236695
LINC01141	0.0034252860983603	-0.0131845378662656	0.854994655984189	-0.0131845378662656
AC073529.1	0.00344589264364162	-0.0192678329841003	0.854994655984189	-0.0192678329841003
COQ7	0.00348307156044131	-0.013518723627528	0.854994655984189	-0.013518723627528
C11orf52	0.0034845869657967	0.0353470195501063	0.854994655984189	0.0353470195501063
ZNF92	0.00355962218606574	-0.0123558579328923	0.858729641633969	-0.0123558579328923
AC108057.1	0.0035904618666086	-0.0386329154001929	0.858729641633969	-0.0386329154001929
GADD45B	0.00365396686949723	-0.0376599650109481	0.858729641633969	-0.0376599650109481
RHBDD2	0.00367338514984332	0.0167019618805541	0.858729641633969	0.0167019618805541
AC016831.1	0.00370568027172311	-0.0138194786792568	0.858729641633969	-0.0138194786792568
AC009093.2	0.00377258467357161	-0.0357440363181376	0.860780393544624	-0.0357440363181376
KY	0.00381208107931741	0.0124964325658888	0.860780393544624	0.0124964325658888
SLC12A7	0.00387561586214991	-0.0538742450469158	0.860780393544624	-0.0538742450469158
CRIPT	0.00388857998212181	-0.00872194980634294	0.860780393544624	-0.00872194980634294
AC007533.1	0.00392089266334576	-0.0399179857571599	0.860780393544624	-0.0399179857571599
FBLL1	0.0040764177002553	0.0170231209843464	0.870783770693714	0.0170231209843464
AC010975.1	0.00408863867123139	-0.0269947900683287	0.870783770693714	-0.0269947900683287
ZNF860	0.00409171507134561	-0.0365497492623574	0.870783770693714	-0.0365497492623574
AC024236.1	0.00421016167846223	0.0531508483481377	0.886940726929377	0.0531508483481377
LINC02076	0.00435227783511197	0.0452395914600045	0.903922839825546	0.0452395914600045
TRAC	0.00437745525615555	-0.0358170788991838	0.903922839825546	-0.0358170788991838
PDGFD	0.00452428202998929	0.050406114965396	0.919922082381435	0.050406114965396
FNDC3A	0.00454315182610701	-0.00561237408318274	0.919922082381435	-0.00561237408318274
LINC02636	0.00467722174505996	0.0096389595895282	0.925344007626042	0.0096389595895282
AL358394.1	0.00475884366313559	0.0367519343690838	0.925344007626042	0.0367519343690838
ITFG1-AS1	0.00488375282918019	-0.0284292751455472	0.925344007626042	-0.0284292751455472
IGFL4	0.00488491343951135	-0.0104916758051282	0.925344007626042	-0.0104916758051282
JAK2	0.00491835907268888	-0.00822479613760631	0.925344007626042	-0.00822479613760631
AC015961.1	0.00493927093014366	-0.0265335689648541	0.925344007626042	-0.0265335689648541
AC087521.2	0.00494249029393746	-0.0401684608886918	0.925344007626042	-0.0401684608886918
AC072026.2	0.00504083045311174	0.0216846023937111	0.925344007626042	0.0216846023937111
CEP97	0.00511089231302384	-0.00634273349575156	0.925344007626042	-0.00634273349575156
ARMH1	0.00512703968533743	0.0113421415717463	0.925344007626042	0.0113421415717463
PPP1R14B	0.00513421184956218	-0.0151940839619941	0.925344007626042	-0.0151940839619941
AL391645.1	0.00513729740611957	0.0351051618739861	0.925344007626042	0.0351051618739861
AC096992.2	0.00518882560887974	-0.0531045859055167	0.925344007626042	-0.0531045859055167
BRICD5	0.00520641493358583	0.0130890675583876	0.925344007626042	0.0130890675583876
ANKRD44	0.00523545228710553	-0.0113282851187666	0.925344007626042	-0.0113282851187666
STK32A	0.00532387671777449	-0.0171561003301512	0.928163644733805	-0.0171561003301512
ARFGAP1	0.00534041222516574	0.0091546560772209	0.928163644733805	0.0091546560772209
AL008633.1	0.00566932621371259	-0.00967062283345812	0.962527177351139	-0.00967062283345812
SNCB	0.00576199489663431	0.0153612703966615	0.962527177351139	0.0153612703966615
BRD9	0.00590201675336427	0.00859202472946188	0.962527177351139	0.00859202472946188
DPY19L1	0.00601612602238527	-0.0088064558437274	0.962527177351139	-0.0088064558437274
ZBED3	0.00602316997061356	-0.0172066155733998	0.962527177351139	-0.0172066155733998
AL353732.1	0.00609195105630689	0.0498625526629248	0.962527177351139	0.0498625526629248
L1TD1	0.00609761188129232	0.032450993558705	0.962527177351139	0.032450993558705
FAM186B	0.00612827782960888	-0.0671123966132168	0.962527177351139	-0.0671123966132168
AC092828.1	0.0061371206227867	-0.0183268530026049	0.962527177351139	-0.0183268530026049
BTBD1	0.00620595568287634	-0.00598014126520157	0.962527177351139	-0.00598014126520157
PNPLA6	0.00621959566562866	0.00689925672115861	0.962527177351139	0.00689925672115861
AC097480.1	0.00626070056979196	-0.0442941405916201	0.962527177351139	-0.0442941405916201
KCNJ14	0.00636600739643131	0.0163886246699722	0.962527177351139	0.0163886246699722
GORAB	0.00654229414865839	-0.010953308089132	0.962527177351139	-0.010953308089132
POU2F2	0.00655303808547686	0.0083758815119026	0.962527177351139	0.0083758815119026
MMAA	0.0065576790121459	0.0148239764286704	0.962527177351139	0.0148239764286704
PAX5	0.00662034762411419	0.0384308983233338	0.962527177351139	0.0384308983233338
AC004949.1	0.00662781543748598	0.0322201732472287	0.962527177351139	0.0322201732472287
AC069277.1	0.00668822071879423	-0.0867327708329465	0.962527177351139	-0.0867327708329465
RPL31	0.00692539785441327	0.0211973125734529	0.962527177351139	0.0211973125734529
AC023282.1	0.00695389763354199	-0.0296410610889192	0.962527177351139	-0.0296410610889192
SLC25A35	0.00697427238355228	0.0523048158716864	0.962527177351139	0.0523048158716864
UBR5-AS1	0.00698655048335875	-0.0139110926969127	0.962527177351139	-0.0139110926969127
DDX60L	0.00701807425340898	-0.0437397220926462	0.962527177351139	-0.0437397220926462
NEAT1	0.00727061133506719	-0.0162257921484834	0.962527177351139	-0.0162257921484834
AC137630.1	0.00731129910587691	0.0285016414221038	0.962527177351139	0.0285016414221038
GMPR	0.00731180561003896	-0.0291668968553534	0.962527177351139	-0.0291668968553534
AC005100.1	0.00733953772950073	-0.0370323449163891	0.962527177351139	-0.0370323449163891
KLF11	0.0073715684621942	-0.0152250720224757	0.962527177351139	-0.0152250720224757
AC092111.2	0.007382708590577	0.0240758745500118	0.962527177351139	0.0240758745500118
GACAT2	0.00738502139253402	-0.0243012916665098	0.962527177351139	-0.0243012916665098
IPO8	0.00747711455331857	0.00642656062300109	0.962527177351139	0.00642656062300109
TPCN1	0.00747944484981757	0.00820679499885554	0.962527177351139	0.00820679499885554
NBL1	0.0076581206796112	0.0156172081103664	0.962527177351139	0.0156172081103664
CR1L	0.00777199793209077	-0.0587618957940079	0.962527177351139	-0.0587618957940079
SAP30	0.00780972348192919	-0.0137051381058103	0.962527177351139	-0.0137051381058103
TBC1D23	0.00790789739091976	-0.00531734319658737	0.962527177351139	-0.00531734319658737
CPSF3	0.00795334187641466	0.00841773917725562	0.962527177351139	0.00841773917725562
FMR1-AS1	0.00804757000054009	0.0336579464571039	0.962527177351139	0.0336579464571039
ZNF619	0.00809374492790021	-0.0320155904051491	0.962527177351139	-0.0320155904051491
CLIP3	0.00818937402379484	0.011293976402167	0.962527177351139	0.011293976402167
TSPAN14	0.00822790562357096	-0.00781427794468714	0.962527177351139	-0.00781427794468714
UHRF1BP1L	0.00825539822336647	-0.00470629710864341	0.962527177351139	-0.00470629710864341
CASC8	0.00827326794618051	-0.0547152421642504	0.962527177351139	-0.0547152421642504
DLG4	0.0083540610053809	0.00983469899869455	0.962527177351139	0.00983469899869455
AC123777.1	0.00838998975503967	-0.0428289186947947	0.962527177351139	-0.0428289186947947
LINC02440	0.00842116609164825	-0.0548579734697147	0.962527177351139	-0.0548579734697147
CCNA2	0.00842128661651756	0.021482154827336	0.962527177351139	0.021482154827336
CHST7	0.00842212047290827	-0.0272257670622962	0.962527177351139	-0.0272257670622962
AC120036.4	0.00858318633040761	0.0151346730205564	0.962527177351139	0.0151346730205564
WDR26	0.00860409423157337	0.0043937465652732	0.962527177351139	0.0043937465652732
ABCF2	0.00867352911519199	-0.00982533824004707	0.962527177351139	-0.00982533824004707
LIMD1	0.00880715594191021	0.0197176326803586	0.962527177351139	0.0197176326803586
WIPF1	0.0089108247112249	-0.0257932476183697	0.962527177351139	-0.0257932476183697
AL390198.1	0.00901514759218112	-0.0128248402941567	0.962527177351139	-0.0128248402941567
AL009179.2	0.00914313145728637	-0.0175866281591162	0.962527177351139	-0.0175866281591162
LINC02668	0.00918584869251246	0.0174204406235956	0.962527177351139	0.0174204406235956
LNCSRLR	0.00918806777291743	-0.0146396564469226	0.962527177351139	-0.0146396564469226
NR2F1-AS1	0.00920735561838481	-0.00597155540269955	0.962527177351139	-0.00597155540269955
CTSD	0.00932404593532625	0.0166006193120286	0.962527177351139	0.0166006193120286
DAPL1	0.00933334569622935	0.0427826559001619	0.962527177351139	0.0427826559001619
AC005618.1	0.00940691222998617	-0.0317599027364637	0.962527177351139	-0.0317599027364637
GULP1	0.00954201756058316	0.0291034797147378	0.962527177351139	0.0291034797147378
C3orf62	0.00954720282307186	0.0112071476354528	0.962527177351139	0.0112071476354528
STXBP5	0.00960726065288885	-0.00498710692902119	0.962527177351139	-0.00498710692902119
LINC00334	0.00961080129564808	-0.0540750702369447	0.962527177351139	-0.0540750702369447
NAMA	0.00967918673266041	0.0190096967338106	0.962527177351139	0.0190096967338106
PDZD4	0.00973837096151841	0.0117281533612385	0.962527177351139	0.0117281533612385
C1GALT1C1	0.00981526088616624	-0.0180329629205826	0.962527177351139	-0.0180329629205826
PIK3IP1-AS1	0.00981542108462105	-0.0163118348631933	0.962527177351139	-0.0163118348631933
SLC17A7	0.00988764705866852	0.0117241781763048	0.962527177351139	0.0117241781763048
LINC02345	0.00990777706132233	-0.0429150624276376	0.962527177351139	-0.0429150624276376
GREB1L	0.0099504056892122	-0.0178953129217458	0.962527177351139	-0.0178953129217458
AC110491.1	0.0100031911587465	0.0446405229533089	0.962527177351139	0.0446405229533089
RASSF2	0.010020381012172	-0.0375126253427188	0.962527177351139	-0.0375126253427188
LINC01852	0.0100262159301967	0.0287372865359398	0.962527177351139	0.0287372865359398
COL13A1	0.0100392685345999	-0.0531516889386919	0.962527177351139	-0.0531516889386919
C12orf60	0.0100642314278043	0.021783053250184	0.962527177351139	0.021783053250184
BMF	0.0101104325830452	-0.0553414941857754	0.962527177351139	-0.0553414941857754
AC022075.1	0.010123561271439	0.0381903381056488	0.962527177351139	0.0381903381056488
AC073342.1	0.0101770463516083	-0.0223985567699931	0.962527177351139	-0.0223985567699931
LINC02313	0.0102088255924075	-0.048791753880038	0.962527177351139	-0.048791753880038
SFRP4	0.010332694000672	-0.0382483747851731	0.962527177351139	-0.0382483747851731
ARNTL2-AS1	0.0103574952488055	-0.0262373248024491	0.962527177351139	-0.0262373248024491
SLC12A6	0.0104197035155197	-0.00531620273689528	0.962527177351139	-0.00531620273689528
AC007292.1	0.0104605326096936	-0.0357983922702827	0.962527177351139	-0.0357983922702827
ZKSCAN7-AS1	0.0105827112462366	-0.00833273290416543	0.962527177351139	-0.00833273290416543
PDGFRB	0.0106195760643898	-0.00956915990183407	0.962527177351139	-0.00956915990183407
TMSB4X	0.0106418876259749	0.0211771946997094	0.962527177351139	0.0211771946997094
XIAP	0.0106700178099254	0.00587054372073551	0.962527177351139	0.00587054372073551
NUFIP1	0.0106743282991332	0.00743721686378092	0.962527177351139	0.00743721686378092
AC084361.1	0.0106773900212131	-0.02485576552726	0.962527177351139	-0.02485576552726
DCAF4	0.0107257138465243	0.0116230050280192	0.962527177351139	0.0116230050280192
COL20A1	0.0107699714488317	0.0288493446617603	0.962527177351139	0.0288493446617603
EMCN	0.0108970846832669	-0.0322095168903727	0.962527177351139	-0.0322095168903727
EIF3CL	0.0109241310086951	-0.043846414549576	0.962527177351139	-0.043846414549576
ALPK1	0.0110216191262387	0.0328148242117398	0.962527177351139	0.0328148242117398
DST	0.0110583779260588	-0.00416899335675709	0.962527177351139	-0.00416899335675709
SEC14L1	0.0110831123170126	0.00801145749340745	0.962527177351139	0.00801145749340745
AL121821.2	0.0111031316953993	-0.0102922831485567	0.962527177351139	-0.0102922831485567
IPO7	0.0111267056624512	0.00551258825441892	0.962527177351139	0.00551258825441892
AF038458.3	0.0112442151856861	0.0167905267177816	0.962527177351139	0.0167905267177816
AC092068.2	0.0112532052133413	-0.0437365578306491	0.962527177351139	-0.0437365578306491
ARSI	0.0113198574150889	0.0466200381513298	0.962527177351139	0.0466200381513298
PDCD10	0.0114629766682672	-0.00586223940456426	0.962527177351139	-0.00586223940456426
PTPRT	0.01146961793289	-0.00643787039645491	0.962527177351139	-0.00643787039645491
SUOX	0.0116414545575202	0.0142968257835101	0.962527177351139	0.0142968257835101
WASHC5	0.0116731166130367	-0.00566322918266771	0.962527177351139	-0.00566322918266771
SCFD1	0.0117234409968296	-0.00415366478125451	0.962527177351139	-0.00415366478125451
EWSAT1	0.0117250347741646	0.0384413665373592	0.962527177351139	0.0384413665373592
ZNF620	0.0117536390006302	0.0136192143787086	0.962527177351139	0.0136192143787086
AC019068.1	0.0118015250694519	0.0403494859801232	0.962527177351139	0.0403494859801232
FAM221A	0.011806924842857	-0.00923833904933692	0.962527177351139	-0.00923833904933692
AC015819.5	0.0118917457868671	-0.0609460137797182	0.962527177351139	-0.0609460137797182
RANBP17	0.011967546216042	0.00530946664499237	0.962527177351139	0.00530946664499237
LINC01588	0.0119692300849296	0.0146673456591079	0.962527177351139	0.0146673456591079
AC091691.3	0.0121724737418407	0.0289750570861089	0.962527177351139	0.0289750570861089
AC007563.4	0.0122661690546346	-0.0175672973299391	0.962527177351139	-0.0175672973299391
BNIP2	0.0122784050419931	0.00889223802156061	0.962527177351139	0.00889223802156061
AL121832.2	0.0122851031796853	0.0228631118161218	0.962527177351139	0.0228631118161218
CCDC34	0.0123867517870524	0.00900038112338839	0.962527177351139	0.00900038112338839
AC078950.1	0.0123924780413873	0.0266987360732793	0.962527177351139	0.0266987360732793
NDST2	0.0124177392411905	-0.0108167443455092	0.962527177351139	-0.0108167443455092
AC067852.5	0.0124362529742792	-0.0362400372306414	0.962527177351139	-0.0362400372306414
SLC16A3	0.0124545870116064	-0.0223349511557214	0.962527177351139	-0.0223349511557214
TMEM178A	0.0124643046467034	0.0049262571418978	0.962527177351139	0.0049262571418978
CLCA4-AS1	0.0124654791235218	-0.017281620798484	0.962527177351139	-0.017281620798484
ZKSCAN7	0.0125105117632393	0.0127225762596432	0.962527177351139	0.0127225762596432
NDUFA1	0.0125899264671397	0.0219477792194945	0.962527177351139	0.0219477792194945
AGMAT	0.0126635718442404	0.0144422130852023	0.962527177351139	0.0144422130852023
NR2C2AP	0.0127283900875171	-0.0183445157484986	0.962527177351139	-0.0183445157484986
AL139317.1	0.0127573864773647	-0.0477872529463191	0.962527177351139	-0.0477872529463191
TSPYL1	0.0128028905363211	0.0132690822570783	0.962527177351139	0.0132690822570783
AL136964.1	0.0128990750642112	0.0281706886900025	0.962527177351139	0.0281706886900025
LTBR	0.0129101311914522	-0.0347199433695128	0.962527177351139	-0.0347199433695128
AC020910.2	0.0129469512732654	-0.0479442165564554	0.962527177351139	-0.0479442165564554
NPTXR	0.0129793742270601	0.00769411395736335	0.962527177351139	0.00769411395736335
URB1-AS1	0.0129876786575176	-0.0255292000596133	0.962527177351139	-0.0255292000596133
SLC26A6	0.0130130436688862	0.0186535333215239	0.962527177351139	0.0186535333215239
AC004160.1	0.01303796831016	0.0187062829977283	0.962527177351139	0.0187062829977283
