gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	2.83233000167559e-39	0.139688536682778	5.69524916736927e-35	0.139688536682778
NLGN4Y	8.6945171544986e-39	0.144688513926251	8.74146754713289e-35	0.144688513926251
USP9Y	1.05161671011608e-36	0.128199854857919	7.04863626900469e-33	0.128199854857919
UTY	2.17697725961321e-31	0.120354919713297	1.09436646840756e-27	0.120354919713297
KDM5D	4.90745664391533e-17	0.0753160109213281	1.97358276391699e-13	0.0753160109213281
PCDH11Y	1.56663324998919e-16	0.0558366210486025	5.25031023179709e-13	0.0558366210486025
PRKY	6.02884279849547e-13	0.0668669764632751	1.73182815703067e-09	0.0668669764632751
RPS4Y1	2.68981018840092e-09	0.0560339182444672	6.76083790854572e-06	0.0560339182444672
LINC01515	1.26584203933025e-07	-0.171928967825416	0.000282817241409475	-0.171928967825416
DDX3Y	6.68951608368038e-07	0.0406881101997028	0.00134512789410645	0.0406881101997028
TTTY10	1.04081446137701e-06	0.0334765164959597	0.00190260883539717	0.0334765164959597
OR2M3	9.28262793314888e-06	0.0483288805040199	0.0155545902066465	0.0483288805040199
KLHL41	2.97416687882068e-05	-0.0391162837594536	0.0460034981533278	-0.0391162837594536
GYG2	7.97269163659474e-05	0.0570776329509521	0.114510631020462	0.0570776329509521
RBM10	0.000185235788115056	0.0097177594258577	0.248314748494503	0.0097177594258577
HACD4	0.000261106318843665	-0.0249522577986569	0.31456257886465	-0.0249522577986569
RDH5	0.000265942104669736	-0.0353173730435367	0.31456257886465	-0.0353173730435367
ZNF771	0.000323218469606992	0.0128199371028438	0.3610709437143	0.0128199371028438
HGF	0.000509917810253328	-0.0484864069067107	0.539654069924943	-0.0484864069067107
AC092353.1	0.000571791541094508	-0.0533962423770103	0.574879215416418	-0.0533962423770103
AL583785.1	0.000635744596380349	-0.0533203013479528	0.588672999433018	-0.0533203013479528
AC112481.2	0.000644062362618181	-0.0310070252753894	0.588672999433018	-0.0310070252753894
RILPL2	0.000734306508107583	0.0174619213653365	0.641975446305534	0.0174619213653365
NLGN3	0.000845429032335133	0.0126157669364551	0.663290688350452	0.0126157669364551
FAM218A	0.000858901024204944	-0.0282634715603457	0.663290688350452	-0.0282634715603457
HPS5	0.000886300138604191	0.0108285254912594	0.663290688350452	0.0108285254912594
LINC01949	0.000905289150964742	-0.0310236537270288	0.663290688350452	-0.0310236537270288
DENND2C	0.000955664878602295	0.0350772879045346	0.663290688350452	0.0350772879045346
ZNF793	0.000985391654980435	-0.0102288688284354	0.663290688350452	-0.0102288688284354
AF096876.1	0.00102419612189175	0.0768998645263315	0.663290688350452	0.0768998645263315
HSD17B12	0.00104636984203501	-0.0252486228003	0.663290688350452	-0.0252486228003
SLC3A2	0.00105556505009024	-0.011431811597464	0.663290688350452	-0.011431811597464
LMNTD1	0.0011700185652509	0.0311411580936112	0.689082577278755	0.0311411580936112
MTNR1A	0.00121070849585548	0.0555630918183457	0.689082577278755	0.0555630918183457
GNA14-AS1	0.00124683584307014	-0.0408805267187893	0.689082577278755	-0.0408805267187893
GNAL	0.00125114823356159	0.0246528947793445	0.689082577278755	0.0246528947793445
AL356599.1	0.00127155487233743	-0.0147232331511651	0.689082577278755	-0.0147232331511651
AL137802.2	0.00133286641636606	-0.0526048132515282	0.689082577278755	-0.0526048132515282
ZFY	0.00133994996095558	0.0268683505892087	0.689082577278755	0.0268683505892087
GSK3B	0.00137076303417298	-0.00459621816812323	0.689082577278755	-0.00459621816812323
AC114781.2	0.00143325358716812	0.034338852833711	0.701572144646205	0.034338852833711
DPYSL2	0.0014779145404843	0.0066667336068054	0.701572144646205	0.0066667336068054
Z95118.2	0.00150160760394798	0.0250325294185104	0.701572144646205	0.0250325294185104
AP001970.1	0.00153516880666566	-0.0727731279766673	0.701572144646205	-0.0727731279766673
AC092164.1	0.00160705447142076	0.0542031370958469	0.710488442185532	0.0542031370958469
XIST	0.00162534654568005	0.0623269925768473	0.710488442185532	0.0623269925768473
PREX2	0.00167004421417132	-0.0358839747260727	0.714494660820361	-0.0358839747260727
INTS13	0.0017928939843134	-0.016705110511355	0.719661980304171	-0.016705110511355
ACTN4	0.00181897025048089	0.0109638481109187	0.719661980304171	0.0109638481109187
PRKD2	0.00182570464173245	0.0194917138496172	0.719661980304171	0.0194917138496172
AP000763.3	0.00185692675446193	-0.0665434847082827	0.719661980304171	-0.0665434847082827
PMFBP1	0.00189790351373702	0.0501220223426302	0.719661980304171	0.0501220223426302
IQCC	0.00196218994700964	0.0298743245523513	0.719661980304171	0.0298743245523513
ZNF319	0.00197824054433167	0.0243814252758875	0.719661980304171	0.0243814252758875
IGFL4	0.00200355049405756	-0.00990348557810497	0.719661980304171	-0.00990348557810497
AC005520.2	0.00215008857242283	-0.0668935545053252	0.719661980304171	-0.0668935545053252
AC083798.2	0.00218606968228291	-0.0232118429302254	0.719661980304171	-0.0232118429302254
ST8SIA2	0.00220659687970659	0.0475067618546825	0.719661980304171	0.0475067618546825
RANGAP1	0.00221187403399794	0.00949120584106132	0.719661980304171	0.00949120584106132
NNT	0.00221593929011561	-0.00637055019725567	0.719661980304171	-0.00637055019725567
TRIOBP	0.00224083136673991	0.017121665558226	0.719661980304171	0.017121665558226
CHODL	0.00235089422095639	0.04249452032644	0.719661980304171	0.04249452032644
AC127070.2	0.00236334878686223	0.036094626598128	0.719661980304171	0.036094626598128
CTBS	0.00238633597455933	-0.0178630835926917	0.719661980304171	-0.0178630835926917
IQGAP2	0.00245357340386988	0.0518869343057511	0.719661980304171	0.0518869343057511
LCN12	0.00247573397681799	0.0504678401262879	0.719661980304171	0.0504678401262879
AC024257.1	0.00262191672279473	-0.0682197464653184	0.719661980304171	-0.0682197464653184
MLPH	0.0027494336764235	0.0320214746781025	0.719661980304171	0.0320214746781025
DMRTC1B	0.00279840210607697	0.0343886127756849	0.719661980304171	0.0343886127756849
AC093425.1	0.00281141825511117	-0.058347759651692	0.719661980304171	-0.058347759651692
SLC30A3	0.00286902357978662	0.0326682595267967	0.719661980304171	0.0326682595267967
AL391121.1	0.00290622041930953	0.0303223527690297	0.719661980304171	0.0303223527690297
HDHD5	0.00291696830377482	-0.0105970688863281	0.719661980304171	-0.0105970688863281
XKR7	0.0029982343259835	0.0139874788769234	0.719661980304171	0.0139874788769234
AC116317.1	0.00302554248982662	0.0287295753651635	0.719661980304171	0.0287295753651635
TAPT1-AS1	0.00304062172716731	0.00813125694866393	0.719661980304171	0.00813125694866393
RNF31	0.00306090726117879	0.0132977701280592	0.719661980304171	0.0132977701280592
PRPH2	0.00311190035979249	0.0382857090210587	0.719661980304171	0.0382857090210587
AC008551.1	0.00312400611659278	-0.0734349699590748	0.719661980304171	-0.0734349699590748
AC004477.1	0.00314656720538497	-0.0461504530925583	0.719661980304171	-0.0461504530925583
AC006059.1	0.00315202402653827	-0.0161911532222839	0.719661980304171	-0.0161911532222839
AC087664.1	0.0031626430614763	-0.0398043961880456	0.719661980304171	-0.0398043961880456
AL022311.1	0.00318204161560375	0.015228339853682	0.719661980304171	0.015228339853682
AL021707.9	0.00318298519093102	0.0346434585514904	0.719661980304171	0.0346434585514904
BCL2L2-PABPN1	0.00319854960164766	0.0141520346245907	0.719661980304171	0.0141520346245907
OCLN	0.0032283978994413	0.025804357684372	0.719661980304171	0.025804357684372
GDF6	0.00326071197855188	0.0266973066038871	0.719661980304171	0.0266973066038871
AC068205.2	0.0033447774975677	-0.0299954708268507	0.719661980304171	-0.0299954708268507
AC016526.2	0.00335324179093109	-0.0363071758317179	0.719661980304171	-0.0363071758317179
AC093307.1	0.00337402330851317	-0.0423826874715992	0.719661980304171	-0.0423826874715992
ZSCAN26	0.00338359866003132	-0.0107429397844485	0.719661980304171	-0.0107429397844485
