gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	3.34764318949678e-44	0.153029671420149	7.29719262446509e-40	0.153029671420149
UTY	6.33946382018992e-42	0.128440387661636	6.90938161762499e-38	0.128440387661636
TTTY14	1.58357952187692e-41	0.14216683005091	1.15062888059577e-37	0.14216683005091
KDM5D	4.50520200139801e-39	0.150187577255117	2.45510983066185e-35	0.150187577255117
USP9Y	7.58542027945936e-36	0.127263949270703	3.3069398250331e-32	0.127263949270703
DDX3Y	2.63488089387815e-31	0.110918866916148	9.57252228745933e-28	0.110918866916148
RPS4Y1	1.36971404699342e-24	0.0914174702636577	4.26528954233752e-21	0.0914174702636577
PRKY	4.57952592319696e-22	0.0894055041521966	1.24780632592309e-18	0.0894055041521966
ZFY	6.69162663294111e-21	0.0838311619931465	1.62071197049834e-17	0.0838311619931465
TTTY10	1.14918024069498e-17	0.0630516617396058	2.50498308866691e-14	0.0630516617396058
AC244502.1	1.27486598497196e-08	-0.0787145240017656	2.52632079458352e-05	-0.0787145240017656
AC064829.1	2.97340271614443e-07	0.0587618917078223	0.000540118603387637	0.0587618917078223
AC079062.1	5.17080513914484e-07	0.0653995724370734	0.000867024695562147	0.0653995724370734
AC004949.1	6.57978569137284e-07	0.0497143086834196	0.00102447263214675	0.0497143086834196
LINC01515	8.78473079829295e-07	-0.114209342808263	0.00127659707960793	-0.114209342808263
PARP14	1.69785010047222e-05	-0.07667015686138	0.0231310853063084	-0.07667015686138
DHCR24-DT	3.19798375095851e-05	-0.0393690173732858	0.0410056763549374	-0.0393690173732858
TRPM6	5.95660318184808e-05	0.0279913102227635	0.0721344645321803	0.0279913102227635
AC055855.1	0.000117399938960103	-0.0265027359917243	0.134688624708018	-0.0265027359917243
XIST	0.000174895748128625	0.102800655241561	0.190200062954388	0.102800655241561
AC244213.1	0.000184062194478393	0.0653707453888563	0.190200062954388	0.0653707453888563
SPOCK3	0.00019196262891075	-0.019572682778372	0.190200062954388	-0.019572682778372
LINC01446	0.000218150221209526	0.0760467094132206	0.206749500953271	0.0760467094132206
AL590006.1	0.000346043890412713	-0.0258959789528498	0.314294363467346	-0.0258959789528498
MTUS2-AS2	0.000386685209878289	-0.0352994760033625	0.337158568197078	-0.0352994760033625
FAM135B	0.000488557506351698	-0.00882310554908763	0.409599097055935	-0.00882310554908763
ZFY-AS1	0.000533087538819003	0.0488232381016914	0.414836001766947	0.0488232381016914
MEGF11	0.000540587127205957	-0.0193261219761621	0.414836001766947	-0.0193261219761621
AC023385.1	0.000551896690120261	-0.036002685290879	0.414836001766947	-0.036002685290879
TMSB4Y	0.000619391105563878	0.0471594838791278	0.445843658861453	0.0471594838791278
LINC00486	0.000644417276378591	0.0401796630986775	0.445843658861453	0.0401796630986775
TSPAN2	0.000674523034964532	-0.0522547061118821	0.445843658861453	-0.0522547061118821
LINC00382	0.000705560749945518	0.0822784247591433	0.445843658861453	0.0822784247591433
ZNF280B	0.000717712110974867	0.00698558655970293	0.445843658861453	0.00698558655970293
AC079790.1	0.000800855335458509	0.0154411875896613	0.445843658861453	0.0154411875896613
CACHD1	0.000819864588399523	-0.00797540974564521	0.445843658861453	-0.00797540974564521
CARNMT1	0.000819982751620156	0.00533955796164417	0.445843658861453	0.00533955796164417
AC010255.3	0.00082850695487907	0.024752793584573	0.445843658861453	0.024752793584573
ASB17	0.000856107330571933	0.0429510403487793	0.445843658861453	0.0429510403487793
KCNE4	0.000861363969919943	0.0333568723272791	0.445843658861453	0.0333568723272791
ALOX12	0.000871315907287825	-0.0322620925192022	0.445843658861453	-0.0322620925192022
TCERG1L	0.000883172984549872	-0.0140884208499959	0.445843658861453	-0.0140884208499959
LINC01563	0.000899717393249497	0.0306770232736329	0.445843658861453	0.0306770232736329
LINC00616	0.00089995049958271	0.0390130926029943	0.445843658861453	0.0390130926029943
CTBS	0.000932570902435165	-0.0120531832651567	0.451737345139594	-0.0120531832651567
LINC02754	0.00102228393650811	0.0246444179734324	0.471039417945444	0.0246444179734324
WDFY4	0.00102411223424797	-0.0283485449374594	0.471039417945444	-0.0283485449374594
ZNF776	0.00104380290798802	0.00789363843463004	0.471039417945444	0.00789363843463004
SIAE	0.0010629064275294	-0.00984688344592103	0.471039417945444	-0.00984688344592103
LRRC8C-DT	0.00108046476269714	-0.0126500881220894	0.471039417945444	-0.0126500881220894
AC239860.4	0.00113910337096854	-0.0141474954899417	0.486866181968084	-0.0141474954899417
SAP30	0.00118513539816423	-0.0172444976494678	0.490075426749364	-0.0172444976494678
