gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	1.52540648183337e-27	0.108631824847378	2.90895016085624e-23	0.108631824847378
USP9Y	4.78253383831622e-26	0.104292428697689	4.56014601483452e-22	0.104292428697689
NLGN4Y	2.49036155456477e-25	0.108410411500303	1.583039828185e-21	0.108410411500303
UTY	2.30968942700328e-19	0.0845959352698101	1.10114443432381e-15	0.0845959352698101
LINC01515	5.07123174178423e-08	-0.166106919913241	0.00019341677863165	-0.166106919913241
PCMTD1	5.53796124127483e-05	-0.00948909895906618	0.176014868118518	-0.00948909895906618
SUPT20H	8.33875156676662e-05	0.0124584322616885	0.227171417683199	0.0124584322616885
KDM5D	0.000108188264914753	0.0287358079459412	0.238438997641078	0.0287358079459412
OR2L3	0.000114673956486093	0.0318133094111067	0.238438997641078	0.0318133094111067
AC006157.1	0.000125033559329354	0.0933708495261683	0.238438997641078	0.0933708495261683
SLC38A8	0.000154828436255156	0.0330549979794378	0.268159707299369	0.0330549979794378
AL590101.1	0.000175648899791118	0.0686505191970507	0.268159707299369	0.0686505191970507
DDX11-AS1	0.000182804205290603	0.0289342895071814	0.268159707299369	0.0289342895071814
RPL7	0.000198979557054312	0.0418859469557441	0.27103858235898	0.0418859469557441
ADGRG7	0.000241940059304815	0.09739323216219	0.307586462062855	0.09739323216219
AC006538.1	0.000376201772913898	0.0406948571640907	0.448385488091752	0.0406948571640907
AC090644.1	0.000424321544447636	-0.0546770739813287	0.475988932506848	-0.0546770739813287
AC007292.1	0.000465164789306627	0.0476912659554261	0.492816251782077	0.0476912659554261
TENT4B	0.000531445601637608	0.0118014568348623	0.533403559117325	0.0118014568348623
FBXL19-AS1	0.000570126927644928	0.0496317629428827	0.535230801155356	0.0496317629428827
CDC42-AS1	0.000602718344244483	0.0600479237964	0.535230801155356	0.0600479237964
KCNJ9	0.000648374524749917	0.016821960300857	0.535230801155356	0.016821960300857
SLIRP	0.000671376291817202	0.0205391625405928	0.535230801155356	0.0205391625405928
AL354949.1	0.00068212244358208	-0.0789889125959747	0.535230801155356	-0.0789889125959747
ZNF517	0.000737412899658796	-0.0350767910679379	0.535230801155356	-0.0350767910679379
AC108452.1	0.000741074583558485	-0.0438686135693069	0.535230801155356	-0.0438686135693069
TONSL	0.000768156634826414	0.0336517774500904	0.535230801155356	0.0336517774500904
TMSB10	0.000800254811339171	0.0524479061034126	0.535230801155356	0.0524479061034126
NLRP2	0.000869833201444217	-0.0423136313695412	0.535230801155356	-0.0423136313695412
AC017002.6	0.000881853649506028	0.0774325924469823	0.535230801155356	0.0774325924469823
AL035409.1	0.000889314827396077	0.0717823913289075	0.535230801155356	0.0717823913289075
CORO7	0.000898132440323618	-0.0186446470882564	0.535230801155356	-0.0186446470882564
AC090125.1	0.000938417945843822	0.0563797988134751	0.54229182506793	0.0563797988134751
SLC39A4	0.00100192390777694	0.0795955425986842	0.561101165847023	0.0795955425986842
AC007319.1	0.00108058148786844	0.0413931102218074	0.561101165847023	0.0413931102218074
CBX7	0.00113646184841245	-0.0135060902346271	0.561101165847023	-0.0135060902346271
EFCAB13	0.00113814570089797	-0.0354089862206347	0.561101165847023	-0.0354089862206347
ATXN3	0.00114457718659022	0.0100211854674555	0.561101165847023	0.0100211854674555
ZNF680	0.00114750631714913	-0.0124831271170916	0.561101165847023	-0.0124831271170916
SPTLC1	0.00118030950927241	-0.0124411433968318	0.562712558545623	-0.0124411433968318
METTL2A	0.00124848476887222	-0.0217537861025379	0.570468261077758	-0.0217537861025379
IDI2-AS1	0.00128753103004376	-0.0183535944231936	0.570468261077758	-0.0183535944231936
SDHAF2	0.00130064496471316	0.015044621923193	0.570468261077758	0.015044621923193
PYROXD2	0.00134276535336751	0.0333026274121469	0.570468261077758	0.0333026274121469
DYNLL1	0.00139247968186774	0.0251562537170082	0.570468261077758	0.0251562537170082
ZBTB46	0.00141587781246374	-0.0159537513781208	0.570468261077758	-0.0159537513781208
C2CD4C	0.00143971637335217	-0.0243752068166435	0.570468261077758	-0.0243752068166435
FAHD2A	0.00150298961470202	0.0125569048860296	0.570468261077758	0.0125569048860296
AC024075.2	0.00155001028094779	-0.0318651111767592	0.570468261077758	-0.0318651111767592
FKBP5	0.00155037547159444	-0.0223269435055912	0.570468261077758	-0.0223269435055912
PLOD1	0.00155164798956209	0.0161895321350108	0.570468261077758	0.0161895321350108
RPL21	0.00155555058080983	0.0327778965881582	0.570468261077758	0.0327778965881582
NFXL1	0.00159087305467853	0.0117769899729859	0.572414134956974	0.0117769899729859
REEP1	0.00162752096609302	0.00674443984235294	0.574756015248034	0.00674443984235294
MKS1	0.0016880296537166	0.0231758748831278	0.582378284005913	0.0231758748831278
HSPB1	0.00173023883759775	0.0539418533462814	0.582378284005913	0.0539418533462814
TSC22D3	0.0017679601779115	0.0201484689244588	0.582378284005913	0.0201484689244588
AC091563.1	0.00179638005171885	0.0186148062695194	0.582378284005913	0.0186148062695194
ADGRA2	0.00181099094502997	-0.0184279888090479	0.582378284005913	-0.0184279888090479
BTBD3	0.00183267815497458	-0.012849616196138	0.582378284005913	-0.012849616196138
PARPBP	0.00189336285299513	-0.0285749990701147	0.582378284005913	-0.0285749990701147
ZNF471	0.00189341654999301	0.0132331014607606	0.582378284005913	0.0132331014607606
DNAJB14	0.00197236352317998	-0.00692036432122547	0.58841679879042	-0.00692036432122547
MAN2A2	0.00197476010081735	-0.0132149463298769	0.58841679879042	-0.0132149463298769
CHRNA2	0.00201092661397534	0.0126186452552265	0.589974931207841	0.0126186452552265
SLC66A1	0.00204616608836176	-0.0256066628075004	0.591217989470589	-0.0256066628075004
RPS14	0.00221035535795632	0.0247796109481067	0.60794990721062	0.0247796109481067
LGALS1	0.00221438804098272	0.0476664113258207	0.60794990721062	0.0476664113258207
NPC2	0.00224539590641919	0.0279892765399257	0.60794990721062	0.0279892765399257
SOX11	0.00227644315028616	0.0379876313212838	0.60794990721062	0.0379876313212838
AC093206.1	0.00231918223993074	0.0281475054411341	0.60794990721062	0.0281475054411341
PIK3AP1	0.0023366817911217	0.0807279732501834	0.60794990721062	0.0807279732501834
TMEM87B	0.00233937697256615	-0.0142164038381974	0.60794990721062	-0.0142164038381974
NDUFS5	0.00235911343123156	0.0269313597238279	0.60794990721062	0.0269313597238279
AC012360.1	0.0023981122958695	0.0671808144144402	0.609760019763086	0.0671808144144402
EXOC8	0.00243322520693779	0.0229850909455291	0.610547430214523	0.0229850909455291
AC092118.2	0.00255906889454114	0.0407103320710553	0.624533912534118	0.0407103320710553
USP46	0.00258349763189039	-0.0127379732136666	0.624533912534118	-0.0127379732136666
ALLC	0.0026662130840784	0.0703653919247078	0.624533912534118	0.0703653919247078
NDUFB1	0.00267847995609822	0.0162965469529195	0.624533912534118	0.0162965469529195
KCNN3	0.00268511554703499	-0.0144151052494405	0.624533912534118	-0.0144151052494405
AKT2	0.00268546307434702	0.00945708954363714	0.624533912534118	0.00945708954363714
RRP12	0.00276095777973529	0.0154708593928979	0.634354998307855	0.0154708593928979
AC092802.1	0.00284501229382038	-0.0403230184109208	0.643464405854477	-0.0403230184109208
HHIPL1	0.00286808990548666	0.0147784395674866	0.643464405854477	0.0147784395674866
CHIC1	0.00295245646571945	-0.00904757552414266	0.654690055828719	-0.00904757552414266
MTMR1	0.00307302702042597	-0.00948181538769846	0.669079121838541	-0.00948181538769846
CD93	0.0030875177095853	0.049618775911891	0.669079121838541	0.049618775911891
EBPL	0.00315554707550606	0.0126732689056521	0.672545545791205	0.0126732689056521
WASHC1	0.0031740481972317	0.0174664249091936	0.672545545791205	0.0174664249091936
HNRNPK	0.00326911506542267	0.01261614153877	0.672716160108108	0.01261614153877
ZNF641	0.0032952062428847	-0.0108472576525684	0.672716160108108	-0.0108472576525684
NMNAT3	0.00349831557441263	-0.0185617148841349	0.672716160108108	-0.0185617148841349
PRKCH	0.00349877543607927	0.0396955036998588	0.672716160108108	0.0396955036998588
VWA5B1	0.00351370341615591	0.0271286726927917	0.672716160108108	0.0271286726927917
AC011824.1	0.00356270634041361	-0.0743351216131186	0.672716160108108	-0.0743351216131186
NRBF2	0.00360596819981889	-0.0217514567671009	0.672716160108108	-0.0217514567671009
COQ10A	0.00372510241496777	-0.0299654804040114	0.672716160108108	-0.0299654804040114
ZNF670	0.0038022801765295	0.0146071262872263	0.672716160108108	0.0146071262872263
TMEM132B	0.00384493130715402	-0.00789979968285949	0.672716160108108	-0.00789979968285949
SND1-IT1	0.00387293592864524	0.0243707050897226	0.672716160108108	0.0243707050897226
LINC01341	0.00391036824656773	0.0217597232505676	0.672716160108108	0.0217597232505676
FRMD8	0.00393227453838392	-0.0235846463783366	0.672716160108108	-0.0235846463783366
AC106818.2	0.00397516367616719	0.0207937253459076	0.672716160108108	0.0207937253459076
FAM218A	0.00398547502874156	-0.0356481306166346	0.672716160108108	-0.0356481306166346
TBC1D12	0.00402443967240614	0.00937366606122593	0.672716160108108	0.00937366606122593
AC103923.1	0.004076669851161	0.0331867418789382	0.672716160108108	0.0331867418789382
TIMM17A	0.00407826181822146	0.0180071939478611	0.672716160108108	0.0180071939478611
LINC02112	0.0041095335788799	0.0227420715534796	0.672716160108108	0.0227420715534796
PDC	0.00413811280631295	-0.0558030669136999	0.672716160108108	-0.0558030669136999
GPER1	0.00414400276930341	0.0642931165867624	0.672716160108108	0.0642931165867624
AC022915.2	0.00418333221646937	-0.0336208428720966	0.672716160108108	-0.0336208428720966
TRMT12	0.00421292454107101	0.018888113791367	0.672716160108108	0.018888113791367
AC105230.1	0.00431274997761024	-0.0446087194222538	0.672716160108108	-0.0446087194222538
CDC6	0.00433315189885645	0.0595706895938973	0.672716160108108	0.0595706895938973
AP002518.2	0.00434257063919112	-0.037368026267499	0.672716160108108	-0.037368026267499
WAC	0.00434891203990826	-0.0060374767952565	0.672716160108108	-0.0060374767952565
AC010186.3	0.0043566192552324	0.0601094898349775	0.672716160108108	0.0601094898349775
AL132780.1	0.00438044247961737	0.034458043616159	0.672716160108108	0.034458043616159
AL022069.1	0.00439915528145075	-0.0360513564027102	0.672716160108108	-0.0360513564027102
RPS17	0.00444027275391371	0.0296469937679521	0.672716160108108	0.0296469937679521
GATD3A	0.00448151487417724	-0.0430548758130471	0.672716160108108	-0.0430548758130471
AL035696.4	0.00449080482736607	0.0652320909535363	0.672716160108108	0.0652320909535363
EEF1G	0.00451461059486285	0.0210413726472041	0.672716160108108	0.0210413726472041
TRAF6	0.00453022379058832	0.0133499748246678	0.672716160108108	0.0133499748246678
BABAM2	0.00453319909760807	-0.00657025932345808	0.672716160108108	-0.00657025932345808
DFFA	0.00454611402625122	0.0122990850128328	0.672716160108108	0.0122990850128328
PER3	0.0046127949892086	0.00855676015099918	0.672716160108108	0.00855676015099918
TRMT5	0.00462817871574211	-0.0248762194979148	0.672716160108108	-0.0248762194979148
AC106897.1	0.00466506471646499	0.0301967822401274	0.672716160108108	0.0301967822401274
DIRC3	0.00467537595652148	-0.0103061746716143	0.672716160108108	-0.0103061746716143
RPL13A	0.00468736097079965	0.0256541317613085	0.672716160108108	0.0256541317613085
FOXO6	0.00471190759721199	-0.0390679217610221	0.672716160108108	-0.0390679217610221
AC026523.4	0.00473376124854448	0.053323750789311	0.672716160108108	0.053323750789311
RUFY4	0.00476228010564209	0.0439057876622925	0.672716160108108	0.0439057876622925
ZNF256	0.00485589397336638	-0.0465451757905785	0.676732190961633	-0.0465451757905785
SLC35C1	0.00486168380502065	-0.0340221316079006	0.676732190961633	-0.0340221316079006
MAP4K5	0.0050013358819021	-0.00655885439375617	0.689376722740682	-0.00655885439375617
FUZ	0.00503718530643412	0.0263265600622282	0.689376722740682	0.0263265600622282
AC036214.4	0.00506097226972708	-0.0592507446814644	0.689376722740682	-0.0592507446814644
PPP1R3D	0.00518415579031392	-0.0495774217788541	0.698919539937608	-0.0495774217788541
ZNF318	0.00520433008238806	0.00784129952795781	0.698919539937608	0.00784129952795781
RPL26	0.00528503690956022	0.0290856033841639	0.702864375778121	0.0290856033841639
SPINK8	0.00530741846418717	-0.049974646983041	0.702864375778121	-0.049974646983041
OTUD7A	0.00541523528487244	-0.0062384857540868	0.712196806086327	-0.0062384857540868
BCAS1	0.00546979520537412	-0.0502549080228592	0.714445168263593	-0.0502549080228592
NFIX	0.0055928291226314	-0.00687271966646422	0.725545927677421	-0.00687271966646422
HMGN5	0.00577308470256082	-0.0163290277681664	0.727082119826873	-0.0163290277681664
AC084036.1	0.00586186528128188	-0.039839187488833	0.727082119826873	-0.039839187488833
BRI3	0.00586878750470884	-0.0116423888304531	0.727082119826873	-0.0116423888304531
AL358335.2	0.00590895085129481	0.0288220642928744	0.727082119826873	0.0288220642928744
APOL6	0.00601598854738662	0.0507405166138801	0.727082119826873	0.0507405166138801
AC073176.2	0.00605849982118624	0.0642771946607694	0.727082119826873	0.0642771946607694
L3MBTL4	0.0060918713077298	-0.00631251819248432	0.727082119826873	-0.00631251819248432
AL807776.1	0.00613262148923885	-0.0665654438513812	0.727082119826873	-0.0665654438513812
NDC1	0.00613395955996615	-0.0183890817996341	0.727082119826873	-0.0183890817996341
AC093895.1	0.00614492906058796	0.079504711957469	0.727082119826873	0.079504711957469
AL021395.1	0.00620333272346985	0.0642816797313758	0.727082119826873	0.0642816797313758
AC069277.1	0.00628191807724001	-0.0811220666322152	0.727082119826873	-0.0811220666322152
RAP2A	0.00631509819587353	0.0103500336751447	0.727082119826873	0.0103500336751447
IDO1	0.00634636705723449	0.0577268354350428	0.727082119826873	0.0577268354350428
ETS1	0.0063687564338211	-0.0267172742252005	0.727082119826873	-0.0267172742252005
MFSD5	0.00637847194617571	0.028996531005771	0.727082119826873	0.028996531005771
BBS5	0.00643835389423116	-0.0113903987089092	0.727082119826873	-0.0113903987089092
RRAGB	0.00647955047688841	0.0104182674779231	0.727082119826873	0.0104182674779231
NRXN2	0.00648250126733877	0.00704827540105853	0.727082119826873	0.00704827540105853
ACSM1	0.00648393417040381	-0.0884581333936727	0.727082119826873	-0.0884581333936727
CU638689.4	0.00648844620369726	0.0515615572350254	0.727082119826873	0.0515615572350254
PCSK6	0.00649104381963193	-0.0189057109876978	0.727082119826873	-0.0189057109876978
TMEM182	0.00649331551242362	0.0112826235175739	0.727082119826873	0.0112826235175739
DHRS4	0.00651971906084925	-0.0305811522251273	0.727082119826873	-0.0305811522251273
MAPK14	0.00658080842551148	-0.00685712428704709	0.729628003921534	-0.00685712428704709
ATP6V1F	0.00668955338537029	0.023459978803408	0.737397589936483	0.023459978803408
AC244517.5	0.00680310094168571	-0.0834961768372105	0.739370504459855	-0.0834961768372105
AC011995.2	0.00687616109461766	-0.0217217414827824	0.739370504459855	-0.0217217414827824
AL357054.2	0.00690300488469303	0.0134353065462933	0.739370504459855	0.0134353065462933
ORMDL1	0.00690719194482003	-0.0115299626205566	0.739370504459855	-0.0115299626205566
AC010528.2	0.00696946661045533	0.0647277625500865	0.739370504459855	0.0647277625500865
LYRM7	0.00700726441070417	0.00987435929866927	0.739370504459855	0.00987435929866927
AANAT	0.00703133580202776	-0.0717942634430168	0.739370504459855	-0.0717942634430168
DAD1	0.00710076378406254	0.0193538681176298	0.739370504459855	0.0193538681176298
SPAG17	0.00714251852908428	0.0431361520866302	0.739370504459855	0.0431361520866302
LINC00486	0.00719772184803844	0.0311523251482067	0.739370504459855	0.0311523251482067
UQCR11	0.00720631226286964	0.0197396156668371	0.739370504459855	0.0197396156668371
SPANXA2-OT1	0.00721033407429304	-0.0156095577691313	0.739370504459855	-0.0156095577691313
RPL38	0.00723303599816171	0.0283013287706056	0.739370504459855	0.0283013287706056
KLHL4	0.0072502508827474	-0.0442173494974351	0.739370504459855	-0.0442173494974351
AC104135.1	0.00742432915251768	0.0482805187912549	0.742569301372338	0.0482805187912549
AC021086.1	0.00742912623059996	-0.031533523711467	0.742569301372338	-0.031533523711467
BICRA-AS1	0.00743554309469878	-0.0547863764140409	0.742569301372338	-0.0547863764140409
LINC00595	0.00748139158871393	0.02480822335777	0.742569301372338	0.02480822335777
TCFL5	0.00748889540011131	0.0172890147997051	0.742569301372338	0.0172890147997051
NUDT21	0.00751525302385218	0.0111746667006899	0.742569301372338	0.0111746667006899
POMC	0.00757470102473836	0.0444386553056128	0.743926511157705	0.0444386553056128
AKAP3	0.00762014898575097	-0.0709114305893087	0.743926511157705	-0.0709114305893087
RPS28	0.00779731270520121	0.0229466040930369	0.743926511157705	0.0229466040930369
