gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	1.68902054882357e-22	0.0948306441955309	2.87876662341489e-18	0.0948306441955309
USP9Y	1.11373945333486e-20	0.0897558352313332	9.49128762131963e-17	0.0897558352313332
NLGN4Y	2.89146074950683e-20	0.090766905059243	1.64273523381981e-16	0.090766905059243
UTY	9.15702582465856e-08	0.0447665339996937	0.000390180870388701	0.0447665339996937
LINC01515	1.44592251924518e-06	-0.141632528349826	0.00492886068360298	-0.141632528349826
AC244502.1	5.64691344618204e-06	-0.160780553183527	0.0160409987961211	-0.160780553183527
SPARC	5.82315331581559e-05	0.0560951613896955	0.141785464449658	0.0560951613896955
MTMR6	0.000113002176424381	0.0164031480312746	0.219757971577036	0.0164031480312746
DCUN1D3	0.000116042111252835	-0.0474802015072501	0.219757971577036	-0.0474802015072501
CBLN4	0.000137764647111587	0.0588499967966747	0.234806064536988	0.0588499967966747
ADCY3	0.000162072020386528	0.0138700038339116	0.251123228678908	0.0138700038339116
UBQLN4	0.000194965766653945	0.0277729821943586	0.276916377237487	0.0277729821943586
DYNLL2	0.000216923840338042	0.021325686643694	0.28440384113243	0.021325686643694
CCDC85B	0.000263972360278033	0.0327461353908931	0.309400943475993	0.0327461353908931
ADAL	0.000272296066189855	-0.0219893261366828	0.309400943475993	-0.0219893261366828
ZNF658	0.000356745956451947	0.0283258671589948	0.326707152427046	0.0283258671589948
PABPC4	0.000380485153187268	0.0223551032682237	0.326707152427046	0.0223551032682237
AC174065.1	0.00039923572610148	0.0649632264060347	0.326707152427046	0.0649632264060347
PIEZO2	0.000407069075336361	0.0218844267836634	0.326707152427046	0.0218844267836634
GJD2	0.000418040761548176	0.0515284585803226	0.326707152427046	0.0515284585803226
AC090589.2	0.000424806999599477	-0.0872017344692617	0.326707152427046	-0.0872017344692617
FAM120A	0.000442671312295794	0.0110198336388203	0.326707152427046	0.0110198336388203
SLC35F1	0.000445373342780616	-0.00769673339988221	0.326707152427046	-0.00769673339988221
AL024495.1	0.000485486527868448	0.0336196608079571	0.326707152427046	0.0336196608079571
BRD9	0.000495947739701484	0.0180795130794563	0.326707152427046	0.0180795130794563
RPL35	0.000505596757482152	0.0295890638783202	0.326707152427046	0.0295890638783202
MT-ND6	0.000517548293565491	0.0352804238122399	0.326707152427046	0.0352804238122399
RIMS3	0.000567472238591931	0.0128536471309083	0.345428458377174	0.0128536471309083
GTF2H2C	0.000630218473207624	0.0276010758772182	0.370394608874164	0.0276010758772182
ANKRD6	0.000700164721890164	0.0115740232418461	0.397786917329865	0.0115740232418461
AL133334.1	0.00072612385170853	-0.0717020504296084	0.399227578339361	-0.0717020504296084
CCDC125	0.000771236158912101	0.0190903073679091	0.410779659140558	0.0190903073679091
TARID	0.00087300970023737	0.0841352775539327	0.449751522412038	0.0841352775539327
AKAP6	0.000927662858136828	-0.00513774582338078	0.449751522412038	-0.00513774582338078
PHTF2	0.000930723862589187	-0.0092206113097886	0.449751522412038	-0.0092206113097886
HYDIN	0.000999201033348705	0.0185511633390974	0.449751522412038	0.0185511633390974
UBR5-AS1	0.00101133376794662	0.0296074718387211	0.449751522412038	0.0296074718387211
HDAC9	0.0010425737885317	0.0130596817700398	0.449751522412038	0.0130596817700398
C5orf67	0.00106142480308518	0.0805026462308846	0.449751522412038	0.0805026462308846
FBLN7	0.00107975757788026	-0.0240391322355946	0.449751522412038	-0.0240391322355946
RPL27A	0.00108189465025191	0.0301470930254979	0.449751522412038	0.0301470930254979
ANKRD30A	0.00122182472845581	0.07442873033627	0.495828111233355	0.07442873033627
AC009315.1	0.00129555099631152	0.0550794863627112	0.502912692113408	0.0550794863627112
LINC00486	0.00129829608384123	0.0407365381382603	0.502912692113408	0.0407365381382603
SOCS7	0.00138111783910366	0.0116958659508484	0.523106054437396	0.0116958659508484
PEX11G	0.00143947357280511	0.0711996054986552	0.533356251628051	0.0711996054986552
AL109627.1	0.00158934624199387	0.0690425386253226	0.567771373583364	0.0690425386253226
MADD	0.00159898063435822	0.0104810750850844	0.567771373583364	0.0104810750850844
WDR82	0.00174138491339451	0.0137838463756652	0.596602251863002	0.0137838463756652
MED31	0.00176141230771968	0.0196622178941292	0.596602251863002	0.0196622178941292
ZNF786	0.00181232594694803	-0.0188147457680752	0.596602251863002	-0.0188147457680752
CNTN3	0.00182018992589041	-0.00733091297832715	0.596602251863002	-0.00733091297832715
WDR34	0.00190091516109739	0.0357954229638298	0.596638648997549	0.0357954229638298
ZNF326	0.00190569424906311	-0.0124033817641835	0.596638648997549	-0.0124033817641835
OR2L3	0.00198238270436731	0.0254737533836289	0.596638648997549	0.0254737533836289
NWD1	0.00198554192295272	0.0491666589837549	0.596638648997549	0.0491666589837549
LINC01562	0.00200412378476712	0.0306502064211278	0.596638648997549	0.0306502064211278
AC008438.1	0.00203033569830191	0.0207790720139663	0.596638648997549	0.0207790720139663
NEDD8	0.00208603807692912	0.0191730559013375	0.60261750818949	0.0191730559013375
SAMD14	0.00217784050128908	-0.0232851404958631	0.618651891732852	-0.0232851404958631
TECTA	0.00230172038308388	0.0243137884864771	0.633371023188413	0.0243137884864771
LINC02234	0.00230397814114536	-0.119000392356521	0.633371023188413	-0.119000392356521
