gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	4.46762540750413e-14	0.0651196226398746	8.66987386580251e-10	0.0651196226398746
USP9Y	1.54655962431881e-09	0.048691926462559	1.50062680347655e-05	0.048691926462559
NLGN4Y	5.42951137878952e-08	0.0464964396444354	0.000351216992722631	0.0464964396444354
LINC01515	1.13988972889232e-05	-0.133453262816167	0.0451319951895624	-0.133453262816167
BCL7A	1.33303943788316e-05	0.0214320004908654	0.0451319951895624	0.0214320004908654
AP000708.1	1.3954033347283e-05	0.0802280600357275	0.0451319951895624	0.0802280600357275
F11R	9.97806211021692e-05	-0.174529454035493	0.276620390444099	-0.174529454035493
SERPINE1	0.000142277729567832	-0.332116719969833	0.345130202499167	-0.332116719969833
UTY	0.000164862562622863	0.0270063892860684	0.353098704764811	0.0270063892860684
ENTPD1	0.000181953367394008	0.0667783904855228	0.353098704764811	0.0667783904855228
ZNF578	0.000266057063800357	0.0407200762152998	0.45871532011351	0.0407200762152998
DLG3	0.000283653707171087	0.0201867800899509	0.45871532011351	0.0201867800899509
SUN1	0.000311637627210398	-0.012564183166172	0.465203061049614	-0.012564183166172
SYS1	0.000350873499056023	0.0332688217798718	0.486360794477227	0.0332688217798718
PCDH11Y	0.000433856603438302	0.0392792575320728	0.512309225865744	0.0392792575320728
AC020661.2	0.000435305024977186	0.0946758570732613	0.512309225865744	0.0946758570732613
AC013470.2	0.000448791963295767	0.11419977683726	0.512309225865744	0.11419977683726
AL023284.4	0.00048632517580013	-0.0326123913739332	0.524312575643185	-0.0326123913739332
SEPSECS-AS1	0.000520000428121698	-0.052655603413767	0.531112016217351	-0.052655603413767
AC073534.2	0.000608620365697647	0.0901266514739423	0.590544340836426	0.0901266514739423
NHLRC2	0.000702240851713225	0.0159427610069751	0.648937427064135	0.0159427610069751
TOR1A	0.000738797284323118	0.0377649494696367	0.651686368162474	0.0377649494696367
PRR7-AS1	0.000930422806840873	-0.103692232248962	0.762290681137547	-0.103692232248962
LAMTOR5-AS1	0.00100196472586188	0.0192466289329464	0.762290681137547	0.0192466289329464
SIN3B	0.00104845593463773	0.0146964061716241	0.762290681137547	0.0146964061716241
AC006305.1	0.00112608319353304	0.0832255155910269	0.762290681137547	0.0832255155910269
CHL1-AS1	0.00113083471272454	0.102285099595458	0.762290681137547	0.102285099595458
DYNLL1	0.00117243388462063	0.0258270736510361	0.762290681137547	0.0258270736510361
ZZEF1	0.00122465910114355	-0.0110160766000115	0.762290681137547	-0.0110160766000115
GPR78	0.00126357632194407	0.106092497525032	0.762290681137547	0.106092497525032
EGLN2	0.00126878545752641	0.0246836871289662	0.762290681137547	0.0246836871289662
ABRACL	0.00132070532776631	0.0436282758742135	0.762290681137547	0.0436282758742135
CCNL2	0.00132742906732024	0.011987506292864	0.762290681137547	0.011987506292864
TMEM17	0.00133556029880844	0.0458042743874812	0.762290681137547	0.0458042743874812
AC069277.1	0.00140201551200663	-0.207765656773131	0.774605851327185	-0.207765656773131
AC022601.1	0.00151322863688323	-0.106593987541054	0.774605851327185	-0.106593987541054
AMIGO1	0.00158708491273859	0.0227038643453027	0.774605851327185	0.0227038643453027
PLPP6	0.00158967304286075	0.0457635994328339	0.774605851327185	0.0457635994328339
ZNF625	0.00164454905642171	-0.0283696304338377	0.774605851327185	-0.0283696304338377
OLFM2	0.00167993183971698	0.0129547246969992	0.774605851327185	0.0129547246969992
KCNK1	0.00172839776389463	0.0148387841420665	0.774605851327185	0.0148387841420665
SAAL1	0.00176347415199783	-0.0259331314310599	0.774605851327185	-0.0259331314310599
PLAC8L1	0.00177149560698553	0.0292193582876761	0.774605851327185	0.0292193582876761
FAM163B	0.00182643817934271	0.0602961913649407	0.774605851327185	0.0602961913649407
MYDGF	0.00184833035483944	0.0230743928627545	0.774605851327185	0.0230743928627545
PPM1K-DT	0.00186750988037495	-0.0379602042436188	0.774605851327185	-0.0379602042436188
TMEM250	0.00187604220408006	-0.0384443519672001	0.774605851327185	-0.0384443519672001
AF131215.5	0.00203943868732171	-0.0528014532157424	0.800785124877381	-0.0528014532157424
ATP1A2	0.00209567703534603	0.090755341627892	0.800785124877381	0.090755341627892
PRLHR	0.00210543450949736	-0.0289055312230082	0.800785124877381	-0.0289055312230082
GPR179	0.00215804980778517	0.0659860785049716	0.800785124877381	0.0659860785049716
RHOF	0.00216745685650015	0.0332746817276715	0.800785124877381	0.0332746817276715
MTMR9	0.0021870355363548	0.0144106645613134	0.800785124877381	0.0144106645613134
LINC02208	0.00240128926715358	0.0533273627612824	0.837712687695058	0.0533273627612824
MRC2	0.00243500456317872	0.0752922459689707	0.837712687695058	0.0752922459689707
AC105446.1	0.0024498117246445	0.0775158992846991	0.837712687695058	0.0775158992846991
AC010889.1	0.00251150837741649	0.123679909182484	0.837712687695058	0.123679909182484
LHFPL3	0.00259817537034095	-0.0200870543075202	0.837712687695058	-0.0200870543075202
CPO	0.00268321762626646	0.0238803190699698	0.837712687695058	0.0238803190699698
WAS	0.00269678663882124	-0.0875687700292635	0.837712687695058	-0.0875687700292635
MYO15A	0.00274011566776676	-0.0296309128693053	0.837712687695058	-0.0296309128693053
NCAPD3	0.00274811884850604	-0.0198660670350342	0.837712687695058	-0.0198660670350342
RPL11	0.00278906705137593	0.0229814725594189	0.837712687695058	0.0229814725594189
IGSF9B	0.0028261288840044	-0.0149002008692961	0.837712687695058	-0.0149002008692961
UMAD1	0.00284992418277611	-0.0089400726505411	0.837712687695058	-0.0089400726505411
SMYD3	0.00290419027392987	-0.00623318011732336	0.837712687695058	-0.00623318011732336
SCML1	0.00295154911452399	-0.0193084140415651	0.837712687695058	-0.0193084140415651
MLX	0.00295340088666216	-0.0264603921255903	0.837712687695058	-0.0264603921255903
ABHD1	0.00300098917325763	-0.0944487371107251	0.837712687695058	-0.0944487371107251
AC079807.1	0.00302174008753242	0.0685060684044762	0.837712687695058	0.0685060684044762
OAZ1	0.0032877883753763	0.0213030520494166	0.867109802567308	0.0213030520494166
AC025539.1	0.00336065462856246	0.0608847296748765	0.867109802567308	0.0608847296748765
AC087500.1	0.00343735382665246	0.0134939380156713	0.867109802567308	0.0134939380156713
