gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	9.9498479734244e-32	0.112677483967746	1.88231223961243e-27	0.112677483967746
USP9Y	2.20006636960025e-30	0.121090006667233	2.08104277900488e-26	0.121090006667233
NLGN4Y	9.23770892058599e-26	0.11123268493139	5.82529924532153e-22	0.11123268493139
UTY	1.03738645983896e-21	0.0900638629928855	4.90631926180838e-18	0.0900638629928855
PCDH11Y	7.17142681325857e-13	0.0528615594195333	2.71338104906451e-09	0.0528615594195333
LINC01515	7.51055360454335e-07	-0.171189724016101	0.00236807755151252	-0.171189724016101
LINC01578	1.4709753827636e-05	-0.0132339842054202	0.0397541604158882	-0.0132339842054202
TTTY10	3.18312193587231e-05	0.032854926369467	0.0752728759785405	0.032854926369467
AL358394.1	5.61600415181825e-05	0.0822575617910043	0.11804840727122	0.0822575617910043
C4orf48	0.000102047055400735	0.0394811058178774	0.193052619407111	0.0394811058178774
AC004908.3	0.000141235619050399	0.0570038580567688	0.226328783689023	0.0570038580567688
TIMP1	0.000143564087338423	-0.121831456595889	0.226328783689023	-0.121831456595889
MYOCD	0.000169330539026327	0.0861843789603455	0.246415010561542	0.0861843789603455
AL390816.2	0.000203204782051581	0.0711936100718099	0.274587719060844	0.0711936100718099
MIR222HG	0.000307418077334158	-0.0959945850375702	0.38771567913384	-0.0959945850375702
IGFBP2	0.000361910276187308	0.0749831810664619	0.427913662806969	0.0749831810664619
TRIM68	0.000409142343466146	0.0365451062125935	0.453330596166679	0.0365451062125935
LINC00486	0.000431332631937848	0.0410423869739932	0.453330596166679	0.0410423869739932
AC233723.1	0.000467524972248739	0.0663970819621103	0.465507232894824	0.0663970819621103
AC069155.1	0.000554233248616292	-0.0577055369778506	0.52424922986615	-0.0577055369778506
RPS19BP1	0.000680844939166863	0.0301505592472526	0.576261514070952	0.0301505592472526
AC092745.4	0.000710410774423714	-0.035790666916198	0.576261514070952	-0.035790666916198
NDUFB7	0.000730297960193548	0.0289763964516185	0.576261514070952	0.0289763964516185
GAB2	0.000731064400978055	-0.0095039550843967	0.576261514070952	-0.0095039550843967
ZNF695	0.000772993179406215	0.0436340701570168	0.584939398720271	0.0436340701570168
TRAPPC5	0.000904616192129339	0.0244248347910272	0.648266538412337	0.0244248347910272
C2orf76	0.00092521389878069	-0.0171095971828989	0.648266538412337	-0.0171095971828989
NDUFA4	0.00101207735809032	0.0286189152877432	0.683802837869738	0.0286189152877432
NMT1	0.0010966488240473	0.00853343315566901	0.688067000571067	0.00853343315566901
