gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	2.51454598047655e-34	0.125636437208266	4.44546583888449e-30	0.125636437208266
USP9Y	3.09185639073333e-31	0.115734793062251	2.73304645658873e-27	0.115734793062251
UTY	6.832442602814e-27	0.108258985520714	4.02635842583829e-23	0.108258985520714
NLGN4Y	2.70893975801618e-25	0.103089432769421	1.1972836495492e-21	0.103089432769421
PCDH11Y	6.98166603596773e-19	0.079549449906457	2.46857747699747e-15	0.079549449906457
TBL1Y	5.92546522322522e-08	0.0508524814103452	0.000174593832802331	0.0508524814103452
LINC01515	5.33790390181885e-07	-0.175852673449805	0.00134812575828936	-0.175852673449805
UBE3A	4.25276747629116e-05	-0.00782595697797539	0.0939808452666893	-0.00782595697797539
ZFHX2-AS1	6.60355800198228e-05	-0.0165342494758505	0.129715891018939	-0.0165342494758505
LINC00621	0.000103087666781715	-0.0250406760237797	0.182248686103395	-0.0250406760237797
AC097639.1	0.000115296127127511	0.0602999624219195	0.185301839226115	0.0602999624219195
PCNX4	0.000152560470493744	-0.00819513762046838	0.224759713154908	-0.00819513762046838
C4orf48	0.000205210858251609	0.0362646150079396	0.279070981771554	0.0362646150079396
RPL13A	0.000223135238971576	0.0324721361580636	0.281771992127036	0.0324721361580636
AC002383.1	0.000245550794114746	0.0427802776971343	0.28940616594364	0.0427802776971343
XIST	0.000305721682013493	0.0640396848010351	0.333328455172179	0.0640396848010351
RPS4Y1	0.000328460592920525	0.0281616088449973	0.333328455172179	0.0281616088449973
RPL35	0.000344136692194809	0.0284311730964987	0.333328455172179	0.0284311730964987
G0S2	0.000358235230967329	0.0507108046967746	0.333328455172179	0.0507108046967746
SOCS4	0.000397721400681269	0.0141787696367335	0.351565832132208	0.0141787696367335
CITED2	0.000453918297362317	0.0218168971345478	0.356100648060652	0.0218168971345478
AC008945.2	0.000456427179521377	0.0376501376074616	0.356100648060652	0.0376501376074616
GADD45GIP1	0.000463279309089598	0.0311270161342087	0.356100648060652	0.0311270161342087
CHMP6	0.000510928589792877	0.0190493010450093	0.366765253102591	0.0190493010450093
BBS7	0.000518645360459573	-0.00904607710547249	0.366765253102591	-0.00904607710547249
SMAP1	0.000603281258199896	-0.00556613728823632	0.390864565907369	-0.00556613728823632
CCDC85B	0.000610954387709196	0.0315366535154701	0.390864565907369	0.0315366535154701
ATP5ME	0.000619051295062296	0.0278228536181725	0.390864565907369	0.0278228536181725
PET100	0.000674444978513838	0.0352596471862191	0.397959182031637	0.0352596471862191
ATP5MPL	0.000683266200825222	0.0221498995360349	0.397959182031637	0.0221498995360349
HSPB1	0.000697818578142471	0.0883136894731921	0.397959182031637	0.0883136894731921
AC004949.1	0.000766712911836659	0.0411271985576499	0.410880784880637	0.0411271985576499
BEND3	0.000766958872168167	0.0275836935479492	0.410880784880637	0.0275836935479492
LINC01550	0.000810938895734725	-0.0442692612367118	0.421664374638065	-0.0442692612367118
RPL31	0.000878453201666476	0.0274365763924668	0.433367139949119	0.0274365763924668
AL133453.1	0.000891129623484241	-0.0330054205342576	0.433367139949119	-0.0330054205342576
PDZK1	0.000921757202363043	-0.0502499400848871	0.433367139949119	-0.0502499400848871
