logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.2534740861333	0.0848470144620269	4.84702479072765	-0.00595043012674179	-1.53428964286163e-05	5.31248940061179e-05	0.0696288087604948	0.0096585634516272	0.143942460049549	0.00752785634683785	9.17722858342972e-06	3.62433460874092e-05	0	1.56864420386222e-18	1.41975703522465e-248	0.42926221377625	0.0945550473454572	0.142707312705015	36514	TTTY14	2.48943835152934e-14	0.0848470144620269	0.305593793236658	0.164145410027457	-10	NBGMM (HL)
-10.3225042509408	0.069720089375677	4.90752743946601	0.00185619042204166	-2.91648882524221e-06	-3.94742562179979e-05	0.0732667560223246	0.00961579534788267	0.150077469384272	0.00698863585508493	1.01529629602352e-05	3.9178440838681e-05	0	4.14991967947519e-13	1.56373827185278e-234	0.79054632246046	0.773917117500675	0.313670320215533	36501	NLGN4Y	3.29296126566356e-09	0.069720089375677	0.292508478061789	0.222670356421387	1	NBGMM (HL)
-10.6706987748618	0.0582998346183219	4.46579056460812	0.00136673300482936	-3.36759273910919e-06	-2.28959552141887e-05	0.0768247136486542	0.00909265308324658	0.152621862458413	0.00720923406581276	1.00395892149439e-05	4.07335898588833e-05	0	1.43856926344608e-10	3.30240068015691e-188	0.849637563805673	0.737299739379925	0.574054505728857	36493	USP9Y	7.61003140362978e-07	0.0582998346183219	0.216305533628883	0.086569027138501	1	NBGMM (HL)
-13.3598603830184	-0.22384946896208	0.170325832165237	-0.00758025103491514	2.18045651737682e-05	-0.000122837780546203	0.180438345449681	0.0357954927058806	0.270848714346934	0.0298046887192689	4.10210413049246e-05	0.000177394250827054	0	4.01185420553679e-10	0.529440933541678	0.799239988569404	0.595040562271094	0.488650770732688	18098	LINC01515	1.59170315604672e-06	-0.22384946896208	1.02439054593751	2.19027507805618	1	NBGMM (HL)
-10.7416667030002	0.0431198638573162	4.40772427885985	-0.00153029781575237	2.62340206070261e-05	-0.000125038626377301	0.0781698724411031	0.00870871455420341	0.154162877264861	0.00720693863433101	9.77415930141075e-06	4.07835799362319e-05	0	7.3701718391257e-07	8.60761602978672e-180	0.831844338739028	0.00727431650567087	0.00217011457890982	36496	UTY	0.0023392925417385	0.0431198638573162	0.17037228413341	0.0599831554190661	1	NBGMM (HL)
-13.9428917829805	0.102988006096117	1.09820501184157	-0.0902655665150611	-9.10536076022018e-05	0.000510956326454745	0.252250969422726	0.0245622540727802	0.328600541973149	0.0452477901406293	7.64567205665939e-05	0.000318443265367259	0	2.75364838625214e-05	0.000831569999621189	0.046051979481224	0.233686173596589	0.108594127733223	17948	AL358394.1	0.0728339998163691	0.102988006096117	0.073276691341788	14.6539859219683	1	NBGMM (HL)
-11.0684495560524	0.044590331514717	4.21150322562846	-0.00286697151324768	-1.18154294195137e-06	5.63688969415498e-05	0.0887228687514568	0.0110034550877284	0.172594342922336	0.0104707099487011	2.21573193253857e-05	8.29366696074303e-05	0	5.06962712626522e-05	1.66212922153148e-131	0.784231634903829	0.957472821575147	0.496718546574488	36460	PCDH11Y	0.114935689276899	0.044590331514717	0.225873488186621	2.77477422454599	1	NBGMM (HL)
-13.5488410419135	0.0855820635068044	-0.633703369665542	0.00295797133928336	-1.46397051013388e-05	0.00011439640681903	0.2114284985892	0.0217345018706078	0.285337998600304	0.0308146605828799	5.71430199373013e-05	0.000256578611929995	0	8.22960793416639e-05	0.0263586354283625	0.923526657200769	0.797800956903343	0.655703257199996	3384	OR2M4	0.163254847394026	0.0855820635068044	0.00227566853067079	7.77722327920054	1	NBGMM (HL)
-11.0966498258061	0.0293311509609826	-0.055848634019348	-0.00112782268544973	2.37020939609844e-05	-0.0001558777507352	0.0597706092638656	0.00764970926446743	0.0901643258058011	0.0105868585563022	1.82420324193207e-05	8.08275948257602e-05	0	0.000125931037385982	0.535646667779103	0.915161506297954	0.193836833923489	0.0537902982838763	7082	PLXNA1	0.188646592521027	0.0293311509609826	1e-04	0.148526363034681	1	NBGMM (HL)
-10.342897360297	-0.0212564718033759	0.0597224672082475	0.0121296046748891	-3.08016770903855e-05	0.000164284798250618	0.04217028711373	0.00554951581622158	0.0586824941517249	0.00579516845011859	1.17319586729428e-05	5.20834802239462e-05	0	0.00012797199936482	0.308810073759441	0.0363442701517132	0.0086534383074071	0.0016090608800207	31521	SMIM7	0.188646592521027	-0.0212564718033759	0.013964452856096	0.00100000437552263	1	NBGMM (HL)
-9.66815487420913	0.015671133092464	0.0339228585009108	-0.0177826876044652	-8.21481429072171e-06	6.57808769216491e-05	0.0310866635111394	0.00409699767883038	0.0459343223712794	0.00584769329614866	8.99770795994921e-06	3.97310666772468e-05	0	0.000130756932434234	0.460205887508343	0.00235813612832327	0.361247982105916	0.0977920228122055	27350	TENT4B	0.188646592521027	0.015671133092464	0.0151883121447489	0.142540806227435	1	NBGMM (HL)
-10.9666006179616	0.0250770031390697	-0.0960321640975341	-0.00376090544244364	-2.71375139730368e-05	0.000160614301285555	0.0574309941993609	0.00666355505092695	0.0780317635311387	0.00933158124547118	1.62348797562902e-05	7.22688764734844e-05	0	0.000167681168484717	0.218442411227761	0.686926292731565	0.0946118671051473	0.0262525948971024	8897	C4orf33	0.221758345321039	0.0250770031390697	1e-04	0.340553599430869	1	NBGMM (HL)
-10.1179280554897	-0.018296904800629	0.0681764132531801	-0.00233297127085127	-2.45751066838841e-05	0.000106703787894238	0.0371410178470895	0.00489830399043539	0.0522251028472495	0.00605653324825333	1.10615349991237e-05	4.83519559134873e-05	0	0.000187450488377797	0.191745183232362	0.700089896089062	0.0263054550747592	0.0273270353834635	27647	PRMT7	0.22883378850428	-0.018296904800629	1e-04	0.0767635839341347	1	NBGMM (HL)
-13.756207548624	-0.116423987864827	0.0823362399850114	0.0287860716145334	6.63564449186641e-06	0.000113599737875367	0.232342318279402	0.0325033670498053	0.295716729760699	0.024507186389192	6.03520812006206e-05	0.00027471354876759	0	0.000341097239218496	0.780682731806195	0.240155918715913	0.912449906903271	0.679225162556384	35523	CYBB	0.38665808474268	-0.116423987864827	0.00809266052416684	8.71728363570619	1	NBGMM (HL)
