gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	1.56864420386222e-18	0.0848470144620269	2.48943835152934e-14	0.0848470144620269
NLGN4Y	4.14991967947519e-13	0.069720089375677	3.29296126566356e-09	0.069720089375677
USP9Y	1.43856926344608e-10	0.0582998346183219	7.61003140362978e-07	0.0582998346183219
LINC01515	4.01185420553679e-10	-0.22384946896208	1.59170315604672e-06	-0.22384946896208
UTY	7.3701718391257e-07	0.0431198638573162	0.0023392925417385	0.0431198638573162
AL358394.1	2.75364838625214e-05	0.102988006096117	0.0728339998163691	0.102988006096117
PCDH11Y	5.06962712626522e-05	0.044590331514717	0.114935689276899	0.044590331514717
OR2M4	8.22960793416639e-05	0.0855820635068044	0.163254847394026	0.0855820635068044
PLXNA1	0.000125931037385982	0.0293311509609826	0.188646592521027	0.0293311509609826
SMIM7	0.00012797199936482	-0.0212564718033759	0.188646592521027	-0.0212564718033759
TENT4B	0.000130756932434234	0.015671133092464	0.188646592521027	0.015671133092464
C4orf33	0.000167681168484717	0.0250770031390697	0.221758345321039	0.0250770031390697
PRMT7	0.000187450488377797	-0.018296904800629	0.22883378850428	-0.018296904800629
CYBB	0.000341097239218496	-0.116423987864827	0.38665808474268	-0.116423987864827
AC244502.1	0.000383534801635951	-0.156720449617268	0.405779820130836	-0.156720449617268
BTD	0.000435821767112926	-0.0190724877362648	0.421961360090887	-0.0190724877362648
KCTD5	0.00045200649789194	-0.0495883836960051	0.421961360090887	-0.0495883836960051
ACAT1	0.000552356891795344	-0.0163997166123275	0.455658308663834	-0.0163997166123275
RABL2B	0.000578275508060845	-0.0283086137126051	0.455658308663834	-0.0283086137126051
AL359546.1	0.000584479175036582	-0.0457275439004651	0.455658308663834	-0.0457275439004651
PTGR1	0.000602950502957814	-0.0256902078320469	0.455658308663834	-0.0256902078320469
KIAA1958	0.000693659821318237	0.00962941377431071	0.500380971105474	0.00962941377431071
GGCX	0.000773485079640393	-0.0335134436699243	0.51655144043199	-0.0335134436699243
MAPRE3	0.000790996122332287	-0.0147403775590131	0.51655144043199	-0.0147403775590131
MAGEC3	0.000813723126074339	0.0378417071895779	0.51655144043199	0.0378417071895779
AC092910.3	0.000980464159529136	0.0255145454780213	0.598460238912592	0.0255145454780213
RHOU	0.00118139521559581	-0.0537160392247781	0.673028573224875	-0.0537160392247781
EXOC2	0.00118744801829215	0.0123547660122363	0.673028573224875	0.0123547660122363
UFL1	0.00136765971186306	-0.0188823863627552	0.748439987147131	-0.0188823863627552
BBS1	0.00155283310859721	-0.0155979907591612	0.755669678385884	-0.0155979907591612
BHLHE41	0.00166725617086849	0.0232735226476227	0.755669678385884	0.0232735226476227
DHRS12	0.00167938986759793	-0.0334871322103618	0.755669678385884	-0.0334871322103618
ZNF644	0.00168388735002541	-0.0111753350592571	0.755669678385884	-0.0111753350592571
ADGRV1	0.0016898998766005	-0.0383056346026083	0.755669678385884	-0.0383056346026083
LGMN	0.0017107635978879	-0.0180757837332502	0.755669678385884	-0.0180757837332502
MTX2	0.00173750476418535	0.0120600384011191	0.755669678385884	0.0120600384011191
LINC02250	0.00195349819033131	-0.071213371542052	0.755669678385884	-0.071213371542052
CCDC43	0.00196397458800896	-0.0316640149910526	0.755669678385884	-0.0316640149910526
COL4A3	0.0020016255446926	-0.0303655817957218	0.755669678385884	-0.0303655817957218
DUS2	0.00200259316855979	-0.0284997268892413	0.755669678385884	-0.0284997268892413
OVGP1	0.00214809028460622	-0.0309983224166866	0.755669678385884	-0.0309983224166866
AC011379.2	0.0021761198802938	-0.0570799845646987	0.755669678385884	-0.0570799845646987
HABP4	0.00219032849560731	-0.0202340778592928	0.755669678385884	-0.0202340778592928
AP5B1	0.00219859467496894	-0.0342536475047643	0.755669678385884	-0.0342536475047643
SGF29	0.00224326200292349	-0.0303524026660251	0.755669678385884	-0.0303524026660251
AC097382.3	0.00226417556654495	-0.062924510816783	0.755669678385884	-0.062924510816783
AC108169.1	0.00230948729088593	-0.0429958212850424	0.755669678385884	-0.0429958212850424
RPS25	0.00240130230875512	0.0354127664884536	0.755669678385884	0.0354127664884536
AC004540.1	0.00244533853490329	0.0206528909150933	0.755669678385884	0.0206528909150933
LINC00551	0.00244960105240634	0.0352879407099549	0.755669678385884	0.0352879407099549
AC021594.2	0.00246470346230671	0.0702309779635717	0.755669678385884	0.0702309779635717
FOXO1	0.00248365997894314	0.0294578299632973	0.755669678385884	0.0294578299632973
TMEM182	0.00266098966723512	0.0266210518924353	0.755669678385884	0.0266210518924353
FAM106C	0.00271644600167804	0.0481031033064159	0.755669678385884	0.0481031033064159
ARL14EP	0.00273662459809746	-0.0205573557887059	0.755669678385884	-0.0205573557887059
B4GALT5	0.00275328766019199	0.0116746523197333	0.755669678385884	0.0116746523197333
