gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	7.89699873260149e-10	0.0523023663409917	1.43259454008124e-05	0.0523023663409917
APC	1.85798518110813e-06	-0.00949259372760394	0.0124068850334079	-0.00949259372760394
LINC01515	2.05174219173274e-06	-0.195549863354825	0.0124068850334079	-0.195549863354825
RPL36	3.75960729019771e-05	0.0333558233857129	0.170507589628692	0.0333558233857129
SLC1A3	0.00012262369988585	-0.0725899639458247	0.314661136869989	-0.0725899639458247
AP001172.1	0.000123881815715918	-0.0614607500043164	0.314661136869989	-0.0614607500043164
PIAS1	0.00013725943984034	0.00878484854374421	0.314661136869989	0.00878484854374421
ANXA5	0.00013876242185987	0.0691555143818678	0.314661136869989	0.0691555143818678
RAG1	0.000214226937279148	-0.0737953123073874	0.43181009657567	-0.0737953123073874
ANTXR2	0.000258163934547343	0.123079359677192	0.462393468796663	0.123079359677192
ACADS	0.000285992414222389	0.0459848748615581	0.462393468796663	0.0459848748615581
AC013460.1	0.000333523548331419	-0.0485937346475909	0.462393468796663	-0.0485937346475909
PSMD12	0.000336416015176088	-0.0170319704731605	0.462393468796663	-0.0170319704731605
RCC1L	0.00035684408594638	-0.025287934252496	0.462393468796663	-0.025287934252496
FUT10	0.000393541642755977	0.0247802007317857	0.475949262749078	0.0247802007317857
NLGN4Y	0.000437457319449006	0.021159282336122	0.495994577007776	0.021159282336122
AC090772.2	0.000561457099383307	-0.101806370603009	0.568836765294394	-0.101806370603009
UBN2	0.000638906557732494	0.00946609295976408	0.568836765294394	0.00946609295976408
SERPINE3	0.000675427504916777	-0.108252783864052	0.568836765294394	-0.108252783864052
LGMN	0.000675872613137893	0.0222041087318285	0.568836765294394	0.0222041087318285
RESF1	0.000696448004272339	-0.0154450686631982	0.568836765294394	-0.0154450686631982
MTMR10	0.000735214625192032	-0.0256608584705643	0.568836765294394	-0.0256608584705643
SMAD3	0.000815153531287031	-0.0768386731458468	0.568836765294394	-0.0768386731458468
NCOA7-AS1	0.00084692009450864	-0.131272715153693	0.568836765294394	-0.131272715153693
ZNF415	0.000855397591697341	0.0280543116632731	0.568836765294394	0.0280543116632731
DUSP1	0.000875910555048197	0.0450326451160429	0.568836765294394	0.0450326451160429
FSBP	0.000917521722976547	0.0550399302426333	0.568836765294394	0.0550399302426333
NPM3	0.000937026745260644	0.0526700962376117	0.568836765294394	0.0526700962376117
AL031846.2	0.000937334485618648	-0.0773476884345729	0.568836765294394	-0.0773476884345729
CHCHD4	0.000940692517437397	0.052798775387773	0.568836765294394	0.052798775387773
KTI12	0.000975107563887087	0.056212855842948	0.570626655370182	0.056212855842948
AC132803.1	0.00100934171917779	0.0828256978838628	0.571392559446836	0.0828256978838628
AL355472.2	0.00103941097303046	-0.0258239151522983	0.571392559446836	-0.0258239151522983
MAP3K13	0.00116672790611831	0.00823569642010404	0.613910754655967	0.00823569642010404
AL020994.2	0.00131066415850087	0.0496327929973564	0.613910754655967	0.0496327929973564
MKRN1	0.00134398531488183	0.0162718447958344	0.613910754655967	0.0162718447958344
CKS2	0.00134502679711207	0.049536043337951	0.613910754655967	0.049536043337951
AC005355.1	0.00138359322717308	-0.0781843961983708	0.613910754655967	-0.0781843961983708
LITAF	0.00140767126276478	0.0277001556844259	0.613910754655967	0.0277001556844259
PGGT1B	0.00143650614588484	0.0174585991185573	0.613910754655967	0.0174585991185573
QRICH2	0.00145791889721281	0.018671966734758	0.613910754655967	0.018671966734758
AC109129.1	0.0015258612025748	-0.0318887697084746	0.613910754655967	-0.0318887697084746
ADARB2-AS1	0.00163010976798144	-0.0300685119440271	0.613910754655967	-0.0300685119440271
POLR2F	0.00167857927560899	0.0134535945601451	0.613910754655967	0.0134535945601451
LINC02033	0.00171505502256882	-0.139227834357182	0.613910754655967	-0.139227834357182
AL158151.1	0.00171937497079772	-0.0514810795410697	0.613910754655967	-0.0514810795410697
BX664615.2	0.00174544452552098	-0.028900705777765	0.613910754655967	-0.028900705777765
AC024558.2	0.00174608924431346	0.0251443438014097	0.613910754655967	0.0251443438014097
ZNF343	0.00179368244415651	-0.0234173376636116	0.613910754655967	-0.0234173376636116
JADE3	0.00179421125585512	-0.024327581995114	0.613910754655967	-0.024327581995114
AP001269.4	0.00185656335557828	-0.105652292961854	0.613910754655967	-0.105652292961854
TMSB15B-1	0.00186963092620953	0.0296435539499974	0.613910754655967	0.0296435539499974
FAM160A1	0.00188381708809751	0.0663741179638839	0.613910754655967	0.0663741179638839
TMEM9B	0.00188718919000434	-0.024721161517219	0.613910754655967	-0.024721161517219
LINC01197	0.00190756851060217	-0.0113722141682062	0.613910754655967	-0.0113722141682062
AL008723.2	0.00194826071247198	0.0584399099587942	0.613910754655967	0.0584399099587942
CBX3	0.00195505248727396	-0.0177560811918386	0.613910754655967	-0.0177560811918386
AC097359.3	0.00196278175238664	0.0866515207572395	0.613910754655967	0.0866515207572395
ZNF583	0.00201889278693449	0.0179511761759479	0.620758204199637	0.0179511761759479
AL121900.1	0.00209165486782325	-0.125863403335206	0.626592511963106	-0.125863403335206
HSPB1	0.00210694797584199	0.0558509562953176	0.626592511963106	0.0558509562953176
AC010198.2	0.00227029812282375	-0.0504560777874275	0.640151681769437	-0.0504560777874275
