gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	3.12019558597057e-27	0.116572100336363	5.21259874592243e-23	0.116572100336363
TTTY14	6.23623441465198e-19	0.0837749383109284	5.2091266065588e-15	0.0837749383109284
USP9Y	1.04620806724497e-17	0.0811526488440321	5.82598399046485e-14	0.0811526488440321
UTY	1.2444834785023e-10	0.0587432374466167	5.19758524796486e-07	0.0587432374466167
TSPAN11	3.52711257466553e-05	0.0505960517549058	0.117847885344725	0.0505960517549058
KPNA3	4.44744069882879e-05	0.0142155187560305	0.123831573857723	0.0142155187560305
RPS27	6.3052204008967e-05	0.0468991057260729	0.148122796500852	0.0468991057260729
PDGFRL	7.13241528437025e-05	0.0623018601261264	0.148122796500852	0.0623018601261264
LINC01515	7.97979868614669e-05	-0.123008528442945	0.148122796500852	-0.123008528442945
AC069133.1	0.000102775527569529	0.0399638324773757	0.171696796357656	0.0399638324773757
AP001172.1	0.000125998340244023	-0.0500052788878488	0.191357115646967	-0.0500052788878488
CPEB2-DT	0.000157099946276359	0.0278105102903432	0.210434335852443	0.0278105102903432
KDM5D	0.000163752326474426	0.0343560026402608	0.210434335852443	0.0343560026402608
NDUFS5	0.000180473863754038	0.0400869328249348	0.215356883419639	0.0400869328249348
SYTL5	0.00024515543191993	-0.0267015550020183	0.270790437142821	-0.0267015550020183
PRKY	0.000259346761300439	0.0433121200115289	0.270790437142821	0.0433121200115289
AC010331.1	0.000345801179791435	0.0614393048022415	0.331972240382603	0.0614393048022415
KXD1	0.000361992857109425	0.0333655971280235	0.331972240382603	0.0333655971280235
FAM66E	0.000377557318763885	0.0745297391109424	0.331972240382603	0.0745297391109424
TET2	0.000453800939923193	-0.0113669999679625	0.359170860679339	-0.0113669999679625
NGDN	0.000470394285004643	0.0271438107785439	0.359170860679339	0.0271438107785439
LIMA1	0.000487003250276807	-0.0188814183457756	0.359170860679339	-0.0188814183457756
LGR4	0.000494488794183216	0.0175458324257842	0.359170860679339	0.0175458324257842
