gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	2.28100398626836e-25	0.104844604325275	2.22074416496183e-21	0.104844604325275
TTTY14	2.60558977468243e-25	0.0998544495253333	2.22074416496183e-21	0.0998544495253333
UTY	1.72536130774102e-09	0.0520856875800801	9.80350295058449e-06	0.0520856875800801
NLGN4Y	4.65387944995487e-09	0.0467959282050984	1.98325072759827e-05	0.0467959282050984
LINC01515	4.32939646160092e-06	-0.143181729104388	0.0147597784168898	-0.143181729104388
ZNF274	1.48630807440125e-05	0.0311441889399612	0.0422260123937394	0.0311441889399612
PLP1	0.00016280134024597	-0.0727210867402896	0.317185126724472	-0.0727210867402896
PNPLA2	0.000166886880655385	-0.0256189312577192	0.317185126724472	-0.0256189312577192
PLEKHG3	0.000178790902645146	-0.0360414186910749	0.317185126724472	-0.0360414186910749
C1QTNF6	0.00018607598658012	0.0347390213507114	0.317185126724472	0.0347390213507114
NADSYN1	0.000246612304050712	-0.0184831541509261	0.377983034615902	-0.0184831541509261
CCK	0.000266091541440269	0.0364801863592104	0.377983034615902	0.0364801863592104
XRRA1	0.000363732947981481	-0.0201916155100235	0.473392718505353	-0.0201916155100235
DEPP1	0.000447537813320798	0.0249105228813586	0.473392718505353	0.0249105228813586
FAM104B	0.000469320436020872	0.0277458760114949	0.473392718505353	0.0277458760114949
AL121845.1	0.000486532278085251	0.0534109532226919	0.473392718505353	0.0534109532226919
RPS6KC1	0.000501293662385147	-0.00723712151321749	0.473392718505353	-0.00723712151321749
RPUSD1	0.000522426200491487	0.0321796765687408	0.473392718505353	0.0321796765687408
FA2H	0.000527658198498281	-0.0790867120466492	0.473392718505353	-0.0790867120466492
NXT1	0.000588396166232434	0.0410676708568022	0.501490052479904	0.0410676708568022
STAP2	0.000687741586975671	0.0641142182568128	0.558249671027966	0.0641142182568128
HPCA	0.00075747010457085	0.0362662401151075	0.584742112315349	0.0362662401151075
RPS27	0.000817765465417449	0.0313833674670288	0.584742112315349	0.0313833674670288
SLC35G1	0.000862797147567387	0.0251740682624194	0.584742112315349	0.0251740682624194
CEND1	0.00088965100819857	0.0184893491596692	0.584742112315349	0.0184893491596692
PVALB	0.000918111348889473	0.0262318238534324	0.584742112315349	0.0262318238534324
ROMO1	0.00101237981690727	0.0383234888014481	0.584742112315349	0.0383234888014481
KCNH1	0.00105242198266612	-0.0078051388314835	0.584742112315349	-0.0078051388314835
LRRC38	0.00108156822610432	0.0406012318627942	0.584742112315349	0.0406012318627942
GALM	0.00112112606811353	-0.0407421846822154	0.584742112315349	-0.0407421846822154
FRYL	0.00114124748576173	-0.00631031300392499	0.584742112315349	-0.00631031300392499
SPOCD1	0.00116714716258625	-0.0857306447005056	0.584742112315349	-0.0857306447005056
SLC52A2	0.00118563443080212	-0.0412163635126191	0.584742112315349	-0.0412163635126191
AL138720.1	0.00119924780669785	0.0499985384343289	0.584742112315349	0.0499985384343289
AC114763.1	0.00124231413930113	0.0392813482463836	0.584742112315349	0.0392813482463836
HDX	0.0012491977604927	-0.0111535370257404	0.584742112315349	-0.0111535370257404
RPL27A	0.00130163882300852	0.0292745240957866	0.584742112315349	0.0292745240957866
ZNF605	0.0013360591851055	0.0106615096583986	0.584742112315349	0.0106615096583986
PAXIP1-AS1	0.00133784714186898	-0.0215562630949082	0.584742112315349	-0.0215562630949082
TSHR	0.00152074389128912	0.0344890737205366	0.623682526551414	0.0344890737205366
MAP6D1	0.00153948980960717	-0.0355521899392472	0.623682526551414	-0.0355521899392472
BMT2	0.00156741990417316	0.00971364034564326	0.623682526551414	0.00971364034564326
AC063960.2	0.0015732927749449	-0.0615799771115812	0.623682526551414	-0.0615799771115812
AC013643.2	0.00165781148162435	-0.0477214164188586	0.63737741177513	-0.0477214164188586
STX17	0.00170939604143749	-0.0124518507809603	0.63737741177513	-0.0124518507809603
FOLH1	0.0017200141347915	-0.107473920452609	0.63737741177513	-0.107473920452609
PLEKHB1	0.00183836543546031	-0.0660264975432905	0.666739940699073	-0.0660264975432905
CYP4Z1	0.00191606104924144	0.0292847032400785	0.669149203637791	0.0292847032400785
DFFA	0.0019724706901007	0.0131888994748027	0.669149203637791	0.0131888994748027
PCSK6	0.00199877381224033	-0.0219104025163741	0.669149203637791	-0.0219104025163741
ABCA8	0.002002030352313	-0.074595536292948	0.669149203637791	-0.074595536292948
AL596451.1	0.00209915230992333	0.0790757468311908	0.678133154329915	0.0790757468311908
ZNF189	0.00214836187198991	0.0142985155754727	0.678133154329915	0.0142985155754727
RGCC	0.00216885254597357	-0.0772706726938548	0.678133154329915	-0.0772706726938548
ACER1	0.0022020746598761	0.0576880717362675	0.678133154329915	0.0576880717362675
ZNF251	0.00238357696224091	0.00957607322565588	0.678133154329915	0.00957607322565588
ADGRG2	0.00239055262927416	0.0397030054016461	0.678133154329915	0.0397030054016461
LINC02197	0.00241416821475844	0.0413358706035017	0.678133154329915	0.0413358706035017
SEMA3B	0.00243700105874208	-0.0674505466586456	0.678133154329915	-0.0674505466586456
NDUFB11	0.00244461258718826	0.0305103345275153	0.678133154329915	0.0305103345275153
SMYD3	0.00251898372715897	-0.00697542230718716	0.678133154329915	-0.00697542230718716
AC010422.2	0.00253901257353379	-0.0390141134282365	0.678133154329915	-0.0390141134282365
ANKRD44	0.00254043547743477	-0.00731721374649189	0.678133154329915	-0.00731721374649189
PGAM5	0.00254608247548484	0.0266787250059502	0.678133154329915	0.0266787250059502
CALM2	0.0026681625580023	0.0165779959932635	0.681486365814123	0.0165779959932635
PAPPA	0.00269802986406789	-0.0287792073404045	0.681486365814123	-0.0287792073404045
C11orf80	0.00277060498994408	0.00766655086640586	0.681486365814123	0.00766655086640586
CYP2R1	0.00292178961740649	-0.0257706314878057	0.681486365814123	-0.0257706314878057
GEM	0.0029641883865257	-0.0487724249607427	0.681486365814123	-0.0487724249607427
DNAJC5	0.00299345399967518	0.00850484667095934	0.681486365814123	0.00850484667095934
RASGRF1	0.00305291831081107	0.00741654056002485	0.681486365814123	0.00741654056002485
