logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.3651153807099	0.166762510657214	6.34515856123321	-0.000282961710050253	1.37057684002178e-06	-9.96092495719556e-06	0.067602219752857	0.0108040244624792	0.158935180631891	0.0073259188049109	1.53738874283282e-06	9.08125433958937e-06	0	9.48741438863028e-54	0	0.969189577236369	0.372662813754632	0.272699692605013	36493	USP9Y	1.75612040333546e-49	0.166762510657214	0.679781056229155	0.0920817254901419	1	NBGMM (LN)
-11.2222568452733	0.171837875974355	6.81102851446243	-0.000640974747072371	1.78144612443549e-06	-1.89025864733416e-05	0.0732791370299287	0.011479757275452	0.172303770038644	0.00754040255341784	1.86737672805428e-06	1.01263084349712e-05	0	1.17469258738126e-50	0	0.932257117508115	0.340092119877109	0.0619461635192973	36514	TTTY14	1.08717798962135e-46	0.171837875974355	0.757689427157854	0.244246195997756	1	NBGMM (LN)
-11.5349352270188	0.142553202669793	5.9615435925664	-0.000607070476494797	1.29808073946459e-05	-0.000102372100947143	0.0666186114259298	0.0104681158957399	0.15156992841557	0.00730078507997145	1.894600871055e-06	1.10022906003317e-05	0	3.13678583880972e-42	0	0.933731158642622	7.30932123565549e-12	1.3447602465309e-20	36501	NLGN4Y	1.9353968625456e-38	0.142553202669793	0.633794488262544	0.145313776229428	1	NBGMM (LN)
-11.6089468919903	0.119006314883214	5.45165655573094	-0.00423938987015978	4.87022311883349e-06	-4.42736363707067e-05	0.0591665008095392	0.00931051877513459	0.130803682747345	0.00691305611051988	1.91542990392855e-06	1.1631817879822e-05	0	2.06895583974718e-37	0	0.539715045036503	0.0110022720121565	0.000141088320173638	36496	UTY	9.57409314843009e-34	0.119006314883214	0.515567127013396	0.0931672471368944	1	NBGMM (LN)
-12.5947302792719	0.112554799638811	5.54981985678377	-0.0016292537413672	-1.04842632076578e-05	9.89165815502324e-05	0.0721227099469538	0.0105277433357325	0.158612581594915	0.00647989253668035	2.61357007416827e-06	1.66302040551147e-05	0	1.11845891235435e-26	3.21772644821474e-268	0.801479962579089	6.03413310891808e-05	2.71425851715404e-09	36517	KDM5D	4.14053489353581e-23	0.112554799638811	0.445633342413747	0.0320613836963767	1	NBGMM (LN)
-12.0343805190637	0.0629928640575878	4.69483242012408	-0.00263640856167529	1.72041292914226e-05	-0.000148164591799889	0.0540959414311202	0.00822828450789789	0.110667655130695	0.00650992560749539	3.23266775107056e-06	1.8962592105397e-05	0	1.92337307598087e-14	0	0.6854900793354	1.02655003366264e-07	5.56126052629434e-15	36519	TTTY10	5.93360593940099e-11	0.0629928640575878	0.296404645970943	0.426873848649293	1	NBGMM (LN)
-12.5654539330316	0.0660648343475023	4.96591801248946	-0.00564091453610393	-1.835908472105e-06	-6.33842447433526e-06	0.0641410015947617	0.0086547144984866	0.131557070480983	0.00632385136013798	3.07974810624809e-06	1.92805426510717e-05	0	2.28655049145866e-14	8.3444192600992e-312	0.372389616417368	0.551093105329836	0.742346772467928	36495	DDX3Y	6.04629279955712e-11	0.0660648343475023	0.258880781366323	0.0481840334619906	1	NBGMM (LN)
-13.0783031858192	0.0578910208316454	4.68013069432358	-0.00468336808189561	-3.33562153381538e-05	0.000262638371470494	0.070710037958826	0.00921029048119505	0.141334677424086	0.00653696623736961	4.40323398193212e-06	2.69612937850258e-05	0	3.2685955428378e-10	1.88009155430895e-240	0.473717438013871	3.58049961580464e-14	2.00943249091821e-22	36451	RPS4Y1	6.90883367474681e-07	0.0578910208316454	0.296044184910356	0.235187431219578	-10	NBGMM (LN)
-12.8069075083571	0.0476481717623463	4.31221102648469	-0.00611443072337717	-8.95419095165646e-06	4.96543540648613e-05	0.0619221392884186	0.00758581340464152	0.122161847204831	0.00657524281582002	4.53836417212431e-06	2.73627476380841e-05	0	3.35923841559812e-10	6.04846459698287e-273	0.352414009146601	0.0484956014990888	0.0695746559414701	36453	ZFY	6.90883367474681e-07	0.0476481717623463	0.166598575573705	0.611515738526969	1	NBGMM (LN)
-15.0054846939365	-0.221240447424216	-0.528166903438503	-0.189825320370917	3.95868729275749e-05	-0.000340853728983933	0.167968578141537	0.0386770967127642	0.317975167806217	0.0445419193101922	1.61951921697206e-05	0.000116507129742332	0	1.06403288722995e-08	0.0967070361359479	2.02856823419624e-05	0.01451095616754	0.0034378820417495	14005	SERPINE1	1.96952487426264e-05	-0.221240447424216	1.68768539914071	4.26847436643507	1	NBGMM (LN+HL)
-14.4773683149341	-0.0811890153724399	-0.0292645745508317	0.0569314569328212	1.2803452410731e-05	-0.000115509777738397	0.108431417722126	0.0165550749754468	0.183365651079635	0.0201417146131524	1.3088488547554e-05	8.33509684355393e-05	0	9.38199367257237e-07	0.873198685256248	0.0047053174645596	0.32796435017248	0.165800632771547	23837	AC244502.1	0.00157873366253922	-0.0811890153724399	0.970134210961927	5.51866062824622	1	NBGMM (LN+HL)
-14.1519234945314	0.0776984230668769	0.577648283805365	0.0144160517045822	5.11090467347773e-05	-0.000409403755888579	0.0965904586488346	0.017743203217626	0.186203862609485	0.0184589811699659	1.19798511312027e-05	7.46305621739939e-05	0	1.19196273214175e-05	0.00192064920730855	0.434815640979524	1.98785509257055e-05	4.11745374481588e-08	12602	LINC00326	0.0183860251432864	0.0776984230668769	1.0048569264445	8.80312970159549	1	NBGMM (HL)
-13.2339735266013	0.0286225640594958	0.00913515151472054	0.00189224157990513	-1.89490448556538e-05	6.37408937046225e-05	0.0523804773475897	0.00663046531263928	0.0732499992844557	0.00781746286954336	8.545975591508e-06	5.36956103662589e-05	0	1.58288943999964e-05	0.900751582845408	0.808738973030643	0.0266021729797517	0.235196738130385	28183	AC027796.1	0.0225379104110718	0.0286225640594958	1e-04	0.517928065546784	1	NBGMM (LN+HL)
-14.1863392003781	-0.175901581326754	0.0764219576804488	0.0478133476615452	-1.4786415700956e-05	-5.16605565055778e-05	0.177040032612525	0.0425276287198885	0.344256906463717	0.0383420882707842	1.25115904231199e-05	7.1752710945947e-05	0	3.53147741079118e-05	0.824320838046916	0.212390195399393	0.237278148281654	0.471536969213837	18098	LINC01515	0.0466911763383892	-0.175901581326754	2.42679301821114	2.51854473292749	1	NBGMM (LN)
