gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	9.48741438863028e-54	0.166762510657214	1.75612040333546e-49	0.166762510657214
TTTY14	1.17469258738126e-50	0.171837875974355	1.08717798962135e-46	0.171837875974355
NLGN4Y	3.13678583880972e-42	0.142553202669793	1.9353968625456e-38	0.142553202669793
UTY	2.06895583974718e-37	0.119006314883214	9.57409314843009e-34	0.119006314883214
KDM5D	1.11845891235435e-26	0.112554799638811	4.14053489353581e-23	0.112554799638811
TTTY10	1.92337307598087e-14	0.0629928640575878	5.93360593940099e-11	0.0629928640575878
DDX3Y	2.28655049145866e-14	0.0660648343475023	6.04629279955712e-11	0.0660648343475023
RPS4Y1	3.2685955428378e-10	0.0578910208316454	6.90883367474681e-07	0.0578910208316454
ZFY	3.35923841559812e-10	0.0476481717623463	6.90883367474681e-07	0.0476481717623463
SERPINE1	1.06403288722995e-08	-0.221240447424216	1.96952487426264e-05	-0.221240447424216
AC244502.1	9.38199367257237e-07	-0.0811890153724399	0.00157873366253922	-0.0811890153724399
LINC00326	1.19196273214175e-05	0.0776984230668769	0.0183860251432864	0.0776984230668769
AC027796.1	1.58288943999964e-05	0.0286225640594958	0.0225379104110718	0.0286225640594958
LINC01515	3.53147741079118e-05	-0.175901581326754	0.0466911763383892	-0.175901581326754
CFAP298	7.05251071036935e-05	-0.00940377000157806	0.0870279821659578	-0.00940377000157806
REEP3	0.000194263685291338	-0.0108970421456861	0.224738800921416	-0.0108970421456861
INHBA	0.000218113397291886	-0.0734486049846291	0.237486999051342	-0.0734486049846291
HSPB1	0.000248519740761795	0.0658892007943783	0.255561133416713	0.0658892007943783
SAMD1	0.000288722020303945	-0.0180803019348027	0.281276031359264	-0.0180803019348027
COQ7	0.000304611883685861	-0.0138352588560119	0.281918298351264	-0.0138352588560119
OR2L5	0.00036572098816908	0.0234794390636701	0.322356928143318	0.0234794390636701
AL713852.2	0.000413469238289154	-0.0406271732340363	0.33351591331482	-0.0406271732340363
ARC	0.000414417396339323	-0.0926194515590944	0.33351591331482	-0.0926194515590944
EMILIN2	0.000500172036057369	-0.0368814358897483	0.3853726604545	-0.0368814358897483
MAP3K9	0.000520492518171935	0.0057099748907538	0.3853726604545	0.0057099748907538
LINC01578	0.000579515215699037	-0.00738618314118655	0.412570255484199	-0.00738618314118655
AL035416.1	0.000640747987806814	-0.0382237144980258	0.439268342752005	-0.0382237144980258
RAPGEF6	0.000722233000647151	-0.00586285830520148	0.452090544688855	-0.00586285830520148
CCDC39	0.00073689609088755	-0.0311368232269341	0.452090544688855	-0.0311368232269341
APTR	0.000744518768110052	0.0103000574222592	0.452090544688855	0.0103000574222592
BID	0.00079808919178439	0.0155055430130272	0.452090544688855	0.0155055430130272
ARTN	0.000803921617776346	-0.0362013080867057	0.452090544688855	-0.0362013080867057
OTOGL	0.000805996108845608	-0.0638911903351942	0.452090544688855	-0.0638911903351942
OR2M3	0.000878140396757951	0.0292238269090945	0.476611511549354	0.0292238269090945
GPATCH11	0.000920765220419269	-0.0121514068160624	0.476611511549354	-0.0121514068160624
AC004949.1	0.000926959179674595	0.0343982140570839	0.476611511549354	0.0343982140570839
C4orf48	0.00097913854383239	0.0354013383857704	0.489833903955068	0.0354013383857704
RHD	0.00102790555536093	-0.0371179553556751	0.500698206045547	-0.0371179553556751
SBK1	0.00112175317148899	0.00917263138503176	0.532401312929775	0.00917263138503176
VWC2L	0.00119718348336239	0.00931851849477139	0.548970338832098	0.00931851849477139
AC126773.3	0.00121597968082745	-0.0289877134771645	0.548970338832098	-0.0289877134771645
AC019211.1	0.00129268136626438	-0.0592980029800465	0.569703144989373	-0.0592980029800465
ORMDL1	0.00135169610709399	-0.0100003658841921	0.581858021914179	-0.0100003658841921
AC023385.1	0.00142495393194713	-0.0383206334331172	0.599452210916849	-0.0383206334331172
