gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	8.33250821373456e-44	0.154036615886373	1.55801238580409e-39	0.154036615886373
USP9Y	2.56027036054154e-40	0.135656865274231	2.39359676007029e-36	0.135656865274231
NLGN4Y	1.64654373644863e-36	0.133890363875456	1.02623582613722e-32	0.133890363875456
UTY	7.78851619774444e-32	0.114828056524693	3.64074189663564e-28	0.114828056524693
KDM5D	1.04784207086449e-18	0.0856723521355051	3.91851020820483e-15	0.0856723521355051
PCDH11Y	1.61963136742966e-08	0.0304799839186011	5.0473112180333e-05	0.0304799839186011
LINC00326	5.99510307217599e-08	0.102940069228804	0.000160137767490781	0.102940069228804
TTTY10	1.26322899780882e-05	0.0318115737996802	0.0295248197512866	0.0318115737996802
PLAGL2	2.88250238238271e-05	0.0213114561501904	0.0598855883842132	0.0213114561501904
RPS4Y1	3.83282079174819e-05	0.0361839960429082	0.0716660831641076	0.0361839960429082
OR2L3	7.18948126106079e-05	0.023322003296042	0.122208109653922	0.023322003296042
TSPAN14	0.000100016015026503	0.0137404103155017	0.155841620747129	0.0137404103155017
GALNT16	0.000128203641416401	0.00904774470646952	0.18434829139347	0.00904774470646952
PPP2R3A	0.000138029526126248	-0.00981058271901214	0.18434829139347	-0.00981058271901214
GDAP1L1	0.000164599912559897	0.00856492882152962	0.202114433739921	0.00856492882152962
AC069277.1	0.00017940587441994	-0.0916654842910728	0.202114433739921	-0.0916654842910728
SNAPC2	0.000210954346978179	-0.032632782012954	0.202114433739921	-0.032632782012954
ETV1	0.000213056798659788	0.0365370674323457	0.202114433739921	0.0365370674323457
HACD4	0.000217008913120861	-0.0533641652834589	0.202114433739921	-0.0533641652834589
DLEU1	0.000220962625143898	-0.0226751045694858	0.202114433739921	-0.0226751045694858
KATNBL1	0.000226997706093611	-0.00708650720841596	0.202114433739921	-0.00708650720841596
AC117528.1	0.000295167724195525	-0.0351385707967912	0.250865732136723	-0.0351385707967912
NRSN1	0.000327518208417708	-0.00846566774519406	0.266258063521492	-0.00846566774519406
ATF3	0.000364161342637364	-0.0511031504679137	0.27485328027754	-0.0511031504679137
LINC01515	0.000383209987814806	-0.201043655277419	0.27485328027754	-0.201043655277419
WDR41	0.000393866533232298	-0.0087092911151744	0.27485328027754	-0.0087092911151744
DDX3Y	0.000411221063220913	0.0246761491256478	0.27485328027754	0.0246761491256478
CREB1	0.000411589038815441	0.00723680963905505	0.27485328027754	0.00723680963905505
XIST	0.000429174087627864	0.0771348306843705	0.276713692774683	0.0771348306843705
EFCAB13	0.000458972270506459	-0.0348114927510505	0.286062117130992	-0.0348114927510505
AC007996.1	0.000475043957258727	-0.0621955506390187	0.286528126220119	-0.0621955506390187
ZFY	0.000502840187507194	0.0247087636624173	0.293815807062797	0.0247087636624173
CTRL	0.000588383432255005	0.021404612362519	0.333381618675882	0.021404612362519
AL049646.1	0.000612079884983738	-0.0524241122960714	0.336607932041939	-0.0524241122960714
AC073525.1	0.000641053337301531	-0.0401176307927314	0.342469008596115	-0.0401176307927314
OR51E2	0.000724518583796019	0.0562302271362662	0.376306902217165	0.0562302271362662
P3H2-AS1	0.000750429054381675	-0.0133281885669853	0.379230336725096	-0.0133281885669853
PPFIA2-AS1	0.000777818105986051	-0.0400489672261188	0.382727445940189	-0.0400489672261188
ENPP6	0.000830187684268895	-0.0456671993342912	0.398021777447687	-0.0456671993342912
RPL35	0.000882752628349031	0.0300971720999172	0.412642716121754	0.0300971720999172
CACNA2D3	0.000936349582299808	-0.0146147536285745	0.427021085118093	-0.0146147536285745
