logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.8944302445252	0.116981062195914	5.34767200303936	0.00301952794275452	1.1713036202231e-05	-6.53984009166154e-05	0.0682542351233775	0.0101881517529436	0.148932671935329	0.00778903133063427	5.77068448396776e-06	2.26188727324476e-05	0	1.62348217896145e-30	2.40625121196706e-282	0.698264614571517	0.0423821450070621	0.003836271833742	36493	USP9Y	2.75683508809444e-26	0.116981062195914	0.518585222624476	0.114156443177861	1	NBGMM (LN)
-10.8585684820045	0.112638899787735	5.33857019977093	0.00177387102637849	9.64269821101483e-06	-6.95452745957551e-05	0.0689698967680472	0.0104448125254547	0.149835227161319	0.00812183085778648	6.40697787954757e-06	2.44165504522979e-05	0	4.08804785295251e-27	4.8766955872931e-278	0.82711140629101	0.132316191759145	0.00439556539931752	36501	NLGN4Y	3.47095702954933e-23	0.112638899787735	0.549321373038991	0.180211353865192	-10	NBGMM (LN)
-11.3068701515827	0.0913011606543364	4.86766372839527	0.00273469178219461	-1.28399262344821e-05	3.57082318504877e-05	0.0669611112722299	0.00943016263536697	0.138766913704687	0.00703894554605395	7.43459769239168e-06	2.96357260684035e-05	0	3.6023619438185e-22	1.46037795632595e-269	0.697639596166688	0.0841585805423302	0.228240012935795	36496	UTY	2.03905693893273e-18	0.0913011606543364	0.364142976613446	0.117964253125672	1	NBGMM (LN)
-10.3974187121666	0.070465248626124	4.4108555511002	0.00283640193221988	-7.87211758606167e-07	-2.90946205925054e-07	0.0478033391494162	0.00761818166492728	0.0965077492614085	0.00651374942018589	6.75779132985934e-06	2.57963481558632e-05	0	2.25302385923117e-20	0	0.663236966580206	0.907264604242317	0.991001185021373	36514	TTTY14	9.56464953840114e-17	0.070465248626124	0.315812000072314	0.233223429051702	1	NBGMM (LN)
-12.11152988443	0.0649917341172786	4.35229879228535	0.00587295278937829	-1.53634892643796e-05	8.08442109950146e-05	0.0809538723237856	0.00982466996190555	0.158576861096549	0.00685544887558312	1.050175043424e-05	4.35990902845864e-05	0	3.71157657428045e-11	7.75729427990547e-166	0.391619594586309	0.143482273538524	0.0637014409864338	36517	KDM5D	1.26052563615713e-07	0.0649917341172786	0.265543888224979	0.00542874211974334	1	NBGMM (LN)
-13.2975339734469	-0.155714367622289	0.172923441045782	0.0767739066530112	1.42996513495777e-08	-6.64178978297639e-06	0.137791266282775	0.0317662885665022	0.253108152248284	0.0272702757551621	3.7196091113683e-05	0.000145088835670721	0	9.49263581462453e-07	0.494480593892407	0.00487322788101794	0.999693261565556	0.963487671467645	18098	LINC01515	0.00268657414613565	-0.155714367622289	1.60041660118375	1.96367811304389	1	NBGMM (LN+HL)
-11.8295360919157	0.0394256499775252	4.15421195659436	0.00614291472759996	1.04487729195741e-05	-0.00012074643604876	0.0744521402585277	0.00850349315040264	0.144564594560403	0.00656720145038714	1.29215622995268e-05	4.99639843944844e-05	0	3.54518636030163e-06	1.35412388640081e-181	0.349585766858057	0.418727558156745	0.0156632327119752	36519	TTTY10	0.00860011565489744	0.0394256499775252	0.174043268258976	0.624503544830799	1	NBGMM (LN)
-10.1754528067488	0.0121630756270366	-0.0744896611432384	-0.00353357942142914	-5.36703464966411e-05	0.000219800589180888	0.0221670619730255	0.00293213117971832	0.0323578005685409	0.00390189761081906	7.85799647807776e-06	3.25384955331749e-05	0	3.35095070893155e-05	0.0213316793983113	0.365144766565765	8.48972677786842e-12	1.42742885425669e-11	29800	TMEM94	0.0711281174854583	0.0121630756270366	0.00634893055762433	0.0949717386703388	1	NBGMM (LN+HL)
-12.3597637186845	0.0274557108511444	-0.0766082292401583	-0.0102136368655881	-7.74180768453259e-05	0.000410204866671486	0.0651222749271391	0.00725364111218048	0.0837397976936582	0.0109053608489758	2.04272084403125e-05	8.74867032036679e-05	0	0.000153650711479751	0.360277433614459	0.348979645497132	0.000150678258410013	2.74854593159191e-06	16657	FAM122A	0.289904747959739	0.0274557108511444	0.00394374795315086	0.347167987795292	1	NBGMM (LN+HL)
-10.9660688964266	-0.0193242738054151	0.0488424805090933	-0.000745983351180426	-6.3806577472627e-05	0.000325244189515221	0.0355209227421328	0.00528384728295407	0.0535807400674732	0.00586771001663883	1.10098208785193e-05	4.64120973268559e-05	0	0.000254950133526474	0.361996248336153	0.898834624140301	6.81488835599057e-09	2.42187951524923e-12	18617	GSTO1	0.396097330182212	-0.0193242738054151	0.0694009040023712	0.0484854386311284	1	NBGMM (LN)
-13.5356752188334	-0.0526633898483562	0.283366589700788	-0.0144277019090697	-0.000169480504636119	0.000771242794740084	0.117136093018891	0.014486984917464	0.142422756878256	0.0185399335630422	4.05353767904775e-05	0.000164274378902313	0	0.000277742580312675	0.0466332570218135	0.436453481880843	2.9016391743356e-05	2.66808571214717e-06	20370	FAM181B	0.396097330182212	-0.0526633898483562	0.0360023427582409	0.653113055530509	1	NBGMM (LN+HL)
-12.8039341026438	-0.0397584050083799	0.29749926349185	-0.0401925040816763	-7.58620791072817e-05	0.000431286420446618	0.0821236494577266	0.0109430349174879	0.109683036820578	0.0155126085697126	2.41686310718131e-05	0.000104306595769408	0	0.000279910957080651	0.00668071309798782	0.00957094080290659	0.00169603350592662	3.5527118362628e-05	28604	AC025627.1	0.396097330182212	-0.0397584050083799	0.149540673737561	0.00333755031804813	1	NBGMM (LN)
-9.95114667835072	0.0180828556388141	-0.0635535632292392	0.00539018885630453	1.35269670721049e-05	-0.000201871582073172	0.0276895228190438	0.00503461618986157	0.0518058041833263	0.00481446141636517	7.98568622432458e-06	3.26884780729116e-05	0	0.000328521731768733	0.219910814124082	0.262891529783457	0.09028397337134	6.59047977303482e-10	16197	WASHC1	0.407577469487093	0.0180828556388141	0.132064510523277	0.00143010206964808	1	NBGMM (LN)
-12.733815614184	0.0357692273444798	0.190098355321834	0.00852485301609894	-8.56415884450958e-05	0.000349499124410701	0.0799402363464472	0.0099801272510666	0.114232882301324	0.0121260954972508	3.1345978858316e-05	0.000126253383210127	0	0.000338313477556573	0.0960864724489278	0.482045065909019	0.00629244830924078	0.00563606763713086	12373	BVES-AS1	0.407577469487093	0.0357692273444798	1e-04	5.50105680691813	1	NBGMM (HL)
-10.3226651208694	0.0343447177621818	0.13562149720089	-0.00298169428471443	-0.000179627879092755	0.000789072875018687	0.0499578844679971	0.00962637683831442	0.0964429161055082	0.00719748612398645	1.12692039531288e-05	4.36145213335623e-05	0	0.000360029564943548	0.159654067826157	0.678677225542843	3.3589177891127e-57	3.68629261492119e-73	28383	RPL26	0.407577469487093	0.0343447177621818	0.540737354204116	0.431344651282005	1	NBGMM (LN)
-13.1999125961986	-0.0599244882774971	0.124948998216238	0.015136121251901	3.94775919405347e-05	-0.000185701403390922	0.10076647274504	0.0170009282414838	0.171778545155505	0.0167053010156222	3.67985439293816e-05	0.000150346027476532	0	0.000423838728144106	0.466990635796789	0.364900413671483	0.283359470387489	0.216770952651889	23837	AC244502.1	0.449825340163441	-0.0599244882774971	0.458479118591555	16.0331995888286	1	NBGMM (HL)
