gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	1.62348217896145e-30	0.116981062195914	2.75683508809444e-26	0.116981062195914
NLGN4Y	4.08804785295251e-27	0.112638899787735	3.47095702954933e-23	0.112638899787735
UTY	3.6023619438185e-22	0.0913011606543364	2.03905693893273e-18	0.0913011606543364
TTTY14	2.25302385923117e-20	0.070465248626124	9.56464953840114e-17	0.070465248626124
KDM5D	3.71157657428045e-11	0.0649917341172786	1.26052563615713e-07	0.0649917341172786
LINC01515	9.49263581462453e-07	-0.155714367622289	0.00268657414613565	-0.155714367622289
TTTY10	3.54518636030163e-06	0.0394256499775252	0.00860011565489744	0.0394256499775252
TMEM94	3.35095070893155e-05	0.0121630756270366	0.0711281174854583	0.0121630756270366
FAM122A	0.000153650711479751	0.0274557108511444	0.289904747959739	0.0274557108511444
GSTO1	0.000254950133526474	-0.0193242738054151	0.396097330182212	-0.0193242738054151
FAM181B	0.000277742580312675	-0.0526633898483562	0.396097330182212	-0.0526633898483562
AC025627.1	0.000279910957080651	-0.0397584050083799	0.396097330182212	-0.0397584050083799
WASHC1	0.000328521731768733	0.0180828556388141	0.407577469487093	0.0180828556388141
BVES-AS1	0.000338313477556573	0.0357692273444798	0.407577469487093	0.0357692273444798
RPL26	0.000360029564943548	0.0343447177621818	0.407577469487093	0.0343447177621818
AC244502.1	0.000423838728144106	-0.0599244882774971	0.449825340163441	-0.0599244882774971
ZNF350	0.000568495077958546	-0.0294181690257323	0.491892575722712	-0.0294181690257323
CCNT2	0.000575866352399757	-0.00833351935977028	0.491892575722712	-0.00833351935977028
MIF4GD	0.000586166972677147	-0.0335689433919266	0.491892575722712	-0.0335689433919266
RPS17	0.000593292627329766	0.0355245878307115	0.491892575722712	0.0355245878307115
BEX1	0.000608311883291734	0.0256801562833765	0.491892575722712	0.0256801562833765
RPL7	0.000653852363378905	0.0376118419023653	0.503921132369359	0.0376118419023653
DCST2	0.00072090914413872	-0.0535149473179889	0.503921132369359	-0.0535149473179889
ALK	0.000788397725417367	0.0158028241729547	0.503921132369359	0.0158028241729547
RPL32	0.000791593381788052	0.0273787770201162	0.503921132369359	0.0273787770201162
PCDH1	0.000809951587986213	0.0160864554447599	0.503921132369359	0.0160864554447599
RAD9A	0.000817756872894714	0.00952267395689031	0.503921132369359	0.00952267395689031
MESP1	0.0008309164187234	0.0303843566692363	0.503921132369359	0.0303843566692363
AC069277.1	0.0010246971526268	-0.0695312191227931	0.54198893519223	-0.0695312191227931
AC005736.1	0.0010538934293375	0.0333108510200673	0.54198893519223	0.0333108510200673
NPTN-IT1	0.00107346158348747	0.0199209278437189	0.54198893519223	0.0199209278437189
PSPH	0.0010905663261538	0.015592282358828	0.54198893519223	0.015592282358828
RPL27A	0.00111471928512276	0.0295372598401368	0.54198893519223	0.0295372598401368
SVIP	0.00113854137761805	0.0165874915792918	0.54198893519223	0.0165874915792918
GPR156	0.00114136173778191	0.0473842857304034	0.54198893519223	0.0473842857304034
LINC02636	0.00114902547947237	0.0150952147530379	0.54198893519223	0.0150952147530379
CCNY	0.00125714661133405	-0.00695136442898019	0.576962340731447	-0.00695136442898019
PXK	0.00155127446916309	0.00671370248549906	0.646595572017084	0.00671370248549906
HGF	0.00158162043451452	0.0296724380489595	0.646595572017084	0.0296724380489595
ZSWIM4	0.00159675654925484	0.023162957690882	0.646595572017084	0.023162957690882
AC007364.1	0.00161845985203818	-0.00940482261019239	0.646595572017084	-0.00940482261019239
NDUFB11	0.00167633341458089	0.033125664709414	0.646595572017084	0.033125664709414
LIMK2	0.00169183674599235	0.016528989583815	0.646595572017084	0.016528989583815
RPL41	0.00172184273125723	0.0286009700182628	0.646595572017084	0.0286009700182628
C1orf115	0.00181670392181196	0.0354282421990073	0.646595572017084	0.0354282421990073
CCDC82	0.00183787628002657	-0.00896766208042923	0.646595572017084	-0.00896766208042923
OR2L3	0.00183819608592503	0.0235735520247478	0.646595572017084	0.0235735520247478
AC024941.2	0.00186184275464281	0.0439829212023502	0.646595572017084	0.0439829212023502
OR2L2	0.00199693709234708	0.031487671779505	0.646595572017084	0.031487671779505
PCBD2	0.00206470482857013	-0.0174974707547204	0.646595572017084	-0.0174974707547204
ZC2HC1B	0.00206517597008331	-0.0439347282586484	0.646595572017084	-0.0439347282586484
HOGA1	0.00208235911157134	-0.0354391363418299	0.646595572017084	-0.0354391363418299
LINC02306	0.0021423904659721	0.0469082192568564	0.646595572017084	0.0469082192568564
AC093817.2	0.00218594943534573	0.0352391065229827	0.646595572017084	0.0352391065229827
SYN3	0.00220377838790225	-0.00986957983284954	0.646595572017084	-0.00986957983284954
RPL35	0.00224442790403929	0.0262808695808424	0.646595572017084	0.0262808695808424
