gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	7.46254313919747e-19	0.0814312734438325	1.49250862783949e-14	0.0814312734438325
NLGN4Y	1.12022647211193e-08	0.0500825925062565	0.000112022647211193	0.0500825925062565
USP9Y	4.19491344409149e-05	0.0276044425583159	0.210861911430204	0.0276044425583159
PARG	4.21723822860408e-05	-0.0189089757602692	0.210861911430204	-0.0189089757602692
AC092068.2	6.64443924089589e-05	0.0770698645267862	0.265777569635836	0.0770698645267862
ZNF547	9.79651300302408e-05	0.0318129188317249	0.267801907937515	0.0318129188317249
AL031768.2	0.000105847213486683	-0.1188221273388	0.267801907937515	-0.1188221273388
IGFBP2	0.000107120763175006	0.125697650944824	0.267801907937515	0.125697650944824
LINC01515	0.000142706641610619	-0.213728295785494	0.290469071422641	-0.213728295785494
UQCRHL	0.00014523453571132	0.0892335846514168	0.290469071422641	0.0892335846514168
PACRG-AS2	0.000203411319679999	0.129558276786192	0.344099868916278	0.129558276786192
LINC00159	0.000206459921349767	0.028078103224335	0.344099868916278	0.028078103224335
MYOCOS	0.000261180643590335	0.0910397634972943	0.362695984253491	0.0910397634972943
AC016687.2	0.000262876147117881	0.164836148464387	0.362695984253491	0.164836148464387
KRIT1	0.000272021988190118	-0.0114326135980373	0.362695984253491	-0.0114326135980373
AC130352.1	0.000309044696635165	0.115919213587749	0.384206481578013	0.115919213587749
EMILIN2	0.000326575509341311	-0.091889393068311	0.384206481578013	-0.091889393068311
ZRANB2	0.000353200415389092	-0.00912241124468192	0.386947884673526	-0.00912241124468192
PPM1F	0.00036760049043985	0.0226667042997276	0.386947884673526	0.0226667042997276
AL359706.1	0.000406099770082248	-0.0436975218041296	0.400296812722807	-0.0436975218041296
UTY	0.000420311653358947	0.0282677418548322	0.400296812722807	0.0282677418548322
AC103769.1	0.000447328162018227	0.0879104318295507	0.403457262206661	0.0879104318295507
PLSCR5	0.00046397585153766	0.0470378865564625	0.403457262206661	0.0470378865564625
GSTA4	0.000492858409430508	-0.0118444360247747	0.41071534119209	-0.0118444360247747
CELSR2	0.000526673297738779	-0.0179233826557838	0.419876852896595	-0.0179233826557838
YLPM1	0.000597904291456925	0.00817131881535648	0.419876852896595	0.00817131881535648
PCMTD1	0.000614899137816525	-0.0091427569827932	0.419876852896595	-0.0091427569827932
CASTOR1	0.000620032886884107	0.0529631838285513	0.419876852896595	0.0529631838285513
PNN	0.000621056126137726	-0.0156002327290752	0.419876852896595	-0.0156002327290752
