gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	6.58960978435129e-15	0.0743524159245848	1.08036652414439e-10	0.0743524159245848
USP9Y	1.78226312130065e-12	0.0659318081653944	1.46101019368621e-08	0.0659318081653944
NLGN4Y	9.28271039566435e-12	0.0627221907304255	5.07300123123056e-08	0.0627221907304255
UTY	7.48648786464816e-08	0.0488977736109311	0.000306852421352267	0.0488977736109311
LINC00486	3.8944419443194e-06	0.0496088214657216	0.0127698751354233	0.0496088214657216
AC064829.1	7.77324952334329e-06	0.0669232151485402	0.0212404043225355	0.0669232151485402
AHR	1.10420846884351e-05	0.0352601046890994	0.0258621397809848	0.0352601046890994
PRMT6	2.07433383802357e-05	0.0653668735760674	0.0425108790929956	0.0653668735760674
LINC01515	4.28227821491868e-05	-0.19383107467511	0.078008834815102	-0.19383107467511
CEMIP2	7.47041990007739e-05	0.0448161041687073	0.1156186116653	0.0448161041687073
RPS27	8.40819471360913e-05	0.0428315690605546	0.1156186116653	0.0428315690605546
KIAA0586	8.46247843844834e-05	-0.014498385199065	0.1156186116653	-0.014498385199065
MMP24	0.00015989990082243	-0.0163347116246006	0.19741896173113	-0.0163347116246006
AL450345.2	0.000168579778239453	0.0654269214007598	0.19741896173113	0.0654269214007598
LGI2	0.000216693644801411	-0.0343407659103817	0.228510386193861	-0.0343407659103817
CABCOCO1	0.00022300495145482	-0.0390379641247451	0.228510386193861	-0.0390379641247451
SALL1	0.000280148158432546	0.0315138581856782	0.270178179853035	0.0315138581856782
LINC01320	0.000358818132403876	0.0548466588067791	0.326823515597863	0.0548466588067791
INO80E	0.000415631888913478	0.0303141369306884	0.35068810936193	0.0303141369306884
SMURF1	0.000427798852530564	0.0120903854633818	0.35068810936193	0.0120903854633818
HLA-B	0.000495672791897548	0.0397761439076603	0.3869788296743	0.0397761439076603
TBC1D24	0.000586082837799973	-0.0187262841694289	0.430100797310693	-0.0187262841694289
OCLN	0.000603374098087584	0.0449319415597354	0.430100797310693	0.0449319415597354
C1QBP	0.00064774103610997	0.0276361918026145	0.442488095292623	0.0276361918026145
LINC01588	0.000690291747872253	0.0279809696877584	0.452693328254624	0.0279809696877584
ZBTB40	0.000741378657489068	0.0245261592494944	0.467496272674357	0.0245261592494944
RPL31	0.000794501366289845	0.0340038022691532	0.482438885197111	0.0340038022691532
HEYL	0.000853044409660535	-0.0944863862158465	0.499487967728017	-0.0944863862158465
CC2D2B	0.000921211726011724	-0.0575649646188891	0.511439688275921	-0.0575649646188891
AL442128.2	0.000935845724201137	0.0671644623324956	0.511439688275921	0.0671644623324956
LINC01535	0.00104726121835102	-0.0355887156606055	0.531867850204853	-0.0355887156606055
DUSP5	0.00110349402488358	0.0641997481348412	0.531867850204853	0.0641997481348412
SCART1	0.00113339970813828	-0.0411742806315427	0.531867850204853	-0.0411742806315427
LRIG2-DT	0.0011557487536285	-0.0267865157052954	0.531867850204853	-0.0267865157052954
CCK	0.00122028366609046	0.0247238579683265	0.531867850204853	0.0247238579683265
TMSB4X	0.00124837751654735	0.0240124241898294	0.531867850204853	0.0240124241898294
ZNF28	0.00125131548502607	-0.0470793103664029	0.531867850204853	-0.0470793103664029
SECISBP2L	0.00127577758467596	-0.0101990827679799	0.531867850204853	-0.0101990827679799
SMARCD2	0.00129672093685353	-0.0245853537043669	0.531867850204853	-0.0245853537043669
TNR	0.00129763427924331	-0.00932866941132678	0.531867850204853	-0.00932866941132678
NCOA2	0.0013873515722156	0.00709876882631633	0.547847528803533	0.00709876882631633
MLX	0.00145234852328066	-0.0339397396145417	0.547847528803533	-0.0339397396145417
ZNF518A	0.00147845454160929	0.0105789578687473	0.547847528803533	0.0105789578687473
ASXL1	0.00150888057925246	-0.0105928339266987	0.547847528803533	-0.0105928339266987
LANCL3	0.00154002707393741	0.0551538024025198	0.547847528803533	0.0551538024025198
CAMK2G	0.0015506441619237	-0.0101320196953748	0.547847528803533	-0.0101320196953748
CCNG2	0.00157052966476158	-0.0244765797527382	0.547847528803533	-0.0244765797527382
LSAMP-AS1	0.00160423512004345	0.0574647818859566	0.54794655818984	0.0574647818859566
CLCN3	0.0016498635756024	-0.0110661293365598	0.552030884122476	-0.0110661293365598
AL080250.1	0.00171840992159095	-0.0471521185259445	0.554650635118866	-0.0471521185259445
AZIN2	0.00172621387066307	0.0244783844958349	0.554650635118866	0.0244783844958349
AC058791.1	0.00186524422255475	-0.044792743807995	0.554650635118866	-0.044792743807995
MIEF2	0.00186642200167205	-0.042975123277067	0.554650635118866	-0.042975123277067
ENPP2	0.00188768278179046	0.0281145592261586	0.554650635118866	0.0281145592261586
RALB	0.00188832558799825	-0.0409716512479704	0.554650635118866	-0.0409716512479704
ACAT1	0.00192540575326258	-0.0142515691825687	0.554650635118866	-0.0142515691825687
PSTPIP2	0.0019464073338801	-0.102543177191467	0.554650635118866	-0.102543177191467
CEP57	0.0019846888235444	-0.0117272734072855	0.554650635118866	-0.0117272734072855
AGAP1	0.00199599801598128	-0.00842637762404059	0.554650635118866	-0.00842637762404059
PCDHB5	0.00206000476709122	0.061139199508339	0.562896302607675	0.061139199508339
ZNF704	0.00231075617178981	-0.0127179199695892	0.621063072729408	-0.0127179199695892
AP003464.1	0.00239678799117281	-0.0684506994992197	0.633795792181907	-0.0684506994992197
TRPC4	0.00250059032403135	0.0454658001924672	0.640759922648139	0.0454658001924672
FAM66C	0.00250128911555236	0.014626274080595	0.640759922648139	0.014626274080595
SLC14A2	0.00255724496275145	-0.0722343493044334	0.645015864066308	-0.0722343493044334
BORCS5	0.00263012659557411	0.0142971649674677	0.653347356582388	0.0142971649674677
NDRG4	0.00271675572038273	0.0159339281326201	0.656937872236872	0.0159339281326201
AC025442.2	0.00278920179262227	0.0302407491228158	0.656937872236872	0.0302407491228158
OR2L2	0.00282479169400325	0.0438407739247963	0.656937872236872	0.0438407739247963
CAPN1	0.00291820942707616	-0.0235973337558959	0.656937872236872	-0.0235973337558959
PIGW	0.00292838535991377	0.0639305825936856	0.656937872236872	0.0639305825936856
CCDC84-DT	0.00301052490266004	0.0524923587002547	0.656937872236872	0.0524923587002547
LERFS	0.0030406715606629	0.0483293464210416	0.656937872236872	0.0483293464210416
POLR2L	0.00310487790255198	0.0376850681700645	0.656937872236872	0.0376850681700645
TRIM55	0.00317419416654385	-0.0242513427866485	0.656937872236872	-0.0242513427866485
TOX	0.00323269418619691	0.037780419221262	0.656937872236872	0.037780419221262
COX6A1	0.00325018928977665	0.0307302056360924	0.656937872236872	0.0307302056360924
RPS19	0.00334537466952259	0.0245397895810085	0.656937872236872	0.0245397895810085
NME5	0.00336464135394901	0.0113751994893794	0.656937872236872	0.0113751994893794
IPO8	0.00339501958246524	0.0157154569222996	0.656937872236872	0.0157154569222996
AL159978.1	0.00349645189329474	-0.0593752733338963	0.656937872236872	-0.0593752733338963
AKAP1	0.00350221662010984	-0.0140284438057939	0.656937872236872	-0.0140284438057939
RPS6KA2	0.00353098498795522	-0.00756692252196167	0.656937872236872	-0.00756692252196167
