gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	5.18470222289507e-32	0.124083223267877	9.37705244032803e-28	0.124083223267877
TTTY14	5.02167949601858e-28	0.0962760407534081	4.5411047682496e-24	0.0962760407534081
USP9Y	3.49072730912149e-27	0.111289636337016	2.10444313709237e-23	0.111289636337016
UTY	1.03715269702832e-15	0.0723001479919086	4.68948591961353e-12	0.0723001479919086
RPS4Y1	1.18512072924604e-05	0.0460667199196098	0.0428681870182878	0.0460667199196098
PSMA3-AS1	1.50489819111759e-05	-0.0131531942470166	0.0453626478075878	-0.0131531942470166
DDX3Y	9.00299421367431e-05	0.0279055862571794	0.232611647640734	0.0279055862571794
NDUFV3	0.000145101477727497	0.0124413064757332	0.328038165772439	0.0124413064757332
AC093425.1	0.000163692319910335	0.0570367541751151	0.328948810877591	0.0570367541751151
LINC01515	0.000191924783048239	-0.110695282188054	0.347115162621045	-0.110695282188054
RBL2	0.000217106162677661	-0.0108078594937211	0.356962005289834	-0.0108078594937211
KDM5D	0.000248353296300538	0.0251690648017415	0.374309809740961	0.0251690648017415
RRAD	0.000294866820360832	-0.0614286470515353	0.386971773199457	-0.0614286470515353
SEPTIN8	0.00029954687740752	0.0121437052625303	0.386971773199457	0.0121437052625303
AC008691.1	0.00039942211821443	-0.0250041971314632	0.478960294412868	-0.0250041971314632
RPL36	0.000423718053223813	0.0300282059869788	0.478960294412868	0.0300282059869788
SCLY	0.000582407938450403	-0.0150514366234638	0.619613527930234	-0.0150514366234638
AC245140.2	0.000650960805930492	0.0477702569289739	0.647373183057488	0.0477702569289739
SKIV2L	0.000680089045565204	0.0286212517196057	0.647373183057488	0.0286212517196057
UNC13D	0.000820735040671408	0.0391277770311039	0.688524208212223	0.0391277770311039
LIMCH1	0.000847309113763387	-0.00540210129681167	0.688524208212223	-0.00540210129681167
C8orf31	0.000907818714934352	0.0274224069787211	0.688524208212223	0.0274224069787211
PAK1IP1	0.000909738443264238	0.0193789662922107	0.688524208212223	0.0193789662922107
TOMM7	0.000913666979823805	0.027711565581016	0.688524208212223	0.027711565581016
THOC5	0.00101630966059025	-0.0156794369237781	0.733584507069564	-0.0156794369237781
POU6F1	0.0010545835001553	-0.0109120456214949	0.733584507069564	-0.0109120456214949
SDE2	0.00128073625464291	-0.0256934900469856	0.818527487663568	-0.0256934900469856
PCDH11Y	0.00129222417157715	0.0226170415946947	0.818527487663568	0.0226170415946947
