gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	1.59721764193846e-22	0.0819151528945252	2.80311696160201e-18	0.0819151528945252
NLGN4Y	2.56089236781905e-21	0.0926269083742389	2.24718305276122e-17	0.0926269083742389
USP9Y	4.44804887471353e-18	0.082481222753463	2.60210859170742e-14	0.082481222753463
UTY	3.18383592016609e-10	0.0525366819332466	1.39690800997287e-06	0.0525366819332466
LINC01515	6.8380841016031e-07	-0.163654664366861	0.00240016751966269	-0.163654664366861
ATF7IP	7.61583993772787e-05	-0.0129144157690269	0.197500671666641	-0.0129144157690269
AC007743.1	7.8775196676153e-05	0.106069726719541	0.197500671666641	0.106069726719541
TBC1D15	0.000122594721612329	0.0133236454008963	0.268942170537046	0.0133236454008963
SLC38A3	0.000149162882124993	0.0604235412301413	0.290867620143736	0.0604235412301413
WBP1L	0.000174427461000127	0.0153351170065211	0.306120194055223	0.0153351170065211
RMND1	0.00019495971976381	-0.0210248967243604	0.311049371077716	-0.0210248967243604
LINC02664	0.000322733288788128	-0.054167993905864	0.471997434852637	-0.054167993905864
ATP6V1C1	0.000413812792094346	0.0133816168274691	0.558647269327367	0.0133816168274691
LINC01750	0.000461874664836093	0.0426268132416653	0.57899288341953	0.0426268132416653
SLCO2B1	0.000610907769640142	0.0771529757307544	0.704869392625646	0.0771529757307544
CALML4	0.000661758244389784	0.0323648750306429	0.704869392625646	0.0323648750306429
XRCC5	0.000903076134752533	-0.0107716218019976	0.704869392625646	-0.0107716218019976
HEY1	0.000907853888603419	-0.0960782707598279	0.704869392625646	-0.0960782707598279
HOOK3	0.0010649392334625	0.0078637960433834	0.704869392625646	0.0078637960433834
LINC02488	0.00111221471478549	-0.0288639012813359	0.704869392625646	-0.0288639012813359
RPS4Y1	0.00112186996199347	0.034947840591718	0.704869392625646	0.034947840591718
NRP2	0.00112434235278976	0.0333378107494041	0.704869392625646	0.0333378107494041
AP005131.6	0.00114986770471694	0.0602162593158169	0.704869392625646	0.0602162593158169
UPRT	0.00119305950408089	0.0255841016376285	0.704869392625646	0.0255841016376285
NANOS3	0.00136370524462365	0.0283711960961284	0.704869392625646	0.0283711960961284
COQ10B	0.0013652552204404	-0.0242192649069465	0.704869392625646	-0.0242192649069465
STK40	0.00137209604637572	-0.0180069847141713	0.704869392625646	-0.0180069847141713
UBOX5	0.00137306154425273	0.0234065953588223	0.704869392625646	0.0234065953588223
