gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	2.14812644225535e-22	0.0852724283040238	3.71926612212092e-18	0.0852724283040238
NLGN4Y	1.86760892057067e-16	0.0722713422076174	1.61678904253803e-12	0.0722713422076174
UTY	3.01703548978425e-16	0.0764133023991422	1.74123174900415e-12	0.0764133023991422
USP9Y	5.48197009718785e-16	0.0727033551340727	2.37287075656776e-12	0.0727033551340727
LINC01515	3.91784534531856e-07	-0.146907285021149	0.00135667148617691	-0.146907285021149
PTPRT	7.82032199854896e-05	-0.025069353378967	0.225668425138128	-0.025069353378967
LYN	0.00011017110511204	0.0775775609079655	0.237104478122806	0.0775775609079655
DGCR2	0.000120126882880999	0.0128648315469671	0.237104478122806	0.0128648315469671
ZFP69	0.000123249411060717	-0.0799286733140986	0.237104478122806	-0.0799286733140986
THUMPD1	0.000150100301922666	0.0169997913285593	0.259883662748903	0.0169997913285593
AP000842.2	0.00025439937188901	-0.0946403561552619	0.400424611353302	-0.0946403561552619
SRPRA	0.000288751543551354	-0.0298354289044134	0.400684551527659	-0.0298354289044134
ANP32B	0.00030084897596509	0.0212408914327355	0.400684551527659	0.0212408914327355
AC069277.1	0.000366857431958985	-0.110775502629284	0.453697826924133	-0.110775502629284
HIF1A-AS1	0.000444185555734587	0.071906088286163	0.502203869194342	0.071906088286163
SNRPD2	0.000492946275138322	0.0329287890711495	0.502203869194342	0.0329287890711495
CYP4Z1	0.000493096094276528	0.0353853783026834	0.502203869194342	0.0353853783026834
ADGRG7	0.000581066254094727	0.0965323835836897	0.545751845942793	0.0965323835836897
HNRNPC	0.000638841643551069	0.00870912486801437	0.545751845942793	0.00870912486801437
PRKY	0.000647614374126368	0.0469992723308782	0.545751845942793	0.0469992723308782
MAMDC2	0.000661937666905316	0.0347200820770553	0.545751845942793	0.0347200820770553
AC126773.6	0.00073228037705694	0.0290509226079915	0.576304656743811	0.0290509226079915
NOL12	0.000822961614261747	-0.0252973729586416	0.578585158060629	-0.0252973729586416
FAM161B	0.000885191192561264	-0.0274920710373083	0.578585158060629	-0.0274920710373083
LENG1	0.000914448202317784	-0.0642367547804589	0.578585158060629	-0.0642367547804589
RBCK1	0.00091734472484323	-0.0188564182431983	0.578585158060629	-0.0188564182431983
SFRP4	0.000952350511483728	-0.0549592589643325	0.578585158060629	-0.0549592589643325
MEIG1	0.000962592291825813	0.0610409222110378	0.578585158060629	0.0610409222110378
GPR85	0.00101049910660293	0.0222469897867252	0.578585158060629	0.0222469897867252
UQCRQ	0.00102899374391718	0.0411504918426533	0.578585158060629	0.0411504918426533
AC027117.2	0.00103593276538521	-0.0400770848340665	0.578585158060629	-0.0400770848340665
EXOC3	0.00116559067785561	-0.0175378697868631	0.618857440560605	-0.0175378697868631
ARHGAP32	0.00120768574655119	-0.00724351612829488	0.618857440560605	-0.00724351612829488
MCL1	0.00127281193900365	0.0253607796590521	0.618857440560605	0.0253607796590521
ZNF2	0.00130075522269192	0.0317546302018699	0.618857440560605	0.0317546302018699
RAB1B	0.00138739973057125	-0.0228302511443381	0.618857440560605	-0.0228302511443381
SNUPN	0.00141023928510899	0.0230246350367144	0.618857440560605	0.0230246350367144
RPS27	0.00142371878244347	0.037335464624289	0.618857440560605	0.037335464624289
MAST1	0.00142447107313468	0.00849131638591775	0.618857440560605	0.00849131638591775
RPLP1	0.00144261480084858	0.0281266194928968	0.618857440560605	0.0281266194928968
ASMTL-AS1	0.00146547043219272	0.0354282312400559	0.618857440560605	0.0354282312400559
ADPRHL1	0.00152938175153621	0.0298815050486664	0.630469420145191	0.0298815050486664
CCDC125	0.00158012783101977	0.0167641149424714	0.636240308518052	0.0167641149424714
MED6	0.00164363828473415	-0.0168481640856997	0.639229932370667	-0.0168481640856997
GLS	0.00167096309696458	-0.00692613158801423	0.639229932370667	-0.00692613158801423
ABHD5	0.00169831216871033	-0.0159990712580616	0.639229932370667	-0.0159990712580616
KIF5C	0.0018360998341415	-0.00525575109542079	0.660079402113601	-0.00525575109542079
UBE2G2	0.00186789036099088	0.00928032473388175	0.660079402113601	0.00928032473388175
AL512625.1	0.00186807731913864	0.0511347146490503	0.660079402113601	0.0511347146490503
AC112206.2	0.00197656297914929	0.042525454367563	0.666347091208228	0.042525454367563
PPA2	0.00204849920418199	-0.00929216840212077	0.666347091208228	-0.00929216840212077
AL162411.1	0.00209548087015561	0.0625794712028613	0.666347091208228	0.0625794712028613
AC013460.1	0.00217013397450751	-0.0400489588976288	0.666347091208228	-0.0400489588976288
UBR3	0.00219057490154788	-0.0059313885309548	0.666347091208228	-0.0059313885309548
ZNF563	0.00229315237843497	0.0433978968868668	0.666347091208228	0.0433978968868668
SMCR5	0.0023037256630146	0.0363839277247085	0.666347091208228	0.0363839277247085
GART	0.00230612655950118	-0.0164271208567637	0.666347091208228	-0.0164271208567637
NAF1	0.00231965740357332	0.0129919586097187	0.666347091208228	0.0129919586097187
NOP56	0.00234120438096811	0.0143817729044256	0.666347091208228	0.0143817729044256
EPB41L4A	0.0023508991620425	-0.0514772776888491	0.666347091208228	-0.0514772776888491
DEK	0.00237979299642499	-0.0194203543085511	0.666347091208228	-0.0194203543085511
SLC12A9	0.00238613374465231	0.0180487514497214	0.666347091208228	0.0180487514497214
AC013640.1	0.00251935366691176	-0.0769751250787564	0.679348077817487	-0.0769751250787564
OR2L2	0.0025384287158259	0.0358082454715528	0.679348077817487	0.0358082454715528
AL356804.1	0.00261093661032729	0.0748521158557517	0.679348077817487	0.0748521158557517
FHIT	0.00281574245948151	0.0116687256676585	0.679348077817487	0.0116687256676585
LINC00486	0.00281854134360412	0.0377355477222435	0.679348077817487	0.0377355477222435
AC099332.2	0.00290930774955231	0.0632999535047573	0.679348077817487	0.0632999535047573
LINC02798	0.00295691550940269	0.0141371399762276	0.679348077817487	0.0141371399762276
PRR14	0.00296128548396497	0.020685797610417	0.679348077817487	0.020685797610417
WASHC1	0.00296338836577877	0.0170741065678304	0.679348077817487	0.0170741065678304
APH1B	0.0029916058411917	-0.0156655328352621	0.679348077817487	-0.0156655328352621
CXXC1	0.0030065751972857	0.0182257627431399	0.679348077817487	0.0182257627431399
ARLNC1	0.00306237608621954	0.034925841977735	0.679348077817487	0.034925841977735
TP53TG5	0.00309306337913907	-0.0392203171111951	0.679348077817487	-0.0392203171111951
ATP5F1E	0.00310549657229588	0.027455082971209	0.679348077817487	0.027455082971209
CSTF2	0.00312514989655266	-0.0245892755777631	0.679348077817487	-0.0245892755777631
AL355347.1	0.00315961524033057	-0.0814538388324593	0.679348077817487	-0.0814538388324593
NPIPA1	0.00323561328349153	-0.0196370053605186	0.679348077817487	-0.0196370053605186
ZBTB8OS	0.00324312669198189	0.00855570920341124	0.679348077817487	0.00855570920341124
BOK-AS1	0.00331866313501191	-0.0862315804917481	0.679348077817487	-0.0862315804917481
CDV3	0.00331987029358592	-0.0190574679113793	0.679348077817487	-0.0190574679113793
AL118508.1	0.00336247089287032	0.0533341146705278	0.679348077817487	0.0533341146705278
NLGN3	0.00339108206326937	0.0156591555503066	0.679348077817487	0.0156591555503066
CEP250	0.00348970018495144	-0.0126190189454364	0.679348077817487	-0.0126190189454364
CNOT4	0.00349397566589607	-0.00730304240218381	0.679348077817487	-0.00730304240218381
MINAR1	0.00350017328848359	-0.0331698836129498	0.679348077817487	-0.0331698836129498
ASCC3	0.00352631911903754	-0.00801532926278078	0.679348077817487	-0.00801532926278078
AL050341.2	0.00353857498223064	-0.0446954007386047	0.679348077817487	-0.0446954007386047
ETHE1	0.00359650927075284	0.0243306050348901	0.679348077817487	0.0243306050348901
LINC01877	0.0037493904554432	-0.0727027766498643	0.679348077817487	-0.0727027766498643
MAP3K2	0.00387366370773279	-0.00902513770249143	0.679348077817487	-0.00902513770249143
IDI2-AS1	0.0038803615567534	-0.0237048707877998	0.679348077817487	-0.0237048707877998
AC025171.1	0.00389143228717119	-0.027747876800739	0.679348077817487	-0.027747876800739
CSRNP2	0.00390681986808118	-0.0140506428969819	0.679348077817487	-0.0140506428969819
SCN1B	0.00391270889876305	-0.0163243673197154	0.679348077817487	-0.0163243673197154
TECPR1	0.00393262052692111	0.0127421602047936	0.679348077817487	0.0127421602047936
BLNK	0.00394353431703359	0.0850902394034394	0.679348077817487	0.0850902394034394
GALNT11	0.00395383261612484	-0.00916072551499681	0.679348077817487	-0.00916072551499681
SGTB	0.0040256465099689	-0.012678179478184	0.679348077817487	-0.012678179478184
LINC01937	0.00403474223465324	-0.0416621831387818	0.679348077817487	-0.0416621831387818
RPLP2	0.00404674446717686	0.0270866030920092	0.679348077817487	0.0270866030920092
TMEM104	0.00406061624592447	0.02643510851541	0.679348077817487	0.02643510851541
AC090115.1	0.00408063994992599	-0.01617152869439	0.679348077817487	-0.01617152869439
COPS9	0.00417254509373256	0.0328753074133415	0.688032816694148	0.0328753074133415
EIF3C	0.00441462976492325	0.0293781922748429	0.688598319660522	0.0293781922748429
YTHDC2	0.00447574626436964	-0.00797335299042904	0.688598319660522	-0.00797335299042904
MITD1	0.00448613659049647	-0.0199500877209501	0.688598319660522	-0.0199500877209501
LINC01508	0.0045071078696228	-0.113976468004464	0.688598319660522	-0.113976468004464
PAM16	0.00450866370667916	0.014550826500219	0.688598319660522	0.014550826500219
NFATC2IP	0.00451881619725388	-0.0119257924928564	0.688598319660522	-0.0119257924928564
AL590235.2	0.00453574719977168	0.0352079085363973	0.688598319660522	0.0352079085363973
JAZF1-AS1	0.00455036285287329	0.0207402595666799	0.688598319660522	0.0207402595666799
UTP15	0.0045514991134172	0.034178836165968	0.688598319660522	0.034178836165968
RPL13A	0.00470872358246759	0.0253334137399379	0.688598319660522	0.0253334137399379
INO80B	0.00482454618980415	0.0321636607800863	0.688598319660522	0.0321636607800863
HEXD-IT1	0.00482814134830696	0.0546257429548467	0.688598319660522	0.0546257429548467
HEATR4	0.00483966778698937	0.0125780003981014	0.688598319660522	0.0125780003981014
CKB	0.00500354862063486	0.0194484170933452	0.688598319660522	0.0194484170933452
AL157912.1	0.0051188950950799	-0.0750425903277302	0.688598319660522	-0.0750425903277302
SLC26A5	0.00512914769065	-0.0649183656856056	0.688598319660522	-0.0649183656856056
AL157938.3	0.00513722479243025	-0.0556397211592507	0.688598319660522	-0.0556397211592507
LINC02281	0.00515834314544023	-0.0525233032612901	0.688598319660522	-0.0525233032612901
AL445928.2	0.00519584644374631	-0.0413257698880105	0.688598319660522	-0.0413257698880105
NMT2	0.00525340457594077	0.0103519577387186	0.688598319660522	0.0103519577387186
RNF150	0.00525384601213214	0.00662604840271678	0.688598319660522	0.00662604840271678
TONSL	0.00530675791544305	0.0443173680695585	0.688598319660522	0.0443173680695585
PLAC8	0.00533097305125105	0.0608165015413725	0.688598319660522	0.0608165015413725
AC026471.1	0.00535884412551781	-0.0547623791007744	0.688598319660522	-0.0547623791007744
CDK11B	0.00538325501166558	0.0164681030020478	0.688598319660522	0.0164681030020478
LINC01135	0.00539871270638728	-0.0173693760563722	0.688598319660522	-0.0173693760563722
SF3B4	0.00540287797679474	0.0263908266304716	0.688598319660522	0.0263908266304716
AC104964.1	0.00543853703394581	-0.0175705279504611	0.688598319660522	-0.0175705279504611
AL591242.1	0.00553736029845039	0.0421946658587892	0.688598319660522	0.0421946658587892
TPI1	0.00554914733677168	0.0258236845987864	0.688598319660522	0.0258236845987864
LINC01561	0.00556436791041855	0.0263795363190325	0.688598319660522	0.0263795363190325
RPS15	0.00561234574372964	0.0268704103848176	0.688598319660522	0.0268704103848176
PAX7	0.00563729414452767	0.04332096938668	0.688598319660522	0.04332096938668
NCBP1	0.0056635622711229	0.0146571556181509	0.688598319660522	0.0146571556181509
ATP2C2	0.00568017824239037	-0.0715010482337432	0.688598319660522	-0.0715010482337432
UBXN10	0.00574624774798785	-0.0412274545417245	0.688598319660522	-0.0412274545417245
APOD	0.00576858360483195	0.0439235822829328	0.688598319660522	0.0439235822829328
ROCK1	0.00579987691251251	0.00763281073464265	0.688598319660522	0.00763281073464265
EME2	0.00590369147236822	-0.0247581894847011	0.688598319660522	-0.0247581894847011
MTMR14	0.00596289644341415	-0.0158893845926901	0.688598319660522	-0.0158893845926901
AF038458.3	0.00597113221288743	0.0300265064269896	0.688598319660522	0.0300265064269896
HSPB1	0.00598712163258341	0.0551528352156854	0.688598319660522	0.0551528352156854
AC034139.1	0.00598765330855494	-0.0345401049711331	0.688598319660522	-0.0345401049711331
PSMD4	0.00612319135329654	0.0125475699807965	0.688598319660522	0.0125475699807965
ADAMTS14	0.00614793217390865	-0.0752702152413901	0.688598319660522	-0.0752702152413901
GSKIP	0.00614972872581868	0.0198157276005604	0.688598319660522	0.0198157276005604
FNTA	0.00619105639783472	-0.0114537188277347	0.688598319660522	-0.0114537188277347
TCHP	0.00620291516253247	-0.0135485119191357	0.688598319660522	-0.0135485119191357
POC1A	0.00626172006901767	-0.0740445054431861	0.688598319660522	-0.0740445054431861
SLC25A28	0.00631421920998719	-0.0132746648994469	0.688598319660522	-0.0132746648994469
SLITRK4	0.00635433380855747	0.0129921329847339	0.688598319660522	0.0129921329847339
OR2M4	0.00640986220299294	0.0447041618055225	0.688598319660522	0.0447041618055225
ARID2	0.00644377148582748	-0.0109487392780222	0.688598319660522	-0.0109487392780222
DNAJC1	0.00647407881576788	0.00875135187920452	0.688598319660522	0.00875135187920452
AP000345.2	0.00649306180014549	0.0326412264956442	0.688598319660522	0.0326412264956442
USO1	0.00650018315784133	-0.00998304758136441	0.688598319660522	-0.00998304758136441
AC034268.2	0.00650514995628087	-0.0520069144060514	0.688598319660522	-0.0520069144060514
AC026341.1	0.00654671856169137	0.0190040033676151	0.688598319660522	0.0190040033676151
IRS1	0.00661829361829863	0.00990860881175755	0.688598319660522	0.00990860881175755
R3HCC1L	0.00663294372379844	-0.0141585582602702	0.688598319660522	-0.0141585582602702
AL049838.1	0.0066507949255161	0.0309457356755435	0.688598319660522	0.0309457356755435
PCDHAC1	0.00667952669583392	-0.0561464999858029	0.688598319660522	-0.0561464999858029
KCTD7	0.00669992075807783	-0.012929070982776	0.688598319660522	-0.012929070982776
ASCC1	0.00672133048530832	-0.0103444706535418	0.688598319660522	-0.0103444706535418
HCN1	0.00692687526154646	0.0061892238832298	0.705481872225973	0.0061892238832298
SAE1	0.00698068480661597	0.0109847998593078	0.706804542349409	0.0109847998593078
PIGQ	0.00704483317244369	0.0178311120699415	0.708708608105933	0.0178311120699415
SLC37A3	0.00711206785264145	-0.0119347512135658	0.708708608105933	-0.0119347512135658
ANOS1	0.00715374434219845	-0.0652916892855936	0.708708608105933	-0.0652916892855936
HCN3	0.00718009467463589	-0.0237849239881484	0.708708608105933	-0.0237849239881484
AP000282.1	0.00723190030619906	-0.0304834018188072	0.708708608105933	-0.0304834018188072
ZNF667	0.00726322633042944	0.0117897216677171	0.708708608105933	0.0117897216677171
AP005059.1	0.00728601895823357	-0.0569724224979068	0.708708608105933	-0.0569724224979068
GSTT2B	0.0075302840774682	-0.0254259224315444	0.728376192833991	-0.0254259224315444
GPC2	0.0076876257678082	-0.0730166825975395	0.729238664581114	-0.0730166825975395
AC106881.1	0.00771299762297949	0.0416162259859062	0.729238664581114	0.0416162259859062
ADORA2A	0.00775289119133028	0.0368533582194284	0.729238664581114	0.0368533582194284
KDM5D	0.00777781255760058	0.0183473474139296	0.729238664581114	0.0183473474139296
LPGAT1	0.00782184271097938	-0.00833953617396864	0.729238664581114	-0.00833953617396864
CHCHD3	0.00784553694637116	0.00603258506502686	0.729238664581114	0.00603258506502686
GFOD1	0.00784823576499747	-0.00699537207504259	0.729238664581114	-0.00699537207504259
AC006116.8	0.00787614821974519	-0.0539526275616952	0.729238664581114	-0.0539526275616952
AL139042.1	0.00798220112649838	-0.0583763395274466	0.731104485876692	-0.0583763395274466
MRTFA	0.00805229934877321	0.00562558802843792	0.731104485876692	0.00562558802843792
SBK1	0.00805573053941108	0.0115750579456856	0.731104485876692	0.0115750579456856
HGFAC	0.0081051661286855	0.0204568752871751	0.731104485876692	0.0204568752871751
TRPM3	0.00814794276572671	0.0219274861639252	0.731104485876692	0.0219274861639252
AC093297.2	0.00816112654909937	0.0213908730538632	0.731104485876692	0.0213908730538632
C4orf48	0.00819188346194284	0.0258506126474257	0.731104485876692	0.0258506126474257
CERS5	0.00823611918913789	0.00964625916634112	0.731282910978121	0.00964625916634112
