gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	8.32460827764618e-24	0.111904942784187	1.1147482944596e-19	0.111904942784187
NLGN4Y	1.79172053522581e-20	0.102924182337531	1.19964648436044e-16	0.102924182337531
LINC00278	1.29035003803143e-17	0.101608838450467	5.75969245309294e-14	0.101608838450467
USP9Y	2.29046914398508e-15	0.0829820323032823	7.66791807677604e-12	0.0829820323032823
NR4A3	1.8205732612226e-05	-0.0939246841496968	0.0487585930820636	-0.0939246841496968
AC138627.1	2.86480089856213e-05	0.0440538064721736	0.0639375813877425	0.0440538064721736
PRXL2C	4.41479790350661e-05	-0.0229826261086509	0.0827282980212235	-0.0229826261086509
NFKBID	4.94232233716517e-05	-0.0287540831286427	0.0827282980212235	-0.0287540831286427
LINC00486	6.41589075676273e-05	0.0572454085922135	0.0954613256931219	0.0572454085922135
RPS6KA2	7.32482828417238e-05	-0.0144922042817827	0.0980867755533524	-0.0144922042817827
DPY19L3	0.000121089011899057	0.0109736856410874	0.147409359849115	0.0109736856410874
AC113143.3	0.000175954883211572	0.0238797090884917	0.187480591441113	0.0238797090884917
AC022182.1	0.000182006398979499	0.0210172396077932	0.187480591441113	0.0210172396077932
BTG2	0.000224434171625444	-0.0204408061306229	0.214671285159738	-0.0204408061306229
MED4	0.000378856369663571	0.00867548509629398	0.338217709744325	0.00867548509629398
ZNF558	0.000420863276693536	0.0167125194270148	0.352236258637697	0.0167125194270148
C3orf33	0.00044764242011441	0.0269720554346454	0.352610567514827	0.0269720554346454
TNNI2	0.00047953943175934	-0.0376456925797547	0.355065271154433	-0.0376456925797547
PADI2	0.000525718484902701	-0.023270327961512	0.355065271154433	-0.023270327961512
AC096667.1	0.00053821673345073	-0.0532325097753247	0.355065271154433	-0.0532325097753247
NPFFR1	0.000640429553718378	-0.0664318668352941	0.355065271154433	-0.0664318668352941
CXCR4	0.000642717574622222	-0.0457178138376246	0.355065271154433	-0.0457178138376246
WWTR1	0.000665922911743848	0.02543162275602	0.355065271154433	0.02543162275602
MKNK1	0.000693413908315197	0.0110278870873572	0.355065271154433	0.0110278870873572
LINC00649	0.000724056482162322	0.0387077640282096	0.355065271154433	0.0387077640282096
NPIPB13	0.000770990647655346	0.0281194604888393	0.355065271154433	0.0281194604888393
CLCN7	0.000772851602751545	-0.0114002360758709	0.355065271154433	-0.0114002360758709
IFITM10	0.00077579119430901	-0.0369655114169997	0.355065271154433	-0.0369655114169997
NEMP2	0.000777735346640428	-0.0228506249654123	0.355065271154433	-0.0228506249654123
LINC01515	0.000795456510688745	-0.0833039544628765	0.355065271154433	-0.0833039544628765
IL7	0.000823904339164998	-0.0475550989094235	0.355900096959951	-0.0475550989094235
KCNIP1	0.000891560409567721	-0.0200363016378687	0.372337186635418	-0.0200363016378687
RPS28	0.00091756606369717	0.0283866112445949	0.372337186635418	0.0283866112445949
HNRNPA3	0.00094880941050331	-0.00646651438727333	0.373691376942642	-0.00646651438727333
EGR1	0.000978382172625702	-0.0686188634898113	0.374329019246594	-0.0686188634898113
DOCK4-AS1	0.00104327205338465	-0.0428579347369238	0.377972685940769	-0.0428579347369238
NSD1	0.00104435735791266	0.00552564852460023	0.377972685940769	0.00552564852460023
MCOLN2	0.00108118676220337	-0.0450668334365348	0.378770566255812	-0.0450668334365348
MSH2	0.00112405144362375	0.0199352796378248	0.378770566255812	0.0199352796378248
CERNA2	0.00118872434156264	-0.0400185881151632	0.378770566255812	-0.0400185881151632
RUNX1T1	0.00119281480914133	0.0454987975879465	0.378770566255812	0.0454987975879465
LBH	0.00120806851013583	0.0302596469438871	0.378770566255812	0.0302596469438871
TTTY10	0.00124744923277876	0.0444858191135031	0.378770566255812	0.0444858191135031
ALOX15B	0.00125023587010805	-0.0389477567966555	0.378770566255812	-0.0389477567966555
AC092910.3	0.0012728456038766	0.0215910563504025	0.378770566255812	0.0215910563504025
NR4A2	0.00144278046214863	-0.0393857274821845	0.411249068452547	-0.0393857274821845
ITGA4	0.00144341021710624	-0.0462677417534531	0.411249068452547	-0.0462677417534531
GSTK1	0.0014854769901971	-0.0140392243217185	0.414417132827694	-0.0140392243217185
KIF4A	0.001521146464023	-0.0713026184623104	0.415707597953714	-0.0713026184623104
CYP39A1	0.00160350681101559	0.0628953345335224	0.421497204800736	0.0628953345335224
CABYR	0.0016548273487756	0.0233727675644231	0.421497204800736	0.0233727675644231
ZNF185	0.0016573975320237	0.0213777748952621	0.421497204800736	0.0213777748952621
ZNF454	0.00172173989704191	0.0297877545425898	0.421497204800736	0.0297877545425898
UNC5C	0.00172465380580333	0.0468629308226146	0.421497204800736	0.0468629308226146
AC136604.2	0.00173118857919801	0.0374339595270203	0.421497204800736	0.0374339595270203
GPM6A	0.00198009103803484	0.0703157431503068	0.455890078225071	0.0703157431503068
PTCD2	0.00209257904860269	0.0144884634509345	0.455890078225071	0.0144884634509345
MELK	0.00211237646228038	-0.069953026911295	0.455890078225071	-0.069953026911295
GALK1	0.00214768401566709	-0.0240214312566253	0.455890078225071	-0.0240214312566253
PTGER4	0.00216651591971032	-0.0324166832164008	0.455890078225071	-0.0324166832164008
NMT1	0.00218521732982203	0.00951192465320385	0.455890078225071	0.00951192465320385
ZNF331	0.00219950226489026	-0.0176315621784977	0.455890078225071	-0.0176315621784977
ZFP36	0.00224294595224553	-0.0261747411750305	0.455890078225071	-0.0261747411750305
GABPB2	0.00226603707510242	0.0125477455533335	0.455890078225071	0.0125477455533335
IER2	0.00227550709405221	-0.0209660137794029	0.455890078225071	-0.0209660137794029
JUNB	0.0022795373177849	-0.0222752700020354	0.455890078225071	-0.0222752700020354
AL136441.1	0.00228981377609828	0.0249506640987264	0.455890078225071	0.0249506640987264
