gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
IL4I1	4.10830066418553e-06	-0.109783058982363	0.0349485100110211	-0.109783058982363
DNAJB9	5.07088073288176e-06	0.0908133587332327	0.0349485100110211	0.0908133587332327
TREM1	1.03774348245253e-05	-0.140718188468906	0.0476808538737523	-0.140718188468906
PCBP2	1.78859494663225e-05	0.0191421631033883	0.0597827933709625	0.0191421631033883
LINC01588	2.16855750765244e-05	0.0775076540132336	0.0597827933709625	0.0775076540132336
GPNMB	5.7750199902609e-05	-0.0728341850981336	0.125183012353828	-0.0728341850981336
SIGLEC1	7.9742899708983e-05	-0.0993784539009009	0.125183012353828	-0.0993784539009009
ZPR1	8.16945192909733e-05	0.0759777922111256	0.125183012353828	0.0759777922111256
AC007448.4	8.22351319784529e-05	0.117318505910537	0.125183012353828	0.117318505910537
SH3BP4	9.08176235880934e-05	-0.153438852409312	0.125183012353828	-0.153438852409312
EFCAB14	0.000134410531317983	0.029076281771825	0.161190071832087	0.029076281771825
EML6	0.00014032797896003	0.102899255180222	0.161190071832087	0.102899255180222
AC009432.2	0.000155418721806465	0.0834252417678946	0.164791666260024	0.0834252417678946
ARPC1A	0.000178646721311376	0.0266593465517586	0.172877283748709	0.0266593465517586
ADRB1	0.00018812821069578	-0.129630629716626	0.172877283748709	-0.129630629716626
RAB42	0.000213306051117428	-0.119428307806131	0.178652609359597	-0.119428307806131
TSPAN17	0.00022033476197861	0.0520141580736995	0.178652609359597	0.0520141580736995
HK3	0.000262310779747216	0.0746094386107906	0.200871766001979	0.0746094386107906
CABP4	0.000294629032677067	0.0727245356522436	0.212964434391306	0.0727245356522436
H2AFJ	0.000309002371432539	0.0417528230950386	0.212964434391306	0.0417528230950386
NRARP	0.000354541463004304	-0.122712199374032	0.23152550648638	-0.122712199374032
PDLIM2	0.000369527070712446	-0.0867917873807853	0.23152550648638	-0.0867917873807853
RUNX3	0.000405809403969445	-0.0632659955355492	0.231564220135969	-0.0632659955355492
SLC41A2	0.00041392844071768	-0.111567647295681	0.231564220135969	-0.111567647295681
RARRES1	0.000422642286268189	0.0823508481192241	0.231564220135969	0.0823508481192241
AC012181.1	0.000436786834266918	-0.0995536638626488	0.231564220135969	-0.0995536638626488
SHFL	0.000486408714422321	-0.0332483059234525	0.240127734681665	-0.0332483059234525
AMER1	0.000487781237020213	0.120705275405099	0.240127734681665	0.120705275405099
IKZF4	0.000522430160862627	-0.0838573904744221	0.244285542144755	-0.0838573904744221
NUPR1	0.000531671957656897	-0.0635429810772771	0.244285542144755	-0.0635429810772771
MYO7A	0.000611218563316365	0.0338807211026385	0.260393326860171	0.0338807211026385
IFT57	0.000614375300723543	0.0782553998952221	0.260393326860171	0.0782553998952221
ADRB2	0.000638414430025347	0.0528218396167777	0.260393326860171	0.0528218396167777
CACNA1F	0.000659674556579933	-0.178630673290378	0.260393326860171	-0.178630673290378
POU5F1	0.000661184448643789	-0.0930450124749851	0.260393326860171	-0.0930450124749851
P2RY14	0.000725279052548445	-0.100763795232781	0.275900538207924	-0.100763795232781
SESN2	0.000774066369432582	0.0516381971467836	0.275900538207924	0.0516381971467836
PRKCE	0.000795598682598063	-0.0271349640096169	0.275900538207924	-0.0271349640096169
MED22	0.000796307612554489	0.0494816478342042	0.275900538207924	0.0494816478342042
RAB7B	0.000801531136378958	-0.234576540686763	0.275900538207924	-0.234576540686763
HIST1H4H	0.000820655982771684	0.0634702417932331	0.275900538207924	0.0634702417932331
GRK3	0.000909395957605542	-0.0185951066437925	0.298455092372257	-0.0185951066437925
LMO7-AS1	0.00095334110402998	0.0829436239000475	0.304297790250286	0.0829436239000475
COLEC12	0.000987303941800501	-0.118472444062584	0.304297790250286	-0.118472444062584
FBXO41	0.00101126955786792	-0.05531601818238	0.304297790250286	-0.05531601818238
FBXO10	0.00105640605050378	0.0522271801153672	0.304297790250286	0.0522271801153672
UCHL1	0.00108286982667556	-0.190614769206241	0.304297790250286	-0.190614769206241
FLNB	0.00108569231348982	-0.0680612711049684	0.304297790250286	-0.0680612711049684
EIF2S3	0.00109814965973128	0.022775169208182	0.304297790250286	0.022775169208182
AASDHPPT	0.00111058705531857	0.0500606073677845	0.304297790250286	0.0500606073677845
DAB2IP	0.0011331483220801	-0.0655923816337938	0.304297790250286	-0.0655923816337938
TMX3	0.00117592593974148	0.0260936605138518	0.304297790250286	0.0260936605138518
AL009177.1	0.00119725085403511	-0.164581407828493	0.304297790250286	-0.164581407828493
SEL1L3	0.00120405112758038	-0.103809709552104	0.304297790250286	-0.103809709552104
TBKBP1	0.00122081100989115	0.0935890445310713	0.304297790250286	0.0935890445310713
CHN1	0.00123626496329193	-0.193032655386084	0.304297790250286	-0.193032655386084
HYAL2	0.00129987940865409	0.0696572845135971	0.314342767875229	0.0696572845135971
ADM	0.00136345155611103	-0.0963648925387224	0.318777563504048	-0.0963648925387224
PCAT1	0.00136447157913079	0.0881339174571593	0.318777563504048	0.0881339174571593
ZNF160	0.00145436799905421	-0.0293634069103627	0.333001925606078	-0.0293634069103627
RIOK3	0.00147367364059567	-0.022762230379816	0.333001925606078	-0.022762230379816
TMEM203	0.00162619682603488	-0.0931163633619554	0.341492102644615	-0.0931163633619554
SULF2	0.00163916395755459	-0.094003111118739	0.341492102644615	-0.094003111118739
SERGEF	0.00167977856663842	0.0217159699156887	0.341492102644615	0.0217159699156887
RAB32	0.0016875778698058	0.0367365364736958	0.341492102644615	0.0367365364736958
C1orf198	0.00169219988601883	0.101441316195827	0.341492102644615	0.101441316195827
TXLNA	0.0017227697852252	-0.033551215314581	0.341492102644615	-0.033551215314581
SMAGP	0.00175261384578101	0.0842453940009852	0.341492102644615	0.0842453940009852
AC011139.1	0.00178387592814451	0.0618633319538026	0.341492102644615	0.0618633319538026
KIDINS220	0.00180391238402939	0.0158104849155256	0.341492102644615	0.0158104849155256
NBPF19	0.00182321059591347	-0.0509620476986927	0.341492102644615	-0.0509620476986927
NPDC1	0.00186028878016372	0.101779013375512	0.341492102644615	0.101779013375512
ARMC9	0.00190784365955797	-0.0969895899075714	0.341492102644615	-0.0969895899075714
ITIH5	0.00191904547438067	0.131646094373973	0.341492102644615	0.131646094373973
DIPK1A	0.00197119008914047	-0.0325476954720385	0.341492102644615	-0.0325476954720385
TSPAN7	0.00197347847774483	-0.162887880310466	0.341492102644615	-0.162887880310466
CDCP1	0.00197520382172952	-0.039955901943693	0.341492102644615	-0.039955901943693
LEPROTL1	0.0020124035339353	0.0291223594584886	0.341492102644615	0.0291223594584886
MIR3936HG	0.00201636551271524	0.064467538295239	0.341492102644615	0.064467538295239
HHIPL1	0.00201799159811425	0.0603813209861994	0.341492102644615	0.0603813209861994
BNIP3	0.00210428574515812	-0.0897717885085761	0.341492102644615	-0.0897717885085761
CHST2	0.00210917388570469	-0.125019691225932	0.341492102644615	-0.125019691225932
CACNB1	0.00211342648344281	-0.166713396360942	0.341492102644615	-0.166713396360942
AFF3	0.00212961816928735	0.0944981718184947	0.341492102644615	0.0944981718184947
GYPE	0.00214199765205013	-0.107482593893841	0.341492102644615	-0.107482593893841
SERPINE1	0.00215282106064909	-0.0793026545243664	0.341492102644615	-0.0793026545243664
NFKBID	0.00220820416485739	-0.0417821689500185	0.341492102644615	-0.0417821689500185
EPB41L5	0.00225441867179212	0.029274403598346	0.341492102644615	0.029274403598346
AC007376.2	0.00226328203452901	-0.038713185371034	0.341492102644615	-0.038713185371034
AP001636.3	0.00228071513176975	-0.0530761070328612	0.341492102644615	-0.0530761070328612
ADO	0.00228360824541284	0.0701873335871959	0.341492102644615	0.0701873335871959
PITPNM1	0.00230960991464719	0.0439122765835517	0.341492102644615	0.0439122765835517
PA2G4	0.00236567511137788	0.0290114153589556	0.341492102644615	0.0290114153589556
