gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
DACH1	2.60319771421238e-05	0.099923903713014	0.241712018378946	0.099923903713014
DCAF6	2.80882183936947e-05	-0.0228543272346334	0.241712018378946	-0.0228543272346334
TTBK2	4.19979181707887e-05	0.0168193227900314	0.241712018378946	0.0168193227900314
INO80B	5.69948717202617e-05	0.0887281769455955	0.24601836378051	0.0887281769455955
INSR	0.00010604945477059	0.0204271084449674	0.366209977213801	0.0204271084449674
LINC01515	0.000143113409532505	-0.19349197609574	0.411832688164707	-0.19349197609574
YJU2	0.000223755167855323	0.0579852567134215	0.529282483053558	0.0579852567134215
TCEAL3	0.000274587325401307	0.0526517823246124	0.529282483053558	0.0526517823246124
DLGAP2	0.000305024145496118	-0.0941828889233174	0.529282483053558	-0.0941828889233174
LINC01102	0.000306546092351186	-0.0303659643009192	0.529282483053558	-0.0303659643009192
MSANTD4	0.000455693472631961	-0.0286271998713238	0.665140332654786	-0.0286271998713238
NOS1AP	0.000462277539201751	-0.0194357446343261	0.665140332654786	-0.0194357446343261
AC073534.2	0.000503048258961261	0.144698331068598	0.666188000377225	0.144698331068598
CLDN4	0.00054017328884983	-0.16297692363676	0.666188000377225	-0.16297692363676
LINC02316	0.000590712235314193	0.0645451035587341	0.668066478706245	0.0645451035587341
AL583785.1	0.000643943232971162	-0.316205582805811	0.668066478706245	-0.316205582805811
PRRT1	0.000657774246380527	0.0525379548854767	0.668066478706245	0.0525379548854767
EIF4G2	0.000829421427014034	0.0263038822940514	0.681352986010258	0.0263038822940514
GRM7-AS1	0.000848297133836225	0.0582619257835434	0.681352986010258	0.0582619257835434
AC004812.2	0.000873139144888217	-0.114079722460518	0.681352986010258	-0.114079722460518
AL365214.2	0.000900465774539431	-0.0918395712290069	0.681352986010258	-0.0918395712290069
AC036103.1	0.000902530561767289	-0.228796942228218	0.681352986010258	-0.228796942228218
PCSK1N	0.000956365192462996	0.0328349850019792	0.681352986010258	0.0328349850019792
PHACTR2	0.000978468515684305	0.0643940475678764	0.681352986010258	0.0643940475678764
AC060780.1	0.000986553031985199	0.0305560450581626	0.681352986010258	0.0305560450581626
PFKL	0.00104767964921538	-0.0344156710926241	0.685290608521129	-0.0344156710926241
TPCN2	0.00109385141282331	0.0196859458955757	0.685290608521129	0.0196859458955757
PCDHA9	0.00120504055602294	0.0533704628805889	0.685290608521129	0.0533704628805889
RPL39	0.00124514004171855	0.0539792482002879	0.685290608521129	0.0539792482002879
KIF5B	0.00129349258697279	0.0196069614304577	0.685290608521129	0.0196069614304577
ITFG1	0.00137646213557322	-0.0119052316884783	0.685290608521129	-0.0119052316884783
BTG2	0.00138775106382693	0.0342889002692335	0.685290608521129	0.0342889002692335
UNKL	0.00147651646469643	0.03184870473595	0.685290608521129	0.03184870473595
AL162171.2	0.00150058849325694	0.0944925192706138	0.685290608521129	0.0944925192706138
