logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.6601173274139	0.169369630672173	6.56634843524076	-0.005214331687175	7.37829235011948e-06	-3.78056740848201e-05	0.075170455247472	0.0112714976425794	0.165968437652245	0.0091966380439389	3.67945779462668e-06	1.47274234115833e-05	0	4.93349676875136e-51	0	0.570726155695003	0.0449345962038578	0.0102575015866566	36501	NLGN4Y	8.40371839589107e-47	0.169369630672173	0.992066238140897	0.285679502533942	1	NBGMM (LN)
-11.6117819324653	0.139114976774482	6.0175798722418	-0.00579008150354538	-1.74760856888009e-06	2.74253896644898e-05	0.071846246380594	0.0108570437625114	0.158556238599806	0.00744448070921271	3.96650129595721e-06	1.74928150399925e-05	0	1.38064111303718e-37	3.53081881413119e-315	0.436705587603099	0.659508426536411	0.11692575646464	36496	UTY	1.17589203597377e-33	0.139114976774482	0.754183844296496	0.147384300180238	1	NBGMM (LN)
-11.7773040226574	0.130166656746184	5.77690177022528	-0.00327880630882493	-1.51128839022608e-06	1.50623266353593e-05	0.0677485411121547	0.0103819664868964	0.148303815930539	0.00705099863379043	4.79162074508403e-06	2.10655546522307e-05	0	4.63894464255917e-36	0	0.641922118475833	0.75245619119592	0.474595695149545	36493	USP9Y	2.6339927680451e-32	0.130166656746184	0.624134708333374	0.220949475828672	1	NBGMM (LN)
-11.297914459234	0.117678554512663	6.43839832753362	-0.00133620103886145	1.6583769887681e-06	-4.91792902551827e-06	0.0698050806346463	0.010672705126128	0.149344338806594	0.00787998984809436	4.37368395669406e-06	1.80845973164906e-05	0	2.85928682088786e-28	0	0.865349199633863	0.704560398028763	0.785667999834659	36514	TTTY14	1.21762729267509e-24	0.117678554512663	0.726160730233094	0.352688793017395	1	NBGMM (LN)
-12.6858634727182	0.0942334204425742	5.40151908833236	-0.00419393805201997	-1.4209048683505e-05	6.58890882490509e-05	0.0736811502499223	0.0100636933478408	0.151235268045066	0.00659016286482493	6.87477323433641e-06	3.14414059877402e-05	0	7.69911272911321e-21	2.2315138270602e-279	0.524519853731388	0.0387493375506274	0.0361163398874971	36517	KDM5D	2.62293372455429e-17	0.0942334204425742	0.376381755487702	0.105927675699984	1	NBGMM (LN)
-10.7170352694379	0.0495292604519328	3.71571055422507	-0.00121554399583735	-1.66452011801974e-06	7.28106637084891e-05	0.037609102050594	0.00657422283884603	0.0749631531921189	0.00532747227432431	7.71947921737434e-06	3.20908221466347e-05	0	4.92627482614219e-14	0	0.819517782351993	0.829279318520732	0.0232747918650648	36460	PCDH11Y	1.39856942314177e-10	0.0495292604519328	0.323565228153029	1.79550966786353	1	NBGMM (LN)
-12.6875236000298	0.0554068424092611	4.75770114551044	-0.00414559379196875	-2.29065805598036e-05	0.000128788980247862	0.0647980307691635	0.00867965518358866	0.127260294363798	0.00617743745048813	9.39848604356934e-06	4.128678288005e-05	0	1.73051263525576e-10	6.69988489763681e-306	0.502165538511082	0.0147989191245728	0.00181234814654646	36453	ZFY	4.21107888984952e-07	0.0554068424092611	0.257967356295832	0.938743418083425	1	NBGMM (LN)
-15.2746887995361	0.142725656346803	0.0751227158019107	0.0189546061113025	-1.93819573765198e-05	-0.000221599815057102	0.161659613935634	0.0282360876017858	0.339169103648249	0.0312377790231094	5.89479862708151e-05	0.000245853814845501	0	4.31011484576872e-07	0.824710575408616	0.543993808674683	0.742308664855016	0.367403383284132	9632	AC008825.1	0.000917731203535305	0.142725656346803	2.06780567363193	5.43918603918272	1	NBGMM (LN)
-12.8909110007912	0.0374368375323277	4.6850119701985	0.00230510615747466	-1.7275722701526e-05	4.11328510744271e-05	0.0705978277252907	0.00762915356340245	0.136852981111318	0.00558677122457362	1.01379300599275e-05	4.41626554872256e-05	0	9.24441455024549e-07	7.57141380250839e-257	0.679899130669543	0.0883683748692005	0.35164957410923	36451	RPS4Y1	0.00162711632894029	0.0374368375323277	0.15421803644647	0.448808450803081	1	NBGMM (LN)
-12.17544268837	0.0295040381126992	5.01286979131438	0.00133088486865165	2.76028701496469e-06	-6.14516980514221e-06	0.0540931105692485	0.00602043764858931	0.104957058127573	0.00449712773316078	7.80620888807931e-06	3.35544860790455e-05	0	9.55216818680454e-07	0	0.767275072969551	0.723637565152154	0.854688142402853	36519	TTTY10	0.00162711632894029	0.0295040381126992	0.112972685540404	0.748343631383715	1	NBGMM (LN)
-13.0228814992662	0.0396350124888352	-0.100664815617682	-0.00585627249759151	-1.03113995530562e-06	1.94982349704224e-05	0.0529451736842985	0.00879478413488515	0.0964041094350948	0.0104990223844267	1.5944660436201e-05	7.75630097945849e-05	0	6.58591837067722e-06	0.296394572510331	0.576986308836706	0.948436811012885	0.801515888076507	3378	OR2L2	0.0101985939569196	0.0396350124888352	0.356582097885788	1.5714948718084	1	NBGMM (LN)
-13.1021861815384	0.031887549960447	4.93001785159193	-0.00562273208487657	-2.00187098015764e-05	7.09698108242705e-05	0.0810772421887622	0.00827501064285692	0.157359219479755	0.00618950036545395	1.00942666130494e-05	4.4819721739517e-05	0	0.000116452967761259	1.83901065628219e-215	0.363650717480455	0.0473477458736079	0.113318820365258	36495	DDX3Y	0.165304987737107	0.031887549960447	0.183481232483115	0.26636194583651	1	NBGMM (LN)
-13.0552675672616	-0.0274834392784512	-0.0608006900500286	-0.0061114268797628	-2.78124267232138e-05	0.000148928179357406	0.046153556224897	0.00738471775282906	0.0743414028298823	0.00826310451248742	1.8251741952926e-05	8.53745807751045e-05	0	0.000197914147712633	0.413438436221936	0.459540186777562	0.127552897587736	0.0810878125184482	15085	EXTL3-AS1	0.259328430164384	-0.0274834392784512	0.056402740482462	2.74981987598177	1	NBGMM (LN+HL)
-12.9572691425198	0.0327997126723927	-0.128154095018826	0.0101457078492299	9.07660553026878e-06	-2.34515605751269e-05	0.0531771686422952	0.00888680998931137	0.0966082311879086	0.00945083149392551	1.50076325839968e-05	7.43177233278425e-05	0	0.000223522726654576	0.184662909437175	0.283035439597621	0.545312365509794	0.752337934825523	3377	OR2L5	0.271963294702432	0.0327997126723927	0.388879810570352	2.09798066576089	1	NBGMM (LN)
-13.2132758529077	0.0262707992776951	0.170337727333481	-0.00842983734335375	-1.65082430807679e-05	8.543235386858e-05	0.0486928846069987	0.00722907775188419	0.0782694570351749	0.00916570535790361	1.86007766185585e-05	8.81337043913631e-05	0	0.000279011355064748	0.0295329233973324	0.357721675440585	0.37480820876147	0.332370887228571	9547	AC010491.1	0.30924925543595	0.0262707992776951	0.051671050228849	1.42753559393064	1	NBGMM (LN+HL)
-12.2832887777133	0.017867444724085	0.0280779877330446	0.00321123018650515	-2.29202554671519e-05	0.000107749964443168	0.0320309161351876	0.00493916624361172	0.0527274282768537	0.00555137373212513	1.24431421343871e-05	5.82596300797225e-05	0	0.000297459809655507	0.594371440129341	0.56295571873508	0.0654752949885304	0.0643886722785306	4254	SEMA4F	0.30924925543595	0.017867444724085	0.0427849049511194	0.823570615207704	1	NBGMM (LN+HL)
-9.22018409052327	-0.0108465112375865	-0.0861678633680338	-0.00119248975041263	1.63232443440175e-05	-0.000102550513337301	0.0154976745870984	0.0030062851531391	0.0302258825630181	0.00283444273440657	4.20162649275152e-06	1.88712246452699e-05	0	0.000308631991453044	0.00436097650782765	0.673963934306687	0.000102337365074966	5.50345682196563e-08	36242	ARHGEF6	0.30924925543595	-0.0108465112375865	0.0684311491224185	0.67855909850551	1	NBGMM (LN)
-12.3556155446152	0.0177090015858009	-0.0357093342905975	0.00875788690532113	-3.06463577389126e-05	0.000113038185839787	0.0325682064176159	0.00497290041150366	0.053434584737075	0.00535470539676485	1.32067126433503e-05	6.10323476409343e-05	0	0.000369302710766501	0.503954041335624	0.101933861024828	0.0203131041909908	0.0640110533896652	20037	EIF1AD	0.327895462911659	0.0177090015858009	0.0354571055615193	0.381105417467135	1	NBGMM (LN)
