gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
ADORA1	1.81177208728461e-05	0.0241282587204455	0.193913966502072	0.0241282587204455
IRAK2	6.74907764265288e-05	-0.0356293046736036	0.268588936845684	-0.0356293046736036
DHX15	7.52842016758901e-05	0.0202637045448624	0.268588936845684	0.0202637045448624
TNKS2	0.000201919023304231	0.0227998110950652	0.540284826606296	0.0227998110950652
PPP1R36	0.00031249034369979	0.0481637221749742	0.597867124009462	0.0481637221749742
AC005740.5	0.000390284883622136	0.0632714868185143	0.597867124009462	0.0632714868185143
AL513217.1	0.000445399303862606	0.049161568904191	0.597867124009462	0.049161568904191
MAMLD1	0.000518963298739009	-0.0543334703272515	0.597867124009462	-0.0543334703272515
CHMP4B	0.000603669878248956	0.0322884235709302	0.597867124009462	0.0322884235709302
RAB11B-AS1	0.000693959691770644	0.0338333660437618	0.597867124009462	0.0338333660437618
MRGBP	0.000737528035953443	0.04547697169667	0.597867124009462	0.04547697169667
DPM3	0.000739436765353143	0.0628914569954156	0.597867124009462	0.0628914569954156
SNHG17	0.0007585629280792	0.0480056282246051	0.597867124009462	0.0480056282246051
UQCRB	0.00078203678745515	0.0633751372405544	0.597867124009462	0.0633751372405544
FAM216A	0.000860974043142025	-0.0607642141332672	0.614333678916607	-0.0607642141332672
SPRED1	0.00111746849902101	-0.019279475543739	0.730653914828701	-0.019279475543739
MYO10	0.00142214741913469	0.0213359877329755	0.730653914828701	0.0213359877329755
BRSK1	0.00143281992975762	0.0177836906966427	0.730653914828701	0.0177836906966427
AP000873.2	0.00145728502712906	0.0273615605001457	0.730653914828701	0.0273615605001457
TMEM179	0.00150030914304826	0.0605645331978701	0.730653914828701	0.0605645331978701
RUNX1	0.00152164182342372	-0.0398540393893161	0.730653914828701	-0.0398540393893161
HINT3	0.00152258731913295	-0.0265903810864881	0.730653914828701	-0.0265903810864881
HLTF	0.0015701242680613	0.024235341590011	0.730653914828701	0.024235341590011
MIS12	0.00172136771706337	0.0372420611539412	0.767658278155387	0.0372420611539412
CHST11	0.00181062055084294	-0.0662687702782105	0.77516287022688	-0.0662687702782105
POLR2D	0.00197476157402087	0.0331822563473295	0.809293344206148	0.0331822563473295
NAXD	0.00210867633725263	0.0355088493046986	0.809293344206148	0.0355088493046986
C3orf62	0.00211718337267795	-0.0476448548798836	0.809293344206148	-0.0476448548798836
RYR3	0.00228349410437391	0.071574836704813	0.821706854363283	0.071574836704813
AC026401.3	0.00239378577290505	-0.0462540297403604	0.821706854363283	-0.0462540297403604
SIRT3	0.00250775555065738	0.032881885862621	0.821706854363283	0.032881885862621
ELF1	0.00257173026902614	-0.0134996526613598	0.821706854363283	-0.0134996526613598
UGGT1	0.00270706897289539	0.017772320787821	0.821706854363283	0.017772320787821
JOSD2	0.00294560462956565	0.0291537395868735	0.821706854363283	0.0291537395868735
AC002451.1	0.00295128017674713	0.0307179573626279	0.821706854363283	0.0307179573626279
WDR33	0.002982697818903	-0.0149776677292916	0.821706854363283	-0.0149776677292916
MFSD4A	0.00347712297563851	-0.0655271407038875	0.821706854363283	-0.0655271407038875
LINC01725	0.00354035155659088	0.0320921051333158	0.821706854363283	0.0320921051333158
PTCD3	0.00359065575132066	0.0129806440782467	0.821706854363283	0.0129806440782467
INPPL1	0.00360921660410797	-0.0438337407848991	0.821706854363283	-0.0438337407848991
IMP4	0.0036507350775367	0.0401081490388086	0.821706854363283	0.0401081490388086
COL14A1	0.00375760629134154	-0.0378970989723035	0.821706854363283	-0.0378970989723035
SNX1	0.00379070947107768	0.0111422751198356	0.821706854363283	0.0111422751198356
PRDM2	0.00385263781846313	-0.0148876225900747	0.821706854363283	-0.0148876225900747
MIER1	0.00387226782139189	0.0147510709721625	0.821706854363283	0.0147510709721625
SLC7A11	0.00394781264093232	-0.0639876192415751	0.821706854363283	-0.0639876192415751
RNF14	0.00404182082975665	0.029897376148494	0.821706854363283	0.029897376148494
COMMD4	0.00418340918383728	0.0260618911652024	0.821706854363283	0.0260618911652024
GOSR2	0.0042451001924831	-0.019574679820981	0.821706854363283	-0.019574679820981
TCAIM	0.00436664564710137	-0.0252732037864562	0.821706854363283	-0.0252732037864562
ATP5F1E	0.00443796856020741	-0.046146400855963	0.821706854363283	-0.046146400855963
PGBD4	0.00448667112022478	0.0377942102659709	0.821706854363283	0.0377942102659709
CMTM4	0.00458878305962792	-0.0167595087100477	0.821706854363283	-0.0167595087100477
NLRC5	0.00459993539422766	0.0370136792330809	0.821706854363283	0.0370136792330809
PLXNA4	0.00490827593511507	-0.0604164637049342	0.821706854363283	-0.0604164637049342
SPATA22	0.0049295470445611	-0.0500444179383036	0.821706854363283	-0.0500444179383036
AC002460.2	0.0049328636231909	-0.061509965869529	0.821706854363283	-0.061509965869529
B4GALT4	0.00494614998931327	0.0331862834474378	0.821706854363283	0.0331862834474378
CD226	0.0050028409060546	0.0269047822063337	0.821706854363283	0.0269047822063337
RNF157	0.00500533204024261	-0.0189796816407408	0.821706854363283	-0.0189796816407408
AC025810.1	0.00513612717200424	0.0400349793988819	0.821706854363283	0.0400349793988819
SNX13	0.00514157861323035	-0.0160270987401195	0.821706854363283	-0.0160270987401195
POLB	0.0051430118970563	-0.0304071832431831	0.821706854363283	-0.0304071832431831
DYRK2	0.00541647667118762	0.0403973876419107	0.821706854363283	0.0403973876419107
ERBB4	0.00541918267024651	0.012956306847555	0.821706854363283	0.012956306847555
RUFY3	0.00542005307584943	-0.00937892386862913	0.821706854363283	-0.00937892386862913
SLC35F3	0.00550023488339843	-0.0491913834217531	0.821706854363283	-0.0491913834217531
FAM106A	0.00557380669257315	0.0257672734193789	0.821706854363283	0.0257672734193789
ASAP2	0.00558640010671441	-0.022405567811148	0.821706854363283	-0.022405567811148
SHROOM1	0.00561127967215785	0.0200692207797893	0.821706854363283	0.0200692207797893
LIPT1	0.00572006822202626	0.0426252047112073	0.821706854363283	0.0426252047112073
ACTR1A	0.0057844247618871	0.0241948921854985	0.821706854363283	0.0241948921854985
ESYT1	0.00594491362593335	-0.0568587801968624	0.821706854363283	-0.0568587801968624
PAN2	0.0060303468135993	0.0219133668026205	0.821706854363283	0.0219133668026205
UBE2O	0.00603650116256089	-0.0195933961807642	0.821706854363283	-0.0195933961807642
CCDC115	0.00610209783982798	0.0329651498967125	0.821706854363283	0.0329651498967125
AC104825.1	0.0063371784495224	0.0386085258449425	0.821706854363283	0.0386085258449425
LINC02609	0.00636786579928585	-0.0399285528837714	0.821706854363283	-0.0399285528837714
ZFY	0.0064372091968588	0.0354832656615618	0.821706854363283	0.0354832656615618
HCG18	0.00650721414101067	-0.0182345434828218	0.821706854363283	-0.0182345434828218
TMEM260	0.00661651574316436	0.0142916950822294	0.821706854363283	0.0142916950822294
ASIC1	0.00663141596802833	0.0274654149893757	0.821706854363283	0.0274654149893757
ZNF578	0.00665309941629397	0.0394314788248488	0.821706854363283	0.0394314788248488
SNX24	0.00672804297829825	-0.0236104264056953	0.821706854363283	-0.0236104264056953
SPTY2D1OS	0.00673356092136042	0.0387983165197866	0.821706854363283	0.0387983165197866
ZNF605	0.00678910602991016	-0.0216282173823357	0.821706854363283	-0.0216282173823357
RNF220	0.00681061670471537	-0.00787387329422331	0.821706854363283	-0.00787387329422331
TTLL3	0.00688433379572457	0.0218969137122074	0.821706854363283	0.0218969137122074
GNPDA1	0.00700648703570937	0.0279841485261676	0.821706854363283	0.0279841485261676
RAP1GAP2	0.00701940393384515	-0.0585205060402872	0.821706854363283	-0.0585205060402872
AC092924.2	0.00711814243199387	0.0211818709030682	0.821706854363283	0.0211818709030682
MRPS6	0.0072891428430735	-0.051935155213097	0.821706854363283	-0.051935155213097
CCDC32	0.00731166476836547	-0.0248665648791972	0.821706854363283	-0.0248665648791972
FANCC	0.00733232540413506	-0.0219402172231531	0.821706854363283	-0.0219402172231531
BRCC3	0.00751679826174409	0.0227365469790618	0.821706854363283	0.0227365469790618
RBM12	0.00752058496124283	-0.0372588888497103	0.821706854363283	-0.0372588888497103
SLC4A2	0.00752903578462889	0.0290295750174961	0.821706854363283	0.0290295750174961
CHIC1	0.00759080975572239	-0.0155222123066653	0.821706854363283	-0.0155222123066653
RHBDD3	0.00760057727571382	-0.0361022137995273	0.821706854363283	-0.0361022137995273
ZBTB17	0.00772228585701492	0.0178649766303213	0.826516255276307	0.0178649766303213
AGO3	0.00797336741823033	-0.0113054704439361	0.83513557121459	-0.0113054704439361
AL355076.2	0.0079837020694735	0.0402744478627229	0.83513557121459	0.0402744478627229
AC091932.1	0.00810717354874167	0.0341354380341544	0.83513557121459	0.0341354380341544
OSBPL1A	0.00819206737426741	-0.00971080087376274	0.83513557121459	-0.00971080087376274
AC026979.2	0.00819295851420461	0.0429341633822903	0.83513557121459	0.0429341633822903
ESF1	0.00853837795468067	0.0187191156608616	0.848098125824548	0.0187191156608616
SCN1B	0.00861789166893552	-0.0402829079079774	0.848098125824548	-0.0402829079079774
AL390957.1	0.0087923904181342	-0.0508123050488956	0.848098125824548	-0.0508123050488956
ERBIN	0.00889850426694893	-0.00981506753078171	0.848098125824548	-0.00981506753078171
TRMT13	0.00890917148121301	0.0147952469723203	0.848098125824548	0.0147952469723203
AC005532.1	0.00892917314251869	-0.0387824722416921	0.848098125824548	-0.0387824722416921
