logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.7883847653637	0.153583577900818	6.37194616318404	-0.00540775246614112	1.45990971375656e-05	-2.820691125484e-05	0.071258768092512	0.0103195532946848	0.15091090744884	0.0084809859949817	3.69616441232593e-06	1.27740183465426e-05	0	4.26445881250366e-50	0	0.52371292186351	7.82176760220863e-05	0.0272340223146198	36496	UTY	5.96555143281137e-46	0.153583577900818	0.919754785234605	0.163723076306454	1	NBGMM (LN)
-12.0212790503912	0.134697784890114	5.79076962022569	0.000320755407405229	1.65216040121064e-05	-2.05342045028459e-05	0.0628063547615155	0.00938446022818603	0.130393562712372	0.0080765903058132	6.58808429613483e-06	2.17653246661587e-05	0	1.01615434999739e-46	0	0.968320972286622	0.0121485082777849	0.345457615678387	36501	NLGN4Y	7.10749160105678e-43	0.134697784890114	0.735047075242073	0.92209358656219	1	NBGMM (LN)
-13.4726494803649	0.197450079338066	7.26038468605823	-0.00644952881571815	-7.16311566878982e-05	0.000339458290699017	0.099650153254218	0.0140578888356643	0.222861169675586	0.0078187928909187	1.10033150884372e-05	3.56802393090153e-05	0	8.20868378562968e-45	8.38916289978003e-233	0.409442413588775	7.51701098827707e-11	1.83642389233866e-21	36473	AC064829.1	3.82770924923912e-41	0.197450079338066	0.86956300361032	2.62378921504581	1	NBGMM (LN)
-13.3372296199229	0.155287267435746	6.54501406547944	0.00048332469047959	-1.87756482423384e-05	0.000115696343125321	0.0819858667475109	0.0115081402905647	0.176361222883779	0.00739827388431354	7.09005509014397e-06	2.54284222675981e-05	0	1.70358295828723e-41	1.83897606295066e-301	0.947911745651903	0.00809295923884096	5.3675783056287e-06	36517	KDM5D	5.95785550087002e-38	0.155287267435746	0.688272713264942	0.21030975130352	1	NBGMM (LN)
-12.4994722888137	0.123993843951845	6.16821829226714	0.000772241390946541	1.34407788944044e-05	-4.99205293069185e-05	0.064074521794289	0.00975050388329825	0.131874617932507	0.0072845853301759	9.75906617705082e-06	3.14528857010424e-05	0	4.77851947409578e-37	0	0.915574145742956	0.16843164266149	0.112478087253473	36514	TTTY14	1.33693417846252e-33	0.123993843951845	0.626163945572245	3.07381811725962	1	NBGMM (LN)
-12.51375911271	0.116600109130475	5.40201207586836	-0.00265159764518592	-2.39622553363076e-05	0.000163169443049736	0.0612908105593847	0.00931697856966621	0.125649508285983	0.00737945552156789	7.52786556174881e-06	2.60264441937629e-05	0	6.19649492391273e-36	0	0.719354529548367	0.00145686795901013	3.6250870526339e-10	36493	USP9Y	1.44471279151025e-32	0.116600109130475	0.669046400695861	0.945181360684025	1	NBGMM (LN)
-13.59637877105	0.14239877514973	6.43215012446462	-0.00205122448419756	-4.76531257443846e-06	-2.86728152771278e-05	0.0856992789966353	0.0119709825229568	0.181074178836324	0.00744651477988077	8.18080707909928e-06	2.89321958130409e-05	0	1.25158875438106e-32	2.23446545915124e-276	0.782962076806092	0.560230562905634	0.321668547564467	36495	DDX3Y	2.5012107264338e-29	0.14239877514973	0.66053643766354	0.237748664664291	1	NBGMM (LN)
-13.4212112646817	0.104750600519734	5.30077139843035	0.00048276117266193	-4.9338184011799e-05	0.000236957479808739	0.0644561878679511	0.00929714526505661	0.128514454423114	0.0069024681213567	1.20230933938959e-05	4.17700407352786e-05	0	1.91044291450683e-29	0	0.944241121362571	4.06738622218501e-05	1.40395960659338e-08	36451	RPS4Y1	3.3406482413795e-26	0.104750600519734	0.474404292013128	1.15590257591476	1	NBGMM (LN)
-13.3690591690866	0.101394312887552	5.31153041929951	-0.000378708612778993	-3.14505170524695e-05	0.00010852809710837	0.0627338090914315	0.00902841897635755	0.124579133194907	0.00644927009558233	1.29148687158161e-05	4.3899942081587e-05	0	2.88602821143257e-29	0	0.95317420621083	0.0148828320606143	0.0134295831687212	36453	ZFY	4.48584984997002e-26	0.101394312887552	0.43003341576996	2.32796919158947	1	NBGMM (LN)
-12.7780983727332	0.0602070065314558	4.71674837289951	0.00375420901397353	3.50769841552619e-05	-0.000108014578527616	0.0482478982397729	0.00751274948496544	0.0937117255001498	0.00687021271038071	1.14437343807504e-05	3.88567112605541e-05	0	1.11056890435621e-15	0	0.584758521160757	0.00217546758843316	0.00543894013781966	36519	TTTY10	1.5535748403039e-12	0.0602070065314558	0.349514047303131	2.40968265006272	1	NBGMM (LN)
