gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	4.26445881250366e-50	0.153583577900818	5.96555143281137e-46	0.153583577900818
NLGN4Y	1.01615434999739e-46	0.134697784890114	7.10749160105678e-43	0.134697784890114
AC064829.1	8.20868378562968e-45	0.197450079338066	3.82770924923912e-41	0.197450079338066
KDM5D	1.70358295828723e-41	0.155287267435746	5.95785550087002e-38	0.155287267435746
TTTY14	4.77851947409578e-37	0.123993843951845	1.33693417846252e-33	0.123993843951845
USP9Y	6.19649492391273e-36	0.116600109130475	1.44471279151025e-32	0.116600109130475
DDX3Y	1.25158875438106e-32	0.14239877514973	2.5012107264338e-29	0.14239877514973
RPS4Y1	1.91044291450683e-29	0.104750600519734	3.3406482413795e-26	0.104750600519734
ZFY	2.88602821143257e-29	0.101394312887552	4.48584984997002e-26	0.101394312887552
TTTY10	1.11056890435621e-15	0.0602070065314558	1.5535748403039e-12	0.0602070065314558
EIF1AY	4.21378906750507e-14	0.0642139634865552	5.35879047866622e-11	0.0642139634865552
EIF5A	1.86665094762536e-06	0.0316266457052719	0.00217604834219426	0.0316266457052719
NFIB	2.12902107434448e-06	-0.0115276735787401	0.00229099044684653	-0.0115276735787401
IRAK2	2.59455559089082e-06	-0.0215254209352374	0.00259251701149798	-0.0215254209352374
LINC01515	3.34766275829268e-06	-0.178855222466243	0.00312203028838375	-0.178855222466243
FAM207A	5.04834058098005e-06	0.0188400767267516	0.00441382727420812	0.0188400767267516
AC068633.1	6.82547554792677e-06	-0.0247955224243345	0.00561656337882044	-0.0247955224243345
SLC35F3	8.26531372702474e-06	-0.0587506156337107	0.00642352631818606	-0.0587506156337107
OR2L13	1.02998816152901e-05	0.0372911660957494	0.00758342336401541	0.0372911660957494
PHYHIPL	1.72438940888774e-05	-0.00906537864931125	0.0118499954514073	-0.00906537864931125
AC012146.1	1.7788970225145e-05	0.0295720985113963	0.0118499954514073	0.0295720985113963
TMEM141	1.92225740224989e-05	0.0284402123330531	0.0122229358182153	0.0284402123330531
AC005034.6	2.28225800107141e-05	0.0234129865645702	0.0133195682300984	0.0234129865645702
IQCH-AS1	2.28515002875374e-05	-0.0151570683490814	0.0133195682300984	-0.0151570683490814
CALR	3.25501595314195e-05	0.0241796721254998	0.0182137672674011	0.0241796721254998
ARL10	3.62665152303025e-05	-0.00878125333486874	0.0195127800598732	-0.00878125333486874
IGSF11	3.84565737033035e-05	-0.00943300746303335	0.0199247781309449	-0.00943300746303335
LINC01344	4.01350858980926e-05	-0.027683741612465	0.020051775593872	-0.027683741612465
DNHD1	5.05902887426516e-05	-0.0103313765853535	0.024403708593826	-0.0103313765853535
PPFIBP2	5.72970431100865e-05	-0.0141598147639891	0.0267176112022333	-0.0141598147639891
THY1	7.36870205463545e-05	0.0748455831849231	0.0332518622717081	0.0748455831849231
TMTC4	7.70752401472603e-05	-0.0132730106510464	0.0336939229506258	-0.0132730106510464
AC108734.4	8.09073375270356e-05	-0.0386278625416075	0.0342973558989607	-0.0386278625416075
MRPL55	8.89019641303997e-05	0.0328051137259438	0.0365779287123577	0.0328051137259438
ACP7	9.39281032073337e-05	-0.0177781749806808	0.0375417210219254	-0.0177781749806808
LINC00844	0.000107516604939427	0.0228414576520912	0.0417791607360456	0.0228414576520912
ZFAND4	0.000131789558992189	0.00774242006715835	0.0498271389389656	0.00774242006715835
ESS2	0.000136706697598883	0.0141388836617337	0.0503260524397571	0.0141388836617337
L3MBTL4	0.000160356056828498	-0.00975618969097639	0.0568417624493764	-0.00975618969097639
C17orf49	0.000168982343563859	0.0240780050744595	0.0568417624493764	0.0240780050744595
ARHGEF7	0.000171834227238312	-0.00725709576378611	0.0568417624493764	-0.00725709576378611
AL049779.4	0.000173300418361793	-0.0134153215234654	0.0568417624493764	-0.0134153215234654
AC009226.1	0.000180069533305726	-0.0188635403174733	0.0568417624493764	-0.0188635403174733
LINC02715	0.00018720662425671	-0.0349146265607354	0.0568417624493764	-0.0349146265607354
AC119674.1	0.000191864283177008	-0.0218158983780509	0.0568417624493764	-0.0218158983780509
FKBP2	0.000194040795554172	0.0450278958865902	0.0568417624493764	0.0450278958865902
WBP1	0.000197806243358996	0.0166165824873939	0.0568417624493764	0.0166165824873939
HIGD2A	0.000199040683360985	0.0286863533103194	0.0568417624493764	0.0286863533103194
LINC00486	0.000199102606334938	0.0404187499979656	0.0568417624493764	0.0404187499979656
NDUFA11	0.000206648119264007	0.0240066295587373	0.0578160108076837	0.0240066295587373
GK5	0.000222416701947781	-0.0162407308757818	0.0602588552407221	-0.0162407308757818
