gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
AP001372.1	9.9822174743226e-06	0.120541909756682	0.145910072822173	0.120541909756682
AKAP5	4.35109381133095e-05	0.123764754549104	0.317999691201123	0.123764754549104
AGTRAP	0.000354120594110944	0.0598499381375625	0.756987714242394	0.0598499381375625
GABBR2	0.000382971774406351	0.0715229748488808	0.756987714242394	0.0715229748488808
SERTAD2	0.000521646885313625	-0.0362661430775282	0.756987714242394	-0.0362661430775282
PLPPR2	0.000593813078526828	0.0303547699589359	0.756987714242394	0.0303547699589359
TMED5	0.000677728912952276	-0.0334083268330499	0.756987714242394	-0.0334083268330499
WDR73	0.000896043471908251	0.0300149984564981	0.756987714242394	0.0300149984564981
AC104123.1	0.000990723240747027	-0.0277472137530118	0.756987714242394	-0.0277472137530118
NTRK1	0.00104593900488506	0.0457946627784355	0.756987714242394	0.0457946627784355
SPRED3	0.00107964113563697	0.0866138247518569	0.756987714242394	0.0866138247518569
PRKACB	0.00114765558170112	0.02395906963831	0.756987714242394	0.02395906963831
SEPTIN7-AS1	0.00128296912334727	0.0439037715380302	0.756987714242394	0.0439037715380302
CYP27A1	0.00132082972312534	0.0272757654571613	0.756987714242394	0.0272757654571613
PALMD	0.00135413043790261	0.0542773586474918	0.756987714242394	0.0542773586474918
AL391839.1	0.00144837241249915	0.0672259536830675	0.756987714242394	0.0672259536830675
GXYLT2	0.00145611140387081	0.0365792246666011	0.756987714242394	0.0365792246666011
ZP3	0.00146133754209079	0.0768723214479344	0.756987714242394	0.0768723214479344
LINC02315	0.00152803932291458	-0.141862010135957	0.756987714242394	-0.141862010135957
SLC1A1	0.0015397998071746	0.0414157356156552	0.756987714242394	0.0414157356156552
AC010894.3	0.00154236805456788	0.0458495112891607	0.756987714242394	0.0458495112891607
CLCN5	0.00155593557152184	-0.0603008460833224	0.756987714242394	-0.0603008460833224
ERICH1	0.00156604046906699	-0.0223193963562096	0.756987714242394	-0.0223193963562096
MSH4	0.00162270945187575	0.0463315492139255	0.756987714242394	0.0463315492139255
ZNF268	0.00165016749401509	0.0431629648887338	0.756987714242394	0.0431629648887338
SFXN1	0.00167867192333567	0.0246641837906862	0.756987714242394	0.0246641837906862
AL353151.2	0.00175145049375943	0.0772256104939671	0.756987714242394	0.0772256104939671
ICA1	0.00182595948920805	-0.104889892303149	0.756987714242394	-0.104889892303149
SERPINE1	0.00189198325305674	0.0876489101697706	0.756987714242394	0.0876489101697706
