gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
FBXW11	5.96865202933331e-06	-0.0814357838790851	0.085363661323525	-0.0814357838790851
LINC01088	6.85728350093958e-05	0.0680062060505085	0.348847076590449	0.0680062060505085
HERC6	0.00011453552966445	0.274579857784823	0.348847076590449	0.274579857784823
LY6E	0.000125907670859875	0.114851877757825	0.348847076590449	0.114851877757825
CGAS	0.000145479453276093	0.164804353534711	0.348847076590449	0.164804353534711
RAB30	0.000146348934382792	0.0836447346507829	0.348847076590449	0.0836447346507829
MTHFD2	0.000275320545417439	0.0936043388346275	0.562519205794317	0.0936043388346275
LINC01572	0.000365245303286986	-0.222709645880747	0.652967290951309	-0.222709645880747
FTL	0.000480261765764705	0.03405018275512	0.716128171218054	0.03405018275512
EIF4EBP1	0.000585039567183266	0.139637144714916	0.716128171218054	0.139637144714916
DZIP1	0.000595990328392904	-0.0990103455487684	0.716128171218054	-0.0990103455487684
SOCS6	0.000749570617345062	0.143696021397935	0.716128171218054	0.143696021397935
PSMD8	0.000763760668770176	-0.0781491161816318	0.716128171218054	-0.0781491161816318
ST8SIA5	0.000775448385509662	0.174940504499004	0.716128171218054	0.174940504499004
OLFM3	0.00079408217608268	0.185798652083288	0.716128171218054	0.185798652083288
HLA-DPB1	0.000801150240490062	0.124297351839632	0.716128171218054	0.124297351839632
TCP11L2	0.001072461434593	0.146881180358632	0.76559596252806	0.146881180358632
PPFIA1	0.00112874144696314	0.051736804164949	0.76559596252806	0.051736804164949
PKNOX2	0.00112948128798897	-0.11325334725877	0.76559596252806	-0.11325334725877
AKAP7	0.00121519391314791	0.128826789189074	0.76559596252806	0.128826789189074
TP53BP2	0.00124716684972422	0.0686859861520598	0.76559596252806	0.0686859861520598
PANX1	0.00126949799468927	0.187648924510461	0.76559596252806	0.187648924510461
CDC34	0.00128358100175567	0.0853295459976726	0.76559596252806	0.0853295459976726
MMAB	0.00132825616779985	-0.135565790376641	0.76559596252806	-0.135565790376641
LEF1-AS1	0.0013422690188517	-0.370743204494249	0.76559596252806	-0.370743204494249
ITGB5	0.00151217185446505	0.0528770271669073	0.76559596252806	0.0528770271669073
ATG4C	0.00156847772789155	-0.113001343814333	0.76559596252806	-0.113001343814333
COPS6	0.00163312978137206	-0.0742894668818611	0.76559596252806	-0.0742894668818611
SHMT1	0.00164268206930182	-0.382980807835225	0.76559596252806	-0.382980807835225
ARPP19	0.00171444975749633	0.0525988797208617	0.76559596252806	0.0525988797208617
FLNB	0.0017160666459879	-0.0669008769540281	0.76559596252806	-0.0669008769540281
ANKS1A	0.00176894058295974	-0.0695880727098592	0.76559596252806	-0.0695880727098592
OAS2	0.00179582481421739	0.258588411181341	0.76559596252806	0.258588411181341
YAE1	0.00184645835878245	0.109418180804213	0.76559596252806	0.109418180804213
SPATA22	0.00187357423356748	-0.635703236272943	0.76559596252806	-0.635703236272943
AGO2	0.00198292421147823	-0.0557680206232877	0.771091401586203	-0.0557680206232877
LIN52	0.00199485259814638	-0.0975516949418012	0.771091401586203	-0.0975516949418012
RAB10	0.00211647654936422	0.046895686784179	0.780775263278843	0.046895686784179
KLF9	0.00217966399981496	-0.0662128730669501	0.780775263278843	-0.0662128730669501
DNMT1	0.00220232401989321	-0.108232669083617	0.780775263278843	-0.108232669083617
CCDC34	0.00224550289020372	0.256278580226596	0.780775263278843	0.256278580226596
USP53	0.00229286540747528	0.0608070397128954	0.780775263278843	0.0608070397128954
NARS2	0.00240794729002874	-0.099369723991032	0.79004922973443	-0.099369723991032
GULP1	0.00248213128188777	-0.0810228282567651	0.79004922973443	-0.0810228282567651
GP1BB	0.00250100416854241	0.0703011439766918	0.79004922973443	0.0703011439766918
MRPL1	0.00269994142438358	0.0751106448192912	0.79004922973443	0.0751106448192912
WDFY1	0.00277789310077845	-0.0841928391302334	0.79004922973443	-0.0841928391302334
DDX55	0.00281097202590975	0.13009619311136	0.79004922973443	0.13009619311136
AGFG1	0.00287740891439703	0.0505211378325731	0.79004922973443	0.0505211378325731
TYW1B	0.00292650122538166	0.0979629147224535	0.79004922973443	0.0979629147224535
SRP19	0.00293920817143617	0.0850087082190516	0.79004922973443	0.0850087082190516
AC016745.1	0.00294761788148349	0.378813932935967	0.79004922973443	0.378813932935967
MAPK8IP3	0.00295238151035746	0.0537255388270726	0.79004922973443	0.0537255388270726
AL163541.1	0.00306520924467895	-0.179508470102096	0.79004922973443	-0.179508470102096
AVPI1	0.00313190891195469	0.128099751285164	0.79004922973443	0.128099751285164
ANGPT4	0.00314315042995764	0.114121302795986	0.79004922973443	0.114121302795986
TSSC4	0.00333176659279858	-0.103058146448561	0.79004922973443	-0.103058146448561
HSP90AB1	0.00346154904854624	0.0391335584673609	0.79004922973443	0.0391335584673609
PPP1R3B	0.00351217857051676	0.0906482440880717	0.79004922973443	0.0906482440880717
CAND2	0.00359409755325281	0.0955930581482648	0.79004922973443	0.0955930581482648
TNRC6A	0.0036022894079748	-0.0348345984650413	0.79004922973443	-0.0348345984650413
UBA5	0.00372600726914756	-0.136298489753826	0.79004922973443	-0.136298489753826
ITPRIP	0.00374475010162083	-0.0802710672969339	0.79004922973443	-0.0802710672969339
SPATA2	0.00374908338993566	0.184963469985914	0.79004922973443	0.184963469985914
