earlyAD,lateAD
GFAP,XIST
SAMD4A,SLC39A11
CLIC4,PFKP
NEAT1,DLGAP1
TPST1,MT-ATP6
F3,MT-ND2
EMP1,PDE4DIP
YBX3,MT-ND3
SERPINA3,SLC5A3
RIMS1,MT-ND1
NAMPT,MT-CO2
GADD45B,VCAN
ANGPTL4,SLC38A2
ZFP36,PLCG2
MT1M,RANBP3L
ARHGEF3,ADAMTSL3
BCL6,RIMS1
FOS,LINC01094
JUNB,AC104574.2
HILPDA,NWD1
ARID5B,COL27A1
GBP2,FBXO2
ZFYVE28,AL390755.1
CD44,COL21A1
MT2A,PLCE1
NUPR1,DGKB
RNF122,DCLK1
ELOVL5,MRPS6
WWTR1,SLCO3A1
TANC1,AL157886.1
PLSCR1,AC012405.1
MATN2,KCNJ3
ACTN1,MT-CYB
NFIL3,SYNM
LDLR,MT-CO3
OSMR,RTN1
GAPDH,ROBO2
ETV6,NPNT
KIF5C,LINC01088
MT1X,PLEKHA5
WARS,CSRP1
IFI16,MIR4300HG
JUN,AJAP1
CCND2,ADCY8
MAP3K14,BAIAP3
ARID5A,TSHZ2
SOCS3,L3MBTL4
HSPB1,GRIA1
CCL2,DUSP1
SLC7A5,GFAP
STAT3,SPARC
RFTN1,LMNTD1
PFKFB3,MRAS
BTG2,CFAP47
BAALC,SNCA
HSPA1B,ATRNL1
CHI3L1,MYRIP
CNN3,CCK
FOSL2,ST6GAL1
TIPARP,NEAT1
SLC39A14,LINC01338
NOD1,MT-ND4
CLU,MTRNR2L12
LMO2,PLCXD3
DNER,FSTL5
MT1E,PNPLA6
MYH9,KCND2
ERBIN,KCNE4
DENND4A,CDH23
HAP1,ARMC3
LINC02649,AL512662.2
RGS16,GALNT8
MACF1,HSPB1
HSPE1,CP
CNTNAP1,STXBP5L
PTMA,RASGEF1A
PDPN,COL24A1
DST,AC105402.3
ROBO2,CAP2
CRYAB,SESN1
MAN1C1,CAB39L
AC005261.1,ARHGAP6
ATF3,SMTN
CPNE8,MT1F
FAM20C,SAMD4A
ANO6,AC073941.1
SPSB1,PTMS
GALNT16,CCDC85A
MIDN,SLC7A2
CCNL1,ST8SIA1
IFITM3,AHNAK
DBI,PCP4
COLEC12,WDR49
CEBPB,CCDC3
CREB5,IGFBP5
AC020916.1,ADAM33
BHLHE40,C8orf34
TENM4,PTPRE
SPOCD1,DKK3
LMNA,HS6ST3
NR4A3,KCNJ10
HMBOX1,C1QL1
HGF,CLIP2
PIM1,CACNA1D
SOD2,SLC8A3
MFHAS1,ANGPT1
HELB,MOB3B
STK40,SLITRK5
NAV2,COL6A2
ITPKC,ITGB8
BARD1,FKBP5
CRISPLD1,FBXO32
BAG3,LINC00862
MTHFD1L,TOX2
TESC,SRRM2
MAPRE2,MT1G
NR4A1,CDK2AP1
PXDN,EGF
CCDC85A,KITLG
VASN,ECM2
AEBP1,A2ML1
PLCE1,MTRNR2L8
SEZ6L,NUPR1
SLC9B2,HSPA1B
SORCS3,RASSF3
SYNM,PIGM
C11orf96,SEMA3D
ANXA1,CFAP54
KCNH5,CREB5
IRF1,SACS
TFRC,APBA2
UBC,ZFP36L1
RALGDS,SYNPO2
SLC7A2,LINC00836
S100A6,ITPKB
CHI3L2,RAPGEF4
SHTN1,EXPH5
ATRNL1,MAF
AL390755.1,LDB2
HSD17B7,AC036108.3
XIST,CD44
IGFBP7,SNX31
ID3,GRM8
DNAJA4,OXR1
ADAM12,CHDH
OSMR-AS1,AC090825.1
PPP1CB,SERPINI2
IRS2,KCNG1
PKNOX2,LGR6
LTBP4,AC245297.3
GNA12,AC006148.1
CLCF1,FOS
LRIG1,AGFG2
HLA-E,FAP
ZNRF2,AC093797.1
HSPA1A,ID3
RFX4,DAB1
LDHA,RCAN2
SCARA3,LINC00632
BMPR1A,OLMALINC
PIGA,LTBP4
P3H2,KIT
ICAM1,CHST6
CLIP1,HSPA1A
SCG2,HSPB8
SPATA13,SLC47A2
CCN1,ADORA1
RELB,SLC6A9
SLC47A2,PLXNA4
BACE2,ABCC4
UBASH3B,NLGN1
ST8SIA1,GALNT13
EPHA5,ITGA2
SMAD1,INKA2
VIM,TSIX
GAP43,LINC00907
FRMPD3,S100A6
MGAT5,CCDC40
PDLIM4,GEM
MARCH1,LRRC9
C3,KANK2
YARS,PHYHD1
GAB1,AL591518.1
EGF,STX3
AQP4,SMOC1
RASD1,NUDT4
LINC00513,SLC43A3
PDE10A,DPP6
DGKD,FXYD6
BAIAP3,SORCS3
FN1,AC119674.1
DNAJB1,AC096677.1
PTPRE,MT-ND4L
GNAS,HMBOX1
LIMK2,CCL2
CAP2,CFAP73
DLGAP1,KCNJ16
RELL1,F5
