bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
XIST,AC119673.2,TTTY14,HSPH1
ZDHHC11,AC105402.3,NLGN4Y,AC004949.1
LAT,ARL17B,USP9Y,DNAJA4
GOLGA8B,MTRNR2L8,UTY,HSPA1A
PUDP,XIST,PCDH11Y,HSPD1
JPX,AC009435.1,TTTY10,RPL37A
AL592183.1,LINC01937,DDX3Y,LINC00326
MRPL41,AC011379.2,KDM5D,ABHD3
CIRBP,KANSL1,LINC01515,AC090518.1
AC119673.2,FAM157C,MTRNR2L1,AC098829.1
PNN,LSS,C5orf17,CHORDC1
TAP2,FDFT1,ZFY,USP9Y
CCDC144A,MSMO1,LINC00551,SPRED2
TBC1D3D,ARL17A,PRKY,KLHL25
AHI1,ARC,RPS4Y1,LEPR
AC025159.1,INSIG1,LINC02296,DNAJB6
ANKRD36B,FOSB,MT-ND4,PRKCH
WSB1,HMGCR,AC093898.1,OTUD3
SPARCL1,PAX8-AS1,AC243829.2,IFI6
DPH6,JUND,EIF1AY,PARD6G-AS1
MT-CO1,LRRC37A2,AL627171.2,EGR1
MIR646HG,ADGRB1,AC009041.2,HSPA4L
BDH1,ACAT2,TBL1Y,TAF1D
GAD1,PYGL,MT-CYB,ADCY10
TARBP1,IDI1,MALRD1,FBXL14
NDUFB8,LDLR,AC007389.1,HSPA6
STS,SREBF2,MT-CO3,BAALC-AS1
DDX3X,TMEM179,LINC00324,DNAJA1
CORO6,FAM153B,MT-ND1,MIR7-3HG
HGSNAT,PTMS,MT-ND2,C17orf67
AL513166.1,MVD,SULT1A2,HSPB1
RPL3,CAMKK1,AL359237.1,FAM118A
HLA-DOB,AL807742.1,MT-CO1,DPYSL2
CLEC2L,PCSK1N,AC147651.1,SEM1
LINC01611,ZIM2,AC064829.1,INTU
B2M,CALCOCO1,UGT2B4,CCDC59
AC005753.2,ATP5MC2,AC114930.1,DNAJB1
AC021231.1,TAGLN3,AC097652.1,TP53BP1
RASSF4,UCHL1,MT-CO2,YWHAG
AL008633.1,HMGCS1,AC010889.2,SNAP23
LINC01060,DHCR24,AL121852.1,GIPC2
FTL,FAIM2,AL358394.1,TAOK3
TSIX,GRIN1,AC018541.1,MAP3K13
REX1BD,PTPRN,AC108690.1,TRAF3
GPLD1,BSG,LRRIQ1,C1orf61
CAMK2N2,CACNA1G,MRPL41,TCF25
LUC7L3,SRSF10,MT-ND3,RPL26
ATP1A1,STARD4,SNHG25,C9orf153
NDUFV1,SQLE,AC061958.1,PWWP3A
AL391807.1,CHD5,PPP2R3B,FTH1
GABRD,GADD45B,CYP39A1,PER3
PNMA3,FADS1,AC022498.1,XPO1
AC244502.1,IGSF8,LINC01098,KLRD1
SRSF11,LERFS,ADGRG7,MIR29B2CHG
ANKZF1,RFX3-AS1,AL589843.1,DYNC1I2
ICA1,AC011476.3,SPRY4-AS1,ZNF675
