earlyAD,lateAD
CADM2,FKBP5
QDPR,QDPR
CNTNAP2,SLC38A2
ADGRB3,AC009063.2
AC009063.2,ANLN
SPP1,ERBIN
XIST,SELENOP
ERBIN,CADM2
CNDP1,PEX5L
CLMN,CPQ
PRUNE2,MAN2A1
SLC38A2,SPP1
LINC02821,SLC39A11
CD55,MID1IP1
GPR155,ZNF652
JUND,CCP110
CHRM5,TPD52L1
GLUL,CA2
FMN1,PLCG2
NFASC,ADARB2
PNISR,SLC44A1
PTPRM,BBS9
DPP10,CDKL1
APBB2,OTUD7A
GPM6B,SPOCK3
SH3PXD2B,XIST
SUN2,KCNMB4
APP,HP1BP3
TF,NCAM2
MALAT1,PPA1
INPP5F,SERPINI1
OTUD7A,LRRC1
TMEM165,PHYHIPL
NEAT1,SEPTIN8
CD9,PLD5
HNRNPA2B1,FANCC
LRRTM4,KHDRBS3
SOX2-OT,PLCL1
LAMP2,RELN
STMN4,FRYL
ANKRD18A,ZBTB16
ABHD2,LAMP2
RYR2,KIRREL3
PLEKHH2,PNISR
MID1IP1,MT-ND3
CALM1,EFHD1
SAMD4A,FBXO2
NAV2,AC093865.1
SNHG14,ADSS
SELENOP,MDGA2
NCOA7,MAP4K5
IL6R,ADIPOR2
SIK3,KCNIP3
DOCK1,TANC2
CREB5,CDH20
ERBB3,PDS5B
KHDRBS3,PRKX
KIF1B,SEM1
ATP1B1,NPTX2
AC012494.1,SLC35F3
PICK1,CLIP4
HSPA4L,SNHG14
RHOU,ITPR1
CLDND1,RBM48
ELMO1,SUN2
PICALM,ELMO1
CLDN11,METTL7A
SRRM2,AMER2
DPY19L1,USP31
CDH11,PRUNE2
ITPKB,AC116362.1
AMER2,ADAMTSL3
GPR37,WWOX
LRP1B,RGCC
MAPK10,ZSWIM6
GNG7,LIFR
AGAP1,IGF1R
MYRF,IKZF2
PRNP,ST6GALNAC3
DYNC1LI2,MYRIP
MTRNR2L8,FMO5
DUSP16,CNTNAP2
AC105402.3,SORT1
KIF19,NCAM1
PIP4K2A,ACER3
HNRNPU,NEAT1
TMEM132C,MAP2K4
UBC,PIEZO2
ERC2,EDIL3
PTMA,BCL2
FTL,CPEB3
ARGLU1,CDKN1C
WSB1,ANKRD18A
GAPDH,CHRM5
CTTNBP2,ANKRD12
FTH1,NFKBIA
CDK18,MT3
PRKCA,NBEA
PLD5,AC119674.1
FADS1,SILC1
SPOCK1,SLCO1A2
AC092691.1,IRAK2
SLC5A3,GPHN
AMPD3,AC006148.1
ANKS1B,PPP1R9A
NFKBIZ,ZNF521
MACF1,ATP1B1
BIN1,SLC5A3
DICER1,CHDH
ARHGAP21,SRRM2
HIBCH,CAB39L
BCL6,MT-CO2
SLC6A6,ZNF365
LINC01505,CLCN4
HSP90AB1,AC004797.1
OSBPL1A,CLMN
CSMD3,HTRA1
SLC7A11,MKLN1
MAP1B,LINC02821
CTNNA1,DOCK5
COPA,KANSL1L
