earlyAD,lateAD
NRXN1,MT2A
SOX5,SOX5
CSMD3,MT-ND3
DPP10,MT-ATP6
PPFIA2,HSPB1
DTHD1,PTMA
LRRC74B,SLCO4A1
PTPRZ1,FLT1
LINC00609,MT-ND2
GPM6B,MT1E
FMN2,MECOM
TMTC2,NFKBIA
TCTEX1D1,TMTC2
KCNMB2,MT1X
ST8SIA1,SLC38A2
GALNT13,PTMS
HPSE2,PALM2-AKAP2
TTC6,MT-ND4
CRB1,ATP10A
IQGAP2,EGFL7
RALYL,FRY
SCN1A,PECAM1
CFAP299,GALNT18
CTNNA2,MT-CO2
KLHL32,ANGPT2
COL8A1,PTPRK
KIAA2012,MT1M
SLC1A3,ENTPD1
TRIM9,SLC9A3R2
PAMR1,HLA-E
DOC2A,NOTCH4
ANKFN1,COL8A1
TTC29,HPSE2
FRMD5,ADGRL4
DNAH3,SORT1
NCAM2,MT-CYB
LMO2,MT-CO3
AC097518.2,ANO2
AC013470.2,S100A6
FGF14,MEF2C
IGFBP7-AS1,PREX2
PZP,S1PR1
RSPH1,ST6GALNAC3
TNIK,RYR2
CFAP157,TMEM204
DNAH9,TMSB4X
CFAP73,ERG
GFAP,BGN
CFAP47,LINC02172
CFAP206,AKR1C1
GABRG1,PTPRB
ADGB,PCAT19
PALM2-AKAP2,ESAM
ANXA1,BCAM
RFX4,CLDN5
AC020718.1,TIE1
KIF6,SDK1
NRCAM,VWF
FUT9,EDIL3
DPYSL3,ADORA2A
AC019330.1,DENND3
SDK1,VAMP5
CADM1,TBC1D4
ANK2,NOTCH1
COL16A1,NEDD4L
FRMPD2,PDE1C
NEK10,A2M
LINC00461,AC114757.1
CFAP52,PRELP
MEIS2,LRRC32
CD109,CALCRL
OSBPL6,SEC14L1
AL357093.2,RAPGEF5
BAIAP3,ABCB1
CSGALNACT1,TCF4
DNAAF1,CDH2
MAP2,PAPSS2
CCDC78,RIPOR3
NEK5,TMSB10
ROPN1L,PPP1R14A
GRIA1,FKBP5
TEKT1,HSPA1A
JAKMIP2,PRUNE2
CFAP45,RBM17
C1orf87,FAM167B
CFAP46,CD34
PANTR1,RNF220
CCDC39,STOM
GYG2,ADGRF5
CFAP65,DGKH
PRR29,NFIB
TMEM163,MUSTN1
ADCY2,RAPGEF4
FAM184A,HYAL2
BBOX1,SLC7A5
C6orf118,CRIP2
AQP4,GIMAP5
GRIN2A,ARHGAP26
LINC02055,SRARP
CHST9,MYH11
MAP3K19,KCTD12
HAGHL,ARRDC2
AC093689.1,DSTN
CASC15,TAGLN2
VWA3A,RGCC
NRG4,SGPP2
MIAT,DLL4
AL589740.1,PON2
ZBBX,PPFIA2
SPAG8,UNC13C
CCDC114,ITGA11
LINC00907,DYSF
CRISPLD1,HLA-C
PREX2,CPE
DNAH10,SLC4A11
AC004949.1,CAVIN1
NPAS3,TPST2
FAM135B,SLC52A3
CFAP221,CASC15
CAPS,INPP5D
DNAI2,PEA15
AC091078.1,PRX
PTPRQ,HSP90AA1
KIAA0319,MGLL
AL645937.2,TOX
CFAP100,MFSD2A
WDR63,CAVIN2
LAMA1,DNAJB1
CFAP58,CC2D2B
DRC3,DAAM2
PHACTR1,MAOA
AC110023.1,EMP2
SCN9A,SLC39A10
OSBPL3,ADIPOR2
SPEF1,HSP90AB1
NAV2,BSG
AL022068.1,ACTA2
TOGARAM2,ANXA3
PPM1E,PLEKHG1
TTC34,ASRGL1
AQP4-AS1,CDA
PTCHD1-AS,CSGALNACT1
