bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
FLT1,AC119673.2,EYA2,ACTN4
XIST,DNAH11,SLC7A2,UTY
DLC1,LRRC74B,SLC24A3,UBC
VWF,ARMC3,BNC2,PTPRK
PDE10A,EFHC2,TMOD1,HSP90AA1
ANO2,C4orf47,PKP2,PALM2-AKAP2
PIK3R3,TCTEX1D1,SNED1,ACTG1
NOSTRIN,CFAP157,LEPR,IGFBP7
ATP10A,CFAP54,GPC6,IFI44L
XAF1,DNAH7,EDA,MACF1
SLC7A5,DPP6,SLC13A3,FAM118A
TRPC4,PACRG,ADAMTSL3,MAP4
CLDN5,NRG3,SPTLC3,CCN1
SPARCL1,NRXN1,FGF10,FILIP1L
GGT5,CFAP299,CEMIP,RTN4
RHOJ,DTNA,UNC5C,SOX5
ABCB1,ADGB,MPP6,MYO1E
C22orf34,CFAP43,COL11A1,ASAP1
CACNA1C,AC105402.3,GNAL,TTTY14
BSG,CFAP47,CDH23,IFI6
PLSCR1,DPP10,COCH,ACTB
EPAS1,DNAH6,NHSL2,MYH9
MECOM,VWA3A,ACADL,SOD2
DISC1,CSMD3,CHST15,VCL
CPM,LRRC9,MSH4,COLEC12
RBMS3,DCDC1,PDE1A,HSP90AB1
CARMN,FRMPD2,SH3BP5,PTGES3
EGFL7,RFX3-AS1,KAZN,CASC15
PAPSS2,TRMT9B,LRP1B,AL139815.1
IRAK3,ZBBX,KCNT1,CPE
HES4,CFAP73,MID1,SNTB1
LAMC3,SPATA17,WDR86,GRIK4
TBC1D4,PTPRZ1,HS3ST5,SAMD4A
C11orf96,ADGRV1,ADAMTSL1,SPARCL1
KANK3,SPAG17,AC027288.3,XAF1
LHFPL6,LRRIQ1,TSPAN18,KALRN
ST8SIA6,CFAP46,PRKAG2,HERC6
INPP5D,HTR2C,BICC1,ZEB1
ADAMTS9,WDR49,AC009879.4,B2M
PTPRB,DTHD1,CACNA1A,CALM2
ADGRL3,RSPH1,ENPP6,HSPD1
ADGRD1,HPSE2,PHLDB2,ETV6
PCBP3,CFAP70,CAPZB,CMIP
ADGRF5,AL022068.1,ITGA9,HSPB8
GPC5,DNAI1,SCUBE1,GRIA1
FLI1,CFAP52,HIF3A,AKAP6
ACER2,DNAH5,NALCN,USP9Y
LEF1,RFX3,NFKBIZ,HSPH1
MFSD2A,SCN1A,SCARA5,PTMA
ERG,DNAH9,EYA1,ELN
GRID2,HYDIN,AC079298.3,XRRA1
ZNF366,FRMD5,BMP5,MYOF
SLC2A1,MOK,HECW1,SERPINH1
HIF1A-AS3,NEK11,GMDS,CCDC175
ELOVL7,POU2AF1,CDH11,HIPK3
ANGPTL4,GYG2,PC,WSB1
COL4A2,SPAG8,LHFPL2,PTRH1
ARHGAP29,WDR63,C3,MSN
APOLD1,CRB1,GK5,FAT3
PDE2A,GLIS3,PTGDS,RFTN1
ST6GALNAC3,FMN2,SLC22A3,KIF1B
ZNF385D,DNAAF1,ROBO1,GPHN
NOTCH3,SPAG16,FLRT2,IRF9
ACSL5,PPFIA2,IL18,AGAP1
EMCN,TRIM9,FAM20A,EPN2
SLC6A17,NEK5,NDRG1,PEAK1
PTH1R,ANKFN1,PCDH15,NCAM2
SLCO2B1,SERPINI2,GJB6,C2orf92
NOTCH4,SLC47A2,LINC01482,HSPA8
TBX2,SPATA13,KCNQ3,NIN
SLCO4A1,CFAP221,NUDT4,QKI
DAAM2,LINC00609,SLC22A2,PSD3
ADIPOR2,TNIK,ADAMTS15,CTNND1
SPAAR,FRMPD4,LRFN5,HSPE1
DIPK2B,DRC3,SLC7A14-AS1,TM4SF1
SCARB1,KCNMB2,MDGA2,MPRIP
SLC38A11,SDK1,MLPH,CLMN
COBLL1,WDR60,ALCAM,SCN1A
BTNL9,DNAH12,C16orf95,HSPA4
CRISPLD2,CTNND2,LINC01725,PTPN3
CMTM8,FANK1,PRDM6,DAB2IP
LZTS1,SPEF2,MTMR7,A2M
LINC02147,DRC1,IGFN1,H3F3B
ADGRL4,CTNNA2,PPM1H,NCALD
TMEM204,SOX5,PLA2R1,CNN3
DENND3,TTC29,FLG-AS1,ZSCAN18
AL929091.1,TMEM67,SLC4A4,NAV2
SLC6A12,EXPH5,PLD1,ADCY8
CDYL2,CCDC39,EPHA7,FRY
RNF144B,DNAI2,CHSY3,DAW1
EDN1,PLEKHA7,PAQR5,LRRFIP1
SEC14L1,TEKT1,ATP1B3,MAP4K4
HCN2,COBL,PLEKHA2,RGS3
LRRC32,GPM6B,FOXP1,TRAF3
MCAM,DYNLRB2,ASS1,LINC00486
GALNT18,DOC2A,ADAMTS12,CTTN
SLC38A5,LMNTD1,GAS1,CSGALNACT1
PECAM1,KIAA2012,MICOS10,FGF14
RCSD1,CFAP45,LPAR1,DNAAF1
SGIP1,PAMR1,AOX1,MTCH1
COL4A1,AGBL4,LPIN1,DNAJB6
PLXDC1,C6orf118,MEG3,ANKRD10
CAVIN2,EFCAB6,DAPK1,AQP4-AS1
STARD8,LSAMP,DSP,APBB2
ADAMTS4,CASC1,ARHGAP28,DDX3Y
RGS5,CCDC30,PRG4,SCN1A-AS1
CYTOR,LRRC6,GLCE,HSPB1
GRM3,RALYL,NGF,CACNA1C
PARVB,RMST,AC018742.1,RPS6KA2
MIR4435-2HG,NEK10,ZBTB16,ARHGAP26
PPP1R14A,EFCAB2,CPED1,GRAMD2A
CALD1,CFAP44,SLC39A11,CHST9
ABCG2,CASC2,KLF9,MGAT5
TNFRSF21,WDR66,STIM2,DNAH5
PRDM1,ARMC2,SYNDIG1,ARFGAP3
PLEKHG1,LRGUK,UACA,TCF12
EPSTI1,PPP1R42,LRP1,PTK2
TGM2,KLHL32,UST,NRG4
NDUFA4L2,SPAG1,GREB1,TRAK1
ITGA1,SOX6,NR2F1,RALGAPA1
CASS4,ANK2,BMPER,AP000462.1
AL645608.7,WDR78,SLC9A9,CATSPERD
IFI44L,SPAG6,EHBP1,RAD51B
AL158206.1,SH3GL3,SEMA3C,CD59
SLC7A1,CADM1,KCNT2,KIF2A
DGKB,SGMS2,ME1,USP49
AL033523.1,CFAP61,EEPD1,EIF2AK2
CDH6,IGFBP7-AS1,COL4A4,STIP1
SLC2A3,AL139815.1,ADAM12,WDR66
TTN,TTC6,SLC22A6,TNIK
ECE1,TMEM232,ADH1B,OSBPL3
PDE8B,ARMC4,TRPM3,CRISPLD1
GRIA4,KIF27,STEAP4,HPCAL1
AC002546.1,FUT9,CLMP,FAM189A2
AC018816.1,GALNT13,TGFBR3,RAPGEF2
RASGRP2,IQGAP2,NGDN,CSNK1A1
LINC02664,TOGARAM2,MIR100HG,MAP3K8
ROBO4,NWD1,SLC7A8,VOPP1
IFI44,DAW1,SH3PXD2A,DKK3
RAPGEF4,CCDC173,AC008014.1,C4orf47
HLA-E,LMO2,ABCA8,DLEU2
KCNE4,VWA3B,FBN1,AC096637.2
MEF2C,RGS22,SLC5A5,PRKD1
CYTH3,RFX2,LINC01397,GLIS3
TBX3,SHANK2,AC092155.1,GALNS
DLL4,CCDC114,COL1A1,SSBP4
DEPP1,CFAP206,DNASE1L3,NPHP1
CCDC144A,NME9,NBL1,IL3RA
ANXA3,TMTC2,PKDCC,MSRA
TNS1,CCDC40,ARHGEF28,TSPAN9
TRGC2,ITPKB,SLC22A23,PREX2
DOCK6,IQCG,CYBRD1,GFAP
SLC19A1,ENO4,SLC41A2,AC068587.4
HIGD1B,CCDC60,PAK3,COBLL1
TACC1,DZANK1,CHMP1B,CDK17
ITIH5,CROCC2,NINL,NRXN1
GFOD1,ST8SIA1,ZFPM2,LIMCH1
MSC-AS1,TTLL9,WASF1,IER3
AC097528.1,ZNF273,ABCA9,IRS2
FENDRR,FAM184A,GDPD5,DGKH
IL18R1,PPIL6,GJB2,CMSS1
RBMS2,NRCAM,THSD4,STAT3
GALNT15,MAATS1,CLDN11,TTLL7
ELAVL3,NPAS3,FRMD4A,CFAP73
ADORA2A,KIF6,BMPR1B,MALAT1
SLC19A3,NCAM2,ARHGAP20,DCLK2
ESAM,ARHGEF26-AS1,ANKH,MFHAS1
PDGFRB,TMEM231,SMAD3,PPP2R2B
HLA-B,RPS6KA5,PTPN13,WDR60
TESC,RABL2B,ALDH1A2,ADGRB3
SIPA1L2,EFHC1,ALDH1L1,ITGA2
MX2,ITGB8,MYRIP,RAB11A
GJC1,CAPS,SYTL4,EPAS1
MIR181A1HG,BBS5,USP9Y,CD81
ETS1,ROPN1L,EPB41,REV3L
NRGN,CFAP65,DPH6-DT,MYLK3
GABRA1,FBXL13,DIXDC1,PTPRG
SRARP,SYNE1,TP53I11,PARP9
AC064875.1,CCDC146,AC117453.1,DPYSL3
GPER1,LINC00632,ITGA8,PDLIM5
PDE1C,TEX9,KCNQ1OT1,GBP1
HEYL,MED12L,KCNK2,RABGEF1
SGPP2,ARL4C,FOXC1,OSBPL1A
CH25H,CCDC170,IGFBP4,DHRSX
A2M,C9orf135,RETREG1,IFI27
PRKCH,PDE4DIP,PTPRU,PLEKHG1
IL4R,LINC00511,FN1,DLG1
SLC30A10,SLC9C2,DLG2,WDR1
STMN2,VWA5B1,AC092957.1,SPIRE2
STOM,HAGHL,NNMT,CRIP2
DPF1,CFAP69,CFH,RPS6KA5
AP001037.1,ASTN2,NEAT1,PACSIN2
CA4,OSBPL6,ITGBL1,MED13L
SMIM3,ATP2B2,SGCD,MGLL
RERG,MTRNR2L8,SMOC1,FOS
SNRK,TTC23L,FGD6,ARAP2
DCN,AL589740.1,ADCY5,PHYHIPL
TIE1,RFX4,SIK2,GATAD2A
Z97192.3,EML6,RDH10,MORF4L2
LINC00924,METRN,POU6F2,CYTOR
MT1M,MIR4300HG,JAM3,AC093535.1
ATP7B,AC020718.1,PRKCA,CCNY
ICAM2,WDR93,SLCO1A2,ARHGEF12
SMTN,DNAH3,ZIC1,GNB1
PALD1,FGFR1OP,ALPL,C2orf81
LCP2,FAM227A,LYPLAL1,CCDC88C
SLFN12L,AK8,URB1,LINC01322
MATN3,MAP3K19,PHACTR2,AC093879.1
FGD5,FAM183A,AL356807.1,C7orf57
GIMAP5,MARCH10,ACSF2,PIP5K1A
TBC1D3D,CFAP97D2,CPAMD8,MEF2A
GUCY1A2,TTC8,SLC25A37,BICD1
CYYR1,FAM81B,ABLIM3,INPP5A
PDE3A,CEP126,AC092813.1,TTTY10
MT2A,MNS1,SULT1E1,CFAP157
DUSP6,C11orf88,NR2F1-AS1,CD99
CLEC4E,STRBP,ZC4H2,DOC2A
TMCC3,KCNN3,AC108734.4,ITGB1
ENG,RABL2A,SLC6A20,MIR4435-2HG
ADGRE2,FGF14,HMGCLL1,RNF213
GPIHBP1,CDHR3,PDLIM1,SPATA6L
DSCAML1,NLGN1,MET,ATF3
RELL1,ARHGEF26,TLE2,LCLAT1
AC007743.1,AC019330.1,FGF10-AS1,MEF2C
SLC12A2,GRIK4,AUTS2,CTNNA2
SEMA6B,CCDC180,MAST4,RTN1
EDNRA,LCA5,HDAC4,AQP1
IFI27,FHAD1,FAM110B,DDX5
SRGN,ERBB4,USP53,PALD1
S1PR1,C1orf87,MAP3K5,RERE
AL031595.3,TSGA10,NAV3,PSAP
GRASP,IQCK,SEMA3B,AC104078.2
RASL12,GRIK2,ANKRD33B,EFR3B
MAOA,DLEC1,SLIT2,PAMR1
RAPGEF5,LINC00461,CYP4X1,MYO5C
TNFAIP6,PLCH1,FBXO32,MYCBP2
ACTA2,EFCAB1,FBXL7,PPM1E
LINC01693,DNER,KIAA1217,PITPNM2
MYO1B,SLC4A8,PDZRN3,EML6
SLC1A1,AC013470.2,PLCG2,NFIB
CAMK2A,COL16A1,AL136456.1,HK1
