bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
XIST,AC119673.2,TTTY14,HSPH1
LAT,AC105402.3,NLGN4Y,RPL37A
GOLGA8B,ARL17B,USP9Y,AC004949.1
TBC1D3D,MTRNR2L8,UTY,AC098829.1
LINC00200,FAM157C,TTTY10,COL26A1
TSIX,RASD1,DDX3Y,ADCY10
LINC01611,PAX8-AS1,KDM5D,TAF1D
ZDHHC11,AC011379.2,PRKY,DOK5
AL358944.1,AC009435.1,PCDH11Y,PRKCH
AL592183.1,XIST,ZFY,SNX31
CIRBP,AC010997.3,LINC01515,CHORDC1
RHBDL3,LINC01937,RPS4Y1,MIAT
BDH1,JUND,LINC00551,HNRNPDL
TAP2,PYGL,AC243829.2,SAT1
TARBP1,CHGA,MTRNR2L1,ZNF638
AC119673.2,ELK1,EIF1AY,OTUD3
GOLGA8A,NPTX1,DOCK10,LEPR
PUDP,PTMS,C5orf17,AAK1
FAM66A,PEA15,MALRD1,TCF25
AC025809.1,COL27A1,LINC01697,MYO6
AC244502.1,PRNP,CD24,UNC13A
AC025159.1,KANSL1,SPHKAP,EPB41L2
FAM85B,BSG,SEMA3D,ABHD3
GOLT1B,ORAI2,LINC00685,INTU
POU6F2,SLC25A22,SPRY4-AS1,ZNF675
AC105450.1,FTL,LINC00320,CALM3
AL138701.2,SYN1,FAM153A,UBR2
NOXA1,CXXC5,NKAIN3,SPRED2
ETV6,JUN,AC007389.1,MAP3K13
CCDC144A,LINC01924,AC097528.1,ATP2C1
ANKRD36B,MLF2,AL627171.2,CABP1
WSB1,CAMKK1,AC113137.1,GRIN1
AL117329.1,RFX3-AS1,RTP5,HSPA4L
AHI1,SH3BGRL3,ALDH1A2,DPYSL2
CABP1,ID2,TARID,NSG2
ICA1,TUBB4A,AL031073.2,ARHGEF12
CARMIL1,PGRMC1,PCDH15,DNAJA1
SPARCL1,TSC22D3,TBL1Y,ATP2A2
FMN1,ARL17A,AJ006995.1,CACNB4
PRRX1,FOS,AC097487.1,PBX1
MIR210HG,CEBPB,AL358394.1,ARGLU1
HLA-DOB,FAIM2,AC147651.1,YWHAG
PNMA3,PPP1R15A,MIR4435-2HG,SCN1A
C2orf72,FOSB,AC023095.1,SRRM3
AC005753.2,DPF1,LINC02248,RPL26
LINC01184,EEF1A2,AC106795.3,KLRD1
AC083870.1,PPIA,SAMD3,IPO5
ANKZF1,NNAT,CASC6,SH3PXD2A
VWA3A,DUXAP8,AC010889.2,LINC01588
AL513166.1,CDKN1A,MEG3,OGA
APOL2,NEUROD2,ZNF536,SMARCA2
RPL3,ZMIZ1,PARD3,HNRNPU
CYREN,AC034243.1,AC024236.1,DNAJA4
IGFL4,TSPYL1,LINC01098,HERC4
LINC01515,PTMA,PALMD,ENSA
RPS4X,IL34,CALN1,KIF5C
RCL1,FKBP1A,COLEC12,FAM118A
NIPAL2,CEBPD,AC064829.1,CAP2
REX1BD,C9orf16,TLL1,ANKRD26
SYTL2,PNMA1,C1QTNF9B,HPRT1
PANX2,HPCA,MRPL41,ADAM23
AC084198.2,HLA-DQB1,SULT1A2,MIR29B2CHG
AC008696.2,PHYHIP,FAM242A,AC090518.1
AC104964.1,SERTAD1,NR2F2,CCDC59
ITM2C,LINC02607,FAM153CP,HIVEP2
AL391807.1,JUNB,AL592156.2,GRK3
TRPM3,EGR3,KCTD4,UBE2D3
RPRML,RPRML,ADRA1A,SPTAN1
CCPG1,AC137932.2,CECR2,TACC1
LINC00970,EIF1,MYO5B,ZNF483
PDE10A,LY6E,AL136441.1,KIAA1671
GAB2,PDGFB,AC108690.1,CHN1
CAMK2G,TIMP1,AC245187.2,MGST3
PNN,ADAMTS2,BNC2,TSC22D1
CES4A,TYRO3,AC006157.1,UBE2B
SAT2,UCHL1,ST18,PER3
DPH6,MT2A,DDX11,MTERF1
DDX3X,AMPD2,CHRNA1,SRPK1
TM7SF3,AP003108.1,SLC7A11,SIK3
MAPK4,GADD45B,SPATA13,EPB41L3
STAT4,AC103810.2,CNGB1,ATP2B2
RPL7A,H1FX,NOX5,SFXN5
SCPEP1,TMSB10,AC093607.1,DENND4A
FKBP5,SLC17A7,NR2F2-AS1,TAOK3
JPX,H2AFV,LINC00498,AP001528.1
CLCA4-AS1,PDXP,AC097512.1,TMEM178A
GSAP,PCSK1N,AC097652.1,HSPD1
FAM81A,SLC22A17,FLG-AS1,SLC25A37
MAST4,FBXL16,AC020637.1,AL357153.2
AC018730.1,AC103855.3,TOGARAM2,WDR60
RBMS1,RTN4RL2,AC023469.1,RPS24
AC004158.1,DOC2A,AC231759.2,PLEKHA5
AC013460.1,PCBP1,C8orf34,STXBP1
MROH7,MAPK3,AC022498.1,ECPAS
CHGA,EGR4,LINC01151,CAPRIN2
LAMA2,SBDS,SEMA5A,UBR5
AL359232.1,WBP2,AL353784.1,STRBP
LINC01115,AP001977.1,NTF3,MAGI1
GABRD,DNAJB2,ZBTB20-AS5,ARPP19
TBC1D3,CKB,AL161717.1,CEP290
FAM182A,NLRP2,ERC2,MYSM1
MYRIP,ITM2C,AC010889.1,CALM2
LRRK1,THRA,SCHLAP1,TRAK1
DENND3,PGAM1,NUTM2B-AS1,XPO1
NAT8L,TPI1,AC110992.1,SPTBN4
AC092745.5,VAMP2,ZNF727,PAK5
TTC12,ICAM5,ADTRP,PRNP
HLA-DMA,SEPTIN3,CD53,SH3GL3
MPPED1,FAM215B,NPIPA8,PIP4K2A
GARNL3,CADM3,AC117453.1,LINC00862
PHF7,AC025159.1,LINC02237,TNFSF13B
LINC02150,ATN1,AC009041.2,SEPTIN2
CCND3,CFL1,CD99,SRSF5
SPON2,YWHAH,ABCA13,BTBD8
CXXC4-AS1,RGS2,AC023886.1,LUC7L3
CPNE8,GNAS,SYTL5,KIAA0232
TNNI3K,CTXN1,GABRQ,MIR7-3HG
RHOT2,MT-ND4L,MEIS3,BAALC-AS1
PRXL2A,ARF1,AC060765.1,PNISR
SEC31B,MOAP1,AC007877.1,G3BP2
AC025839.1,MRFAP1,COL24A1,ELOVL5
AC026495.2,MT-ND2,ARHGAP6,UMAD1
ASIC2,LERFS,AC097532.2,C9orf153
TMEM179,NORAD,TDRD9,ASPH
CDK5RAP3,TAGLN3,NME5,TTC14
TMEM72-AS1,EFHD2,GAD1,HNRNPA2B1
CALY,SLC2A3,COL21A1,OCIAD1
AP003393.1,ATP6V1G2,GOLGA6L10,AC068587.4
AP001972.3,DISP3,AP1G2,RTN1
CADPS2,DKK3,C5orf63,NDUFA4
NUTM2A-AS1,C1orf115,SNHG27,TP53BP1
NDUFB8,AL359636.2,AKAP8L,DLGAP4
SPRY4-AS1,RPS27,LINC01446,CAMK2N1
AL109615.3,MAPK8IP1,AC087639.2,OIP5-AS1
GPC1,CDIP1,ZNF208,MAPK14
ZFX,GDI1,LINC02027,FXR1
MGAT4C,TPPP,C6orf118,RERE
LINC01310,RAN,AC096711.2,MDN1
AC068587.4,NEAT1,LINC02836,SNX3
GMDS-DT,RETREG2,AC009236.2,ATXN1
METTL24,ATP6V0C,RUNX1,SARAF
BMPER,NME3,LINC01885,PGP
AF165147.1,PRRT1,HLX-AS1,ARID4A
RPSA,FKBP8,AGBL1,SMIM12
TMEM241,HEXIM1,LINC02223,PPP6R3
SERPINF1,VSTM2B,ZBTB20-AS1,PHF14
COBL,CA11,GALNT5,SPTBN1
ZNF449,ATP6V1F,AC060765.2,ELP2
FGF9,CAMKV,SMIM36,PLCG2
PREX1,SECTM1,AC123912.1,AP3B2
CORO6,LRRC37A2,SPON1,STXBP5-AS1
TMEM240,PSD,SNHG25,JMJD1C
RABEPK,NPTXR,TMSB4Y,TRANK1
AC016598.2,AC131009.2,STON2,FLRT2
OGFR,BCL2L2,KIRREL3,TRAP1
AC091885.2,MT-ND1,SLC24A3,EXT1
C8orf86,SNCB,ASB18,ACSL3
AL589740.1,ISCU,AC010291.1,NDUFS1
WEE2-AS1,SUMO2,CELF5,ZNF518A
LINC01680,RTL8C,LINC02307,ATF7IP2
AC124852.1,NCDN,AC108057.1,FBXO34
CASC1,SET,AL136985.3,SYNE1
AC108519.1,NUDT11,ST6GALNAC5,MAPRE2
PIGL,HPCAL4,SLC47A1,MEG3
WDPCP,USF2,LINC00314,PTGES3
HGSNAT,COPRS,GRIN1,DPY19L2
AC124016.2,KIF26B,LINC02406,NRDC
GLCE,SNN,CERS4,SGSM1
AC067956.1,PIANP,LINC02070,RAB11A
CLDN16,SLC7A5,FAM114A1,NEK10
CACNA2D3,SYNGR3,AC092819.3,CALM1
RPH3A,PRELP,PCSK5,ABI2
AC021231.1,TAF7,OTOF,LINC00486
LUC7L2,ATP6V1B2,NFIB,NR6A1
AL096794.1,HSD11B2,AC018541.1,ABR
RPS7,HS6ST1,LINC00324,CLSTN3
